Day,Open,High,Low,Close,Volume,Market Cap
"Sep 21, 2022",$0.6343,$0.667,$0.6212,$0.6217,"$91,305","$91,305"
"Sep 20, 2022",$0.6482,$0.6668,$0.6321,$0.6345,"$79,982","$79,982"
"Sep 19, 2022",$0.6483,$0.664,$0.6155,$0.6557,"$87,335","$87,335"
"Sep 18, 2022",$0.7496,$0.767,$0.6144,$0.64,"$262,992","$262,992"
"Sep 17, 2022",$0.6511,$0.7778,$0.6407,$0.7493,"$371,489","$371,489"
"Sep 16, 2022",$0.6606,$0.6702,$0.6344,$0.6517,"$70,419","$70,419"
"Sep 15, 2022",$0.6622,$0.7143,$0.6347,$0.6606,"$431,726","$431,726"
"Sep 14, 2022",$0.6832,$0.7087,$0.6351,$0.6624,"$180,174","$180,174"
"Sep 13, 2022",$0.7248,$0.7413,$0.6824,$0.7012,"$94,203","$94,203"
"Sep 12, 2022",$0.7162,$0.7375,$0.7137,$0.725,"$99,414","$99,414"
"Sep 11, 2022",$0.7605,$0.7612,$0.7138,$0.7163,"$234,604","$234,604"
"Sep 10, 2022",$0.7166,$0.8876,$0.7115,$0.762,"$1,570,691","$1,570,691"
"Sep 09, 2022",$0.7112,$0.7397,$0.7023,$0.7174,"$65,648","$65,648"
"Sep 08, 2022",$0.7122,$0.7326,$0.6858,$0.7118,"$68,642","$68,642"
"Sep 07, 2022",$0.6987,$0.7211,$0.6731,$0.712,"$67,939","$67,939"
"Sep 06, 2022",$0.7446,$0.7619,$0.657,$0.6987,"$150,397","$150,397"
"Sep 05, 2022",$0.7357,$0.7523,$0.7341,$0.7438,"$46,843","$46,843"
"Sep 04, 2022",$0.7424,$0.7605,$0.7349,$0.7353,"$52,209","$52,209"
"Sep 03, 2022",$0.7346,$0.7529,$0.7332,$0.7422,"$38,062","$38,062"
"Sep 02, 2022",$0.7571,$0.766,$0.7341,$0.7343,"$102,123","$102,123"
"Sep 01, 2022",$0.7748,$0.7829,$0.7556,$0.7575,"$43,521","$43,521"
"Aug 31, 2022",$0.7712,$0.7797,$0.761,$0.7738,"$49,775","$49,775"
"Aug 30, 2022",$0.7808,$0.8512,$0.7617,$0.771,"$211,206","$211,206"
"Aug 29, 2022",$0.7626,$0.8268,$0.75,$0.7805,"$146,051","$146,051"
"Aug 28, 2022",$0.7622,$0.7797,$0.7566,$0.7628,"$85,258","$85,258"
"Aug 27, 2022",$0.7626,$0.7811,$0.7464,$0.762,"$101,058","$101,058"
"Aug 26, 2022",$0.822,$0.8226,$0.7535,$0.7627,"$189,706","$189,706"
"Aug 25, 2022",$0.8198,$0.8305,$0.8028,$0.8223,"$108,889","$108,889"
"Aug 24, 2022",$0.8131,$0.8308,$0.7938,$0.8198,"$142,376","$142,376"
"Aug 23, 2022",$0.8315,$0.8574,$0.8114,$0.8122,"$135,965","$135,965"
"Aug 22, 2022",$0.7983,$0.8969,$0.7901,$0.8312,"$285,429","$285,429"
"Aug 21, 2022",$0.7771,$0.8066,$0.7681,$0.7983,"$94,938","$94,938"
"Aug 20, 2022",$0.7914,$0.8188,$0.7589,$0.7776,"$123,540","$123,540"
"Aug 19, 2022",$0.8888,$0.8895,$0.7748,$0.7921,"$183,237","$183,237"
"Aug 18, 2022",$0.8838,$0.9032,$0.8758,$0.8888,"$83,665","$83,665"
"Aug 17, 2022",$0.9006,$0.9472,$0.8713,$0.8838,"$368,488","$368,488"
"Aug 16, 2022",$0.9115,$0.9838,$0.9004,$0.9005,"$310,604","$310,604"
"Aug 15, 2022",$0.9028,$0.9291,$0.9016,$0.9114,"$154,821","$154,821"
"Aug 14, 2022",$0.9319,$0.9509,$0.9026,$0.9026,"$191,960","$191,960"
"Aug 13, 2022",$0.9502,$0.9792,$0.9303,$0.9319,"$199,555","$199,555"
"Aug 12, 2022",$0.9122,$0.997,$0.9121,$0.9501,"$492,669","$492,669"
"Aug 11, 2022",$0.9037,$1.08,$0.8916,$0.912,"$758,542","$758,542"
"Aug 10, 2022",$0.9111,$0.92,$0.8811,$0.903,"$169,393","$169,393"
"Aug 09, 2022",$1.00,$1.09,$0.8728,$0.9202,"$1,006,541","$1,006,541"
"Aug 08, 2022",$0.9007,$1.18,$0.8834,$1.02,"$989,247","$989,247"
"Aug 07, 2022",$0.8965,$0.9165,$0.8883,$0.9011,"$103,209","$103,209"
"Aug 06, 2022",$0.91,$0.9182,$0.8887,$0.8964,"$111,669","$111,669"
"Aug 05, 2022",$0.9029,$0.9136,$0.8907,$0.91,"$102,480","$102,480"
"Aug 04, 2022",$0.8919,$0.9703,$0.8575,$0.9029,"$407,223","$407,223"
"Aug 03, 2022",$0.9086,$0.9264,$0.8811,$0.8922,"$145,224","$145,224"
"Aug 02, 2022",$0.8804,$0.9186,$0.8515,$0.909,"$333,757","$333,757"
"Aug 01, 2022",$0.9997,$1.01,$0.842,$0.8804,"$642,412","$642,412"
"Jul 31, 2022",$0.9294,$1.10,$0.9107,$0.9812,"$1,727,467","$1,727,467"
"Jul 30, 2022",$0.8894,$1.06,$0.8742,$0.9204,"$889,986","$889,986"
"Jul 29, 2022",$0.8834,$0.8981,$0.8606,$0.8897,"$171,503","$171,503"
