Day,Open,High,Low,Close,Volume,Market Cap
"Sep 25, 2022",$0.1012,$0.1043,$0.1012,$0.1026,"$5,159","$5,159"
"Sep 24, 2022",$0.1012,$0.1042,$0.1007,$0.1013,"$4,059","$4,059"
"Sep 23, 2022",$0.1008,$0.1076,$0.1006,$0.1012,"$40,945","$40,945"
"Sep 22, 2022",$0.09963,$0.1034,$0.09963,$0.1008,"$37,007","$37,007"
"Sep 21, 2022",$0.1003,$0.1008,$0.09963,$0.09963,"$4,561","$4,561"
"Sep 20, 2022",$0.1013,$0.1029,$0.09942,$0.1003,"$133,989","$133,989"
"Sep 19, 2022",$0.1027,$0.1035,$0.1003,$0.1013,"$55,581","$55,581"
"Sep 18, 2022",$0.09972,$0.1118,$0.09971,$0.1027,"$322,072","$322,072"
"Sep 17, 2022",$0.1106,$0.1106,$0.09794,$0.09972,"$270,128","$270,128"
"Sep 16, 2022",$0.09398,$0.1122,$0.09372,$0.1106,"$69,332","$69,332"
"Sep 15, 2022",$0.08901,$0.0948,$0.089,$0.09398,"$6,031","$6,031"
"Sep 14, 2022",$0.08845,$0.09041,$0.08794,$0.08901,"$1,316","$1,316"
"Sep 13, 2022",$0.08607,$0.09305,$0.08582,$0.08859,"$3,273","$3,273"
"Sep 12, 2022",$0.08525,$0.08824,$0.08524,$0.08607,"$3,548","$3,548"
"Sep 11, 2022",$0.08569,$0.08706,$0.08493,$0.08525,"$5,044","$5,044"
"Sep 10, 2022",$0.08571,$0.08655,$0.08477,$0.08569,"$1,418","$1,418"
"Sep 09, 2022",$0.08447,$0.08661,$0.08447,$0.08571,"$3,147","$3,147"
"Sep 08, 2022",$0.08878,$0.0888,$0.08311,$0.08447,"$1,444","$1,444"
"Sep 07, 2022",$0.08571,$0.08879,$0.08571,$0.08878,"$2,112","$2,112"
"Sep 06, 2022",$0.08779,$0.08801,$0.08325,$0.08572,"$5,280","$5,280"
"Sep 05, 2022",$0.08939,$0.0894,$0.08399,$0.08779,"$2,246","$2,246"
"Sep 04, 2022",$0.09308,$0.09309,$0.08696,$0.08939,"$2,001","$2,001"
"Sep 03, 2022",$0.08963,$0.0963,$0.08962,$0.09309,"$4,627","$4,627"
"Sep 02, 2022",$0.1048,$0.1048,$0.08959,$0.08963,"$5,037","$5,037"
"Sep 01, 2022",$0.107,$0.1184,$0.1038,$0.1048,"$22,305","$22,305"
"Aug 31, 2022",$0.1268,$0.1503,$0.09909,$0.107,"$162,865","$162,865"
"Aug 30, 2022",$0.1203,$0.1402,$0.12,$0.1268,"$21,000","$21,000"
"Aug 29, 2022",$0.1132,$0.1279,$0.1132,$0.1203,"$14,982","$14,982"
"Aug 28, 2022",$0.1161,$0.1174,$0.1114,$0.1132,"$5,617","$5,617"
"Aug 27, 2022",$0.1054,$0.1205,$0.1054,$0.1161,"$38,476","$38,476"
"Aug 26, 2022",$0.107,$0.1096,$0.1023,$0.1054,"$8,901","$8,901"
"Aug 25, 2022",$0.09983,$0.1071,$0.09983,$0.107,"$11,302","$11,302"
"Aug 24, 2022",$0.0985,$0.1104,$0.09644,$0.09982,"$12,972","$12,972"
"Aug 23, 2022",$0.09854,$0.1016,$0.09737,$0.0985,"$4,004","$4,004"
"Aug 22, 2022",$0.0961,$0.1025,$0.09608,$0.09854,"$3,270","$3,270"
"Aug 21, 2022",$0.1019,$0.1019,$0.09422,$0.0961,"$4,332","$4,332"
"Aug 20, 2022",$0.09146,$0.1085,$0.09146,$0.1019,"$11,479","$11,479"
"Aug 19, 2022",$0.09615,$0.09871,$0.09009,$0.09147,"$11,361","$11,361"
"Aug 18, 2022",$0.08665,$0.1087,$0.08665,$0.09615,"$8,215","$8,215"
"Aug 17, 2022",$0.08644,$0.08752,$0.08217,$0.08665,"$2,787","$2,787"
"Aug 16, 2022",$0.08792,$0.08895,$0.0854,$0.08644,"$6,899","$6,899"
"Aug 15, 2022",$0.08571,$0.09041,$0.08481,$0.08792,"$16,485","$16,485"
"Aug 14, 2022",$0.09735,$0.09735,$0.08384,$0.08571,"$17,108","$17,108"
"Aug 13, 2022",$0.08472,$0.09736,$0.08471,$0.09735,"$2,747","$2,747"
"Aug 12, 2022",$0.09994,$0.09995,$0.08369,$0.08472,"$25,568","$25,568"
"Aug 11, 2022",$0.1063,$0.1063,$0.09102,$0.09994,"$31,706","$31,706"
"Aug 10, 2022",$0.1088,$0.1092,$0.1029,$0.1063,"$21,101","$21,101"
