Day,Open,High,Low,Close,Volume,Market Cap
"Sep 22, 2022",$0.03153,$0.03279,$0.03123,$0.03272,"$1,164,998","$1,164,998"
"Sep 21, 2022",$0.03231,$0.03259,$0.03072,$0.03154,"$1,888,960","$1,888,960"
"Sep 20, 2022",$0.03362,$0.03439,$0.03192,$0.03231,"$1,852,458","$1,852,458"
"Sep 19, 2022",$0.0341,$0.03571,$0.03267,$0.03363,"$3,628,592","$3,628,592"
"Sep 18, 2022",$0.03845,$0.03858,$0.03364,$0.0341,"$3,827,959","$3,827,959"
"Sep 17, 2022",$0.03312,$0.05036,$0.03304,$0.03839,"$31,973,095","$31,973,095"
"Sep 16, 2022",$0.03353,$0.03383,$0.03262,$0.03311,"$542,177","$542,177"
"Sep 15, 2022",$0.03432,$0.03459,$0.03344,$0.03352,"$1,047,210","$1,047,210"
"Sep 14, 2022",$0.03361,$0.03537,$0.03357,$0.03433,"$1,149,455","$1,149,455"
"Sep 13, 2022",$0.03562,$0.03599,$0.03357,$0.03375,"$784,503","$784,503"
"Sep 12, 2022",$0.03613,$0.03686,$0.03544,$0.03563,"$855,766","$855,766"
"Sep 11, 2022",$0.03626,$0.03985,$0.03584,$0.03615,"$3,321,922","$3,321,922"
"Sep 10, 2022",$0.03619,$0.03658,$0.03591,$0.03626,"$779,921","$779,921"
"Sep 09, 2022",$0.03478,$0.03623,$0.0347,$0.03619,"$679,773","$679,773"
"Sep 08, 2022",$0.03451,$0.0357,$0.0342,$0.03478,"$1,002,668","$1,002,668"
"Sep 07, 2022",$0.03379,$0.03463,$0.0329,$0.03452,"$499,247","$499,247"
"Sep 06, 2022",$0.03551,$0.03606,$0.03362,$0.03392,"$589,031","$589,031"
"Sep 05, 2022",$0.03566,$0.0357,$0.03503,$0.03551,"$420,878","$420,878"
"Sep 04, 2022",$0.03517,$0.03587,$0.035,$0.03566,"$481,665","$481,665"
"Sep 03, 2022",$0.03542,$0.0356,$0.03481,$0.03519,"$481,112","$481,112"
"Sep 02, 2022",$0.03536,$0.03678,$0.03525,$0.03542,"$1,743,263","$1,743,263"
"Sep 01, 2022",$0.03487,$0.0356,$0.03378,$0.03536,"$639,819","$639,819"
"Aug 31, 2022",$0.03531,$0.03624,$0.03486,$0.03487,"$736,167","$736,167"
"Aug 30, 2022",$0.03588,$0.03661,$0.03462,$0.0353,"$723,923","$723,923"
"Aug 29, 2022",$0.03515,$0.03764,$0.03507,$0.03587,"$1,894,150","$1,894,150"
"Aug 28, 2022",$0.03531,$0.03577,$0.03481,$0.03515,"$772,744","$772,744"
"Aug 27, 2022",$0.03511,$0.03532,$0.03414,$0.03531,"$970,617","$970,617"
"Aug 26, 2022",$0.03686,$0.03848,$0.03507,$0.03512,"$1,749,648","$1,749,648"
"Aug 25, 2022",$0.0373,$0.03764,$0.03654,$0.03687,"$794,861","$794,861"
"Aug 24, 2022",$0.03681,$0.0381,$0.03616,$0.0373,"$859,544","$859,544"
"Aug 23, 2022",$0.0369,$0.03694,$0.03536,$0.03681,"$829,104","$829,104"
"Aug 22, 2022",$0.03699,$0.03699,$0.03536,$0.03689,"$978,638","$978,638"
"Aug 21, 2022",$0.03616,$0.037,$0.0361,$0.03699,"$827,071","$827,071"
"Aug 20, 2022",$0.03485,$0.039,$0.03475,$0.03617,"$2,437,653","$2,437,653"
"Aug 19, 2022",$0.03955,$0.03955,$0.03486,$0.03486,"$1,015,535","$1,015,535"
"Aug 18, 2022",$0.04048,$0.04133,$0.03962,$0.03963,"$720,924","$720,924"
"Aug 17, 2022",$0.0423,$0.04322,$0.04043,$0.04047,"$818,293","$818,293"
"Aug 16, 2022",$0.04295,$0.04331,$0.04212,$0.0423,"$621,253","$621,253"
"Aug 15, 2022",$0.044,$0.04461,$0.04283,$0.04296,"$824,543","$824,543"
"Aug 14, 2022",$0.04552,$0.04564,$0.04345,$0.044,"$1,054,480","$1,054,480"
"Aug 13, 2022",$0.04583,$0.04609,$0.04522,$0.04552,"$697,917","$697,917"
"Aug 12, 2022",$0.04538,$0.04596,$0.04457,$0.04584,"$937,394","$937,394"
"Aug 11, 2022",$0.04582,$0.04619,$0.04527,$0.04539,"$815,003","$815,003"
