Day,Open,High,Low,Close,Volume,Market Cap
"Sep 26, 2022",$0.02658,$0.02974,$0.02642,$0.02971,"$439,255","$439,255"
"Sep 25, 2022",$0.02688,$0.02742,$0.02653,$0.02658,"$139,009","$139,009"
"Sep 24, 2022",$0.02706,$0.02707,$0.02677,$0.02689,"$111,850","$111,850"
"Sep 23, 2022",$0.02628,$0.02755,$0.02627,$0.02705,"$179,013","$179,013"
"Sep 22, 2022",$0.0256,$0.02657,$0.02543,$0.02626,"$148,621","$148,621"
"Sep 21, 2022",$0.02824,$0.02836,$0.0253,$0.0256,"$281,504","$281,504"
"Sep 20, 2022",$0.02922,$0.02936,$0.02803,$0.02822,"$125,588","$125,588"
"Sep 19, 2022",$0.03076,$0.03086,$0.02905,$0.02924,"$332,654","$332,654"
"Sep 18, 2022",$0.03639,$0.03643,$0.03074,$0.03074,"$579,464","$579,464"
"Sep 17, 2022",$0.0359,$0.0367,$0.0336,$0.03638,"$569,759","$569,759"
"Sep 16, 2022",$0.03681,$0.03698,$0.03563,$0.03591,"$152,726","$152,726"
"Sep 15, 2022",$0.03827,$0.03863,$0.03666,$0.03685,"$148,528","$148,528"
"Sep 14, 2022",$0.03801,$0.03839,$0.03747,$0.03828,"$161,673","$161,673"
"Sep 13, 2022",$0.03963,$0.03997,$0.03765,$0.03818,"$268,748","$268,748"
"Sep 12, 2022",$0.03975,$0.04019,$0.03926,$0.03962,"$506,658","$506,658"
"Sep 11, 2022",$0.04024,$0.04026,$0.03937,$0.03978,"$446,089","$446,089"
"Sep 10, 2022",$0.04016,$0.04039,$0.03952,$0.04023,"$441,429","$441,429"
"Sep 09, 2022",$0.03977,$0.04172,$0.03976,$0.04017,"$680,826","$680,826"
"Sep 08, 2022",$0.04113,$0.04118,$0.03974,$0.03976,"$601,962","$601,962"
"Sep 07, 2022",$0.03449,$0.04264,$0.0334,$0.04112,"$999,578","$999,578"
"Sep 06, 2022",$0.03666,$0.03789,$0.03439,$0.03448,"$227,707","$227,707"
"Sep 05, 2022",$0.03767,$0.03782,$0.03648,$0.03669,"$200,708","$200,708"
"Sep 04, 2022",$0.03672,$0.03766,$0.03622,$0.03766,"$268,355","$268,355"
