Day,Open,High,Low,Close,Volume,Market Cap
"Sep 19, 2022",$0.04305,$0.04363,$0.04106,$0.04351,"$2,114,975","$2,114,975"
"Sep 18, 2022",$0.04599,$0.04634,$0.04264,$0.04305,"$2,963,088","$2,963,088"
"Sep 17, 2022",$0.04372,$0.04702,$0.04358,$0.04599,"$4,203,368","$4,203,368"
"Sep 16, 2022",$0.04407,$0.0446,$0.04303,$0.04371,"$1,607,777","$1,607,777"
"Sep 15, 2022",$0.04619,$0.04627,$0.04388,$0.04415,"$2,118,651","$2,118,651"
"Sep 14, 2022",$0.04524,$0.04777,$0.04495,$0.04619,"$2,598,488","$2,598,488"
"Sep 13, 2022",$0.04896,$0.04964,$0.04505,$0.04534,"$1,569,438","$1,569,438"
"Sep 12, 2022",$0.0491,$0.05046,$0.04809,$0.04894,"$2,321,450","$2,321,450"
"Sep 11, 2022",$0.04795,$0.04985,$0.04703,$0.0491,"$2,687,166","$2,687,166"
"Sep 10, 2022",$0.0472,$0.04849,$0.04692,$0.04795,"$1,602,942","$1,602,942"
"Sep 09, 2022",$0.0463,$0.04776,$0.04627,$0.04733,"$3,089,788","$3,089,788"
"Sep 08, 2022",$0.04677,$0.04701,$0.04538,$0.0463,"$2,797,831","$2,797,831"
"Sep 07, 2022",$0.04344,$0.04869,$0.04302,$0.04686,"$6,559,726","$6,559,726"
"Sep 06, 2022",$0.04454,$0.04634,$0.04333,$0.04337,"$2,125,385","$2,125,385"
"Sep 05, 2022",$0.04446,$0.04476,$0.04334,$0.04454,"$1,408,053","$1,408,053"
"Sep 04, 2022",$0.04455,$0.04504,$0.04353,$0.04432,"$1,229,313","$1,229,313"
"Sep 03, 2022",$0.04367,$0.04595,$0.04344,$0.04469,"$1,769,250","$1,769,250"
"Sep 02, 2022",$0.04432,$0.04497,$0.04343,$0.04374,"$1,651,881","$1,651,881"
"Sep 01, 2022",$0.04442,$0.04508,$0.04267,$0.04432,"$1,829,738","$1,829,738"
"Aug 31, 2022",$0.04358,$0.04473,$0.04341,$0.04442,"$2,198,478","$2,198,478"
"Aug 30, 2022",$0.04432,$0.04535,$0.04265,$0.04348,"$1,876,596","$1,876,596"
"Aug 29, 2022",$0.04237,$0.04467,$0.04216,$0.04424,"$2,275,211","$2,275,211"
"Aug 28, 2022",$0.04366,$0.04887,$0.04228,$0.04234,"$7,740,115","$7,740,115"
"Aug 27, 2022",$0.04384,$0.0441,$0.04268,$0.04377,"$1,893,411","$1,893,411"
"Aug 26, 2022",$0.04701,$0.04701,$0.04366,$0.04385,"$2,197,402","$2,197,402"
"Aug 25, 2022",$0.04679,$0.04764,$0.04641,$0.04697,"$2,193,182","$2,193,182"
"Aug 24, 2022",$0.0469,$0.048,$0.04563,$0.04683,"$4,321,907","$4,321,907"
"Aug 23, 2022",$0.04603,$0.04693,$0.04498,$0.04689,"$2,136,588","$2,136,588"
"Aug 22, 2022",$0.04743,$0.04751,$0.04504,$0.04602,"$1,737,863","$1,737,863"
"Aug 21, 2022",$0.04589,$0.04861,$0.04568,$0.04743,"$2,291,213","$2,291,213"
"Aug 20, 2022",$0.04538,$0.05101,$0.04494,$0.04591,"$6,159,084","$6,159,084"
"Aug 19, 2022",$0.05011,$0.05011,$0.04479,$0.04555,"$2,115,008","$2,115,008"
"Aug 18, 2022",$0.0515,$0.05191,$0.05002,$0.05011,"$1,868,735","$1,868,735"
"Aug 17, 2022",$0.05401,$0.05506,$0.05114,$0.05147,"$2,962,018","$2,962,018"
