Day,Open,High,Low,Close,Volume,Market Cap
"Sep 18, 2022",$0.04334,$0.04355,$0.04076,$0.04112,"$1,145,838","$1,145,838"
"Sep 17, 2022",$0.04321,$0.04355,$0.04299,$0.04334,"$799,464","$799,464"
"Sep 16, 2022",$0.04258,$0.04392,$0.04237,$0.04321,"$2,920,311","$2,920,311"
"Sep 15, 2022",$0.0436,$0.04421,$0.04232,$0.04258,"$3,108,193","$3,108,193"
"Sep 14, 2022",$0.04318,$0.04445,$0.0429,$0.0436,"$1,472,312","$1,472,312"
"Sep 13, 2022",$0.04731,$0.04731,$0.0429,$0.04354,"$3,568,471","$3,568,471"
"Sep 12, 2022",$0.04652,$0.04868,$0.04602,$0.04731,"$9,404,912","$9,404,912"
"Sep 11, 2022",$0.04581,$0.04724,$0.04523,$0.04652,"$4,100,911","$4,100,911"
"Sep 10, 2022",$0.04594,$0.04622,$0.04473,$0.04588,"$2,090,759","$2,090,759"
"Sep 09, 2022",$0.04462,$0.04662,$0.04447,$0.04594,"$4,447,527","$4,447,527"
"Sep 08, 2022",$0.0434,$0.04521,$0.04293,$0.04469,"$2,852,500","$2,852,500"
"Sep 07, 2022",$0.04262,$0.04354,$0.04109,$0.04347,"$1,534,235","$1,534,235"
"Sep 06, 2022",$0.04464,$0.04507,$0.04268,$0.04275,"$1,791,652","$1,791,652"
"Sep 05, 2022",$0.04529,$0.04536,$0.04391,$0.04464,"$1,458,566","$1,458,566"
"Sep 04, 2022",$0.04537,$0.04549,$0.04493,$0.04536,"$814,261","$814,261"
"Sep 03, 2022",$0.04539,$0.04564,$0.04502,$0.04543,"$677,498","$677,498"
"Sep 02, 2022",$0.04569,$0.04595,$0.04511,$0.04539,"$1,264,213","$1,264,213"
"Sep 01, 2022",$0.04678,$0.04708,$0.04458,$0.04577,"$2,273,170","$2,273,170"
"Aug 31, 2022",$0.04711,$0.04755,$0.04645,$0.04671,"$4,238,833","$4,238,833"
"Aug 30, 2022",$0.04896,$0.04963,$0.0465,$0.04704,"$15,534,631","$15,534,631"
"Aug 29, 2022",$0.04477,$0.0551,$0.04468,$0.04889,"$102,968,204","$102,968,204"
"Aug 28, 2022",$0.04625,$0.0467,$0.04477,$0.04477,"$1,564,062","$1,564,062"
"Aug 27, 2022",$0.04581,$0.05033,$0.04544,$0.04603,"$5,945,169","$5,945,169"
"Aug 26, 2022",$0.04856,$0.05148,$0.04566,$0.04588,"$9,937,990","$9,937,990"
"Aug 25, 2022",$0.04679,$0.05184,$0.04677,$0.04863,"$13,763,106","$13,763,106"
"Aug 24, 2022",$0.04696,$0.04765,$0.04621,$0.0468,"$1,526,494","$1,526,494"
"Aug 23, 2022",$0.0467,$0.04735,$0.04581,$0.04697,"$788,442","$788,442"
"Aug 22, 2022",$0.04765,$0.04899,$0.04538,$0.04655,"$1,929,664","$1,929,664"
"Aug 21, 2022",$0.04676,$0.04896,$0.04594,$0.04765,"$2,019,756","$2,019,756"
"Aug 20, 2022",$0.04603,$0.04758,$0.04594,$0.04676,"$1,157,729","$1,157,729"
"Aug 19, 2022",$0.05211,$0.05211,$0.04574,$0.04595,"$2,915,308","$2,915,308"
"Aug 18, 2022",$0.05249,$0.05331,$0.05197,$0.05204,"$1,126,396","$1,126,396"
"Aug 17, 2022",$0.05378,$0.05463,$0.05178,$0.05249,"$2,746,334","$2,746,334"
"Aug 16, 2022",$0.05591,$0.05591,$0.0536,$0.05378,"$2,968,534","$2,968,534"
"Aug 15, 2022",$0.05758,$0.05758,$0.05508,$0.05591,"$4,691,597","$4,691,597"
"Aug 14, 2022",$0.05666,$0.06004,$0.05658,$0.05766,"$25,673,450","$25,673,450"
"Aug 13, 2022",$0.05577,$0.05902,$0.05562,$0.05658,"$15,520,351","$15,520,351"
"Aug 12, 2022",$0.05497,$0.05613,$0.05429,$0.05562,"$6,245,246","$6,245,246"
"Aug 11, 2022",$0.05484,$0.06105,$0.05416,$0.05505,"$26,405,458","$26,405,458"
"Aug 10, 2022",$0.05319,$0.05485,$0.05166,$0.05484,"$10,118,995","$10,118,995"
"Aug 09, 2022",$0.05483,$0.05483,$0.05255,$0.05312,"$4,462,825","$4,462,825"
"Aug 08, 2022",$0.05528,$0.05787,$0.05328,$0.05491,"$16,523,684","$16,523,684"
"Aug 07, 2022",$0.05652,$0.06134,$0.05498,$0.05528,"$46,255,006","$46,255,006"
"Aug 06, 2022",$0.05218,$0.06648,$0.05218,$0.05705,"$161,934,857","$161,934,857"
"Aug 05, 2022",$0.05054,$0.05226,$0.05014,$0.05226,"$1,581,320","$1,581,320"
"Aug 04, 2022",$0.04989,$0.05187,$0.04967,$0.05062,"$2,045,480","$2,045,480"
"Aug 03, 2022",$0.05049,$0.05086,$0.04851,$0.04983,"$1,531,915","$1,531,915"
"Aug 02, 2022",$0.05276,$0.05793,$0.04909,$0.05057,"$8,356,070","$8,356,070"
"Aug 01, 2022",$0.0501,$0.05648,$0.04979,$0.05261,"$16,593,882","$16,593,882"
"Jul 31, 2022",$0.0483,$0.05354,$0.04816,$0.05018,"$8,806,851","$8,806,851"
"Jul 30, 2022",$0.04817,$0.04946,$0.04756,$0.0483,"$1,603,747","$1,603,747"
"Jul 29, 2022",$0.04831,$0.04874,$0.04696,$0.0481,"$2,005,365","$2,005,365"
"Jul 28, 2022",$0.04681,$0.04846,$0.04636,$0.0484,"$1,476,620","$1,476,620"
"Jul 27, 2022",$0.04553,$0.04713,$0.04482,$0.04674,"$1,247,544","$1,247,544"
"Jul 26, 2022",$0.04513,$0.04735,$0.04425,$0.04553,"$2,335,013","$2,335,013"
"Jul 25, 2022",$0.0479,$0.0479,$0.04513,$0.04513,"$1,065,956","$1,065,956"
"Jul 24, 2022",$0.04775,$0.04851,$0.04737,$0.0479,"$757,689","$757,689"
"Jul 23, 2022",$0.04781,$0.04829,$0.0466,$0.04761,"$959,537","$959,537"
"Jul 22, 2022",$0.04836,$0.04976,$0.04728,$0.04781,"$3,099,863","$3,099,863"
"Jul 21, 2022",$0.04693,$0.04836,$0.0457,$0.04836,"$1,637,180","$1,637,180"
"Jul 20, 2022",$0.04948,$0.051,$0.0467,$0.04685,"$4,239,276","$4,239,276"
"Jul 19, 2022",$0.04723,$0.04998,$0.04654,$0.04963,"$4,965,427","$4,965,427"
"Jul 18, 2022",$0.04578,$0.04732,$0.04532,$0.04723,"$3,622,298","$3,622,298"
"Jul 17, 2022",$0.04661,$0.04737,$0.04556,$0.04578,"$2,394,233","$2,394,233"
"Jul 16, 2022",$0.04652,$0.04692,$0.04526,$0.04661,"$2,395,281","$2,395,281"
