Day,Open,High,Low,Close,Volume,Market Cap
"Sep 21, 2022",$0.0225,$0.02285,$0.02155,$0.02184,"$1,078,721","$1,078,721"
"Sep 20, 2022",$0.0237,$0.02374,$0.02244,$0.0225,"$1,062,315","$1,062,315"
"Sep 19, 2022",$0.02346,$0.024,$0.02276,$0.02369,"$1,958,376","$1,958,376"
"Sep 18, 2022",$0.02592,$0.02692,$0.02325,$0.02346,"$3,180,092","$3,180,092"
"Sep 17, 2022",$0.02183,$0.02751,$0.02181,$0.02592,"$16,618,255","$16,618,255"
"Sep 16, 2022",$0.02271,$0.02285,$0.02147,$0.02182,"$1,701,785","$1,701,785"
"Sep 15, 2022",$0.02316,$0.02317,$0.02188,$0.02271,"$3,822,857","$3,822,857"
"Sep 14, 2022",$0.02647,$0.02745,$0.02246,$0.02316,"$4,858,817","$4,858,817"
"Sep 13, 2022",$0.02711,$0.03314,$0.02549,$0.02716,"$38,985,172","$38,985,172"
"Sep 12, 2022",$0.02238,$0.03053,$0.02201,$0.0271,"$24,715,580","$24,715,580"
"Sep 11, 2022",$0.02194,$0.02278,$0.0217,$0.02238,"$1,294,552","$1,294,552"
"Sep 10, 2022",$0.02175,$0.02219,$0.02167,$0.02194,"$782,789","$782,789"
"Sep 09, 2022",$0.0204,$0.02246,$0.02038,$0.02175,"$1,669,815","$1,669,815"
"Sep 08, 2022",$0.01958,$0.0206,$0.01945,$0.0204,"$1,391,263","$1,391,263"
"Sep 07, 2022",$0.019,$0.01964,$0.0186,$0.01958,"$1,031,391","$1,031,391"
"Sep 06, 2022",$0.02033,$0.02054,$0.019,$0.01901,"$943,028","$943,028"
"Sep 05, 2022",$0.02058,$0.02062,$0.02016,$0.02033,"$726,124","$726,124"
"Sep 04, 2022",$0.02041,$0.02062,$0.02033,$0.02058,"$1,028,309","$1,028,309"
"Sep 03, 2022",$0.02027,$0.02044,$0.02015,$0.02041,"$690,012","$690,012"
"Sep 02, 2022",$0.02018,$0.0207,$0.02004,$0.02027,"$850,335","$850,335"
"Sep 01, 2022",$0.02044,$0.02052,$0.01972,$0.02018,"$661,775","$661,775"
"Aug 31, 2022",$0.01992,$0.02061,$0.01992,$0.02044,"$719,954","$719,954"
"Aug 30, 2022",$0.02045,$0.02087,$0.01973,$0.01991,"$905,965","$905,965"
"Aug 29, 2022",$0.01993,$0.02063,$0.01971,$0.02045,"$674,153","$674,153"
"Aug 28, 2022",$0.02046,$0.02081,$0.01993,$0.01993,"$980,519","$980,519"
"Aug 27, 2022",$0.02071,$0.02075,$0.02032,$0.02046,"$1,078,745","$1,078,745"
"Aug 26, 2022",$0.02168,$0.02191,$0.02056,$0.02071,"$1,480,365","$1,480,365"
"Aug 25, 2022",$0.02129,$0.02209,$0.02124,$0.02168,"$1,234,111","$1,234,111"
"Aug 24, 2022",$0.02089,$0.02309,$0.02055,$0.02127,"$4,481,212","$4,481,212"
"Aug 23, 2022",$0.02039,$0.0209,$0.02011,$0.02089,"$774,849","$774,849"
"Aug 22, 2022",$0.02095,$0.02096,$0.01953,$0.02038,"$873,673","$873,673"
"Aug 21, 2022",$0.01983,$0.02098,$0.01983,$0.02095,"$949,566","$949,566"
"Aug 20, 2022",$0.01991,$0.02089,$0.01955,$0.01984,"$1,246,134","$1,246,134"
"Aug 19, 2022",$0.02275,$0.02277,$0.01992,$0.01992,"$1,729,754","$1,729,754"
"Aug 18, 2022",$0.02447,$0.02524,$0.02275,$0.02275,"$2,398,751","$2,398,751"
"Aug 17, 2022",$0.02459,$0.02526,$0.02317,$0.02447,"$2,244,500","$2,244,500"
"Aug 16, 2022",$0.02406,$0.02496,$0.0238,$0.02458,"$3,549,040","$3,549,040"
"Aug 15, 2022",$0.0244,$0.0251,$0.02379,$0.02407,"$1,382,314","$1,382,314"
"Aug 14, 2022",$0.02558,$0.02588,$0.0243,$0.02439,"$1,626,831","$1,626,831"
"Aug 13, 2022",$0.02587,$0.02593,$0.02555,$0.02557,"$1,172,331","$1,172,331"
"Aug 12, 2022",$0.02603,$0.02609,$0.02538,$0.02587,"$1,254,726","$1,254,726"
"Aug 11, 2022",$0.02655,$0.0269,$0.0258,$0.02603,"$1,747,001","$1,747,001"
"Aug 10, 2022",$0.02554,$0.02668,$0.02487,$0.02654,"$2,125,435","$2,125,435"
"Aug 09, 2022",$0.02588,$0.02601,$0.02478,$0.02554,"$1,401,382","$1,401,382"
"Aug 08, 2022",$0.02614,$0.02633,$0.02581,$0.02587,"$1,537,656","$1,537,656"
"Aug 07, 2022",$0.02576,$0.02624,$0.02532,$0.02613,"$1,530,006","$1,530,006"
"Aug 06, 2022",$0.02633,$0.02639,$0.02575,$0.02576,"$2,687,664","$2,687,664"
"Aug 05, 2022",$0.02618,$0.02676,$0.02603,$0.02633,"$1,566,548","$1,566,548"
"Aug 04, 2022",$0.0271,$0.02734,$0.02591,$0.02618,"$2,102,963","$2,102,963"
"Aug 03, 2022",$0.02615,$0.02779,$0.02556,$0.0271,"$2,001,172","$2,001,172"
"Aug 02, 2022",$0.02696,$0.02712,$0.02522,$0.02615,"$1,637,859","$1,637,859"
"Aug 01, 2022",$0.02769,$0.02816,$0.02652,$0.02697,"$1,619,116","$1,619,116"
"Jul 31, 2022",$0.02697,$0.02908,$0.02697,$0.02767,"$3,254,450","$3,254,450"
"Jul 30, 2022",$0.02655,$0.02846,$0.02642,$0.02697,"$7,440,963","$7,440,963"
"Jul 29, 2022",$0.0236,$0.02677,$0.02352,$0.02657,"$5,769,196","$5,769,196"
"Jul 28, 2022",$0.0226,$0.02421,$0.0225,$0.0236,"$1,314,303","$1,314,303"
"Jul 27, 2022",$0.0212,$0.0226,$0.02105,$0.0226,"$1,019,356","$1,019,356"
"Jul 26, 2022",$0.02156,$0.02156,$0.02068,$0.0212,"$716,710","$716,710"
"Jul 25, 2022",$0.02291,$0.02299,$0.02154,$0.02163,"$1,056,965","$1,056,965"
"Jul 24, 2022",$0.02376,$0.02424,$0.0229,$0.02292,"$1,764,489","$1,764,489"
"Jul 23, 2022",$0.0221,$0.02434,$0.02203,$0.02377,"$3,790,843","$3,790,843"
"Jul 22, 2022",$0.02336,$0.02374,$0.0221,$0.0221,"$1,257,202","$1,257,202"
"Jul 21, 2022",$0.02142,$0.02356,$0.0209,$0.02337,"$2,853,517","$2,853,517"
"Jul 20, 2022",$0.0233,$0.02332,$0.02127,$0.02142,"$1,370,494","$1,370,494"
"Jul 19, 2022",$0.02324,$0.02357,$0.02244,$0.02331,"$1,544,948","$1,544,948"
