Day,Open,High,Low,Close,Volume,Market Cap
"Sep 09, 2022",$0.06097,$0.06462,$0.06093,$0.06402,"$487,988,732","$487,988,732"
"Sep 08, 2022",$0.06109,$0.06129,$0.05992,$0.06098,"$268,099,702","$268,099,702"
"Sep 07, 2022",$0.05896,$0.06145,$0.05794,$0.0611,"$324,781,387","$324,781,387"
"Sep 06, 2022",$0.06275,$0.06464,$0.05865,$0.05898,"$471,485,708","$471,485,708"
"Sep 05, 2022",$0.06323,$0.06364,$0.0613,$0.06274,"$231,918,999","$231,918,999"
"Sep 04, 2022",$0.0627,$0.06371,$0.06207,$0.06323,"$250,044,436","$250,044,436"
"Sep 03, 2022",$0.06163,$0.0636,$0.06134,$0.06269,"$297,123,402","$297,123,402"
"Sep 02, 2022",$0.06237,$0.06271,$0.06095,$0.06163,"$273,453,013","$273,453,013"
"Sep 01, 2022",$0.06134,$0.06248,$0.06019,$0.06237,"$328,765,413","$328,765,413"
"Aug 31, 2022",$0.06153,$0.06333,$0.06106,$0.06133,"$309,748,693","$309,748,693"
"Aug 30, 2022",$0.0639,$0.06441,$0.06055,$0.06153,"$328,934,727","$328,934,727"
"Aug 29, 2022",$0.06175,$0.06398,$0.06125,$0.06389,"$315,005,254","$315,005,254"
"Aug 28, 2022",$0.06356,$0.06427,$0.06179,$0.06179,"$295,086,067","$295,086,067"
"Aug 27, 2022",$0.06357,$0.06407,$0.06261,$0.06359,"$380,887,727","$380,887,727"
"Aug 26, 2022",$0.06908,$0.0693,$0.06325,$0.06357,"$620,512,451","$620,512,451"
"Aug 25, 2022",$0.06799,$0.07158,$0.06796,$0.06909,"$469,798,193","$469,798,193"
"Aug 24, 2022",$0.06877,$0.06941,$0.0673,$0.06799,"$345,474,347","$345,474,347"
"Aug 23, 2022",$0.06839,$0.06917,$0.06721,$0.06877,"$335,476,543","$335,476,543"
"Aug 22, 2022",$0.06944,$0.06949,$0.06561,$0.06839,"$453,413,439","$453,413,439"
"Aug 21, 2022",$0.06953,$0.07065,$0.06785,$0.06945,"$421,455,865","$421,455,865"
"Aug 20, 2022",$0.0679,$0.07096,$0.0679,$0.06954,"$537,299,425","$537,299,425"
"Aug 19, 2022",$0.07504,$0.07518,$0.06754,$0.06794,"$965,543,533","$965,543,533"
"Aug 18, 2022",$0.08017,$0.08209,$0.07499,$0.07508,"$621,394,159","$621,394,159"
"Aug 17, 2022",$0.08693,$0.08811,$0.07993,$0.08015,"$996,272,861","$996,272,861"
"Aug 16, 2022",$0.0767,$0.08864,$0.07639,$0.08696,"$1,947,377,918","$1,947,377,918"
"Aug 15, 2022",$0.0817,$0.08182,$0.07515,$0.07672,"$855,017,472","$855,017,472"
"Aug 14, 2022",$0.07286,$0.08401,$0.07275,$0.08169,"$1,530,403,447","$1,530,403,447"
"Aug 13, 2022",$0.07234,$0.07486,$0.07195,$0.07284,"$446,287,445","$446,287,445"
"Aug 12, 2022",$0.07093,$0.07248,$0.07003,$0.07235,"$320,410,367","$320,410,367"
"Aug 11, 2022",$0.07121,$0.07465,$0.07073,$0.07093,"$563,908,591","$563,908,591"
"Aug 10, 2022",$0.06912,$0.07131,$0.06739,$0.0712,"$431,172,729","$431,172,729"
"Aug 09, 2022",$0.07006,$0.07389,$0.06846,$0.06913,"$611,327,142","$611,327,142"
"Aug 08, 2022",$0.06895,$0.07206,$0.06892,$0.07005,"$399,183,407","$399,183,407"
"Aug 07, 2022",$0.06867,$0.0699,$0.06775,$0.06894,"$204,862,521","$204,862,521"
"Aug 06, 2022",$0.06977,$0.071,$0.06859,$0.06867,"$277,979,112","$277,979,112"
"Aug 05, 2022",$0.06733,$0.07012,$0.06726,$0.06976,"$336,216,727","$336,216,727"
"Aug 04, 2022",$0.0662,$0.0675,$0.06601,$0.06736,"$256,457,805","$256,457,805"
"Aug 03, 2022",$0.06669,$0.06832,$0.06552,$0.0662,"$286,819,387","$286,819,387"
"Aug 02, 2022",$0.06871,$0.0689,$0.06581,$0.06669,"$336,642,237","$336,642,237"
"Aug 01, 2022",$0.06827,$0.07072,$0.06719,$0.06873,"$444,088,167","$444,088,167"
"Jul 31, 2022",$0.06964,$0.07203,$0.06805,$0.06827,"$521,194,035","$521,194,035"
"Jul 30, 2022",$0.06891,$0.07391,$0.06819,$0.06964,"$760,571,682","$760,571,682"
"Jul 29, 2022",$0.0691,$0.072,$0.06755,$0.06891,"$696,887,711","$696,887,711"
"Jul 28, 2022",$0.06703,$0.07058,$0.06559,$0.06911,"$650,983,024","$650,983,024"
"Jul 27, 2022",$0.06251,$0.06702,$0.06189,$0.06702,"$499,204,589","$499,204,589"
"Jul 26, 2022",$0.06232,$0.06251,$0.06042,$0.06251,"$416,488,015","$416,488,015"
"Jul 25, 2022",$0.06772,$0.06788,$0.06231,$0.06231,"$448,572,441","$448,572,441"
"Jul 24, 2022",$0.06812,$0.06885,$0.06759,$0.06772,"$369,141,492","$369,141,492"
"Jul 23, 2022",$0.06753,$0.06933,$0.06628,$0.06812,"$427,922,351","$427,922,351"
"Jul 22, 2022",$0.06997,$0.07127,$0.067,$0.06756,"$479,456,105","$479,456,105"
"Jul 21, 2022",$0.07012,$0.07073,$0.06724,$0.06996,"$492,434,239","$492,434,239"
"Jul 20, 2022",$0.06902,$0.07657,$0.06793,$0.07012,"$1,019,375,521","$1,019,375,521"
"Jul 19, 2022",$0.06769,$0.0699,$0.06575,$0.06901,"$552,211,168","$552,211,168"
"Jul 18, 2022",$0.06311,$0.06867,$0.06311,$0.06772,"$564,795,959","$564,795,959"
"Jul 17, 2022",$0.06429,$0.06539,$0.0631,$0.06311,"$249,697,026","$249,697,026"
"Jul 16, 2022",$0.06304,$0.06472,$0.06187,$0.06428,"$279,644,299","$279,644,299"
"Jul 15, 2022",$0.0624,$0.06426,$0.06175,$0.06304,"$374,357,844","$374,357,844"
"Jul 14, 2022",$0.06193,$0.06263,$0.05974,$0.06239,"$348,090,510","$348,090,510"
"Jul 13, 2022",$0.06009,$0.06201,$0.0584,$0.06195,"$446,505,400","$446,505,400"
"Jul 12, 2022",$0.06185,$0.06286,$0.06009,$0.06009,"$298,462,083","$298,462,083"
"Jul 11, 2022",$0.06727,$0.06727,$0.06153,$0.06185,"$326,125,900","$326,125,900"
"Jul 10, 2022",$0.06951,$0.06951,$0.06653,$0.06726,"$299,810,124","$299,810,124"
"Jul 09, 2022",$0.06922,$0.07001,$0.069,$0.06951,"$254,272,147","$254,272,147"
"Jul 08, 2022",$0.07062,$0.07301,$0.06854,$0.06926,"$444,369,733","$444,369,733"
"Jul 07, 2022",$0.06858,$0.07112,$0.06805,$0.07062,"$402,591,742","$402,591,742"
"Jul 06, 2022",$0.06717,$0.06906,$0.06645,$0.06858,"$398,926,503","$398,926,503"
"Jul 05, 2022",$0.06943,$0.06984,$0.0657,$0.06715,"$403,220,687","$403,220,687"
"Jul 04, 2022",$0.06717,$0.0696,$0.06593,$0.06947,"$379,581,122","$379,581,122"
"Jul 03, 2022",$0.0667,$0.06736,$0.06511,$0.06718,"$280,878,240","$280,878,240"
"Jul 02, 2022",$0.06621,$0.06769,$0.06593,$0.0667,"$352,589,827","$352,589,827"
"Jul 01, 2022",$0.06621,$0.06786,$0.06422,$0.06617,"$472,441,458","$472,441,458"
"Jun 30, 2022",$0.06948,$0.06951,$0.06275,$0.06609,"$566,648,029","$566,648,029"
"Jun 29, 2022",$0.066,$0.07134,$0.06463,$0.06947,"$592,828,738","$592,828,738"
"Jun 28, 2022",$0.07222,$0.07295,$0.06572,$0.06596,"$534,793,983","$534,793,983"
"Jun 27, 2022",$0.07315,$0.07839,$0.07102,$0.07224,"$962,250,061","$962,250,061"
"Jun 26, 2022",$0.06849,$0.07697,$0.0675,$0.07318,"$883,689,355","$883,689,355"
"Jun 25, 2022",$0.06711,$0.06911,$0.06538,$0.0685,"$432,671,864","$432,671,864"
"Jun 24, 2022",$0.06402,$0.06816,$0.064,$0.06712,"$514,729,444","$514,729,444"
"Jun 23, 2022",$0.0617,$0.06462,$0.0617,$0.06403,"$434,169,751","$434,169,751"
"Jun 22, 2022",$0.06561,$0.06575,$0.06139,$0.06171,"$633,619,298","$633,619,298"
"Jun 21, 2022",$0.06017,$0.06932,$0.05932,$0.06557,"$1,051,899,538","$1,051,899,538"
"Jun 20, 2022",$0.0604,$0.06116,$0.05771,$0.06018,"$499,018,791","$499,018,791"
"Jun 19, 2022",$0.05301,$0.06247,$0.05131,$0.0604,"$1,166,163,984","$1,166,163,984"
"Jun 18, 2022",$0.05698,$0.05775,$0.04972,$0.05301,"$652,345,943","$652,345,943"
"Jun 17, 2022",$0.05505,$0.05791,$0.0549,$0.05699,"$383,830,484","$383,830,484"
"Jun 16, 2022",$0.06298,$0.06298,$0.05451,$0.05503,"$724,479,688","$724,479,688"
"Jun 15, 2022",$0.05558,$0.06347,$0.05067,$0.063,"$1,122,284,662","$1,122,284,662"
"Jun 14, 2022",$0.05394,$0.05815,$0.05027,$0.05559,"$908,921,329","$908,921,329"
"Jun 13, 2022",$0.06428,$0.0657,$0.053,$0.05392,"$1,465,281,537","$1,465,281,537"
"Jun 12, 2022",$0.06992,$0.07035,$0.06386,$0.06434,"$708,156,957","$708,156,957"
"Jun 11, 2022",$0.07547,$0.0764,$0.0686,$0.0699,"$497,184,012","$497,184,012"
"Jun 10, 2022",$0.07934,$0.07952,$0.0748,$0.07545,"$431,520,761","$431,520,761"
"Jun 09, 2022",$0.07944,$0.0809,$0.07908,$0.07934,"$274,673,852","$274,673,852"
"Jun 08, 2022",$0.08049,$0.08142,$0.07916,$0.07944,"$328,046,389","$328,046,389"
"Jun 07, 2022",$0.08253,$0.08253,$0.07833,$0.08051,"$509,642,725","$509,642,725"
"Jun 06, 2022",$0.08123,$0.08456,$0.08113,$0.08253,"$503,707,292","$503,707,292"
"Jun 05, 2022",$0.08178,$0.08214,$0.08084,$0.08123,"$282,624,184","$282,624,184"
"Jun 04, 2022",$0.08045,$0.08234,$0.07973,$0.08178,"$350,329,772","$350,329,772"
"Jun 03, 2022",$0.08278,$0.08286,$0.07976,$0.08044,"$403,339,248","$403,339,248"
"Jun 02, 2022",$0.08105,$0.08301,$0.08042,$0.08277,"$434,510,607","$434,510,607"
"Jun 01, 2022",$0.08586,$0.08865,$0.07981,$0.08106,"$830,748,610","$830,748,610"
"May 31, 2022",$0.08787,$0.08823,$0.08361,$0.08586,"$672,444,588","$672,444,588"
"May 30, 2022",$0.08268,$0.08827,$0.08227,$0.08787,"$690,696,756","$690,696,756"
"May 29, 2022",$0.08184,$0.08303,$0.0803,$0.08269,"$394,962,471","$394,962,471"
"May 28, 2022",$0.08225,$0.08305,$0.08115,$0.08184,"$535,539,620","$535,539,620"
"May 27, 2022",$0.07821,$0.08538,$0.07658,$0.08133,"$1,310,057,650","$1,310,057,650"
"May 26, 2022",$0.08299,$0.0836,$0.07607,$0.07825,"$711,890,873","$711,890,873"
"May 25, 2022",$0.08363,$0.08434,$0.08232,$0.08299,"$419,834,752","$419,834,752"
"May 24, 2022",$0.08327,$0.08432,$0.08081,$0.08364,"$462,415,724","$462,415,724"
"May 23, 2022",$0.08608,$0.08811,$0.08286,$0.08325,"$507,385,171","$507,385,171"
"May 22, 2022",$0.08445,$0.08648,$0.08406,$0.08611,"$375,026,021","$375,026,021"
"May 21, 2022",$0.08397,$0.08511,$0.08293,$0.08446,"$335,246,011","$335,246,011"
"May 20, 2022",$0.08672,$0.08775,$0.08286,$0.08398,"$518,556,378","$518,556,378"
"May 19, 2022",$0.08363,$0.08712,$0.08209,$0.08672,"$613,801,947","$613,801,947"
"May 18, 2022",$0.09022,$0.0908,$0.08365,$0.08365,"$558,257,804","$558,257,804"
"May 17, 2022",$0.08784,$0.09111,$0.08748,$0.09021,"$560,800,173","$560,800,173"
"May 16, 2022",$0.09287,$0.09306,$0.08643,$0.08784,"$606,521,740","$606,521,740"
"May 15, 2022",$0.08978,$0.09284,$0.08688,$0.09284,"$651,900,826","$651,900,826"
"May 14, 2022",$0.08834,$0.0916,$0.08448,$0.0898,"$902,479,951","$902,479,951"
"May 13, 2022",$0.08264,$0.09425,$0.08237,$0.08833,"$1,444,350,618","$1,444,350,618"
"May 12, 2022",$0.08464,$0.08903,$0.07004,$0.08267,"$2,631,064,083","$2,631,064,083"
"May 11, 2022",$0.1084,$0.1106,$0.08004,$0.08458,"$2,556,008,051","$2,556,008,051"
"May 10, 2022",$0.1047,$0.1178,$0.1009,$0.1085,"$1,723,066,438","$1,723,066,438"
"May 09, 2022",$0.1242,$0.1251,$0.1048,$0.1048,"$1,353,326,367","$1,353,326,367"
"May 08, 2022",$0.1275,$0.128,$0.124,$0.1242,"$728,953,161","$728,953,161"
"May 07, 2022",$0.1279,$0.1319,$0.1254,$0.1275,"$746,383,231","$746,383,231"
"May 06, 2022",$0.1284,$0.1293,$0.1246,$0.1279,"$839,005,988","$839,005,988"
"May 05, 2022",$0.1358,$0.1373,$0.1267,$0.1284,"$1,258,066,467","$1,258,066,467"
"May 04, 2022",$0.1295,$0.1358,$0.1293,$0.1358,"$838,050,627","$838,050,627"
"May 03, 2022",$0.1309,$0.1318,$0.1274,$0.1295,"$555,706,527","$555,706,527"
"May 02, 2022",$0.1328,$0.1338,$0.1283,$0.1309,"$769,062,732","$769,062,732"
