Day,Open,High,Low,Close,Volume,Market Cap
"Sep 22, 2022",$2.64,$2.75,$2.61,$2.74,"$4,276,158","$4,276,158"
"Sep 21, 2022",$2.72,$2.87,$2.58,$2.64,"$5,191,398","$5,191,398"
"Sep 20, 2022",$2.85,$2.97,$2.71,$2.72,"$5,479,888","$5,479,888"
"Sep 19, 2022",$3.01,$3.05,$2.77,$2.85,"$7,091,298","$7,091,298"
"Sep 18, 2022",$2.79,$3.32,$2.67,$3.01,"$7,194,250","$7,194,250"
"Sep 17, 2022",$2.72,$2.82,$2.70,$2.79,"$2,510,785","$2,510,785"
"Sep 16, 2022",$2.75,$2.76,$2.64,$2.72,"$3,493,577","$3,493,577"
"Sep 15, 2022",$3.07,$3.07,$2.74,$2.75,"$5,262,688","$5,262,688"
"Sep 14, 2022",$2.82,$3.08,$2.80,$3.07,"$4,853,144","$4,853,144"
"Sep 13, 2022",$3.03,$3.05,$2.80,$2.84,"$5,218,755","$5,218,755"
"Sep 12, 2022",$2.85,$3.15,$2.82,$3.04,"$5,523,510","$5,523,510"
"Sep 11, 2022",$2.91,$3.03,$2.82,$2.85,"$3,378,075","$3,378,075"
"Sep 10, 2022",$2.88,$2.95,$2.80,$2.91,"$3,811,722","$3,811,722"
"Sep 09, 2022",$2.88,$2.99,$2.83,$2.87,"$4,058,824","$4,058,824"
"Sep 08, 2022",$2.71,$2.98,$2.66,$2.88,"$4,161,171","$4,161,171"
"Sep 07, 2022",$2.53,$2.73,$2.48,$2.71,"$3,459,571","$3,459,571"
"Sep 06, 2022",$2.82,$2.88,$2.53,$2.53,"$4,047,808","$4,047,808"
"Sep 05, 2022",$2.91,$2.91,$2.78,$2.82,"$2,957,913","$2,957,913"
"Sep 04, 2022",$2.79,$2.99,$2.78,$2.91,"$3,778,993","$3,778,993"
"Sep 03, 2022",$2.66,$2.88,$2.62,$2.79,"$4,369,905","$4,369,905"
"Sep 02, 2022",$2.70,$2.77,$2.60,$2.66,"$4,119,796","$4,119,796"
"Sep 01, 2022",$2.66,$2.71,$2.49,$2.70,"$4,536,820","$4,536,820"
"Aug 31, 2022",$2.69,$2.87,$2.64,$2.66,"$4,649,675","$4,649,675"
"Aug 30, 2022",$2.98,$2.98,$2.69,$2.69,"$4,458,659","$4,458,659"
"Aug 29, 2022",$2.77,$3.17,$2.75,$2.98,"$7,548,335","$7,548,335"
"Aug 28, 2022",$2.80,$2.88,$2.68,$2.77,"$4,425,126","$4,425,126"
"Aug 27, 2022",$2.74,$2.87,$2.60,$2.80,"$5,533,073","$5,533,073"
"Aug 26, 2022",$2.59,$2.87,$2.58,$2.74,"$6,902,041","$6,902,041"
"Aug 25, 2022",$2.58,$2.66,$2.55,$2.59,"$3,710,220","$3,710,220"
"Aug 24, 2022",$2.52,$2.65,$2.51,$2.58,"$5,708,884","$5,708,884"
"Aug 23, 2022",$2.27,$2.54,$2.22,$2.52,"$4,563,058","$4,563,058"
"Aug 22, 2022",$2.22,$2.27,$2.13,$2.27,"$2,401,846","$2,401,846"
"Aug 21, 2022",$2.15,$2.26,$2.14,$2.22,"$1,893,161","$1,893,161"
"Aug 20, 2022",$2.14,$2.25,$2.09,$2.15,"$2,043,817","$2,043,817"
"Aug 19, 2022",$2.42,$2.43,$2.11,$2.14,"$3,502,668","$3,502,668"
"Aug 18, 2022",$2.49,$2.52,$2.41,$2.42,"$2,478,049","$2,478,049"
"Aug 17, 2022",$2.56,$2.62,$2.46,$2.49,"$2,122,677","$2,122,677"
"Aug 16, 2022",$2.55,$2.61,$2.51,$2.56,"$2,587,671","$2,587,671"
"Aug 15, 2022",$2.66,$2.75,$2.53,$2.55,"$3,428,440","$3,428,440"
"Aug 14, 2022",$2.79,$2.81,$2.63,$2.66,"$2,811,479","$2,811,479"
"Aug 13, 2022",$2.88,$2.88,$2.71,$2.79,"$2,670,305","$2,670,305"
"Aug 12, 2022",$2.83,$2.88,$2.77,$2.88,"$1,853,247","$1,853,247"
"Aug 11, 2022",$2.78,$2.94,$2.77,$2.83,"$2,598,994","$2,598,994"
