Day,Open,High,Low,Close,Volume,Market Cap
"Sep 26, 2022",$0.004063,$0.004131,$0.003804,$0.004004,"$2,412","$2,412"
"Sep 25, 2022",$0.004068,$0.004159,$0.004021,$0.004065,$199,$199
"Sep 24, 2022",$0.004058,$0.00412,$0.003843,$0.004066,$939,$939
"Sep 23, 2022",$0.00341,$0.004074,$0.003368,$0.004058,"$2,276","$2,276"
"Sep 22, 2022",$0.003082,$0.003427,$0.002652,$0.00341,"$5,844","$5,844"
"Sep 21, 2022",$0.003177,$0.003294,$0.003039,$0.003081,$0,$0
"Sep 20, 2022",$0.003256,$0.003316,$0.003173,$0.00318,$86,$86
"Sep 19, 2022",$0.002966,$0.003624,$0.002877,$0.003258,"$5,102","$5,102"
"Sep 18, 2022",$0.00316,$0.00316,$0.002956,$0.002964,$513,$513
"Sep 17, 2022",$0.002976,$0.00318,$0.002956,$0.003159,"$1,292","$1,292"
"Sep 16, 2022",$0.002989,$0.003096,$0.002956,$0.002977,$507,$507
"Sep 15, 2022",$0.003398,$0.003415,$0.002631,$0.002984,"$6,120","$6,120"
"Sep 14, 2022",$0.003479,$0.003717,$0.003322,$0.003398,$196,$196
"Sep 13, 2022",$0.003666,$0.004024,$0.003469,$0.003485,"$1,549","$1,549"
"Sep 12, 2022",$0.003485,$0.003688,$0.003387,$0.003665,"$1,760","$1,760"
"Sep 11, 2022",$0.003705,$0.003761,$0.00305,$0.003484,"$9,879","$9,879"
"Sep 10, 2022",$0.003789,$0.003802,$0.003623,$0.003705,$538,$538
"Sep 09, 2022",$0.003641,$0.00382,$0.003639,$0.003789,$6,$6
"Sep 08, 2022",$0.004029,$0.004041,$0.002741,$0.003641,"$10,890","$10,890"
"Sep 07, 2022",$0.003977,$0.00405,$0.003799,$0.004029,$652,$652
"Sep 06, 2022",$0.004084,$0.00424,$0.003963,$0.003977,$222,$222
"Sep 05, 2022",$0.004025,$0.004085,$0.003494,$0.004084,"$4,733","$4,733"
"Sep 04, 2022",$0.004191,$0.004433,$0.004005,$0.004024,$339,$339
"Sep 03, 2022",$0.004219,$0.004322,$0.004181,$0.004191,$215,$215
"Sep 02, 2022",$0.004376,$0.004414,$0.004095,$0.004221,"$1,146","$1,146"
"Sep 01, 2022",$0.004307,$0.00442,$0.004219,$0.004377,$0,$0
"Aug 31, 2022",$0.004506,$0.004738,$0.004199,$0.004304,"$2,178","$2,178"
"Aug 30, 2022",$0.004924,$0.005019,$0.004331,$0.004506,"$2,676","$2,676"
