Day,Open,High,Low,Close,Volume,Market Cap
"Sep 25, 2022",$0.01777,$0.01798,$0.01694,$0.01736,"$35,663","$35,663"
"Sep 24, 2022",$0.01809,$0.01822,$0.01765,$0.01777,"$37,150","$37,150"
"Sep 23, 2022",$0.01775,$0.0183,$0.01701,$0.01809,"$30,109","$30,109"
"Sep 22, 2022",$0.0173,$0.01794,$0.01678,$0.01771,"$37,788","$37,788"
"Sep 21, 2022",$0.0175,$0.01868,$0.01723,$0.01733,"$56,877","$56,877"
"Sep 20, 2022",$0.01821,$0.01824,$0.01733,$0.0175,"$46,237","$46,237"
"Sep 19, 2022",$0.01705,$0.01838,$0.01617,$0.01821,"$38,093","$38,093"
"Sep 18, 2022",$0.01874,$0.01877,$0.01683,$0.01697,"$33,437","$33,437"
"Sep 17, 2022",$0.01799,$0.01922,$0.01799,$0.01874,"$65,634","$65,634"
"Sep 16, 2022",$0.0171,$0.01837,$0.01689,$0.01797,"$43,669","$43,669"
"Sep 15, 2022",$0.01894,$0.01902,$0.01686,$0.0171,"$31,543","$31,543"
"Sep 14, 2022",$0.01872,$0.01932,$0.01849,$0.01888,"$18,707","$18,707"
"Sep 13, 2022",$0.02019,$0.0207,$0.01846,$0.01896,"$50,482","$50,482"
"Sep 12, 2022",$0.02057,$0.02087,$0.01943,$0.02025,"$389,331","$389,331"
"Sep 11, 2022",$0.01819,$0.02142,$0.01776,$0.02056,"$96,237","$96,237"
"Sep 10, 2022",$0.01801,$0.01827,$0.01701,$0.01821,"$33,743","$33,743"
"Sep 09, 2022",$0.01667,$0.01824,$0.01639,$0.01801,"$68,612","$68,612"
"Sep 08, 2022",$0.0169,$0.01735,$0.01627,$0.01668,"$30,436","$30,436"
"Sep 07, 2022",$0.01691,$0.01759,$0.01634,$0.0169,"$41,967","$41,967"
"Sep 06, 2022",$0.01812,$0.01844,$0.01609,$0.01691,"$79,556","$79,556"
"Sep 05, 2022",$0.0182,$0.01839,$0.01765,$0.01818,"$25,390","$25,390"
"Sep 04, 2022",$0.01942,$0.01943,$0.01817,$0.0182,"$38,194","$38,194"
