Day,Open,High,Low,Close,Volume,Market Cap
"Sep 18, 2022",$0.1254,$0.1254,$0.1136,$0.1146,"$2,868,677","$2,868,677"
"Sep 17, 2022",$0.1214,$0.1254,$0.1213,$0.1254,"$2,363,138","$2,363,138"
"Sep 16, 2022",$0.1208,$0.1224,$0.1191,$0.1213,"$2,921,065","$2,921,065"
"Sep 15, 2022",$0.1256,$0.1256,$0.1192,$0.1208,"$4,249,075","$4,249,075"
"Sep 14, 2022",$0.1249,$0.1266,$0.1223,$0.1256,"$4,311,154","$4,311,154"
"Sep 13, 2022",$0.1347,$0.135,$0.1235,$0.125,"$4,841,257","$4,841,257"
"Sep 12, 2022",$0.1381,$0.1405,$0.1328,$0.1348,"$5,164,742","$5,164,742"
"Sep 11, 2022",$0.1396,$0.1427,$0.1354,$0.138,"$5,923,646","$5,923,646"
"Sep 10, 2022",$0.1372,$0.1416,$0.1371,$0.1392,"$5,252,430","$5,252,430"
"Sep 09, 2022",$0.131,$0.1377,$0.1309,$0.1372,"$4,620,630","$4,620,630"
"Sep 08, 2022",$0.1306,$0.1316,$0.1282,$0.1311,"$3,514,911","$3,514,911"
"Sep 07, 2022",$0.128,$0.1325,$0.1279,$0.1306,"$4,818,490","$4,818,490"
"Sep 06, 2022",$0.1446,$0.1453,$0.1276,$0.128,"$6,911,231","$6,911,231"
"Sep 05, 2022",$0.1385,$0.1469,$0.1384,$0.1447,"$8,197,248","$8,197,248"
"Sep 04, 2022",$0.1366,$0.1385,$0.1347,$0.1384,"$2,380,596","$2,380,596"
"Sep 03, 2022",$0.1348,$0.1409,$0.1343,$0.1366,"$3,732,358","$3,732,358"
"Sep 02, 2022",$0.1393,$0.1395,$0.1321,$0.1348,"$3,562,202","$3,562,202"
"Sep 01, 2022",$0.133,$0.1394,$0.1314,$0.1393,"$5,704,369","$5,704,369"
"Aug 31, 2022",$0.1318,$0.1359,$0.1318,$0.133,"$4,720,719","$4,720,719"
"Aug 30, 2022",$0.1304,$0.1325,$0.1242,$0.1317,"$5,768,741","$5,768,741"
"Aug 29, 2022",$0.1208,$0.1305,$0.1184,$0.1305,"$3,538,334","$3,538,334"
"Aug 28, 2022",$0.1239,$0.1261,$0.1208,$0.1208,"$3,305,351","$3,305,351"
"Aug 27, 2022",$0.1253,$0.1261,$0.1224,$0.124,"$4,037,969","$4,037,969"
"Aug 26, 2022",$0.1377,$0.1407,$0.1247,$0.1253,"$8,621,940","$8,621,940"
"Aug 25, 2022",$0.1333,$0.1398,$0.1332,$0.1378,"$7,060,030","$7,060,030"
"Aug 24, 2022",$0.1303,$0.1357,$0.1289,$0.1333,"$6,476,148","$6,476,148"
"Aug 23, 2022",$0.1285,$0.1323,$0.1249,$0.1303,"$6,510,859","$6,510,859"
"Aug 22, 2022",$0.1384,$0.1401,$0.1246,$0.1285,"$8,426,254","$8,426,254"
"Aug 21, 2022",$0.123,$0.2342,$0.1229,$0.1384,"$54,352,743","$54,352,743"
"Aug 20, 2022",$0.1285,$0.131,$0.1202,$0.1231,"$3,512,637","$3,512,637"
"Aug 19, 2022",$0.135,$0.1362,$0.1254,$0.1286,"$8,511,130","$8,511,130"
"Aug 18, 2022",$0.1455,$0.1481,$0.1349,$0.1349,"$4,191,121","$4,191,121"
"Aug 17, 2022",$0.1546,$0.1603,$0.1441,$0.1454,"$5,154,448","$5,154,448"
"Aug 16, 2022",$0.1578,$0.1599,$0.1539,$0.1547,"$5,171,845","$5,171,845"
"Aug 15, 2022",$0.1649,$0.1691,$0.1568,$0.158,"$7,381,937","$7,381,937"
"Aug 14, 2022",$0.1716,$0.179,$0.164,$0.1649,"$7,492,188","$7,492,188"
"Aug 13, 2022",$0.1752,$0.1759,$0.1677,$0.1715,"$6,157,060","$6,157,060"
"Aug 12, 2022",$0.1652,$0.1782,$0.1624,$0.1753,"$12,406,248","$12,406,248"
"Aug 11, 2022",$0.1699,$0.1726,$0.1632,$0.1651,"$10,041,784","$10,041,784"
"Aug 10, 2022",$0.1736,$0.1779,$0.1591,$0.1699,"$18,893,426","$18,893,426"
"Aug 09, 2022",$0.1674,$0.1736,$0.1586,$0.1733,"$12,044,489","$12,044,489"
"Aug 08, 2022",$0.1589,$0.174,$0.1588,$0.1675,"$10,071,591","$10,071,591"
"Aug 07, 2022",$0.1585,$0.1622,$0.1549,$0.1589,"$6,128,529","$6,128,529"
"Aug 06, 2022",$0.1506,$0.1624,$0.1495,$0.1585,"$12,118,840","$12,118,840"
"Aug 05, 2022",$0.14,$0.1506,$0.1394,$0.1506,"$5,937,224","$5,937,224"
"Aug 04, 2022",$0.145,$0.149,$0.1381,$0.14,"$6,245,755","$6,245,755"
"Aug 03, 2022",$0.1439,$0.1485,$0.1405,$0.145,"$6,622,445","$6,622,445"
"Aug 02, 2022",$0.154,$0.1543,$0.1401,$0.1439,"$8,941,525","$8,941,525"
"Aug 01, 2022",$0.144,$0.1545,$0.1439,$0.154,"$8,210,697","$8,210,697"
"Jul 31, 2022",$0.1461,$0.1599,$0.1432,$0.144,"$15,855,021","$15,855,021"
"Jul 30, 2022",$0.1362,$0.1513,$0.136,$0.1462,"$14,104,328","$14,104,328"
"Jul 29, 2022",$0.1364,$0.1414,$0.1335,$0.1362,"$9,137,812","$9,137,812"
"Jul 28, 2022",$0.1281,$0.1386,$0.1256,$0.1364,"$8,015,136","$8,015,136"
