Day,Open,High,Low,Close,Volume,Market Cap
"Sep 25, 2022",$0.0003899,$0.0004014,$0.0003732,$0.0003809,"$128,861","$128,861"
"Sep 24, 2022",$0.0003695,$0.0003918,$0.0003634,$0.0003899,"$135,290","$135,290"
"Sep 23, 2022",$0.0003844,$0.000386,$0.000369,$0.0003695,"$133,780","$133,780"
"Sep 22, 2022",$0.0003998,$0.0004051,$0.0003738,$0.0003844,"$111,431","$111,431"
"Sep 21, 2022",$0.0004183,$0.0004274,$0.0003707,$0.0003998,"$51,073","$51,073"
"Sep 20, 2022",$0.0004069,$0.0004468,$0.0003817,$0.0004183,"$57,154","$57,154"
"Sep 19, 2022",$0.0004369,$0.0004381,$0.0004066,$0.0004069,"$43,878","$43,878"
"Sep 18, 2022",$0.0004067,$0.0004607,$0.0003991,$0.0004369,"$56,967","$56,967"
"Sep 17, 2022",$0.0004068,$0.0004161,$0.0003973,$0.0004066,"$46,553","$46,553"
"Sep 16, 2022",$0.0004067,$0.0004266,$0.0003949,$0.0004069,"$54,555","$54,555"
"Sep 15, 2022",$0.0004274,$0.0004393,$0.0004059,$0.0004067,"$44,215","$44,215"
"Sep 14, 2022",$0.0004289,$0.0004387,$0.000407,$0.0004274,"$48,112","$48,112"
"Sep 13, 2022",$0.000436,$0.0004468,$0.0004224,$0.0004295,"$53,115","$53,115"
"Sep 12, 2022",$0.0004488,$0.0004616,$0.0004345,$0.000436,"$47,739","$47,739"
"Sep 11, 2022",$0.0004569,$0.0004771,$0.0004431,$0.0004488,"$44,576","$44,576"
"Sep 10, 2022",$0.0004659,$0.0004756,$0.0004342,$0.0004569,"$46,797","$46,797"
"Sep 09, 2022",$0.000475,$0.0005178,$0.000444,$0.0004659,"$55,170","$55,170"
"Sep 08, 2022",$0.0004776,$0.0004791,$0.0004501,$0.000475,"$48,040","$48,040"
"Sep 07, 2022",$0.0003929,$0.000561,$0.000374,$0.0004776,"$122,172","$122,172"
"Sep 06, 2022",$0.0004018,$0.0004046,$0.000364,$0.0003929,"$48,174","$48,174"
"Sep 05, 2022",$0.0003981,$0.0004121,$0.0003971,$0.0004018,"$46,646","$46,646"
"Sep 04, 2022",$0.0004162,$0.0004285,$0.0003909,$0.0003983,"$47,416","$47,416"
"Sep 03, 2022",$0.0003915,$0.000434,$0.0003912,$0.0004162,"$57,320","$57,320"
"Sep 02, 2022",$0.0004023,$0.0004143,$0.0003856,$0.0003915,"$59,942","$59,942"
"Sep 01, 2022",$0.0004208,$0.0004246,$0.0003996,$0.0004023,"$44,457","$44,457"
"Aug 31, 2022",$0.0004319,$0.0004342,$0.0004052,$0.0004208,"$45,422","$45,422"
"Aug 30, 2022",$0.0004101,$0.0004394,$0.0004017,$0.0004318,"$45,257","$45,257"
"Aug 29, 2022",$0.0004084,$0.000426,$0.0004028,$0.0004101,"$47,956","$47,956"
"Aug 28, 2022",$0.0004205,$0.0004205,$0.0003975,$0.0004085,"$45,440","$45,440"
"Aug 27, 2022",$0.0004343,$0.0004601,$0.0003978,$0.0004205,"$57,812","$57,812"
"Aug 26, 2022",$0.0004187,$0.0004578,$0.0003959,$0.0004343,"$58,079","$58,079"
"Aug 25, 2022",$0.000413,$0.0004266,$0.0004116,$0.0004187,"$45,662","$45,662"
"Aug 24, 2022",$0.0004198,$0.0004237,$0.0004026,$0.000413,"$47,525","$47,525"
"Aug 23, 2022",$0.0004098,$0.0004365,$0.0004046,$0.0004198,"$50,783","$50,783"
"Aug 22, 2022",$0.000412,$0.0004389,$0.000393,$0.0004098,"$43,837","$43,837"
"Aug 21, 2022",$0.0004245,$0.000432,$0.0004019,$0.000412,"$45,997","$45,997"
"Aug 20, 2022",$0.0003752,$0.0004525,$0.0003725,$0.0004245,"$59,452","$59,452"
"Aug 19, 2022",$0.0004239,$0.0004277,$0.0003379,$0.0003752,"$53,815","$53,815"
"Aug 18, 2022",$0.000396,$0.0004754,$0.0003791,$0.0004239,"$67,047","$67,047"
"Aug 17, 2022",$0.0004006,$0.0005009,$0.0003638,$0.000396,"$50,500","$50,500"
"Aug 16, 2022",$0.000438,$0.0004518,$0.0003846,$0.0004006,"$53,418","$53,418"
"Aug 15, 2022",$0.0003838,$0.0004769,$0.0003735,$0.000438,"$65,853","$65,853"
"Aug 14, 2022",$0.0003345,$0.0003882,$0.0003343,$0.0003838,"$52,661","$52,661"
"Aug 13, 2022",$0.0003439,$0.0003496,$0.0003343,$0.0003345,"$46,842","$46,842"
"Aug 12, 2022",$0.0003485,$0.0003496,$0.0003404,$0.0003439,"$47,330","$47,330"
"Aug 11, 2022",$0.0003297,$0.0003486,$0.0003285,$0.0003485,"$45,188","$45,188"
"Aug 10, 2022",$0.0003337,$0.0003387,$0.0003202,$0.0003297,"$50,506","$50,506"
"Aug 09, 2022",$0.0003324,$0.0003613,$0.000331,$0.0003337,"$46,872","$46,872"
"Aug 08, 2022",$0.0003483,$0.0003539,$0.0003165,$0.0003324,"$65,233","$65,233"
"Aug 07, 2022",$0.0003455,$0.0003607,$0.000343,$0.0003483,"$51,730","$51,730"
"Aug 06, 2022",$0.0003416,$0.0003507,$0.0003235,$0.0003455,"$49,092","$49,092"
"Aug 05, 2022",$0.0003243,$0.0003566,$0.0003242,$0.0003416,"$46,758","$46,758"
"Aug 04, 2022",$0.0003446,$0.0003593,$0.0003215,$0.0003243,"$47,211","$47,211"
"Aug 03, 2022",$0.0003321,$0.0003547,$0.0003305,$0.0003446,"$45,252","$45,252"
"Aug 02, 2022",$0.0003488,$0.0003577,$0.0003201,$0.0003321,"$50,415","$50,415"
"Aug 01, 2022",$0.0003433,$0.0003565,$0.0003426,$0.0003488,"$47,465","$47,465"
"Jul 31, 2022",$0.0003616,$0.0003627,$0.000343,$0.0003433,"$44,416","$44,416"
"Jul 30, 2022",$0.0003389,$0.000371,$0.0003381,$0.0003616,"$48,151","$48,151"
"Jul 29, 2022",$0.0003448,$0.0003551,$0.0003352,$0.0003389,"$48,624","$48,624"
"Jul 28, 2022",$0.000345,$0.0003512,$0.0003406,$0.0003448,"$44,655","$44,655"
"Jul 27, 2022",$0.0003465,$0.0003542,$0.0003412,$0.000345,"$44,845","$44,845"
"Jul 26, 2022",$0.0003405,$0.0003483,$0.000339,$0.0003465,"$50,443","$50,443"
"Jul 25, 2022",$0.0003422,$0.0003461,$0.0003361,$0.0003405,"$49,587","$49,587"
"Jul 24, 2022",$0.0003397,$0.0003573,$0.0003388,$0.0003422,"$47,210","$47,210"
"Jul 23, 2022",$0.0003383,$0.0003443,$0.0003331,$0.0003398,"$49,839","$49,839"
"Jul 22, 2022",$0.0003468,$0.0003522,$0.0003269,$0.0003383,"$52,440","$52,440"
"Jul 21, 2022",$0.000349,$0.000372,$0.0003348,$0.0003468,"$51,109","$51,109"
"Jul 20, 2022",$0.0003292,$0.0003845,$0.0003255,$0.000349,"$54,338","$54,338"
"Jul 19, 2022",$0.0003265,$0.0003351,$0.0003193,$0.0003292,"$46,569","$46,569"
"Jul 18, 2022",$0.0003234,$0.0003373,$0.0003226,$0.0003265,"$48,124","$48,124"
"Jul 17, 2022",$0.0003184,$0.0003317,$0.0003024,$0.0003234,"$52,408","$52,408"
"Jul 16, 2022",$0.0003181,$0.0003361,$0.0003168,$0.0003184,"$41,665","$41,665"
"Jul 15, 2022",$0.0003303,$0.0003349,$0.0003175,$0.0003181,"$42,067","$42,067"
"Jul 14, 2022",$0.0003205,$0.0003359,$0.0003148,$0.0003303,"$45,740","$45,740"
"Jul 13, 2022",$0.0003156,$0.000342,$0.0003139,$0.0003204,"$101,014","$101,014"
"Jul 12, 2022",$0.0003355,$0.0003382,$0.0003073,$0.0003156,"$44,971","$44,971"
"Jul 11, 2022",$0.0003412,$0.0003427,$0.0003182,$0.0003355,"$47,086","$47,086"
"Jul 10, 2022",$0.0003717,$0.0003717,$0.0003398,$0.0003412,"$42,433","$42,433"
"Jul 09, 2022",$0.000347,$0.0003736,$0.0003405,$0.0003717,"$50,474","$50,474"
"Jul 08, 2022",$0.0003489,$0.0003527,$0.0003334,$0.000347,"$45,419","$45,419"
"Jul 07, 2022",$0.0003448,$0.0003669,$0.0003427,$0.0003489,"$45,974","$45,974"
"Jul 06, 2022",$0.0003509,$0.0003838,$0.0003411,$0.0003448,"$51,348","$51,348"
"Jul 05, 2022",$0.0003386,$0.0003766,$0.0003262,$0.0003509,"$54,934","$54,934"
"Jul 04, 2022",$0.0003196,$0.0004661,$0.0003188,$0.0003387,"$59,148","$59,148"
"Jul 03, 2022",$0.0003208,$0.0003305,$0.0003182,$0.0003196,"$43,791","$43,791"
"Jul 02, 2022",$0.0003274,$0.0003372,$0.0003188,$0.0003208,"$43,220","$43,220"
"Jul 01, 2022",$0.0003185,$0.000346,$0.0003142,$0.0003274,"$42,629","$42,629"
"Jun 30, 2022",$0.0003298,$0.0003378,$0.0003178,$0.0003185,"$41,880","$41,880"
"Jun 29, 2022",$0.0003335,$0.0003381,$0.0003146,$0.0003298,"$45,641","$45,641"
"Jun 28, 2022",$0.0003345,$0.0003471,$0.0003313,$0.0003333,"$43,543","$43,543"
"Jun 27, 2022",$0.0003394,$0.0003524,$0.0003289,$0.0003346,"$44,224","$44,224"
"Jun 26, 2022",$0.0003373,$0.0003452,$0.000336,$0.0003394,"$41,937","$41,937"
"Jun 25, 2022",$0.0003409,$0.000349,$0.000336,$0.0003373,"$46,168","$46,168"
"Jun 24, 2022",$0.0003449,$0.0003461,$0.0003381,$0.0003409,"$46,619","$46,619"
"Jun 23, 2022",$0.0003381,$0.0003495,$0.0003371,$0.0003449,"$46,514","$46,514"
"Jun 22, 2022",$0.0003523,$0.0003537,$0.0003354,$0.0003381,"$48,261","$48,261"
"Jun 21, 2022",$0.0003296,$0.0003646,$0.0003285,$0.0003524,"$48,424","$48,424"
"Jun 20, 2022",$0.0003359,$0.0003479,$0.0003274,$0.0003296,"$45,172","$45,172"
"Jun 19, 2022",$0.0003356,$0.0003389,$0.0003188,$0.0003359,"$47,577","$47,577"
"Jun 18, 2022",$0.0003565,$0.0003575,$0.0003214,$0.0003356,"$47,244","$47,244"
"Jun 17, 2022",$0.0003457,$0.0003755,$0.0003388,$0.0003565,"$49,532","$49,532"
