Day,Open,High,Low,Close,Volume,Market Cap
"Sep 10, 2022",$53.85,$54.57,$53.39,$53.78,"$47,126,076","$47,126,076"
"Sep 09, 2022",$52.94,$54.54,$52.93,$53.86,"$55,698,586","$55,698,586"
"Sep 08, 2022",$51.09,$53.15,$50.32,$52.94,"$41,346,400","$41,346,400"
"Sep 07, 2022",$48.67,$51.45,$48.26,$51.10,"$37,275,301","$37,275,301"
"Sep 06, 2022",$51.23,$52.72,$48.51,$48.70,"$60,111,332","$60,111,332"
"Sep 05, 2022",$51.54,$51.96,$50.70,$51.22,"$22,019,732","$22,019,732"
"Sep 04, 2022",$50.99,$51.60,$50.51,$51.54,"$22,053,766","$22,053,766"
"Sep 03, 2022",$52.23,$52.56,$50.96,$51.00,"$21,357,249","$21,357,249"
"Sep 02, 2022",$52.82,$53.49,$51.55,$52.22,"$29,689,361","$29,689,361"
"Sep 01, 2022",$52.56,$52.92,$51.17,$52.82,"$31,818,585","$31,818,585"
"Aug 31, 2022",$54.12,$55.82,$52.50,$52.57,"$42,124,431","$42,124,431"
"Aug 30, 2022",$53.01,$55.28,$52.30,$54.12,"$49,265,919","$49,265,919"
"Aug 29, 2022",$49.59,$53.03,$49.51,$53.01,"$35,327,862","$35,327,862"
"Aug 28, 2022",$51.94,$52.75,$49.59,$49.59,"$30,422,055","$30,422,055"
"Aug 27, 2022",$51.81,$53.07,$50.94,$51.95,"$41,751,693","$41,751,693"
"Aug 26, 2022",$57.37,$59.02,$51.45,$51.80,"$87,077,318","$87,077,318"
"Aug 25, 2022",$55.12,$57.88,$55.11,$57.39,"$49,574,042","$49,574,042"
"Aug 24, 2022",$54.01,$56.35,$52.84,$55.12,"$68,467,218","$68,467,218"
"Aug 23, 2022",$53.96,$54.54,$52.41,$54.00,"$75,406,406","$75,406,406"
"Aug 22, 2022",$54.70,$55.61,$52.36,$53.96,"$35,280,973","$35,280,973"
"Aug 21, 2022",$52.66,$55.09,$52.36,$54.71,"$27,970,055","$27,970,055"
"Aug 20, 2022",$52.50,$54.23,$51.44,$52.68,"$42,382,987","$42,382,987"
"Aug 19, 2022",$54.87,$54.87,$51.38,$52.50,"$62,778,474","$62,778,474"
"Aug 18, 2022",$57.36,$58.79,$54.87,$54.88,"$32,519,951","$32,519,951"
"Aug 17, 2022",$60.51,$62.23,$57.05,$57.32,"$42,168,861","$42,168,861"
"Aug 16, 2022",$60.73,$61.85,$59.74,$60.51,"$32,706,593","$32,706,593"
"Aug 15, 2022",$62.90,$64.44,$59.61,$60.82,"$42,271,083","$42,271,083"
