Day,Open,High,Low,Close,Volume,Market Cap
"Sep 22, 2022",$0.1628,$0.1744,$0.1501,$0.1596,"$183,158","$183,158"
"Sep 21, 2022",$0.1738,$0.1866,$0.1597,$0.1632,"$181,529","$181,529"
"Sep 20, 2022",$0.1808,$0.1866,$0.1661,$0.1738,"$178,724","$178,724"
"Sep 19, 2022",$0.17,$0.182,$0.1602,$0.1808,"$180,180","$180,180"
"Sep 18, 2022",$0.178,$0.1897,$0.1639,$0.1701,"$165,854","$165,854"
"Sep 17, 2022",$0.1823,$0.193,$0.1706,$0.178,"$148,154","$148,154"
"Sep 16, 2022",$0.1835,$0.1969,$0.1765,$0.1822,"$145,774","$145,774"
"Sep 15, 2022",$0.1901,$0.2046,$0.1698,$0.1835,"$134,868","$134,868"
"Sep 14, 2022",$0.1886,$0.1928,$0.1688,$0.1899,"$195,704","$195,704"
"Sep 13, 2022",$0.2196,$0.2382,$0.1697,$0.1878,"$178,566","$178,566"
"Sep 12, 2022",$0.2265,$0.2416,$0.2119,$0.2195,"$192,930","$192,930"
"Sep 11, 2022",$0.2636,$0.2684,$0.2117,$0.2258,"$226,325","$226,325"
"Sep 10, 2022",$0.2678,$0.2696,$0.2519,$0.2636,"$149,901","$149,901"
"Sep 09, 2022",$0.2518,$0.2768,$0.2447,$0.2679,"$191,882","$191,882"
"Sep 08, 2022",$0.2559,$0.2772,$0.2465,$0.2518,"$156,921","$156,921"
"Sep 07, 2022",$0.2575,$0.2618,$0.234,$0.2559,"$173,931","$173,931"
"Sep 06, 2022",$0.284,$0.2919,$0.2496,$0.2577,"$191,348","$191,348"
"Sep 05, 2022",$0.2665,$0.2932,$0.2646,$0.284,"$218,551","$218,551"
"Sep 04, 2022",$0.2712,$0.2783,$0.262,$0.2665,"$132,230","$132,230"
"Sep 03, 2022",$0.2726,$0.2851,$0.2549,$0.2712,"$152,697","$152,697"
"Sep 02, 2022",$0.2884,$0.3166,$0.2673,$0.2727,"$161,459","$161,459"
"Sep 01, 2022",$0.3115,$0.3336,$0.2765,$0.2885,"$153,254","$153,254"
"Aug 31, 2022",$0.3107,$0.3262,$0.2945,$0.3115,"$177,387","$177,387"
"Aug 30, 2022",$0.3117,$0.3448,$0.3023,$0.3106,"$168,716","$168,716"
"Aug 29, 2022",$0.3044,$0.3203,$0.2929,$0.3117,"$210,844","$210,844"
"Aug 28, 2022",$0.3039,$0.3252,$0.2966,$0.3044,"$182,962","$182,962"
"Aug 27, 2022",$0.3153,$0.3215,$0.2944,$0.304,"$154,555","$154,555"
"Aug 26, 2022",$0.3398,$0.3535,$0.3101,$0.3153,"$168,670","$168,670"
"Aug 25, 2022",$0.3364,$0.3661,$0.329,$0.3398,"$170,494","$170,494"
"Aug 24, 2022",$0.3451,$0.3592,$0.3308,$0.3364,"$185,797","$185,797"
"Aug 23, 2022",$0.3546,$0.3608,$0.3361,$0.3454,"$193,133","$193,133"
"Aug 22, 2022",$0.3529,$0.3561,$0.3267,$0.3545,"$181,318","$181,318"
"Aug 21, 2022",$0.348,$0.3593,$0.3289,$0.3536,"$182,197","$182,197"
"Aug 20, 2022",$0.3361,$0.3509,$0.3293,$0.3482,"$159,006","$159,006"
"Aug 19, 2022",$0.3697,$0.3769,$0.3292,$0.3364,"$181,053","$181,053"
"Aug 18, 2022",$0.3837,$0.4068,$0.3697,$0.3697,"$203,132","$203,132"
"Aug 17, 2022",$0.3948,$0.4168,$0.3824,$0.3837,"$209,616","$209,616"
"Aug 16, 2022",$0.4079,$0.4283,$0.3844,$0.3948,"$231,928","$231,928"
"Aug 15, 2022",$0.4055,$0.4278,$0.3831,$0.4083,"$201,813","$201,813"
"Aug 14, 2022",$0.4202,$0.4531,$0.386,$0.4053,"$227,352","$227,352"
"Aug 13, 2022",$0.4174,$0.4498,$0.4136,$0.4201,"$212,079","$212,079"
"Aug 12, 2022",$0.4296,$0.44,$0.3884,$0.4175,"$267,567","$267,567"
"Aug 11, 2022",$0.4129,$0.4388,$0.4026,$0.4297,"$194,355","$194,355"
"Aug 10, 2022",$0.4004,$0.4271,$0.3903,$0.4129,"$218,518","$218,518"
"Aug 09, 2022",$0.4283,$0.4405,$0.3921,$0.3999,"$196,410","$196,410"
"Aug 08, 2022",$0.4536,$0.4744,$0.4247,$0.428,"$212,027","$212,027"
"Aug 07, 2022",$0.4629,$0.4759,$0.4343,$0.4535,"$247,050","$247,050"
"Aug 06, 2022",$0.4774,$0.4874,$0.4488,$0.463,"$161,827","$161,827"
"Aug 05, 2022",$0.4352,$0.4823,$0.431,$0.4772,"$201,707","$201,707"
"Aug 04, 2022",$0.4399,$0.4726,$0.4191,$0.4356,"$169,879","$169,879"
"Aug 03, 2022",$0.455,$0.4599,$0.4231,$0.4398,"$206,948","$206,948"
"Aug 02, 2022",$0.4354,$0.4757,$0.4218,$0.4547,"$214,669","$214,669"
"Aug 01, 2022",$0.4307,$0.4393,$0.4045,$0.4356,"$198,878","$198,878"
"Jul 31, 2022",$0.4356,$0.4461,$0.4116,$0.4307,"$173,324","$173,324"
"Jul 30, 2022",$0.4157,$0.4629,$0.4148,$0.4355,"$253,962","$253,962"
"Jul 29, 2022",$0.4244,$0.4525,$0.3973,$0.4159,"$203,701","$203,701"
"Jul 28, 2022",$0.4469,$0.4469,$0.3929,$0.4244,"$194,465","$194,465"
"Jul 27, 2022",$0.3922,$0.4544,$0.3626,$0.4468,"$168,972","$168,972"
"Jul 26, 2022",$0.4041,$0.4365,$0.3674,$0.3921,"$199,785","$199,785"
"Jul 25, 2022",$0.4326,$0.4439,$0.3988,$0.404,"$195,578","$195,578"
"Jul 24, 2022",$0.436,$0.4548,$0.4033,$0.4328,"$204,733","$204,733"
"Jul 23, 2022",$0.4403,$0.4734,$0.4206,$0.4361,"$186,687","$186,687"
"Jul 22, 2022",$0.4599,$0.4707,$0.4228,$0.441,"$205,448","$205,448"
"Jul 21, 2022",$0.4881,$0.5042,$0.4564,$0.4605,"$219,273","$219,273"
"Jul 20, 2022",$0.4612,$0.51,$0.4515,$0.4883,"$215,263","$215,263"
"Jul 19, 2022",$0.478,$0.4929,$0.4419,$0.4612,"$204,329","$204,329"
"Jul 18, 2022",$0.4168,$0.4781,$0.4147,$0.4781,"$194,733","$194,733"
"Jul 17, 2022",$0.4586,$0.4661,$0.4127,$0.4164,"$204,294","$204,294"
"Jul 16, 2022",$0.4614,$0.4816,$0.4209,$0.4587,"$209,529","$209,529"
"Jul 15, 2022",$0.465,$0.485,$0.4351,$0.4613,"$175,474","$175,474"
"Jul 14, 2022",$0.4158,$0.4842,$0.405,$0.465,"$201,582","$201,582"
"Jul 13, 2022",$0.4105,$0.4708,$0.3816,$0.4158,"$179,827","$179,827"
"Jul 12, 2022",$0.4253,$0.4386,$0.3961,$0.4105,"$171,171","$171,171"
"Jul 11, 2022",$0.4785,$0.4832,$0.4206,$0.4252,"$188,329","$188,329"
"Jul 10, 2022",$0.5155,$0.5244,$0.4594,$0.4789,"$185,661","$185,661"
"Jul 09, 2022",$0.4933,$0.5301,$0.4874,$0.5155,"$178,948","$178,948"
"Jul 08, 2022",$0.491,$0.5248,$0.473,$0.4941,"$186,961","$186,961"
"Jul 07, 2022",$0.4854,$0.5215,$0.46,$0.4911,"$196,594","$196,594"
"Jul 06, 2022",$0.5156,$0.5294,$0.4669,$0.4852,"$175,295","$175,295"
"Jul 05, 2022",$0.4981,$0.5418,$0.4827,$0.5153,"$189,046","$189,046"
"Jul 04, 2022",$0.5123,$0.5311,$0.4815,$0.4983,"$185,584","$185,584"
"Jul 03, 2022",$0.5189,$0.5224,$0.4941,$0.5128,"$139,294","$139,294"
"Jul 02, 2022",$0.5016,$0.5354,$0.5,$0.5191,"$170,618","$170,618"
"Jul 01, 2022",$0.5536,$0.5965,$0.501,$0.501,"$182,953","$182,953"
"Jun 30, 2022",$0.5812,$0.5849,$0.5094,$0.5515,"$167,075","$167,075"
"Jun 29, 2022",$0.5384,$0.5945,$0.501,$0.5808,"$202,689","$202,689"
"Jun 28, 2022",$0.5749,$0.5863,$0.5326,$0.5383,"$210,047","$210,047"
