Day,Open,High,Low,Close,Volume,Market Cap
"Sep 22, 2022",$0.01142,$0.01221,$0.01108,$0.01184,$58,$58
"Sep 21, 2022",$0.01107,$0.01161,$0.01079,$0.01141,$35,$35
"Sep 20, 2022",$0.01144,$0.01148,$0.01084,$0.01109,$20,$20
"Sep 19, 2022",$0.009978,$0.01147,$0.009814,$0.01144,$192,$192
"Sep 18, 2022",$0.01076,$0.01076,$0.009482,$0.009969,$233,$233
"Sep 17, 2022",$0.01034,$0.01076,$0.01033,$0.01075,$8,$8
"Sep 16, 2022",$0.01166,$0.01177,$0.009709,$0.01035,$114,$114
"Sep 15, 2022",$0.01161,$0.01297,$0.01086,$0.01164,$300,$300
"Sep 14, 2022",$0.01268,$0.0131,$0.01145,$0.01162,$260,$260
"Sep 13, 2022",$0.01184,$0.0147,$0.01184,$0.0128,$202,$202
"Sep 12, 2022",$0.01158,$0.01186,$0.01146,$0.01184,$5,$5
"Sep 11, 2022",$0.01028,$0.01167,$0.01,$0.01158,$213,$213
"Sep 10, 2022",$0.0164,$0.01654,$0.009462,$0.01029,"$1,375","$1,375"
"Sep 09, 2022",$0.01682,$0.01807,$0.01625,$0.0164,$82,$82
"Sep 08, 2022",$0.0161,$0.01686,$0.01609,$0.01681,$9,$9
"Sep 07, 2022",$0.01573,$0.01629,$0.01549,$0.0161,$50,$50
"Sep 06, 2022",$0.01684,$0.01727,$0.01559,$0.01573,$161,$161
"Sep 05, 2022",$0.01728,$0.01743,$0.01665,$0.01684,$13,$13
"Sep 04, 2022",$0.01733,$0.01746,$0.01619,$0.01728,$33,$33
"Sep 03, 2022",$0.01692,$0.01783,$0.01682,$0.01733,$36,$36
"Sep 02, 2022",$0.01629,$0.018,$0.01616,$0.01692,$97,$97
"Sep 01, 2022",$0.01844,$0.01859,$0.01628,$0.0163,$90,$90
"Aug 31, 2022",$0.01873,$0.01936,$0.01806,$0.01844,$161,$161
"Aug 30, 2022",$0.01807,$0.01932,$0.01737,$0.01872,$229,$229
"Aug 29, 2022",$0.02306,$0.02341,$0.01793,$0.01808,$920,$920
"Aug 28, 2022",$0.02279,$0.02359,$0.02082,$0.02308,$396,$396
"Aug 27, 2022",$0.01525,$0.04728,$0.01427,$0.02279,"$21,860","$21,860"
"Aug 26, 2022",$0.009886,$0.02129,$0.008505,$0.01525,"$18,780","$18,780"
"Aug 25, 2022",$0.009633,$0.009946,$0.00963,$0.009886,$25,$25
"Aug 24, 2022",$0.009477,$0.009741,$0.009477,$0.009633,$123,$123
"Aug 23, 2022",$0.009619,$0.009633,$0.00945,$0.009477,$0,$0
"Aug 22, 2022",$0.009665,$0.009681,$0.009396,$0.00962,$38,$38
"Aug 21, 2022",$0.009112,$0.009692,$0.009112,$0.009665,$53,$53
"Aug 20, 2022",$0.008999,$0.009293,$0.00898,$0.009112,$120,$120
"Aug 19, 2022",$0.009584,$0.009616,$0.008982,$0.008999,"$2,396","$2,396"
"Aug 18, 2022",$0.009068,$0.009801,$0.00892,$0.009585,"$1,652","$1,652"
"Aug 17, 2022",$0.009343,$0.009553,$0.009042,$0.009067,$49,$49
"Aug 16, 2022",$0.009444,$0.009497,$0.009252,$0.009343,$344,$344
"Aug 15, 2022",$0.009377,$0.009636,$0.009292,$0.009445,$21,$21
"Aug 14, 2022",$0.009527,$0.009709,$0.009319,$0.009376,$39,$39
"Aug 13, 2022",$0.009806,$0.009847,$0.009525,$0.009527,$207,$207
"Aug 12, 2022",$0.01012,$0.01019,$0.009795,$0.009803,"$1,313","$1,313"
"Aug 11, 2022",$0.01206,$0.01228,$0.01011,$0.01012,"$3,371","$3,371"
"Aug 10, 2022",$0.01195,$0.01229,$0.01156,$0.01206,$9,$9
"Aug 09, 2022",$0.01198,$0.01203,$0.01155,$0.01195,$36,$36
"Aug 08, 2022",$0.01351,$0.01397,$0.0119,$0.01198,"$3,586","$3,586"
"Aug 07, 2022",$0.0132,$0.01358,$0.01296,$0.01351,$4,$4
"Aug 06, 2022",$0.01316,$0.01346,$0.01308,$0.0132,$54,$54
"Aug 05, 2022",$0.01303,$0.01337,$0.01295,$0.01315,$67,$67
"Aug 04, 2022",$0.01265,$0.01309,$0.01257,$0.01303,$198,$198
"Aug 03, 2022",$0.01193,$0.01281,$0.01172,$0.01265,$231,$231
"Aug 02, 2022",$0.01279,$0.01284,$0.01168,$0.01193,$79,$79
"Aug 01, 2022",$0.01273,$0.01302,$0.01253,$0.01279,$86,$86
"Jul 31, 2022",$0.0128,$0.01324,$0.01269,$0.01273,$251,$251
"Jul 30, 2022",$0.01305,$0.0133,$0.01276,$0.0128,$437,$437
"Jul 29, 2022",$0.01218,$0.01334,$0.01213,$0.01305,$426,$426
"Jul 28, 2022",$0.01181,$0.01227,$0.01164,$0.01218,$286,$286
"Jul 27, 2022",$0.0109,$0.01181,$0.01086,$0.01181,$196,$196
"Jul 26, 2022",$0.01083,$0.011,$0.01062,$0.0109,$114,$114
"Jul 25, 2022",$0.01156,$0.01157,$0.01083,$0.01083,$317,$317
"Jul 24, 2022",$0.01157,$0.01187,$0.01147,$0.01156,$411,$411
"Jul 23, 2022",$0.01168,$0.01207,$0.01129,$0.01157,$193,$193
"Jul 22, 2022",$0.01181,$0.01202,$0.01164,$0.01168,$264,$264
"Jul 21, 2022",$0.01172,$0.01181,$0.01135,$0.01181,$33,$33
"Jul 20, 2022",$0.01201,$0.0122,$0.0116,$0.01172,"$1,089","$1,089"
"Jul 19, 2022",$0.01175,$0.01235,$0.0114,$0.01201,"$1,548","$1,548"
"Jul 18, 2022",$0.01146,$0.01195,$0.01142,$0.01175,$654,$654
"Jul 17, 2022",$0.0115,$0.01174,$0.01146,$0.01146,$46,$46
"Jul 16, 2022",$0.01105,$0.01155,$0.01091,$0.0115,$264,$264
"Jul 15, 2022",$0.01137,$0.01144,$0.01097,$0.01105,"$1,112","$1,112"
