Day,Open,High,Low,Close,Volume,Market Cap
"Sep 26, 2022",$0.03247,$0.03253,$0.03242,$0.03247,"$43,722","$43,722"
"Sep 25, 2022",$0.03244,$0.03264,$0.03242,$0.03247,"$44,209","$44,209"
"Sep 24, 2022",$0.03243,$0.03244,$0.03242,$0.03244,"$42,801","$42,801"
"Sep 23, 2022",$0.03243,$0.03244,$0.03242,$0.03243,"$43,490","$43,490"
"Sep 22, 2022",$0.03243,$0.03244,$0.03243,$0.03243,"$41,994","$41,994"
"Sep 21, 2022",$0.03242,$0.03244,$0.03241,$0.03243,"$42,871","$42,871"
"Sep 20, 2022",$0.03244,$0.03244,$0.03241,$0.03242,"$42,882","$42,882"
"Sep 19, 2022",$0.03243,$0.03244,$0.03242,$0.03244,"$42,438","$42,438"
"Sep 18, 2022",$0.03241,$0.03243,$0.0324,$0.03243,"$42,020","$42,020"
"Sep 17, 2022",$0.03257,$0.03263,$0.03239,$0.03241,"$42,195","$42,195"
"Sep 16, 2022",$0.03258,$0.03267,$0.03249,$0.03257,"$42,487","$42,487"
"Sep 15, 2022",$0.03245,$0.03299,$0.03238,$0.03258,"$41,497","$41,497"
"Sep 14, 2022",$0.03241,$0.03286,$0.03237,$0.03245,"$42,141","$42,141"
"Sep 13, 2022",$0.03059,$0.03295,$0.02927,$0.03244,"$30,108","$30,108"
"Sep 12, 2022",$0.03058,$0.0306,$0.03058,$0.03059,"$12,418","$12,418"
"Sep 11, 2022",$0.03106,$0.03207,$0.03056,$0.03058,"$42,032","$42,032"
"Sep 10, 2022",$0.03108,$0.03108,$0.03105,$0.03106,"$42,775","$42,775"
"Sep 09, 2022",$0.03113,$0.03116,$0.02614,$0.03108,"$37,308","$37,308"
"Sep 08, 2022",$0.03256,$0.03296,$0.03056,$0.03113,"$42,668","$42,668"
"Sep 07, 2022",$0.03268,$0.03296,$0.03243,$0.03256,"$42,980","$42,980"
"Sep 06, 2022",$0.04048,$0.04279,$0.0274,$0.03268,"$42,306","$42,306"
"Sep 05, 2022",$0.04111,$0.04188,$0.04043,$0.04048,"$42,566","$42,566"
"Sep 04, 2022",$0.04211,$0.04217,$0.04092,$0.04111,"$47,442","$47,442"
"Sep 03, 2022",$0.04245,$0.04295,$0.04202,$0.04211,"$178,545","$178,545"
"Sep 02, 2022",$0.04202,$0.04299,$0.04202,$0.04245,"$167,451","$167,451"
"Sep 01, 2022",$0.04634,$0.04757,$0.0417,$0.04202,"$203,576","$203,576"
"Aug 31, 2022",$0.04411,$0.04642,$0.04207,$0.04634,"$246,679","$246,679"
"Aug 30, 2022",$0.04108,$0.04465,$0.04107,$0.04411,"$192,776","$192,776"
"Aug 29, 2022",$0.04146,$0.04517,$0.04091,$0.04108,"$152,737","$152,737"
"Aug 28, 2022",$0.04064,$0.04304,$0.04041,$0.04146,"$162,031","$162,031"
"Aug 27, 2022",$0.04122,$0.04204,$0.03973,$0.04064,"$166,132","$166,132"
"Aug 26, 2022",$0.04262,$0.0427,$0.04104,$0.04122,"$91,497","$91,497"
"Aug 25, 2022",$0.0424,$0.04589,$0.03974,$0.04262,"$207,052","$207,052"
"Aug 24, 2022",$0.04195,$0.04285,$0.04188,$0.0424,"$239,599","$239,599"
"Aug 23, 2022",$0.04254,$0.04281,$0.04189,$0.04195,"$240,313","$240,313"
"Aug 22, 2022",$0.04251,$0.04257,$0.04244,$0.04254,"$288,505","$288,505"
"Aug 21, 2022",$0.04249,$0.04254,$0.04245,$0.04251,"$372,410","$372,410"
"Aug 20, 2022",$0.04195,$0.04264,$0.04191,$0.04249,"$380,066","$380,066"
"Aug 19, 2022",$0.04449,$0.04454,$0.04124,$0.04195,"$369,788","$369,788"
"Aug 18, 2022",$0.04455,$0.04468,$0.04435,$0.04449,"$201,013","$201,013"
"Aug 17, 2022",$0.04385,$0.04473,$0.04258,$0.04455,"$123,674","$123,674"
"Aug 16, 2022",$0.04394,$0.04398,$0.04381,$0.04385,"$128,197","$128,197"
"Aug 15, 2022",$0.04783,$0.0479,$0.04382,$0.04394,"$128,218","$128,218"
"Aug 14, 2022",$0.0493,$0.04931,$0.04769,$0.04783,"$116,750","$116,750"
"Aug 13, 2022",$0.04917,$0.04966,$0.04909,$0.0493,"$135,679","$135,679"
"Aug 12, 2022",$0.05288,$0.05292,$0.04904,$0.04917,"$219,777","$219,777"
"Aug 11, 2022",$0.05387,$0.0547,$0.05127,$0.05288,"$220,469","$220,469"
"Aug 10, 2022",$0.0519,$0.05858,$0.05176,$0.05387,"$114,411","$114,411"
"Aug 09, 2022",$0.05341,$0.05345,$0.05189,$0.0519,"$112,940","$112,940"
"Aug 08, 2022",$0.05292,$0.05351,$0.05283,$0.05341,"$137,985","$137,985"
"Aug 07, 2022",$0.05188,$0.05323,$0.05166,$0.05291,"$138,670","$138,670"
"Aug 06, 2022",$0.05178,$0.05196,$0.05158,$0.05188,"$136,202","$136,202"
"Aug 05, 2022",$0.05166,$0.05184,$0.05153,$0.05177,"$135,986","$135,986"
"Aug 04, 2022",$0.05147,$0.05685,$0.05134,$0.05166,"$135,862","$135,862"
"Aug 03, 2022",$0.05009,$0.05147,$0.04971,$0.05147,"$106,332","$106,332"
"Aug 02, 2022",$0.05042,$0.05053,$0.04999,$0.05009,"$42,666","$42,666"
"Aug 01, 2022",$0.05079,$0.05083,$0.05032,$0.05042,"$131,686","$131,686"
"Jul 31, 2022",$0.05014,$0.05131,$0.0499,$0.05079,"$132,919","$132,919"
"Jul 30, 2022",$0.04993,$0.05026,$0.04971,$0.05015,"$131,906","$131,906"
"Jul 29, 2022",$0.04814,$0.05003,$0.04803,$0.04993,"$131,668","$131,668"
"Jul 28, 2022",$0.04789,$0.0483,$0.04719,$0.04814,"$130,294","$130,294"
"Jul 27, 2022",$0.04605,$0.04792,$0.0458,$0.04789,"$125,896","$125,896"
"Jul 26, 2022",$0.04725,$0.0474,$0.0459,$0.04605,"$124,894","$124,894"
"Jul 25, 2022",$0.04777,$0.04783,$0.04702,$0.04725,"$126,938","$126,938"
"Jul 24, 2022",$0.04803,$0.04814,$0.04745,$0.04777,"$130,180","$130,180"
"Jul 23, 2022",$0.05054,$0.05079,$0.04782,$0.04803,"$131,852","$131,852"
"Jul 22, 2022",$0.05094,$0.05106,$0.05039,$0.05054,"$132,183","$132,183"
"Jul 21, 2022",$0.05049,$0.051,$0.05007,$0.05094,"$134,712","$134,712"
"Jul 20, 2022",$0.05121,$0.05134,$0.05032,$0.05049,"$137,024","$137,024"
"Jul 19, 2022",$0.05199,$0.05372,$0.0511,$0.05121,"$142,164","$142,164"
"Jul 18, 2022",$0.05118,$0.05225,$0.05116,$0.05199,"$134,501","$134,501"
"Jul 17, 2022",$0.05166,$0.05231,$0.05106,$0.05118,"$132,988","$132,988"
"Jul 16, 2022",$0.05122,$0.05177,$0.05084,$0.05166,"$133,574","$133,574"
"Jul 15, 2022",$0.05102,$0.05139,$0.0508,$0.05122,"$132,451","$132,451"
"Jul 14, 2022",$0.05038,$0.05108,$0.05033,$0.05102,"$134,061","$134,061"
"Jul 13, 2022",$0.04987,$0.05046,$0.04958,$0.05038,"$133,164","$133,164"
"Jul 12, 2022",$0.05042,$0.05043,$0.04987,$0.04987,"$129,289","$129,289"
"Jul 11, 2022",$0.05086,$0.05089,$0.05033,$0.05042,"$131,986","$131,986"
"Jul 10, 2022",$0.05148,$0.0515,$0.05071,$0.05086,"$122,202","$122,202"
"Jul 09, 2022",$0.05158,$0.05184,$0.05137,$0.05148,"$133,971","$133,971"
"Jul 08, 2022",$0.05164,$0.052,$0.05139,$0.05158,"$149,673","$149,673"
"Jul 07, 2022",$0.05129,$0.05325,$0.05121,$0.05164,"$148,853","$148,853"
"Jul 06, 2022",$0.05019,$0.05134,$0.05003,$0.05129,"$95,044","$95,044"
"Jul 05, 2022",$0.05011,$0.05053,$0.04981,$0.05019,"$71,415","$71,415"
"Jul 04, 2022",$0.0498,$0.05037,$0.04965,$0.05011,"$76,656","$76,656"
"Jul 03, 2022",$0.05009,$0.05033,$0.04957,$0.0498,"$72,108","$72,108"
"Jul 02, 2022",$0.05014,$0.05021,$0.04979,$0.05009,"$75,977","$75,977"
