Day,Open,High,Low,Close,Volume,Market Cap
"Sep 19, 2022",$0.0004327,$0.0004361,$0.0004121,$0.0004299,"$116,663","$116,663"
"Sep 18, 2022",$0.0004241,$0.0004515,$0.0004168,$0.0004326,"$108,673","$108,673"
"Sep 17, 2022",$0.0004253,$0.0004322,$0.0004198,$0.000424,"$71,545","$71,545"
"Sep 16, 2022",$0.0004288,$0.000454,$0.0004244,$0.0004254,"$86,301","$86,301"
"Sep 15, 2022",$0.0004294,$0.0004398,$0.0004249,$0.0004284,"$102,658","$102,658"
"Sep 14, 2022",$0.000459,$0.0004639,$0.0004162,$0.0004295,"$81,082","$81,082"
"Sep 13, 2022",$0.0004908,$0.0005039,$0.0004563,$0.0004597,"$90,686","$90,686"
"Sep 12, 2022",$0.0004939,$0.000572,$0.0004822,$0.0004909,"$105,762","$105,762"
"Sep 11, 2022",$0.0005089,$0.0005091,$0.0004774,$0.0004939,"$153,802","$153,802"
"Sep 10, 2022",$0.0005011,$0.0005191,$0.0004719,$0.0005089,"$85,915","$85,915"
"Sep 09, 2022",$0.0004911,$0.0005567,$0.000452,$0.0005011,"$974,275","$974,275"
"Sep 08, 2022",$0.000527,$0.0005283,$0.0004827,$0.0004911,"$344,930","$344,930"
"Sep 07, 2022",$0.0004973,$0.0005277,$0.000488,$0.000527,"$120,421","$120,421"
"Sep 06, 2022",$0.0005128,$0.0005415,$0.0004877,$0.0004973,"$159,164","$159,164"
"Sep 05, 2022",$0.0005283,$0.0005589,$0.0004982,$0.0005128,"$332,872","$332,872"
"Sep 04, 2022",$0.000527,$0.000539,$0.000527,$0.0005282,"$16,806","$16,806"
"Sep 03, 2022",$0.0005481,$0.0005512,$0.0005226,$0.000527,"$34,255","$34,255"
"Sep 02, 2022",$0.0005426,$0.0005596,$0.000537,$0.0005483,"$21,540","$21,540"
"Sep 01, 2022",$0.0005791,$0.0006036,$0.0004796,$0.0005426,"$101,252","$101,252"
"Aug 31, 2022",$0.000572,$0.0005951,$0.000572,$0.0005788,"$23,639","$23,639"
"Aug 30, 2022",$0.0005733,$0.0005952,$0.0005592,$0.0005718,"$28,738","$28,738"
"Aug 29, 2022",$0.0005604,$0.0005803,$0.0005256,$0.0005735,"$29,141","$29,141"
"Aug 28, 2022",$0.0004817,$0.0005914,$0.0004815,$0.0005603,"$230,281","$230,281"
"Aug 27, 2022",$0.0005998,$0.0006026,$0.0004793,$0.0004817,"$234,755","$234,755"
"Aug 26, 2022",$0.0006415,$0.0006578,$0.0005824,$0.0005998,"$1,082,800","$1,082,800"
"Aug 25, 2022",$0.0006217,$0.000661,$0.0006012,$0.0006415,"$1,056,384","$1,056,384"
"Aug 24, 2022",$0.0006123,$0.0006334,$0.0005944,$0.0006218,"$1,069,374","$1,069,374"
"Aug 23, 2022",$0.0006162,$0.000635,$0.0005789,$0.0006123,"$950,276","$950,276"
"Aug 22, 2022",$0.0006282,$0.0006293,$0.0005534,$0.0006162,"$1,024,327","$1,024,327"
