Day,Open,High,Low,Close,Volume,Market Cap
"Sep 25, 2022",$0.05568,$0.05626,$0.0553,$0.05558,"$186,153","$186,153"
"Sep 24, 2022",$0.05676,$0.05717,$0.0556,$0.0556,"$211,670","$211,670"
"Sep 23, 2022",$0.05702,$0.05825,$0.05547,$0.05679,"$233,523","$233,523"
"Sep 22, 2022",$0.05481,$0.05736,$0.05474,$0.05702,"$251,228","$251,228"
"Sep 21, 2022",$0.05647,$0.05878,$0.05463,$0.05485,"$250,473","$250,473"
"Sep 20, 2022",$0.05935,$0.05941,$0.05483,$0.05649,"$305,442","$305,442"
"Sep 19, 2022",$0.06118,$0.06181,$0.05634,$0.05929,"$237,760","$237,760"
"Sep 18, 2022",$0.0623,$0.06351,$0.06082,$0.06119,"$345,693","$345,693"
"Sep 17, 2022",$0.06053,$0.06236,$0.0604,$0.06227,"$270,683","$270,683"
"Sep 16, 2022",$0.06162,$0.06203,$0.05989,$0.06051,"$258,109","$258,109"
"Sep 15, 2022",$0.06405,$0.06428,$0.06125,$0.06162,"$246,135","$246,135"
"Sep 14, 2022",$0.06401,$0.06456,$0.06311,$0.06405,"$227,170","$227,170"
"Sep 13, 2022",$0.06708,$0.06833,$0.06351,$0.06443,"$239,044","$239,044"
"Sep 12, 2022",$0.06777,$0.06888,$0.06644,$0.06708,"$248,297","$248,297"
"Sep 11, 2022",$0.0697,$0.07035,$0.06741,$0.06781,"$265,331","$265,331"
"Sep 10, 2022",$0.07188,$0.07242,$0.06889,$0.06972,"$304,342","$304,342"
"Sep 09, 2022",$0.06463,$0.07222,$0.06384,$0.07189,"$303,701","$303,701"
"Sep 08, 2022",$0.06578,$0.0677,$0.06399,$0.06461,"$229,181","$229,181"
"Sep 07, 2022",$0.06531,$0.06603,$0.06304,$0.0658,"$273,063","$273,063"
"Sep 06, 2022",$0.06693,$0.06891,$0.06528,$0.06532,"$198,524","$198,524"
"Sep 05, 2022",$0.06715,$0.06732,$0.06498,$0.06692,"$252,352","$252,352"
"Sep 04, 2022",$0.06763,$0.06902,$0.06611,$0.06715,"$197,150","$197,150"
"Sep 03, 2022",$0.06693,$0.06841,$0.06623,$0.06763,"$261,886","$261,886"
"Sep 02, 2022",$0.06792,$0.06822,$0.06636,$0.06693,"$232,476","$232,476"
"Sep 01, 2022",$0.06766,$0.06823,$0.06638,$0.06793,"$365,795","$365,795"
"Aug 31, 2022",$0.06776,$0.06995,$0.06745,$0.06756,"$336,739","$336,739"
"Aug 30, 2022",$0.07208,$0.07224,$0.06675,$0.06777,"$428,076","$428,076"
"Aug 29, 2022",$0.06923,$0.07249,$0.06864,$0.07213,"$358,118","$358,118"
"Aug 28, 2022",$0.07003,$0.0707,$0.06915,$0.06919,"$335,710","$335,710"
"Aug 27, 2022",$0.07373,$0.07409,$0.06884,$0.07012,"$383,942","$383,942"
"Aug 26, 2022",$0.08301,$0.08613,$0.07375,$0.07375,"$648,056","$648,056"
"Aug 25, 2022",$0.07026,$0.0833,$0.07026,$0.08298,"$626,993","$626,993"
"Aug 24, 2022",$0.07062,$0.07102,$0.06962,$0.07026,"$184,003","$184,003"
"Aug 23, 2022",$0.06824,$0.07075,$0.06681,$0.07062,"$148,552","$148,552"
"Aug 22, 2022",$0.06847,$0.06852,$0.06609,$0.06824,"$204,517","$204,517"
"Aug 21, 2022",$0.06572,$0.06907,$0.06554,$0.0685,"$246,610","$246,610"
"Aug 20, 2022",$0.06928,$0.0701,$0.06444,$0.06569,"$219,919","$219,919"
"Aug 19, 2022",$0.07762,$0.07765,$0.06923,$0.06926,"$246,167","$246,167"
"Aug 18, 2022",$0.07959,$0.08016,$0.0776,$0.07761,"$226,384","$226,384"
"Aug 17, 2022",$0.08113,$0.08361,$0.07936,$0.07958,"$225,675","$225,675"
"Aug 16, 2022",$0.08267,$0.08341,$0.08085,$0.08116,"$204,083","$204,083"
"Aug 15, 2022",$0.08315,$0.08519,$0.08199,$0.08271,"$226,753","$226,753"
"Aug 14, 2022",$0.08129,$0.08529,$0.08108,$0.08314,"$274,720","$274,720"
"Aug 13, 2022",$0.07976,$0.08151,$0.0792,$0.08128,"$277,217","$277,217"
"Aug 12, 2022",$0.07828,$0.07976,$0.07719,$0.07971,"$205,210","$205,210"
"Aug 11, 2022",$0.07658,$0.08047,$0.07658,$0.07827,"$210,951","$210,951"
"Aug 10, 2022",$0.07355,$0.07708,$0.0722,$0.07655,"$242,894","$242,894"
"Aug 09, 2022",$0.07548,$0.07574,$0.07242,$0.07356,"$232,971","$232,971"
"Aug 08, 2022",$0.07267,$0.0761,$0.07266,$0.07541,"$232,093","$232,093"
"Aug 07, 2022",$0.0724,$0.07291,$0.07159,$0.0727,"$216,771","$216,771"
"Aug 06, 2022",$0.0733,$0.07391,$0.07236,$0.07236,"$199,314","$199,314"
"Aug 05, 2022",$0.07102,$0.07356,$0.07088,$0.07324,"$219,709","$219,709"
"Aug 04, 2022",$0.07185,$0.0734,$0.07063,$0.07101,"$214,765","$214,765"
"Aug 03, 2022",$0.0719,$0.0735,$0.07083,$0.07186,"$217,945","$217,945"
"Aug 02, 2022",$0.07402,$0.07444,$0.07073,$0.07185,"$244,492","$244,492"
"Aug 01, 2022",$0.07677,$0.07758,$0.07357,$0.07403,"$259,507","$259,507"
"Jul 31, 2022",$0.0794,$0.07944,$0.07659,$0.0767,"$279,200","$279,200"
"Jul 30, 2022",$0.07923,$0.08034,$0.07733,$0.07931,"$302,934","$302,934"
"Jul 29, 2022",$0.07921,$0.08019,$0.0776,$0.07928,"$289,217","$289,217"
"Jul 28, 2022",$0.07678,$0.08148,$0.07651,$0.07921,"$325,300","$325,300"
"Jul 27, 2022",$0.06986,$0.07677,$0.06986,$0.07677,"$294,831","$294,831"
"Jul 26, 2022",$0.0692,$0.06981,$0.06685,$0.06981,"$378,321","$378,321"
"Jul 25, 2022",$0.07311,$0.07327,$0.06921,$0.06921,"$277,817","$277,817"
"Jul 24, 2022",$0.07174,$0.07433,$0.07126,$0.07311,"$270,534","$270,534"
"Jul 23, 2022",$0.07199,$0.07304,$0.07066,$0.0718,"$263,272","$263,272"
"Jul 22, 2022",$0.07436,$0.07484,$0.0717,$0.072,"$261,477","$261,477"
"Jul 21, 2022",$0.07467,$0.07488,$0.07238,$0.07433,"$323,138","$323,138"
"Jul 20, 2022",$0.08454,$0.08454,$0.07466,$0.07469,"$343,542","$343,542"
"Jul 19, 2022",$0.07214,$0.0859,$0.07214,$0.08456,"$565,390","$565,390"
"Jul 18, 2022",$0.06027,$0.07232,$0.06023,$0.07232,"$647,939","$647,939"
"Jul 17, 2022",$0.06164,$0.06228,$0.0601,$0.06025,"$164,956","$164,956"
"Jul 16, 2022",$0.0582,$0.06248,$0.05623,$0.06162,"$255,451","$255,451"
"Jul 15, 2022",$0.05789,$0.05981,$0.05744,$0.0582,"$222,059","$222,059"
"Jul 14, 2022",$0.05676,$0.05806,$0.0547,$0.05793,"$203,629","$203,629"
"Jul 13, 2022",$0.05332,$0.05682,$0.05249,$0.05675,"$176,053","$176,053"
"Jul 12, 2022",$0.05606,$0.05612,$0.05336,$0.05337,"$154,711","$154,711"
"Jul 11, 2022",$0.05914,$0.05923,$0.05597,$0.05605,"$152,039","$152,039"
"Jul 10, 2022",$0.06169,$0.06187,$0.05894,$0.05918,"$175,108","$175,108"
"Jul 09, 2022",$0.06328,$0.0643,$0.06166,$0.06171,"$213,062","$213,062"
"Jul 08, 2022",$0.06037,$0.06388,$0.05906,$0.06323,"$225,469","$225,469"
"Jul 07, 2022",$0.05577,$0.06045,$0.05535,$0.06034,"$257,957","$257,957"
"Jul 06, 2022",$0.05521,$0.05614,$0.0534,$0.05581,"$209,396","$209,396"
"Jul 05, 2022",$0.05535,$0.05589,$0.05299,$0.05526,"$249,941","$249,941"
"Jul 04, 2022",$0.04972,$0.0553,$0.04882,$0.05529,"$278,160","$278,160"
"Jul 03, 2022",$0.05028,$0.05064,$0.0492,$0.04974,"$191,634","$191,634"
"Jul 02, 2022",$0.05506,$0.05515,$0.04997,$0.05027,"$225,208","$225,208"
"Jul 01, 2022",$0.05697,$0.05895,$0.05467,$0.05503,"$212,725","$212,725"
"Jun 30, 2022",$0.059,$0.05931,$0.0549,$0.05688,"$176,929","$176,929"
"Jun 29, 2022",$0.06011,$0.06106,$0.05836,$0.05905,"$167,104","$167,104"
"Jun 28, 2022",$0.06311,$0.06473,$0.06012,$0.06012,"$151,993","$151,993"
"Jun 27, 2022",$0.06257,$0.06545,$0.06217,$0.06315,"$136,980","$136,980"
"Jun 26, 2022",$0.06745,$0.06745,$0.06239,$0.06256,"$160,283","$160,283"
"Jun 25, 2022",$0.06757,$0.07015,$0.06663,$0.06749,"$195,134","$195,134"
"Jun 24, 2022",$0.06218,$0.08226,$0.06129,$0.06755,"$371,018","$371,018"
"Jun 23, 2022",$0.05958,$0.06286,$0.0593,$0.0622,"$149,111","$149,111"
"Jun 22, 2022",$0.06334,$0.06334,$0.05939,$0.05958,"$187,807","$187,807"
"Jun 21, 2022",$0.06225,$0.06467,$0.06151,$0.06328,"$154,799","$154,799"
"Jun 20, 2022",$0.06182,$0.06338,$0.05922,$0.06227,"$191,859","$191,859"
"Jun 19, 2022",$0.05474,$0.06224,$0.05305,$0.06164,"$266,562","$266,562"
"Jun 18, 2022",$0.06082,$0.06157,$0.05051,$0.0548,"$233,056","$233,056"
"Jun 17, 2022",$0.05848,$0.06265,$0.05813,$0.06083,"$225,866","$225,866"
"Jun 16, 2022",$0.06448,$0.067,$0.05808,$0.05846,"$186,924","$186,924"
"Jun 15, 2022",$0.06367,$0.06441,$0.05508,$0.06441,"$243,911","$243,911"
"Jun 14, 2022",$0.06046,$0.06575,$0.0573,$0.06304,"$258,026","$258,026"
"Jun 13, 2022",$0.07303,$0.0734,$0.05987,$0.06045,"$229,760","$229,760"
"Jun 12, 2022",$0.07452,$0.07482,$0.07063,$0.07302,"$219,054","$219,054"
"Jun 11, 2022",$0.08021,$0.08068,$0.07134,$0.0745,"$278,926","$278,926"
"Jun 10, 2022",$0.08369,$0.08369,$0.07978,$0.08022,"$278,628","$278,628"
"Jun 09, 2022",$0.08626,$0.08626,$0.08272,$0.08368,"$310,600","$310,600"
"Jun 08, 2022",$0.09059,$0.09198,$0.08618,$0.08625,"$373,576","$373,576"
"Jun 07, 2022",$0.08778,$0.09403,$0.07881,$0.0906,"$903,309","$903,309"
"Jun 06, 2022",$0.09044,$0.1028,$0.08733,$0.08769,"$1,323,257","$1,323,257"
"Jun 05, 2022",$0.08259,$0.09203,$0.082,$0.09037,"$669,029","$669,029"
"Jun 04, 2022",$0.08349,$0.08354,$0.08157,$0.08258,"$277,272","$277,272"
"Jun 03, 2022",$0.08678,$0.08698,$0.08272,$0.0835,"$429,751","$429,751"
"Jun 02, 2022",$0.09259,$0.0942,$0.08627,$0.08681,"$477,565","$477,565"
"Jun 01, 2022",$0.08607,$0.096,$0.08584,$0.0927,"$731,011","$731,011"
"May 31, 2022",$0.08743,$0.08832,$0.08521,$0.08605,"$320,473","$320,473"
"May 30, 2022",$0.083,$0.08801,$0.08246,$0.08746,"$477,432","$477,432"
"May 29, 2022",$0.08077,$0.08346,$0.08,$0.08303,"$429,889","$429,889"
"May 28, 2022",$0.07987,$0.08178,$0.07951,$0.08078,"$471,049","$471,049"
