Day,Open,High,Low,Close,Volume,Market Cap
"Sep 26, 2022",$0.3161,$0.3313,$0.2934,$0.3231,"$1,416","$1,416"
"Sep 25, 2022",$0.3367,$0.3373,$0.2941,$0.3161,$495,$495
"Sep 24, 2022",$0.3454,$0.3457,$0.2966,$0.3367,$297,$297
"Sep 23, 2022",$0.3263,$0.3468,$0.2918,$0.3454,"$1,259","$1,259"
"Sep 22, 2022",$0.3109,$0.3271,$0.2887,$0.3263,$113,$113
"Sep 21, 2022",$0.3281,$0.414,$0.2887,$0.3112,$830,$830
"Sep 20, 2022",$0.3366,$0.4076,$0.3164,$0.3281,"$1,582","$1,582"
"Sep 19, 2022",$0.3194,$0.358,$0.3028,$0.3365,"$1,564","$1,564"
"Sep 18, 2022",$0.3683,$0.3683,$0.3192,$0.3195,$712,$712
"Sep 17, 2022",$0.3619,$0.369,$0.3221,$0.3683,$411,$411
"Sep 16, 2022",$0.3339,$0.3636,$0.321,$0.3618,"$1,220","$1,220"
"Sep 15, 2022",$0.3372,$0.375,$0.3159,$0.3338,"$2,479","$2,479"
"Sep 14, 2022",$0.3314,$0.3775,$0.3234,$0.3372,"$1,390","$1,390"
"Sep 13, 2022",$0.3595,$0.4166,$0.3234,$0.3262,"$5,097","$5,097"
"Sep 12, 2022",$0.4032,$0.415,$0.3543,$0.3595,"$4,737","$4,737"
"Sep 11, 2022",$0.4011,$0.4034,$0.3753,$0.4032,"$2,688","$2,688"
"Sep 10, 2022",$0.4062,$0.427,$0.341,$0.3938,"$3,661","$3,661"
"Sep 09, 2022",$0.3597,$0.4063,$0.3109,$0.4062,"$3,845","$3,845"
"Sep 08, 2022",$0.3175,$0.3614,$0.3082,$0.3597,"$1,211","$1,211"
"Sep 07, 2022",$0.2944,$0.3587,$0.2903,$0.3175,"$3,199","$3,199"
"Sep 06, 2022",$0.3191,$0.3275,$0.2924,$0.2944,"$2,077","$2,077"
"Sep 05, 2022",$0.3102,$0.3217,$0.3051,$0.319,$86,$86
"Sep 04, 2022",$0.3193,$0.327,$0.3056,$0.3102,$330,$330
"Sep 03, 2022",$0.3274,$0.3285,$0.3057,$0.3076,$91,$91
"Sep 02, 2022",$0.3249,$0.3329,$0.3081,$0.3215,"$3,728","$3,728"
"Sep 01, 2022",$0.3272,$0.373,$0.309,$0.3249,"$1,308","$1,308"
"Aug 31, 2022",$0.3223,$0.3353,$0.3067,$0.3271,"$1,418","$1,418"
"Aug 30, 2022",$0.3118,$0.3373,$0.3095,$0.3223,$236,$236
"Aug 29, 2022",$0.3019,$0.3339,$0.3017,$0.3118,$956,$956
"Aug 28, 2022",$0.3275,$0.3301,$0.3019,$0.3019,$791,$791
"Aug 27, 2022",$0.3327,$0.334,$0.3082,$0.3275,"$1,042","$1,042"
"Aug 26, 2022",$0.3399,$0.3576,$0.3196,$0.3327,"$6,836","$6,836"
"Aug 25, 2022",$0.3342,$0.3594,$0.3337,$0.34,$708,$708
"Aug 24, 2022",$0.3278,$0.3652,$0.3228,$0.3342,"$3,462","$3,462"
"Aug 23, 2022",$0.3574,$0.3742,$0.3255,$0.3279,"$5,716","$5,716"
"Aug 22, 2022",$0.387,$0.387,$0.3304,$0.3574,"$6,697","$6,697"
"Aug 21, 2022",$0.3259,$0.3882,$0.3122,$0.3871,"$5,339","$5,339"
"Aug 20, 2022",$0.3329,$0.3506,$0.3225,$0.3259,"$1,958","$1,958"
