Day,Open,High,Low,Close,Volume,Market Cap
"Sep 10, 2022",$0.2732,$0.2856,$0.2709,$0.2749,"$203,278,096","$203,278,096"
"Sep 09, 2022",$0.2531,$0.2761,$0.253,$0.2732,"$181,868,838","$181,868,838"
"Sep 08, 2022",$0.2537,$0.2569,$0.2477,$0.2531,"$107,383,355","$107,383,355"
"Sep 07, 2022",$0.2447,$0.2571,$0.2404,$0.2536,"$116,550,907","$116,550,907"
"Sep 06, 2022",$0.2645,$0.2719,$0.2444,$0.2447,"$139,969,400","$139,969,400"
"Sep 05, 2022",$0.2729,$0.2755,$0.26,$0.2644,"$105,046,260","$105,046,260"
"Sep 04, 2022",$0.2672,$0.2734,$0.2664,$0.2729,"$71,630,525","$71,630,525"
"Sep 03, 2022",$0.2693,$0.2706,$0.2648,$0.2672,"$68,604,750","$68,604,750"
"Sep 02, 2022",$0.2723,$0.28,$0.2661,$0.2693,"$129,138,895","$129,138,895"
"Sep 01, 2022",$0.2732,$0.2756,$0.2635,$0.2724,"$137,608,701","$137,608,701"
"Aug 31, 2022",$0.2737,$0.2857,$0.2726,$0.2732,"$134,373,696","$134,373,696"
"Aug 30, 2022",$0.2824,$0.2875,$0.2681,$0.2736,"$149,696,672","$149,696,672"
"Aug 29, 2022",$0.2648,$0.2836,$0.2607,$0.2824,"$170,688,957","$170,688,957"
"Aug 28, 2022",$0.2745,$0.2804,$0.2648,$0.2648,"$118,602,408","$118,602,408"
"Aug 27, 2022",$0.2738,$0.2781,$0.2678,$0.2745,"$160,332,078","$160,332,078"
"Aug 26, 2022",$0.3075,$0.3075,$0.2721,$0.2737,"$254,823,256","$254,823,256"
"Aug 25, 2022",$0.3025,$0.3174,$0.3023,$0.3076,"$192,451,799","$192,451,799"
"Aug 24, 2022",$0.3054,$0.312,$0.2949,$0.3025,"$211,917,199","$211,917,199"
"Aug 23, 2022",$0.2966,$0.3074,$0.2889,$0.3054,"$183,301,177","$183,301,177"
"Aug 22, 2022",$0.3068,$0.307,$0.2858,$0.2966,"$280,798,101","$280,798,101"
"Aug 21, 2022",$0.2981,$0.3094,$0.2978,$0.3068,"$167,031,662","$167,031,662"
"Aug 20, 2022",$0.3004,$0.3123,$0.2893,$0.2982,"$228,778,209","$228,778,209"
"Aug 19, 2022",$0.3316,$0.3328,$0.2984,$0.3005,"$339,838,241","$339,838,241"
"Aug 18, 2022",$0.3476,$0.3617,$0.3317,$0.3317,"$188,100,148","$188,100,148"
"Aug 17, 2022",$0.3688,$0.3803,$0.3447,$0.3474,"$229,050,917","$229,050,917"
"Aug 16, 2022",$0.3721,$0.3781,$0.3661,$0.3689,"$233,526,012","$233,526,012"
"Aug 15, 2022",$0.3879,$0.4041,$0.3677,$0.3723,"$244,833,570","$244,833,570"
"Aug 14, 2022",$0.4,$0.4099,$0.3826,$0.3879,"$203,541,793","$203,541,793"
"Aug 13, 2022",$0.4027,$0.417,$0.3963,$0.4,"$191,869,811","$191,869,811"
"Aug 12, 2022",$0.3918,$0.4043,$0.3857,$0.4027,"$234,917,494","$234,917,494"
"Aug 11, 2022",$0.4087,$0.4133,$0.3894,$0.3918,"$336,567,856","$336,567,856"
"Aug 10, 2022",$0.3728,$0.4152,$0.3586,$0.4086,"$466,511,004","$466,511,004"
"Aug 09, 2022",$0.38,$0.3935,$0.3554,$0.3728,"$346,223,556","$346,223,556"
"Aug 08, 2022",$0.3711,$0.3912,$0.3708,$0.3801,"$332,250,158","$332,250,158"
"Aug 07, 2022",$0.3667,$0.3781,$0.3583,$0.371,"$239,127,620","$239,127,620"
"Aug 06, 2022",$0.3814,$0.3887,$0.3638,$0.3667,"$263,561,189","$263,561,189"
"Aug 05, 2022",$0.3673,$0.3851,$0.362,$0.3814,"$362,393,956","$362,393,956"
"Aug 04, 2022",$0.338,$0.3691,$0.3375,$0.3674,"$414,068,300","$414,068,300"
"Aug 03, 2022",$0.3297,$0.348,$0.319,$0.338,"$266,078,954","$266,078,954"
"Aug 02, 2022",$0.3433,$0.3481,$0.319,$0.3297,"$263,949,141","$263,949,141"
"Aug 01, 2022",$0.3293,$0.3458,$0.3249,$0.3433,"$232,691,026","$232,691,026"
"Jul 31, 2022",$0.3348,$0.3529,$0.3268,$0.3293,"$219,556,546","$219,556,546"
"Jul 30, 2022",$0.3349,$0.3599,$0.3322,$0.3347,"$293,171,072","$293,171,072"
"Jul 29, 2022",$0.3376,$0.3507,$0.3253,$0.3348,"$266,845,660","$266,845,660"
"Jul 28, 2022",$0.3311,$0.3436,$0.3177,$0.3377,"$259,277,902","$259,277,902"
"Jul 27, 2022",$0.3023,$0.3312,$0.2942,$0.3312,"$245,975,997","$245,975,997"
"Jul 26, 2022",$0.3042,$0.3046,$0.2893,$0.3023,"$204,071,768","$204,071,768"
"Jul 25, 2022",$0.3581,$0.3586,$0.3043,$0.3043,"$280,013,102","$280,013,102"
"Jul 24, 2022",$0.3423,$0.3668,$0.3311,$0.3582,"$306,833,300","$306,833,300"
"Jul 23, 2022",$0.3193,$0.3539,$0.3157,$0.3422,"$350,413,870","$350,413,870"
"Jul 22, 2022",$0.3321,$0.3427,$0.3138,$0.3195,"$237,018,497","$237,018,497"
"Jul 21, 2022",$0.3106,$0.3342,$0.2951,$0.332,"$282,608,968","$282,608,968"
"Jul 20, 2022",$0.3405,$0.3563,$0.3079,$0.3106,"$385,074,811","$385,074,811"
"Jul 19, 2022",$0.2973,$0.3466,$0.2879,$0.3405,"$589,761,333","$589,761,333"
"Jul 18, 2022",$0.2553,$0.2976,$0.2548,$0.2976,"$270,979,479","$270,979,479"
"Jul 17, 2022",$0.2628,$0.2712,$0.2552,$0.2552,"$125,286,167","$125,286,167"
"Jul 16, 2022",$0.2567,$0.2646,$0.2483,$0.2627,"$130,381,595","$130,381,595"
"Jul 15, 2022",$0.2534,$0.2634,$0.2498,$0.2567,"$169,656,664","$169,656,664"
"Jul 14, 2022",$0.2458,$0.2544,$0.2358,$0.2533,"$154,437,618","$154,437,618"
"Jul 13, 2022",$0.2351,$0.2457,$0.2232,$0.2457,"$172,803,674","$172,803,674"
"Jul 12, 2022",$0.2435,$0.2493,$0.2351,$0.2351,"$108,516,999","$108,516,999"
"Jul 11, 2022",$0.2666,$0.2666,$0.2431,$0.2435,"$126,072,866","$126,072,866"
"Jul 10, 2022",$0.2815,$0.282,$0.2626,$0.2667,"$123,655,151","$123,655,151"
"Jul 09, 2022",$0.2738,$0.2868,$0.273,$0.2815,"$126,519,167","$126,519,167"
"Jul 08, 2022",$0.2761,$0.2917,$0.2685,$0.274,"$198,152,753","$198,152,753"
"Jul 07, 2022",$0.262,$0.2792,$0.2594,$0.2761,"$150,375,187","$150,375,187"
"Jul 06, 2022",$0.2588,$0.265,$0.2516,$0.262,"$146,173,356","$146,173,356"
"Jul 05, 2022",$0.2649,$0.2721,$0.2476,$0.2588,"$169,241,755","$169,241,755"
"Jul 04, 2022",$0.2568,$0.2659,$0.2502,$0.265,"$133,449,241","$133,449,241"
"Jul 03, 2022",$0.2457,$0.2653,$0.2435,$0.2568,"$127,393,072","$127,393,072"
"Jul 02, 2022",$0.2463,$0.2486,$0.2375,$0.2457,"$98,052,516","$98,052,516"
"Jul 01, 2022",$0.2516,$0.2612,$0.245,$0.2461,"$165,332,584","$165,332,584"
"Jun 30, 2022",$0.2599,$0.2622,$0.2372,$0.2513,"$170,003,212","$170,003,212"
"Jun 29, 2022",$0.2708,$0.2782,$0.2555,$0.2598,"$167,766,131","$167,766,131"
"Jun 28, 2022",$0.2758,$0.293,$0.2696,$0.2708,"$169,324,764","$169,324,764"
"Jun 27, 2022",$0.2781,$0.2947,$0.2743,$0.2758,"$163,858,656","$163,858,656"
"Jun 26, 2022",$0.3034,$0.3141,$0.278,$0.2781,"$193,536,276","$193,536,276"
"Jun 25, 2022",$0.3011,$0.3156,$0.2893,$0.3029,"$228,625,431","$228,625,431"
"Jun 24, 2022",$0.2728,$0.3066,$0.2714,$0.3012,"$221,523,597","$221,523,597"
"Jun 23, 2022",$0.2524,$0.2744,$0.2524,$0.2729,"$167,650,880","$167,650,880"
"Jun 22, 2022",$0.2703,$0.2747,$0.2524,$0.2524,"$193,581,897","$193,581,897"
"Jun 21, 2022",$0.2528,$0.2935,$0.2501,$0.2702,"$219,428,945","$219,428,945"
"Jun 20, 2022",$0.2425,$0.2672,$0.2353,$0.2528,"$212,718,398","$212,718,398"
"Jun 19, 2022",$0.2199,$0.2432,$0.2122,$0.2424,"$172,414,106","$172,414,106"
"Jun 18, 2022",$0.2413,$0.2467,$0.206,$0.22,"$213,930,272","$213,930,272"
"Jun 17, 2022",$0.2226,$0.2456,$0.2217,$0.2414,"$170,178,619","$170,178,619"
"Jun 16, 2022",$0.2554,$0.2605,$0.2211,$0.2225,"$205,446,952","$205,446,952"
"Jun 15, 2022",$0.2344,$0.2553,$0.2106,$0.2553,"$343,387,868","$343,387,868"
"Jun 14, 2022",$0.2371,$0.2561,$0.2236,$0.2345,"$343,535,695","$343,535,695"
"Jun 13, 2022",$0.2259,$0.2446,$0.1961,$0.237,"$449,549,505","$449,549,505"
"Jun 12, 2022",$0.2764,$0.2809,$0.2262,$0.2262,"$346,847,758","$346,847,758"
"Jun 11, 2022",$0.3076,$0.3172,$0.2758,$0.2763,"$148,580,817","$148,580,817"
"Jun 10, 2022",$0.336,$0.3394,$0.3075,$0.3078,"$157,064,909","$157,064,909"
"Jun 09, 2022",$0.3385,$0.3506,$0.3306,$0.3361,"$146,747,569","$146,747,569"
"Jun 08, 2022",$0.3518,$0.3596,$0.3385,$0.3385,"$145,865,600","$145,865,600"
"Jun 07, 2022",$0.3649,$0.365,$0.3391,$0.3519,"$177,671,339","$177,671,339"
"Jun 06, 2022",$0.352,$0.3857,$0.351,$0.3649,"$210,484,631","$210,484,631"
"Jun 05, 2022",$0.3545,$0.3584,$0.3445,$0.3519,"$130,933,796","$130,933,796"
"Jun 04, 2022",$0.3562,$0.3575,$0.3429,$0.3545,"$156,330,152","$156,330,152"
"Jun 03, 2022",$0.3801,$0.3829,$0.3505,$0.3562,"$169,780,152","$169,780,152"
"Jun 02, 2022",$0.3679,$0.3826,$0.3549,$0.38,"$213,048,905","$213,048,905"
"Jun 01, 2022",$0.4032,$0.4099,$0.3628,$0.368,"$273,796,200","$273,796,200"
"May 31, 2022",$0.4146,$0.4289,$0.3919,$0.4031,"$308,332,004","$308,332,004"
"May 30, 2022",$0.3688,$0.4219,$0.3632,$0.4146,"$354,087,396","$354,087,396"
"May 29, 2022",$0.3723,$0.3756,$0.3544,$0.3687,"$199,749,256","$199,749,256"
"May 28, 2022",$0.3561,$0.3741,$0.3427,$0.3724,"$238,185,019","$238,185,019"
"May 27, 2022",$0.3788,$0.3802,$0.339,$0.3428,"$367,814,936","$367,814,936"
"May 26, 2022",$0.4023,$0.4155,$0.3475,$0.3791,"$472,164,062","$472,164,062"
"May 25, 2022",$0.4228,$0.4345,$0.4016,$0.4021,"$294,582,510","$294,582,510"
"May 24, 2022",$0.4341,$0.4536,$0.4013,$0.4228,"$468,483,490","$468,483,490"
"May 23, 2022",$0.4367,$0.5183,$0.4211,$0.4339,"$795,659,597","$795,659,597"
"May 22, 2022",$0.4125,$0.4532,$0.4045,$0.4372,"$609,020,306","$609,020,306"
