Day,Open,High,Low,Close,Volume,Market Cap
"Sep 19, 2022",$5.58,$5.84,$5.47,$5.76,"$2,902,495","$2,902,495"
"Sep 18, 2022",$5.92,$6.16,$5.58,$5.58,"$3,508,980","$3,508,980"
"Sep 17, 2022",$5.78,$5.93,$5.73,$5.92,"$1,833,559","$1,833,559"
"Sep 16, 2022",$5.60,$5.96,$5.45,$5.78,"$3,895,494","$3,895,494"
"Sep 15, 2022",$5.88,$5.91,$5.46,$5.60,"$3,426,877","$3,426,877"
"Sep 14, 2022",$6.13,$6.20,$5.63,$5.88,"$4,271,610","$4,271,610"
"Sep 13, 2022",$6.38,$6.60,$6.10,$6.17,"$5,618,477","$5,618,477"
"Sep 12, 2022",$6.58,$6.61,$6.18,$6.37,"$4,058,721","$4,058,721"
"Sep 11, 2022",$6.47,$6.85,$6.38,$6.57,"$4,139,991","$4,139,991"
"Sep 10, 2022",$6.41,$6.55,$6.39,$6.47,"$2,944,831","$2,944,831"
"Sep 09, 2022",$6.34,$6.54,$6.32,$6.41,"$2,906,627","$2,906,627"
"Sep 08, 2022",$6.38,$6.50,$6.17,$6.34,"$2,449,712","$2,449,712"
"Sep 07, 2022",$6.11,$6.48,$6.10,$6.38,"$3,907,938","$3,907,938"
"Sep 06, 2022",$6.66,$6.83,$6.11,$6.11,"$4,780,574","$4,780,574"
"Sep 05, 2022",$6.74,$6.91,$6.61,$6.66,"$2,861,724","$2,861,724"
"Sep 04, 2022",$6.86,$7.00,$6.66,$6.74,"$2,455,998","$2,455,998"
"Sep 03, 2022",$6.91,$7.13,$6.80,$6.86,"$3,995,616","$3,995,616"
"Sep 02, 2022",$6.85,$7.10,$6.72,$6.91,"$5,780,572","$5,780,572"
"Sep 01, 2022",$6.40,$7.08,$6.37,$6.85,"$10,902,725","$10,902,725"
"Aug 31, 2022",$6.05,$6.72,$6.05,$6.38,"$8,239,450","$8,239,450"
"Aug 30, 2022",$6.29,$6.30,$5.94,$6.05,"$2,676,330","$2,676,330"
"Aug 29, 2022",$5.88,$6.30,$5.79,$6.29,"$2,996,946","$2,996,946"
"Aug 28, 2022",$6.25,$6.53,$5.89,$5.89,"$4,463,489","$4,463,489"
