Day,Open,High,Low,Close,Volume,Market Cap
"Sep 10, 2022",$0.9949,$0.9968,$0.9743,$0.9868,"$760,292","$760,292"
"Sep 09, 2022",$0.995,$0.9994,$0.9903,$0.9949,"$1,171,811","$1,171,811"
"Sep 08, 2022",$0.9936,$0.9994,$0.9847,$0.9948,"$1,945,189","$1,945,189"
"Sep 07, 2022",$0.9881,$0.9987,$0.9839,$0.9937,"$2,784,249","$2,784,249"
"Sep 06, 2022",$0.998,$1.00,$0.9869,$0.9883,"$8,445,735","$8,445,735"
"Sep 05, 2022",$0.9925,$0.998,$0.9772,$0.9974,"$2,050,609","$2,050,609"
"Sep 04, 2022",$0.9914,$0.9982,$0.9872,$0.9925,"$4,196,041","$4,196,041"
"Sep 03, 2022",$0.9927,$0.9944,$0.9848,$0.9915,"$1,589,729","$1,589,729"
"Sep 02, 2022",$0.991,$1.00,$0.9885,$0.9928,"$1,433,236","$1,433,236"
"Sep 01, 2022",$0.9919,$0.9975,$0.9883,$0.9912,"$5,500,920","$5,500,920"
"Aug 31, 2022",$0.9917,$0.9985,$0.9895,$0.9917,"$7,952,807","$7,952,807"
"Aug 30, 2022",$0.9936,$1.00,$0.9864,$0.9915,"$3,968,096","$3,968,096"
"Aug 29, 2022",$0.9874,$0.9986,$0.9807,$0.9937,"$9,802,944","$9,802,944"
"Aug 28, 2022",$0.988,$0.9926,$0.982,$0.9874,"$2,297,863","$2,297,863"
"Aug 27, 2022",$0.9811,$0.9948,$0.9795,$0.988,"$4,126,780","$4,126,780"
"Aug 26, 2022",$0.9961,$0.9971,$0.9793,$0.9811,"$2,311,242","$2,311,242"
"Aug 25, 2022",$0.9922,$1.01,$0.9918,$0.9964,"$5,010,782","$5,010,782"
"Aug 24, 2022",$0.9924,$0.9957,$0.9847,$0.9922,"$5,185,379","$5,185,379"
"Aug 23, 2022",$0.9962,$0.9974,$0.9847,$0.9922,"$13,933,522","$13,933,522"
"Aug 22, 2022",$0.9851,$0.9971,$0.9851,$0.9965,"$20,660,086","$20,660,086"
"Aug 21, 2022",$0.9866,$0.9958,$0.9829,$0.985,"$27,321,818","$27,321,818"
"Aug 20, 2022",$0.9838,$0.997,$0.978,$0.9867,"$34,894,030","$34,894,030"
"Aug 19, 2022",$0.9837,$0.9913,$0.9742,$0.9841,"$53,054,093","$53,054,093"
"Aug 18, 2022",$0.9879,$0.9924,$0.9802,$0.9838,"$4,175,862","$4,175,862"
"Aug 17, 2022",$0.9829,$0.9913,$0.9756,$0.9878,"$1,836,055","$1,836,055"
"Aug 16, 2022",$0.9879,$0.9908,$0.979,$0.983,"$914,963","$914,963"
"Aug 15, 2022",$0.9884,$0.9956,$0.9799,$0.9881,"$1,050,638","$1,050,638"
"Aug 14, 2022",$0.9893,$0.9953,$0.9793,$0.9879,"$3,885,518","$3,885,518"
"Aug 13, 2022",$0.9859,$0.9951,$0.9815,$0.9892,"$653,373","$653,373"
"Aug 12, 2022",$0.9879,$0.9992,$0.9841,$0.9859,"$804,862","$804,862"
"Aug 11, 2022",$0.9935,$0.996,$0.9871,$0.988,"$1,413,767","$1,413,767"
"Aug 10, 2022",$0.9854,$0.9983,$0.9835,$0.9934,"$2,121,750","$2,121,750"
"Aug 09, 2022",$0.9876,$0.9904,$0.9839,$0.9859,"$1,321,732","$1,321,732"
"Aug 08, 2022",$0.9899,$0.9938,$0.9855,$0.9875,"$1,082,453","$1,082,453"
"Aug 07, 2022",$0.9923,$0.9941,$0.9858,$0.9897,"$904,689","$904,689"
"Aug 06, 2022",$0.9934,$1.00,$0.9915,$0.9923,"$1,131,608","$1,131,608"
"Aug 05, 2022",$0.9862,$0.996,$0.9832,$0.993,"$1,771,589","$1,771,589"
"Aug 04, 2022",$0.981,$0.9883,$0.9788,$0.9861,"$1,776,493","$1,776,493"
"Aug 03, 2022",$0.9902,$0.9966,$0.9808,$0.9808,"$2,145,616","$2,145,616"
"Aug 02, 2022",$0.9833,$0.9927,$0.9758,$0.9898,"$3,964,473","$3,964,473"
"Aug 01, 2022",$0.9852,$1.01,$0.9762,$0.9835,"$2,077,864","$2,077,864"
"Jul 31, 2022",$0.9848,$0.9953,$0.9828,$0.9852,"$1,374,959","$1,374,959"
"Jul 30, 2022",$0.9838,$0.9913,$0.9816,$0.9848,"$3,207,776","$3,207,776"
"Jul 29, 2022",$0.9873,$0.9925,$0.9819,$0.9839,"$5,036,580","$5,036,580"
"Jul 28, 2022",$0.9874,$0.9946,$0.9854,$0.9873,"$2,181,443","$2,181,443"
"Jul 27, 2022",$0.9859,$0.9898,$0.9821,$0.9874,"$1,594,841","$1,594,841"
"Jul 26, 2022",$0.9852,$0.9872,$0.9806,$0.9856,"$1,140,779","$1,140,779"
"Jul 25, 2022",$0.9884,$0.9931,$0.9823,$0.9846,"$2,066,327","$2,066,327"
"Jul 24, 2022",$0.9873,$0.9927,$0.9842,$0.9885,"$1,293,877","$1,293,877"
"Jul 23, 2022",$0.9849,$0.9915,$0.984,$0.9873,"$1,588,200","$1,588,200"
"Jul 22, 2022",$0.9907,$0.9962,$0.9838,$0.985,"$1,858,832","$1,858,832"
"Jul 21, 2022",$0.9889,$0.994,$0.9876,$0.9907,"$2,137,630","$2,137,630"
"Jul 20, 2022",$0.9959,$0.9977,$0.9875,$0.9888,"$2,559,093","$2,559,093"
"Jul 19, 2022",$0.9965,$1.00,$0.9845,$0.9961,"$1,916,699","$1,916,699"
"Jul 18, 2022",$1.00,$1.01,$0.9907,$0.9968,"$3,364,188","$3,364,188"
"Jul 17, 2022",$0.9935,$1.01,$0.9911,$1.00,"$1,210,544","$1,210,544"
"Jul 16, 2022",$0.9941,$0.9969,$0.9853,$0.9934,"$1,854,844","$1,854,844"
"Jul 15, 2022",$0.9853,$0.9953,$0.9828,$0.9942,"$1,743,600","$1,743,600"
"Jul 14, 2022",$0.9869,$0.9975,$0.9834,$0.9853,"$1,925,097","$1,925,097"
"Jul 13, 2022",$0.9855,$0.9972,$0.9808,$0.9869,"$2,663,483","$2,663,483"
"Jul 12, 2022",$0.9855,$0.9967,$0.9829,$0.9855,"$3,002,976","$3,002,976"
"Jul 11, 2022",$0.9936,$1.00,$0.9841,$0.9856,"$3,078,463","$3,078,463"
"Jul 10, 2022",$0.9914,$0.9959,$0.9825,$0.9937,"$9,299,255","$9,299,255"
"Jul 09, 2022",$0.9922,$0.9941,$0.9882,$0.9914,"$2,875,503","$2,875,503"
"Jul 08, 2022",$0.9977,$0.9996,$0.9907,$0.9922,"$2,163,386","$2,163,386"
"Jul 07, 2022",$1.00,$1.01,$0.9946,$0.9977,"$2,616,824","$2,616,824"
"Jul 06, 2022",$0.9967,$1.00,$0.9904,$1.00,"$7,959,418","$7,959,418"
"Jul 05, 2022",$0.9965,$1.00,$0.9829,$0.9966,"$2,487,302","$2,487,302"
