Day,Open,High,Low,Close,Volume,Market Cap
"Sep 18, 2022",$0.0887,$0.08878,$0.08085,$0.08133,"$7,788,327","$7,788,327"
"Sep 17, 2022",$0.08651,$0.09003,$0.0865,$0.08871,"$5,961,261","$5,961,261"
"Sep 16, 2022",$0.09141,$0.09186,$0.08615,$0.08647,"$12,975,423","$12,975,423"
"Sep 15, 2022",$0.09201,$0.09816,$0.08775,$0.09139,"$24,604,786","$24,604,786"
"Sep 14, 2022",$0.08596,$0.09757,$0.08423,$0.09202,"$22,071,027","$22,071,027"
"Sep 13, 2022",$0.09124,$0.09162,$0.08458,$0.08669,"$9,114,803","$9,114,803"
"Sep 12, 2022",$0.09509,$0.09833,$0.09033,$0.09123,"$11,526,558","$11,526,558"
"Sep 11, 2022",$0.09907,$0.101,$0.09436,$0.09516,"$9,793,582","$9,793,582"
"Sep 10, 2022",$0.09535,$0.1026,$0.09372,$0.09909,"$16,773,437","$16,773,437"
"Sep 09, 2022",$0.09286,$0.09636,$0.09128,$0.09538,"$14,989,051","$14,989,051"
"Sep 08, 2022",$0.09736,$0.09903,$0.09035,$0.09285,"$28,242,713","$28,242,713"
"Sep 07, 2022",$0.0774,$0.103,$0.07635,$0.0974,"$103,226,706","$103,226,706"
"Sep 06, 2022",$0.08215,$0.08399,$0.07653,$0.07743,"$8,608,622","$8,608,622"
"Sep 05, 2022",$0.0829,$0.08318,$0.08111,$0.08215,"$6,565,293","$6,565,293"
"Sep 04, 2022",$0.08264,$0.08303,$0.08068,$0.0829,"$6,593,176","$6,593,176"
"Sep 03, 2022",$0.08092,$0.08419,$0.08037,$0.08263,"$6,394,571","$6,394,571"
"Sep 02, 2022",$0.08188,$0.08542,$0.08078,$0.08092,"$7,514,903","$7,514,903"
"Sep 01, 2022",$0.08129,$0.08225,$0.07952,$0.08188,"$7,832,974","$7,832,974"
"Aug 31, 2022",$0.08045,$0.08381,$0.08045,$0.08129,"$6,479,820","$6,479,820"
"Aug 30, 2022",$0.08442,$0.08536,$0.07926,$0.08044,"$5,452,736","$5,452,736"
"Aug 29, 2022",$0.07847,$0.08456,$0.07805,$0.08442,"$6,306,271","$6,306,271"
"Aug 28, 2022",$0.08501,$0.08509,$0.07846,$0.07846,"$9,104,234","$9,104,234"
"Aug 27, 2022",$0.08553,$0.08631,$0.0837,$0.08502,"$9,767,506","$9,767,506"
"Aug 26, 2022",$0.09114,$0.09116,$0.08479,$0.08552,"$10,697,523","$10,697,523"
"Aug 25, 2022",$0.09095,$0.09288,$0.08996,$0.09117,"$8,753,980","$8,753,980"
"Aug 24, 2022",$0.09174,$0.09343,$0.0895,$0.09094,"$6,684,392","$6,684,392"
"Aug 23, 2022",$0.08945,$0.09453,$0.08815,$0.09175,"$11,871,014","$11,871,014"
"Aug 22, 2022",$0.08917,$0.08944,$0.08489,$0.08944,"$11,089,844","$11,089,844"
"Aug 21, 2022",$0.08527,$0.0941,$0.08517,$0.08917,"$13,301,448","$13,301,448"
"Aug 20, 2022",$0.08486,$0.08816,$0.08287,$0.08526,"$8,510,850","$8,510,850"
"Aug 19, 2022",$0.09437,$0.09443,$0.08394,$0.08487,"$10,607,580","$10,607,580"
"Aug 18, 2022",$0.1019,$0.1026,$0.09429,$0.09439,"$10,073,769","$10,073,769"
"Aug 17, 2022",$0.1078,$0.1125,$0.09952,$0.1019,"$14,922,053","$14,922,053"
"Aug 16, 2022",$0.1009,$0.1164,$0.1006,$0.1078,"$46,968,008","$46,968,008"
"Aug 15, 2022",$0.09959,$0.1047,$0.0962,$0.1009,"$12,959,627","$12,959,627"
"Aug 14, 2022",$0.1008,$0.105,$0.09724,$0.09964,"$13,239,469","$13,239,469"
"Aug 13, 2022",$0.1037,$0.1052,$0.1006,$0.1008,"$11,156,533","$11,156,533"
"Aug 12, 2022",$0.09722,$0.1042,$0.09575,$0.1037,"$11,946,632","$11,946,632"
"Aug 11, 2022",$0.09964,$0.1025,$0.09683,$0.09726,"$12,308,338","$12,308,338"
"Aug 10, 2022",$0.09592,$0.09969,$0.09273,$0.09964,"$12,072,087","$12,072,087"
"Aug 09, 2022",$0.1018,$0.1027,$0.09452,$0.09594,"$11,638,207","$11,638,207"
"Aug 08, 2022",$0.1042,$0.1052,$0.1015,$0.1018,"$14,871,085","$14,871,085"
"Aug 07, 2022",$0.102,$0.1049,$0.1003,$0.1041,"$12,779,995","$12,779,995"
"Aug 06, 2022",$0.1006,$0.1039,$0.1003,$0.102,"$10,134,845","$10,134,845"
"Aug 05, 2022",$0.09641,$0.1011,$0.09641,$0.1006,"$12,715,202","$12,715,202"
"Aug 04, 2022",$0.09594,$0.1046,$0.09335,$0.09644,"$23,850,989","$23,850,989"
