Day,Open,High,Low,Close,Volume,Market Cap
"Sep 10, 2022",$6.38,$6.54,$6.23,$6.36,"$244,893,720","$244,893,720"
"Sep 09, 2022",$5.86,$6.45,$5.86,$6.38,"$338,433,960","$338,433,960"
"Sep 08, 2022",$5.85,$5.95,$5.72,$5.86,"$183,666,019","$183,666,019"
"Sep 07, 2022",$5.61,$5.94,$5.56,$5.85,"$191,565,230","$191,565,230"
"Sep 06, 2022",$6.13,$6.28,$5.59,$5.61,"$269,790,495","$269,790,495"
"Sep 05, 2022",$6.26,$6.31,$5.94,$6.13,"$194,588,259","$194,588,259"
"Sep 04, 2022",$6.52,$6.59,$6.16,$6.26,"$206,437,211","$206,437,211"
"Sep 03, 2022",$5.83,$6.59,$5.81,$6.52,"$471,942,594","$471,942,594"
"Sep 02, 2022",$5.77,$5.96,$5.71,$5.83,"$215,076,713","$215,076,713"
"Sep 01, 2022",$5.74,$5.80,$5.61,$5.77,"$167,138,976","$167,138,976"
"Aug 31, 2022",$5.71,$5.88,$5.70,$5.74,"$183,454,088","$183,454,088"
"Aug 30, 2022",$6.02,$6.07,$5.60,$5.71,"$195,454,699","$195,454,699"
"Aug 29, 2022",$5.62,$6.04,$5.55,$6.02,"$186,036,630","$186,036,630"
"Aug 28, 2022",$5.83,$5.88,$5.61,$5.62,"$157,396,573","$157,396,573"
"Aug 27, 2022",$5.65,$5.86,$5.61,$5.83,"$212,303,548","$212,303,548"
"Aug 26, 2022",$6.36,$6.36,$5.60,$5.65,"$316,005,694","$316,005,694"
"Aug 25, 2022",$6.28,$6.48,$6.28,$6.36,"$209,209,416","$209,209,416"
"Aug 24, 2022",$6.38,$6.53,$6.19,$6.28,"$246,562,839","$246,562,839"
"Aug 23, 2022",$6.32,$6.44,$6.13,$6.38,"$207,326,848","$207,326,848"
"Aug 22, 2022",$6.41,$6.42,$6.05,$6.32,"$232,443,391","$232,443,391"
"Aug 21, 2022",$6.25,$6.53,$6.23,$6.42,"$227,340,316","$227,340,316"
"Aug 20, 2022",$6.47,$6.70,$6.09,$6.25,"$308,613,756","$308,613,756"
"Aug 19, 2022",$7.49,$7.54,$6.42,$6.47,"$546,726,899","$546,726,899"
"Aug 18, 2022",$8.18,$8.27,$7.08,$7.49,"$307,861,129","$307,861,129"
"Aug 17, 2022",$8.43,$8.86,$8.08,$8.18,"$405,716,782","$405,716,782"
"Aug 16, 2022",$8.47,$8.77,$8.18,$8.43,"$425,628,930","$425,628,930"
"Aug 15, 2022",$8.24,$8.52,$8.04,$8.47,"$327,166,697","$327,166,697"
"Aug 14, 2022",$8.35,$8.73,$8.04,$8.24,"$333,537,515","$333,537,515"
"Aug 13, 2022",$8.76,$8.84,$8.31,$8.35,"$308,188,371","$308,188,371"
"Aug 12, 2022",$8.36,$8.79,$8.20,$8.76,"$362,119,526","$362,119,526"
"Aug 11, 2022",$8.29,$8.97,$8.27,$8.36,"$440,521,796","$440,521,796"
"Aug 10, 2022",$8.04,$8.51,$7.77,$8.29,"$431,276,448","$431,276,448"
"Aug 09, 2022",$8.71,$8.83,$7.95,$8.04,"$456,956,171","$456,956,171"
"Aug 08, 2022",$8.79,$9.37,$8.63,$8.71,"$444,481,646","$444,481,646"
"Aug 07, 2022",$9.46,$9.46,$8.68,$8.78,"$422,489,865","$422,489,865"
"Aug 06, 2022",$8.34,$9.47,$8.20,$9.46,"$853,213,474","$853,213,474"
"Aug 05, 2022",$8.09,$8.40,$8.06,$8.34,"$441,197,263","$441,197,263"
"Aug 04, 2022",$8.09,$8.61,$7.89,$8.10,"$521,361,180","$521,361,180"
"Aug 03, 2022",$8.16,$8.67,$7.94,$8.09,"$753,411,135","$753,411,135"
"Aug 02, 2022",$8.81,$8.86,$7.71,$8.16,"$1,119,761,019","$1,119,761,019"
"Aug 01, 2022",$9.83,$11.24,$8.40,$8.81,"$1,494,547,956","$1,494,547,956"
"Jul 31, 2022",$8.03,$10.62,$7.96,$9.84,"$1,936,604,101","$1,936,604,101"
"Jul 30, 2022",$5.96,$8.82,$5.96,$8.05,"$1,463,241,397","$1,463,241,397"
"Jul 29, 2022",$5.94,$6.19,$5.81,$5.96,"$320,543,545","$320,543,545"
"Jul 28, 2022",$5.64,$6.04,$5.56,$5.94,"$294,740,493","$294,740,493"
"Jul 27, 2022",$5.31,$5.64,$5.23,$5.64,"$169,447,682","$169,447,682"
"Jul 26, 2022",$5.24,$5.31,$5.13,$5.31,"$153,312,731","$153,312,731"
"Jul 25, 2022",$5.65,$5.68,$5.24,$5.24,"$162,017,843","$162,017,843"
"Jul 24, 2022",$5.58,$5.81,$5.55,$5.65,"$150,703,589","$150,703,589"
"Jul 23, 2022",$5.48,$5.65,$5.42,$5.58,"$135,364,385","$135,364,385"
"Jul 22, 2022",$5.63,$5.80,$5.45,$5.49,"$162,608,817","$162,608,817"
"Jul 21, 2022",$5.58,$5.73,$5.40,$5.63,"$191,380,127","$191,380,127"
"Jul 20, 2022",$6.05,$6.17,$5.54,$5.58,"$277,047,918","$277,047,918"
"Jul 19, 2022",$5.98,$6.21,$5.70,$6.06,"$257,496,139","$257,496,139"
"Jul 18, 2022",$5.69,$6.13,$5.65,$5.99,"$256,056,314","$256,056,314"
"Jul 17, 2022",$5.39,$5.90,$5.38,$5.69,"$193,594,561","$193,594,561"
"Jul 16, 2022",$5.23,$5.43,$5.17,$5.39,"$92,453,791","$92,453,791"
"Jul 15, 2022",$5.36,$5.45,$5.22,$5.23,"$100,784,299","$100,784,299"
