Day,Open,High,Low,Close,Volume,Market Cap
"Sep 25, 2022",$1.69,$2.35,$1.65,$2.35,"$5,076,678","$5,076,678"
"Sep 24, 2022",$1.48,$2.16,$1.45,$1.71,"$6,309,077","$6,309,077"
"Sep 23, 2022",$0.987,$2.18,$0.8906,$1.48,"$11,804,883","$11,804,883"
"Sep 22, 2022",$0.7588,$1.61,$0.7511,$0.9871,"$742,989","$742,989"
"Sep 21, 2022",$0.7732,$0.7984,$0.7029,$0.7589,"$230,854","$230,854"
"Sep 20, 2022",$0.7669,$0.8205,$0.742,$0.7734,"$233,996","$233,996"
"Sep 19, 2022",$0.7351,$0.7892,$0.7186,$0.7668,"$233,635","$233,635"
"Sep 18, 2022",$0.7356,$0.909,$0.7232,$0.7351,"$230,442","$230,442"
"Sep 17, 2022",$0.7581,$0.777,$0.7243,$0.7358,"$218,257","$218,257"
"Sep 16, 2022",$0.7171,$0.7678,$0.7111,$0.7579,"$213,812","$213,812"
"Sep 15, 2022",$0.7784,$0.7802,$0.7097,$0.717,"$196,495","$196,495"
"Sep 14, 2022",$0.7863,$0.8107,$0.7377,$0.7784,"$198,713","$198,713"
"Sep 13, 2022",$0.8442,$0.8733,$0.7683,$0.7751,"$234,292","$234,292"
"Sep 12, 2022",$0.8486,$0.9221,$0.8211,$0.8443,"$246,146","$246,146"
"Sep 11, 2022",$0.9185,$0.9741,$0.8406,$0.8486,"$210,557","$210,557"
"Sep 10, 2022",$0.8826,$0.9217,$0.8259,$0.9186,"$217,795","$217,795"
"Sep 09, 2022",$0.8762,$0.922,$0.8383,$0.8827,"$237,880","$237,880"
"Sep 08, 2022",$0.901,$0.9087,$0.8422,$0.8763,"$217,252","$217,252"
"Sep 07, 2022",$0.8902,$0.9363,$0.8733,$0.901,"$256,156","$256,156"
"Sep 06, 2022",$0.949,$0.9964,$0.8717,$0.8904,"$251,719","$251,719"
"Sep 05, 2022",$0.9783,$1.01,$0.9271,$0.949,"$249,437","$249,437"
"Sep 04, 2022",$0.9691,$1.02,$0.9534,$0.9782,"$242,485","$242,485"
"Sep 03, 2022",$0.9665,$0.985,$0.9427,$0.9697,"$225,408","$225,408"
"Sep 02, 2022",$0.9727,$1.04,$0.9263,$0.9661,"$187,120","$187,120"
"Sep 01, 2022",$1.02,$1.03,$0.9464,$0.9726,"$206,937","$206,937"
"Aug 31, 2022",$0.9567,$1.07,$0.9567,$1.02,"$187,890","$187,890"
"Aug 30, 2022",$0.9794,$0.9943,$0.9439,$0.9566,"$161,430","$161,430"
"Aug 29, 2022",$0.9407,$0.9916,$0.8758,$0.9798,"$165,648","$165,648"
"Aug 28, 2022",$0.9267,$1.00,$0.9106,$0.9423,"$153,337","$153,337"
"Aug 27, 2022",$0.8701,$0.9787,$0.8585,$0.9268,"$162,615","$162,615"
"Aug 26, 2022",$1.02,$1.07,$0.8346,$0.8703,"$157,657","$157,657"
"Aug 25, 2022",$1.13,$1.13,$1.01,$1.02,"$149,217","$149,217"
"Aug 24, 2022",$1.10,$1.18,$1.04,$1.13,"$182,312","$182,312"
"Aug 23, 2022",$1.11,$1.18,$1.03,$1.10,"$230,331","$230,331"
"Aug 22, 2022",$1.03,$1.12,$0.9533,$1.11,"$226,190","$226,190"
"Aug 21, 2022",$1.02,$1.08,$0.9502,$1.03,"$197,481","$197,481"
"Aug 20, 2022",$1.10,$1.13,$0.9884,$1.02,"$206,729","$206,729"
"Aug 19, 2022",$1.17,$1.29,$1.08,$1.10,"$308,064","$308,064"
"Aug 18, 2022",$1.11,$1.26,$1.01,$1.17,"$276,458","$276,458"
"Aug 17, 2022",$1.23,$1.33,$1.08,$1.11,"$336,544","$336,544"
"Aug 16, 2022",$0.8267,$1.23,$0.8089,$1.23,"$284,394","$284,394"
"Aug 15, 2022",$0.7609,$0.8663,$0.7081,$0.8265,"$181,009","$181,009"
"Aug 14, 2022",$0.6889,$0.8001,$0.6882,$0.7609,"$154,606","$154,606"
"Aug 13, 2022",$0.6502,$0.7135,$0.6439,$0.6888,"$122,058","$122,058"
"Aug 12, 2022",$0.6458,$0.6899,$0.5969,$0.6502,"$119,555","$119,555"
"Aug 11, 2022",$0.7049,$0.7331,$0.621,$0.6459,"$169,694","$169,694"
"Aug 10, 2022",$0.453,$0.8917,$0.4458,$0.699,"$214,443","$214,443"
"Aug 09, 2022",$0.4094,$0.4821,$0.3841,$0.4533,"$100,015","$100,015"
"Aug 08, 2022",$0.3693,$0.4176,$0.361,$0.4094,"$83,914","$83,914"
"Aug 07, 2022",$0.3619,$0.4103,$0.3447,$0.3693,"$75,952","$75,952"
"Aug 06, 2022",$0.3503,$0.4129,$0.3443,$0.3619,"$63,632","$63,632"
"Aug 05, 2022",$0.3358,$0.3503,$0.3286,$0.3503,"$62,682","$62,682"
"Aug 04, 2022",$0.3119,$0.3372,$0.3119,$0.3358,"$55,487","$55,487"
"Aug 03, 2022",$0.2984,$0.3262,$0.2932,$0.3119,"$46,535","$46,535"
"Aug 02, 2022",$0.312,$0.3213,$0.2962,$0.2983,"$49,579","$49,579"
"Aug 01, 2022",$0.2734,$0.3281,$0.2725,$0.312,"$55,229","$55,229"
"Jul 31, 2022",$0.2883,$0.2958,$0.2678,$0.2735,"$48,225","$48,225"
"Jul 30, 2022",$0.2743,$0.3295,$0.2727,$0.288,"$56,441","$56,441"
"Jul 29, 2022",$0.2598,$0.3773,$0.2497,$0.2743,"$105,950","$105,950"
"Jul 28, 2022",$0.2583,$0.269,$0.2465,$0.2598,"$52,377","$52,377"
"Jul 27, 2022",$0.2474,$0.2593,$0.2253,$0.2583,"$45,014","$45,014"
"Jul 26, 2022",$0.2477,$0.2487,$0.2389,$0.2474,"$40,255","$40,255"
"Jul 25, 2022",$0.2569,$0.26,$0.2454,$0.2476,"$50,692","$50,692"
"Jul 24, 2022",$0.2549,$0.2696,$0.2506,$0.2567,"$40,578","$40,578"
"Jul 23, 2022",$0.2449,$0.2569,$0.2427,$0.2549,"$32,798","$32,798"
"Jul 22, 2022",$0.2555,$0.2562,$0.2403,$0.2449,"$43,748","$43,748"
"Jul 21, 2022",$0.2423,$0.2568,$0.2349,$0.2554,"$41,413","$41,413"
"Jul 20, 2022",$0.2556,$0.2642,$0.2403,$0.2424,"$36,346","$36,346"
"Jul 19, 2022",$0.2582,$0.2641,$0.2471,$0.2555,"$42,732","$42,732"
"Jul 18, 2022",$0.2464,$0.2703,$0.2464,$0.2582,"$46,658","$46,658"
"Jul 17, 2022",$0.2531,$0.2576,$0.2461,$0.2463,"$38,800","$38,800"
"Jul 16, 2022",$0.2465,$0.2614,$0.2435,$0.2531,"$38,121","$38,121"
"Jul 15, 2022",$0.2418,$0.2517,$0.238,$0.2465,"$39,193","$39,193"
"Jul 14, 2022",$0.2328,$0.2492,$0.2298,$0.2418,"$40,758","$40,758"
"Jul 13, 2022",$0.2232,$0.2433,$0.2188,$0.2328,"$42,671","$42,671"
"Jul 12, 2022",$0.2439,$0.2502,$0.2191,$0.2232,"$43,785","$43,785"
"Jul 11, 2022",$0.2469,$0.2989,$0.2343,$0.244,"$51,574","$51,574"
"Jul 10, 2022",$0.2446,$0.2569,$0.24,$0.247,"$37,966","$37,966"
"Jul 09, 2022",$0.2427,$0.251,$0.2395,$0.2446,"$38,946","$38,946"
"Jul 08, 2022",$0.248,$0.252,$0.2346,$0.2427,"$30,232","$30,232"
"Jul 07, 2022",$0.2393,$0.2492,$0.2332,$0.248,"$32,422","$32,422"
"Jul 06, 2022",$0.2354,$0.2409,$0.2314,$0.2393,"$30,934","$30,934"
"Jul 05, 2022",$0.241,$0.2438,$0.2302,$0.2353,"$30,743","$30,743"
"Jul 04, 2022",$0.2334,$0.2421,$0.2284,$0.241,"$30,779","$30,779"
"Jul 03, 2022",$0.231,$0.2378,$0.2261,$0.2334,"$29,509","$29,509"
"Jul 02, 2022",$0.2249,$0.2414,$0.2246,$0.231,"$25,226","$25,226"
"Jul 01, 2022",$0.2312,$0.2385,$0.2215,$0.2248,"$29,502","$29,502"
"Jun 30, 2022",$0.2377,$0.24,$0.2167,$0.231,"$29,085","$29,085"
"Jun 29, 2022",$0.2313,$0.2482,$0.23,$0.2376,"$28,836","$28,836"
"Jun 28, 2022",$0.2482,$0.2659,$0.2269,$0.2313,"$29,478","$29,478"
"Jun 27, 2022",$0.2308,$0.2594,$0.2308,$0.2483,"$34,125","$34,125"
"Jun 26, 2022",$0.2478,$0.2544,$0.2305,$0.2308,"$29,119","$29,119"
"Jun 25, 2022",$0.2432,$0.2505,$0.2321,$0.2478,"$22,018","$22,018"
"Jun 24, 2022",$0.2369,$0.2459,$0.2349,$0.2433,"$30,890","$30,890"
"Jun 23, 2022",$0.232,$0.2409,$0.2281,$0.237,"$32,510","$32,510"
"Jun 22, 2022",$0.2273,$0.2363,$0.2172,$0.232,"$30,308","$30,308"
"Jun 21, 2022",$0.2264,$0.2385,$0.2233,$0.2272,"$30,310","$30,310"
"Jun 20, 2022",$0.2303,$0.2348,$0.2169,$0.2264,"$33,550","$33,550"
"Jun 19, 2022",$0.2223,$0.2384,$0.2111,$0.2303,"$32,602","$32,602"
"Jun 18, 2022",$0.2397,$0.2441,$0.2132,$0.2223,"$29,686","$29,686"
"Jun 17, 2022",$0.236,$0.2562,$0.2342,$0.2397,"$34,281","$34,281"
"Jun 16, 2022",$0.2605,$0.2654,$0.231,$0.236,"$34,733","$34,733"
"Jun 15, 2022",$0.2393,$0.2808,$0.2189,$0.2604,"$41,761","$41,761"
"Jun 14, 2022",$0.2381,$0.2464,$0.2173,$0.2394,"$37,148","$37,148"
"Jun 13, 2022",$0.2426,$0.2483,$0.2147,$0.2381,"$36,151","$36,151"
"Jun 12, 2022",$0.2623,$0.2654,$0.241,$0.2428,"$31,839","$31,839"
"Jun 11, 2022",$0.2852,$0.2959,$0.2621,$0.2622,"$36,616","$36,616"
"Jun 10, 2022",$0.3027,$0.3046,$0.2834,$0.2852,"$39,891","$39,891"
"Jun 09, 2022",$0.3018,$0.3112,$0.2991,$0.3027,"$54,821","$54,821"
"Jun 08, 2022",$0.3078,$0.3117,$0.2974,$0.3018,"$49,330","$49,330"
"Jun 07, 2022",$0.3163,$0.3195,$0.2934,$0.3078,"$56,842","$56,842"
"Jun 06, 2022",$0.3157,$0.3338,$0.3126,$0.3162,"$51,013","$51,013"
"Jun 05, 2022",$0.3352,$0.3378,$0.3058,$0.3157,"$48,367","$48,367"
"Jun 04, 2022",$0.3065,$0.3351,$0.3065,$0.3351,"$55,034","$55,034"
"Jun 03, 2022",$0.3078,$0.3106,$0.2989,$0.3063,"$57,884","$57,884"
"Jun 02, 2022",$0.2934,$0.3099,$0.2917,$0.3079,"$49,547","$49,547"
"Jun 01, 2022",$0.3136,$0.3294,$0.2876,$0.2935,"$52,408","$52,408"
"May 31, 2022",$0.315,$0.3299,$0.3008,$0.3135,"$52,643","$52,643"
"May 30, 2022",$0.2995,$0.3166,$0.2909,$0.315,"$61,735","$61,735"
"May 29, 2022",$0.3008,$0.3037,$0.2884,$0.2995,"$53,114","$53,114"
"May 28, 2022",$0.3023,$0.3103,$0.2843,$0.3008,"$58,276","$58,276"
"May 27, 2022",$0.324,$0.324,$0.2828,$0.2972,"$40,960","$40,960"
"May 26, 2022",$0.3375,$0.3483,$0.2989,$0.324,"$49,480","$49,480"
"May 25, 2022",$0.3139,$0.3595,$0.309,$0.3374,"$53,605","$53,605"
"May 24, 2022",$0.3282,$0.3428,$0.3021,$0.3139,"$47,989","$47,989"
"May 23, 2022",$0.329,$0.3479,$0.312,$0.3282,"$44,813","$44,813"
"May 22, 2022",$0.3466,$0.3545,$0.3204,$0.329,"$47,076","$47,076"
"May 21, 2022",$0.3716,$0.3829,$0.2962,$0.3466,"$55,212","$55,212"
"May 20, 2022",$0.3747,$0.4049,$0.3546,$0.3716,"$60,351","$60,351"
"May 19, 2022",$0.3324,$0.4423,$0.306,$0.3751,"$73,473","$73,473"
"May 18, 2022",$0.2891,$0.3996,$0.2721,$0.3325,"$76,253","$76,253"
"May 17, 2022",$0.2821,$0.3189,$0.2665,$0.2891,"$43,597","$43,597"
"May 16, 2022",$0.2864,$0.2993,$0.2572,$0.282,"$39,507","$39,507"
"May 15, 2022",$0.276,$0.288,$0.2581,$0.2864,"$36,838","$36,838"
"May 14, 2022",$0.2658,$0.2868,$0.2555,$0.276,"$39,742","$39,742"
"May 13, 2022",$0.2339,$0.3007,$0.2298,$0.2658,"$37,150","$37,150"
"May 12, 2022",$0.2496,$0.2703,$0.2032,$0.2339,"$41,971","$41,971"
"May 11, 2022",$0.3386,$0.3668,$0.1855,$0.2494,"$77,674","$77,674"
"May 10, 2022",$0.3352,$0.3729,$0.3273,$0.3387,"$50,745","$50,745"
"May 09, 2022",$0.4077,$0.4189,$0.3353,$0.3353,"$59,218","$59,218"
"May 08, 2022",$0.4398,$0.4435,$0.3982,$0.4076,"$66,232","$66,232"
"May 07, 2022",$0.4501,$0.4642,$0.4239,$0.4398,"$67,416","$67,416"
"May 06, 2022",$0.4724,$0.4775,$0.4248,$0.45,"$56,925","$56,925"
"May 05, 2022",$0.4803,$0.4955,$0.441,$0.4724,"$19,895","$19,895"
"May 04, 2022",$0.4532,$0.4838,$0.4472,$0.4803,"$75,020","$75,020"
"May 03, 2022",$0.4718,$0.4996,$0.4341,$0.4532,"$76,854","$76,854"
"May 02, 2022",$0.4795,$0.4973,$0.4622,$0.4718,"$83,603","$83,603"
"May 01, 2022",$0.4829,$0.5127,$0.4652,$0.4796,"$83,258","$83,258"
"Apr 30, 2022",$0.5135,$0.5302,$0.4681,$0.4828,"$73,777","$73,777"
"Apr 29, 2022",$0.5592,$0.5687,$0.4982,$0.5135,"$62,358","$62,358"
"Apr 28, 2022",$0.6115,$0.6115,$0.5554,$0.5593,"$86,275","$86,275"
"Apr 27, 2022",$0.5806,$0.6117,$0.5613,$0.6117,"$96,088","$96,088"
"Apr 26, 2022",$0.6566,$0.677,$0.551,$0.5806,"$121,909","$121,909"
"Apr 25, 2022",$0.6583,$0.6612,$0.6138,$0.6567,"$115,468","$115,468"
"Apr 24, 2022",$0.7052,$0.7253,$0.6466,$0.6582,"$106,680","$106,680"
"Apr 23, 2022",$0.711,$0.7312,$0.6798,$0.7053,"$97,078","$97,078"
"Apr 22, 2022",$0.8055,$0.8117,$0.709,$0.711,"$114,532","$114,532"
"Apr 21, 2022",$0.7314,$0.9641,$0.6953,$0.8055,"$136,366","$136,366"
"Apr 20, 2022",$0.7604,$0.785,$0.7275,$0.7314,"$99,984","$99,984"
"Apr 19, 2022",$0.7625,$0.7866,$0.7362,$0.7604,"$110,017","$110,017"
"Apr 18, 2022",$0.7784,$0.8114,$0.7341,$0.7624,"$130,708","$130,708"
"Apr 17, 2022",$0.8076,$0.8235,$0.7761,$0.7784,"$114,962","$114,962"
"Apr 16, 2022",$0.8185,$0.8486,$0.7777,$0.8083,"$132,879","$132,879"
"Apr 15, 2022",$0.8129,$0.8721,$0.802,$0.8185,"$126,496","$126,496"
"Apr 14, 2022",$0.8757,$0.9286,$0.804,$0.8129,"$131,536","$131,536"
"Apr 13, 2022",$0.8529,$0.9329,$0.8146,$0.8758,"$146,723","$146,723"
"Apr 12, 2022",$0.8108,$0.8605,$0.7948,$0.8529,"$135,464","$135,464"
"Apr 11, 2022",$0.8825,$0.9091,$0.8,$0.8108,"$135,306","$135,306"
"Apr 10, 2022",$0.8714,$0.9437,$0.8479,$0.8833,"$157,090","$157,090"
"Apr 09, 2022",$0.842,$1.02,$0.8301,$0.8713,"$164,013","$164,013"
"Apr 08, 2022",$0.9992,$1.01,$0.8246,$0.8419,"$149,268","$149,268"
"Apr 07, 2022",$1.08,$1.13,$0.968,$0.9991,"$203,989","$203,989"
"Apr 06, 2022",$1.23,$1.76,$1.03,$1.08,"$629,881","$629,881"
"Apr 05, 2022",$0.9734,$1.31,$0.9319,$1.23,"$182,584","$182,584"
"Apr 04, 2022",$0.7697,$1.14,$0.7311,$0.9734,"$155,736","$155,736"
"Apr 03, 2022",$0.7422,$0.8162,$0.7254,$0.7697,"$108,039","$108,039"
"Apr 02, 2022",$0.7841,$0.8272,$0.7383,$0.7427,"$104,784","$104,784"
"Apr 01, 2022",$0.8109,$0.898,$0.7369,$0.784,"$107,259","$107,259"
"Mar 31, 2022",$0.8362,$0.9122,$0.7707,$0.8106,"$108,511","$108,511"
"Mar 30, 2022",$0.8434,$0.9209,$0.7931,$0.8361,"$109,766","$109,766"
"Mar 29, 2022",$0.7998,$0.9574,$0.7983,$0.844,"$115,426","$115,426"
"Mar 28, 2022",$0.8601,$0.8738,$0.8005,$0.8006,"$60,992","$60,992"
"Mar 27, 2022",$0.8211,$0.8867,$0.7932,$0.86,"$8,796","$8,796"
"Mar 26, 2022",$0.8944,$0.8957,$0.7712,$0.821,"$7,625","$7,625"
"Mar 25, 2022",$0.8496,$0.9259,$0.8108,$0.8947,"$10,357","$10,357"
"Mar 24, 2022",$0.8395,$0.9129,$0.8159,$0.8495,"$105,054","$105,054"
"Mar 23, 2022",$0.8101,$0.8767,$0.7839,$0.8395,"$124,148","$124,148"
"Mar 22, 2022",$0.8181,$0.875,$0.7862,$0.81,"$123,567","$123,567"
"Mar 21, 2022",$0.8157,$0.8745,$0.7547,$0.8181,"$79,126","$79,126"
"Mar 20, 2022",$0.8497,$0.8791,$0.8142,$0.8158,"$16,518","$16,518"
"Mar 19, 2022",$0.8846,$0.9065,$0.8327,$0.8495,"$17,257","$17,257"
"Mar 18, 2022",$0.939,$0.9485,$0.8424,$0.8847,"$21,425","$21,425"
"Mar 17, 2022",$0.93,$0.9552,$0.8862,$0.9392,"$17,516","$17,516"
"Mar 16, 2022",$0.8893,$0.955,$0.8841,$0.93,"$26,203","$26,203"
"Mar 15, 2022",$0.9157,$0.9194,$0.8758,$0.8893,"$106,174","$106,174"
"Mar 14, 2022",$0.8984,$0.9606,$0.8831,$0.9157,"$115,839","$115,839"
"Mar 13, 2022",$0.9783,$1.06,$0.897,$0.8988,"$121,328","$121,328"
"Mar 12, 2022",$0.8921,$1.02,$0.8796,$0.9786,"$118,366","$118,366"
"Mar 11, 2022",$0.931,$0.9366,$0.8854,$0.8922,"$47,842","$47,842"
"Mar 10, 2022",$0.9776,$0.9776,$0.8577,$0.9311,"$16,378","$16,378"
"Mar 09, 2022",$0.8997,$0.9793,$0.8935,$0.9776,"$86,811","$86,811"
"Mar 08, 2022",$0.9144,$0.9434,$0.8801,$0.8995,"$11,120","$11,120"
"Mar 07, 2022",$0.9872,$0.9888,$0.8878,$0.9144,"$11,391","$11,391"
"Mar 06, 2022",$1.10,$1.11,$0.982,$0.9873,"$12,593","$12,593"
"Mar 05, 2022",$0.9899,$1.16,$0.9601,$1.10,"$101,016","$101,016"
"Mar 04, 2022",$1.00,$1.04,$0.9427,$0.9895,"$14,529","$14,529"
"Mar 03, 2022",$1.01,$1.04,$0.943,$1.00,"$12,671","$12,671"
"Mar 02, 2022",$1.02,$1.13,$0.9749,$1.01,"$15,295","$15,295"
