Day,Open,High,Low,Close,Volume,Market Cap
"Sep 25, 2022",$0.04782,$0.04887,$0.04687,$0.04838,"$215,716","$215,716"
"Sep 24, 2022",$0.04925,$0.04926,$0.04597,$0.04782,"$172,728","$172,728"
"Sep 23, 2022",$0.04805,$0.04941,$0.04707,$0.04925,"$165,370","$165,370"
"Sep 22, 2022",$0.04714,$0.04911,$0.04538,$0.04805,"$111,113","$111,113"
"Sep 21, 2022",$0.04708,$0.04945,$0.0452,$0.04716,"$174,469","$174,469"
"Sep 20, 2022",$0.04859,$0.04951,$0.04689,$0.04699,"$173,464","$173,464"
"Sep 19, 2022",$0.04319,$0.04981,$0.04307,$0.04867,"$245,221","$245,221"
"Sep 18, 2022",$0.04635,$0.04674,$0.04245,$0.04319,"$209,761","$209,761"
"Sep 17, 2022",$0.04198,$0.04865,$0.04197,$0.04661,"$146,233","$146,233"
"Sep 16, 2022",$0.04153,$0.04268,$0.03927,$0.04212,"$95,275","$95,275"
"Sep 15, 2022",$0.04011,$0.04749,$0.04011,$0.04152,"$237,842","$237,842"
"Sep 14, 2022",$0.04079,$0.04202,$0.03804,$0.0403,"$228,104","$228,104"
"Sep 13, 2022",$0.04445,$0.04536,$0.03863,$0.0408,"$220,532","$220,532"
"Sep 12, 2022",$0.0365,$0.04478,$0.03615,$0.04446,"$211,499","$211,499"
"Sep 11, 2022",$0.03077,$0.04496,$0.0304,$0.03655,"$214,691","$214,691"
"Sep 10, 2022",$0.03079,$0.04358,$0.02768,$0.03077,"$208,679","$208,679"
"Sep 09, 2022",$0.03886,$0.03973,$0.03024,$0.03079,"$194,073","$194,073"
"Sep 08, 2022",$0.02832,$0.03841,$0.02775,$0.0367,"$287,944","$287,944"
"Sep 07, 2022",$0.02534,$0.0288,$0.0253,$0.02832,"$224,305","$224,305"
"Sep 06, 2022",$0.02584,$0.02888,$0.02485,$0.02535,"$89,174","$89,174"
"Sep 05, 2022",$0.02344,$0.02829,$0.02197,$0.02584,"$192,529","$192,529"
"Sep 04, 2022",$0.02532,$0.02542,$0.02311,$0.02345,"$153,570","$153,570"
"Sep 03, 2022",$0.02564,$0.02579,$0.02524,$0.02527,"$188,249","$188,249"
"Sep 02, 2022",$0.0261,$0.02633,$0.02538,$0.02564,"$164,264","$164,264"
"Sep 01, 2022",$0.02639,$0.02715,$0.02582,$0.02612,"$94,328","$94,328"
"Aug 31, 2022",$0.02666,$0.02851,$0.02626,$0.02639,"$102,453","$102,453"
"Aug 30, 2022",$0.02772,$0.02785,$0.0253,$0.02666,"$87,656","$87,656"
"Aug 29, 2022",$0.02473,$0.02864,$0.0244,$0.02776,"$214,867","$214,867"
"Aug 28, 2022",$0.02398,$0.02501,$0.0238,$0.02473,"$122,555","$122,555"
"Aug 27, 2022",$0.02705,$0.02719,$0.02398,$0.02398,"$121,806","$121,806"
"Aug 26, 2022",$0.0262,$0.02866,$0.0249,$0.02706,"$116,483","$116,483"
"Aug 25, 2022",$0.02463,$0.02897,$0.02463,$0.0262,"$113,132","$113,132"
"Aug 24, 2022",$0.02297,$0.02975,$0.02212,$0.02463,"$152,919","$152,919"
"Aug 23, 2022",$0.02385,$0.02442,$0.02208,$0.02297,"$140,446","$140,446"
"Aug 22, 2022",$0.02385,$0.02451,$0.023,$0.02382,"$87,326","$87,326"
"Aug 21, 2022",$0.02236,$0.02765,$0.02165,$0.02385,"$94,731","$94,731"
"Aug 20, 2022",$0.02064,$0.02507,$0.02015,$0.02233,"$222,949","$222,949"
"Aug 19, 2022",$0.02184,$0.02184,$0.02062,$0.02073,"$205,291","$205,291"
"Aug 18, 2022",$0.02242,$0.02616,$0.02154,$0.02184,"$115,394","$115,394"
"Aug 17, 2022",$0.02572,$0.02917,$0.02182,$0.02242,"$212,974","$212,974"
"Aug 16, 2022",$0.02338,$0.02816,$0.02322,$0.02572,"$161,743","$161,743"
"Aug 15, 2022",$0.02323,$0.02403,$0.02317,$0.02368,"$120,348","$120,348"
"Aug 14, 2022",$0.02474,$0.02496,$0.02276,$0.02323,"$111,159","$111,159"
"Aug 13, 2022",$0.02202,$0.02915,$0.02202,$0.02477,"$162,380","$162,380"
"Aug 12, 2022",$0.02099,$0.02465,$0.01982,$0.02202,"$120,535","$120,535"
"Aug 11, 2022",$0.0217,$0.02218,$0.02046,$0.02098,"$108,187","$108,187"
"Aug 10, 2022",$0.01897,$0.02345,$0.01886,$0.0217,"$145,139","$145,139"
"Aug 09, 2022",$0.01928,$0.01973,$0.0181,$0.01897,"$149,026","$149,026"
"Aug 08, 2022",$0.01883,$0.02016,$0.01883,$0.01928,"$195,092","$195,092"
"Aug 07, 2022",$0.01887,$0.01959,$0.01878,$0.01883,"$108,656","$108,656"
"Aug 06, 2022",$0.01938,$0.01994,$0.01868,$0.01887,"$124,145","$124,145"
"Aug 05, 2022",$0.01908,$0.02016,$0.01867,$0.01938,"$211,147","$211,147"
"Aug 04, 2022",$0.01876,$0.01963,$0.01868,$0.01908,"$142,949","$142,949"
"Aug 03, 2022",$0.01904,$0.01917,$0.01855,$0.01876,"$166,417","$166,417"
"Aug 02, 2022",$0.01905,$0.01928,$0.01844,$0.01899,"$129,728","$129,728"
"Aug 01, 2022",$0.01873,$0.02035,$0.01873,$0.01908,"$175,125","$175,125"
"Jul 31, 2022",$0.01883,$0.01904,$0.01809,$0.01873,"$119,469","$119,469"
"Jul 30, 2022",$0.0196,$0.01987,$0.01828,$0.01881,"$157,795","$157,795"
"Jul 29, 2022",$0.02006,$0.02221,$0.01885,$0.01922,"$215,929","$215,929"
"Jul 28, 2022",$0.01883,$0.0201,$0.01861,$0.02006,"$211,286","$211,286"
"Jul 27, 2022",$0.01765,$0.01966,$0.01734,$0.01883,"$201,549","$201,549"
"Jul 26, 2022",$0.01693,$0.0185,$0.01655,$0.01765,"$194,275","$194,275"
"Jul 25, 2022",$0.01783,$0.01783,$0.01588,$0.01693,"$210,674","$210,674"
"Jul 24, 2022",$0.01541,$0.02319,$0.01541,$0.01783,"$231,353","$231,353"
"Jul 23, 2022",$0.01525,$0.01586,$0.01487,$0.01549,"$126,243","$126,243"
"Jul 22, 2022",$0.01639,$0.01743,$0.01524,$0.01524,"$146,610","$146,610"
"Jul 21, 2022",$0.01626,$0.01707,$0.01597,$0.0164,"$148,282","$148,282"
"Jul 20, 2022",$0.01952,$0.02025,$0.01626,$0.01626,"$209,520","$209,520"
"Jul 19, 2022",$0.01684,$0.01971,$0.01651,$0.01962,"$136,364","$136,364"
"Jul 18, 2022",$0.0165,$0.01838,$0.01648,$0.01683,"$158,454","$158,454"
"Jul 17, 2022",$0.01657,$0.0182,$0.01591,$0.0165,"$59,053","$59,053"
"Jul 16, 2022",$0.01408,$0.01962,$0.0138,$0.01657,"$254,689","$254,689"
"Jul 15, 2022",$0.01363,$0.01483,$0.01348,$0.01407,"$62,365","$62,365"
"Jul 14, 2022",$0.0141,$0.01454,$0.0132,$0.01363,"$22,142","$22,142"
"Jul 13, 2022",$0.01358,$0.01442,$0.01309,$0.0141,"$45,347","$45,347"
"Jul 12, 2022",$0.01365,$0.0141,$0.01296,$0.01358,"$40,974","$40,974"
"Jul 11, 2022",$0.01371,$0.01392,$0.01332,$0.01365,"$31,077","$31,077"
"Jul 10, 2022",$0.01331,$0.01888,$0.0129,$0.01371,"$115,106","$115,106"
"Jul 09, 2022",$0.0149,$0.01524,$0.01317,$0.01331,"$73,258","$73,258"
"Jul 08, 2022",$0.01546,$0.0159,$0.01456,$0.01497,"$34,800","$34,800"
"Jul 07, 2022",$0.01599,$0.0169,$0.01517,$0.01547,"$57,896","$57,896"
"Jul 06, 2022",$0.01418,$0.01609,$0.01389,$0.01602,"$51,601","$51,601"
"Jul 05, 2022",$0.01433,$0.01502,$0.01386,$0.01422,"$41,894","$41,894"
"Jul 04, 2022",$0.0145,$0.01476,$0.01377,$0.01437,"$72,471","$72,471"
"Jul 03, 2022",$0.0166,$0.01669,$0.01414,$0.01455,"$93,548","$93,548"
"Jul 02, 2022",$0.01753,$0.01763,$0.01618,$0.0166,"$51,597","$51,597"
"Jul 01, 2022",$0.01656,$0.01806,$0.01641,$0.01754,"$92,282","$92,282"
"Jun 30, 2022",$0.01834,$0.01845,$0.01604,$0.01652,"$65,239","$65,239"
"Jun 29, 2022",$0.01764,$0.01844,$0.01696,$0.01824,"$52,801","$52,801"
"Jun 28, 2022",$0.0195,$0.01961,$0.01755,$0.01761,"$21,097","$21,097"
"Jun 27, 2022",$0.01872,$0.02311,$0.01828,$0.0195,"$179,415","$179,415"
"Jun 26, 2022",$0.0188,$0.01927,$0.01843,$0.01872,"$45,117","$45,117"
"Jun 25, 2022",$0.01878,$0.01941,$0.01827,$0.0188,"$222,229","$222,229"
"Jun 24, 2022",$0.01821,$0.01919,$0.01801,$0.01874,"$220,073","$220,073"
"Jun 23, 2022",$0.01762,$0.01844,$0.01719,$0.0182,"$105,836","$105,836"
"Jun 22, 2022",$0.01834,$0.01837,$0.01753,$0.01762,"$129,952","$129,952"
"Jun 21, 2022",$0.01819,$0.01935,$0.01796,$0.01834,"$152,747","$152,747"
"Jun 20, 2022",$0.01819,$0.01853,$0.01748,$0.01817,"$131,593","$131,593"
"Jun 19, 2022",$0.0173,$0.01867,$0.01638,$0.01819,"$139,063","$139,063"
"Jun 18, 2022",$0.01811,$0.01834,$0.01585,$0.01718,"$170,153","$170,153"
"Jun 17, 2022",$0.01744,$0.01828,$0.01697,$0.01808,"$197,218","$197,218"
"Jun 16, 2022",$0.01914,$0.01928,$0.01732,$0.01745,"$202,527","$202,527"
"Jun 15, 2022",$0.01803,$0.01933,$0.01605,$0.01923,"$92,667","$92,667"
"Jun 14, 2022",$0.01755,$0.01868,$0.017,$0.01808,"$249,319","$249,319"
"Jun 13, 2022",$0.02076,$0.02133,$0.01747,$0.01759,"$211,757","$211,757"
"Jun 12, 2022",$0.02178,$0.02178,$0.01989,$0.02077,"$212,252","$212,252"
"Jun 11, 2022",$0.02437,$0.02485,$0.02115,$0.02154,"$326,925","$326,925"
"Jun 10, 2022",$0.02608,$0.02609,$0.02436,$0.02442,"$319,491","$319,491"
"Jun 09, 2022",$0.02581,$0.02744,$0.02542,$0.02608,"$208,840","$208,840"
"Jun 08, 2022",$0.02741,$0.02759,$0.02561,$0.02581,"$325,020","$325,020"
"Jun 07, 2022",$0.02843,$0.02862,$0.02635,$0.0274,"$274,038","$274,038"
"Jun 06, 2022",$0.02951,$0.03058,$0.02809,$0.0283,"$270,334","$270,334"
"Jun 05, 2022",$0.02825,$0.02989,$0.02799,$0.02944,"$324,273","$324,273"
