Day,Open,High,Low,Close,Volume,Market Cap
"Sep 18, 2022",$5.34,$5.43,$5.27,$5.28,"$10,755,672","$10,755,672"
"Sep 17, 2022",$5.16,$5.35,$5.16,$5.34,"$5,605,713","$5,605,713"
"Sep 16, 2022",$5.39,$5.43,$5.13,$5.16,"$9,823,946","$9,823,946"
"Sep 15, 2022",$5.57,$5.57,$5.33,$5.39,"$10,460,936","$10,460,936"
"Sep 14, 2022",$5.63,$5.67,$5.50,$5.57,"$10,856,578","$10,856,578"
"Sep 13, 2022",$6.30,$6.30,$5.51,$5.60,"$15,566,427","$15,566,427"
"Sep 12, 2022",$6.55,$6.57,$6.29,$6.30,"$8,620,213","$8,620,213"
"Sep 11, 2022",$6.47,$6.59,$6.42,$6.55,"$5,310,320","$5,310,320"
"Sep 10, 2022",$6.52,$6.53,$6.39,$6.47,"$4,478,330","$4,478,330"
"Sep 09, 2022",$6.24,$6.90,$6.23,$6.52,"$21,743,193","$21,743,193"
"Sep 08, 2022",$6.20,$6.37,$6.17,$6.24,"$10,301,023","$10,301,023"
"Sep 07, 2022",$6.11,$6.23,$5.94,$6.20,"$13,885,608","$13,885,608"
"Sep 06, 2022",$6.44,$6.99,$6.11,$6.11,"$34,047,178","$34,047,178"
"Sep 05, 2022",$6.31,$6.48,$6.13,$6.44,"$12,158,179","$12,158,179"
"Sep 04, 2022",$6.02,$6.32,$6.02,$6.31,"$5,798,531","$5,798,531"
"Sep 03, 2022",$6.12,$6.12,$5.99,$6.02,"$5,558,250","$5,558,250"
"Sep 02, 2022",$5.70,$6.16,$5.67,$6.12,"$14,657,537","$14,657,537"
"Sep 01, 2022",$5.78,$5.81,$5.66,$5.70,"$7,143,100","$7,143,100"
"Aug 31, 2022",$5.88,$6.04,$5.76,$5.78,"$9,212,066","$9,212,066"
"Aug 30, 2022",$5.80,$6.04,$5.73,$5.87,"$15,461,887","$15,461,887"
"Aug 29, 2022",$5.70,$5.81,$5.64,$5.80,"$5,356,232","$5,356,232"
"Aug 28, 2022",$5.67,$5.80,$5.59,$5.70,"$9,180,142","$9,180,142"
"Aug 27, 2022",$5.88,$5.94,$5.64,$5.67,"$12,300,796","$12,300,796"
"Aug 26, 2022",$6.34,$6.34,$5.87,$5.88,"$12,514,818","$12,514,818"
