Day,Open,High,Low,Close,Volume,Market Cap
"Sep 18, 2022",$0.006427,$0.006586,$0.006418,$0.006554,"$130,834","$130,834"
"Sep 17, 2022",$0.006441,$0.006544,$0.006221,$0.006426,"$106,073","$106,073"
"Sep 16, 2022",$0.006729,$0.006733,$0.006087,$0.006443,"$176,830","$176,830"
"Sep 15, 2022",$0.006791,$0.006795,$0.006706,$0.006729,"$106,250","$106,250"
"Sep 14, 2022",$0.006816,$0.006833,$0.006785,$0.006791,"$142,245","$142,245"
"Sep 13, 2022",$0.006774,$0.00683,$0.006765,$0.00683,"$132,351","$132,351"
"Sep 12, 2022",$0.006661,$0.006776,$0.006661,$0.006774,"$133,391","$133,391"
"Sep 11, 2022",$0.006613,$0.006685,$0.006563,$0.006661,"$129,598","$129,598"
"Sep 10, 2022",$0.006571,$0.006639,$0.006567,$0.006613,"$156,380","$156,380"
"Sep 09, 2022",$0.006243,$0.006597,$0.006094,$0.006571,"$218,633","$218,633"
"Sep 08, 2022",$0.006317,$0.00632,$0.006149,$0.006243,"$179,412","$179,412"
"Sep 07, 2022",$0.006354,$0.00636,$0.006292,$0.006317,"$137,775","$137,775"
"Sep 06, 2022",$0.006321,$0.00638,$0.006145,$0.006355,"$199,746","$199,746"
"Sep 05, 2022",$0.006447,$0.006465,$0.006309,$0.006321,"$125,834","$125,834"
"Sep 04, 2022",$0.006879,$0.006879,$0.00637,$0.006447,"$200,003","$200,003"
"Sep 03, 2022",$0.006823,$0.006904,$0.006815,$0.006879,"$140,728","$140,728"
"Sep 02, 2022",$0.006823,$0.00683,$0.006738,$0.006823,"$132,208","$132,208"
"Sep 01, 2022",$0.006759,$0.006932,$0.006759,$0.006824,"$170,967","$170,967"
"Aug 31, 2022",$0.006713,$0.006872,$0.006686,$0.006759,"$161,676","$161,676"
"Aug 30, 2022",$0.007167,$0.007176,$0.006362,$0.006713,"$237,012","$237,012"
"Aug 29, 2022",$0.007136,$0.00724,$0.00706,$0.007167,"$169,500","$169,500"
"Aug 28, 2022",$0.007101,$0.007154,$0.007094,$0.007136,"$139,483","$139,483"
"Aug 27, 2022",$0.006868,$0.007114,$0.006843,$0.007101,"$142,344","$142,344"
"Aug 26, 2022",$0.006729,$0.006879,$0.006725,$0.006868,"$135,269","$135,269"
"Aug 25, 2022",$0.006719,$0.006737,$0.006579,$0.006729,"$154,763","$154,763"
"Aug 24, 2022",$0.006631,$0.00683,$0.006603,$0.006719,"$143,547","$143,547"
"Aug 23, 2022",$0.006684,$0.006691,$0.006469,$0.006631,"$153,515","$153,515"
"Aug 22, 2022",$0.00688,$0.006919,$0.006597,$0.006684,"$134,890","$134,890"
"Aug 21, 2022",$0.006981,$0.006994,$0.006625,$0.00688,"$176,205","$176,205"
"Aug 20, 2022",$0.006912,$0.007005,$0.00691,$0.006981,"$141,366","$141,366"
"Aug 19, 2022",$0.007068,$0.007085,$0.006508,$0.006912,"$262,683","$262,683"
"Aug 18, 2022",$0.00714,$0.007268,$0.007012,$0.007068,"$206,112","$206,112"
"Aug 17, 2022",$0.007332,$0.007379,$0.007034,$0.00714,"$192,415","$192,415"
"Aug 16, 2022",$0.007341,$0.007347,$0.007212,$0.007331,"$152,475","$152,475"
"Aug 15, 2022",$0.007878,$0.007923,$0.007212,$0.007341,"$273,880","$273,880"
"Aug 14, 2022",$0.007902,$0.007905,$0.007869,$0.007878,"$124,333","$124,333"
"Aug 13, 2022",$0.00759,$0.007995,$0.007582,$0.007903,"$155,865","$155,865"
"Aug 12, 2022",$0.007702,$0.007715,$0.007589,$0.00759,"$119,339","$119,339"
"Aug 11, 2022",$0.00733,$0.007807,$0.007325,$0.007702,"$178,425","$178,425"
"Aug 10, 2022",$0.00726,$0.007412,$0.00672,$0.00733,"$156,955","$156,955"
"Aug 09, 2022",$0.007464,$0.007472,$0.007247,$0.00726,"$166,124","$166,124"
"Aug 08, 2022",$0.007868,$0.007875,$0.00745,$0.007464,"$228,656","$228,656"
"Aug 07, 2022",$0.007735,$0.007885,$0.007591,$0.007868,"$157,154","$157,154"
"Aug 06, 2022",$0.007764,$0.00778,$0.007715,$0.007735,"$130,195","$130,195"
"Aug 05, 2022",$0.007707,$0.007783,$0.007546,$0.007764,"$141,661","$141,661"
"Aug 04, 2022",$0.007987,$0.008025,$0.007194,$0.007707,"$177,570","$177,570"
"Aug 03, 2022",$0.007972,$0.007988,$0.007886,$0.007987,"$122,008","$122,008"
"Aug 02, 2022",$0.007822,$0.008039,$0.007822,$0.007972,"$118,800","$118,800"
"Aug 01, 2022",$0.007902,$0.00799,$0.007783,$0.007822,"$178,453","$178,453"
"Jul 31, 2022",$0.008083,$0.008143,$0.007894,$0.007902,"$129,017","$129,017"
"Jul 30, 2022",$0.008049,$0.008139,$0.008042,$0.008083,"$136,238","$136,238"
"Jul 29, 2022",$0.008075,$0.008295,$0.007777,$0.008049,"$258,142","$258,142"
"Jul 28, 2022",$0.007621,$0.008092,$0.007432,$0.008075,"$219,955","$219,955"
"Jul 27, 2022",$0.007668,$0.007708,$0.007595,$0.007621,"$131,972","$131,972"
"Jul 26, 2022",$0.00806,$0.008071,$0.007659,$0.007668,"$143,661","$143,661"
"Jul 25, 2022",$0.005563,$0.008339,$0.005563,$0.00806,"$156,530","$156,530"
"Jul 24, 2022",$0.00365,$0.006954,$0.00365,$0.005563,"$126,535","$126,535"
"Jul 23, 2022",$0.003194,$0.006523,$0.002531,$0.00365,"$132,545","$132,545"
"Jul 22, 2022",$0.001558,$0.007086,$0.001396,$0.003194,"$122,188","$122,188"
"Jul 21, 2022",$0.003151,$0.006254,$0.0003188,$0.001558,"$206,762","$206,762"
"Jul 20, 2022",$0.002146,$0.004162,$0.001403,$0.003151,"$129,646","$129,646"
"Jul 19, 2022",$0.004063,$0.006036,$0.0005088,$0.002146,"$164,890","$164,890"
"Jul 18, 2022",$0.002412,$0.004501,$0.002412,$0.004063,"$144,667","$144,667"
"Jul 17, 2022",$0.004314,$0.006584,$0.002412,$0.002412,"$92,059","$92,059"
"Jul 16, 2022",$0.004471,$0.004817,$0.004147,$0.004314,"$150,918","$150,918"
"Jul 15, 2022",$0.004058,$0.005428,$0.002428,$0.004471,"$135,106","$135,106"
"Jul 14, 2022",$0.002859,$0.005245,$0.001417,$0.004058,"$1,680,682","$1,680,682"
"Jul 13, 2022",$0.002833,$0.005811,$0.002686,$0.002859,"$5,252,093","$5,252,093"
"Jul 12, 2022",$0.007336,$0.007414,$0.0007142,$0.002833,"$4,962,484","$4,962,484"
"Jul 11, 2022",$0.007692,$0.007708,$0.007332,$0.007336,"$519,867","$519,867"
"Jul 10, 2022",$0.008105,$0.008111,$0.007527,$0.007692,"$516,067","$516,067"
"Jul 09, 2022",$0.008324,$0.008342,$0.007969,$0.008105,"$605,503","$605,503"
"Jul 08, 2022",$0.008092,$0.008422,$0.007985,$0.008324,"$574,931","$574,931"
"Jul 07, 2022",$0.008236,$0.008353,$0.008066,$0.008092,"$577,607","$577,607"
"Jul 06, 2022",$0.008252,$0.008271,$0.007959,$0.008236,"$540,290","$540,290"
"Jul 05, 2022",$0.008374,$0.008421,$0.008056,$0.008252,"$575,234","$575,234"
"Jul 04, 2022",$0.008209,$0.008383,$0.00799,$0.008374,"$578,855","$578,855"
"Jul 03, 2022",$0.007904,$0.008243,$0.007809,$0.008209,"$524,398","$524,398"
"Jul 02, 2022",$0.008295,$0.008389,$0.007797,$0.007904,"$634,593","$634,593"
"Jul 01, 2022",$0.008054,$0.008344,$0.007907,$0.008295,"$577,371","$577,371"
"Jun 30, 2022",$0.008031,$0.008068,$0.007657,$0.008054,"$580,848","$580,848"
"Jun 29, 2022",$0.008189,$0.008239,$0.007949,$0.008031,"$519,837","$519,837"
"Jun 28, 2022",$0.008358,$0.008504,$0.008179,$0.008189,"$549,877","$549,877"
"Jun 27, 2022",$0.008359,$0.008614,$0.008301,$0.008358,"$527,682","$527,682"
"Jun 26, 2022",$0.008457,$0.008764,$0.008359,$0.008359,"$550,567","$550,567"
"Jun 25, 2022",$0.00844,$0.008472,$0.00815,$0.008457,"$585,946","$585,946"
"Jun 24, 2022",$0.008518,$0.008668,$0.008194,$0.00844,"$632,018","$632,018"
"Jun 23, 2022",$0.008124,$0.008539,$0.008107,$0.008518,"$539,697","$539,697"
"Jun 22, 2022",$0.008247,$0.0084,$0.008037,$0.008124,"$511,366","$511,366"
"Jun 21, 2022",$0.008491,$0.009146,$0.008234,$0.008248,"$668,537","$668,537"
"Jun 20, 2022",$0.008755,$0.008764,$0.008204,$0.008491,"$691,056","$691,056"
"Jun 19, 2022",$0.008058,$0.008789,$0.007811,$0.008755,"$637,147","$637,147"
"Jun 18, 2022",$0.009011,$0.009013,$0.007727,$0.008058,"$681,177","$681,177"
"Jun 17, 2022",$0.00915,$0.00934,$0.008617,$0.009012,"$705,183","$705,183"
"Jun 16, 2022",$0.01017,$0.01023,$0.009087,$0.009149,"$724,660","$724,660"
"Jun 15, 2022",$0.0099,$0.01019,$0.008598,$0.01017,"$893,779","$893,779"
"Jun 14, 2022",$0.009791,$0.01058,$0.009152,$0.0099,"$960,836","$960,836"
"Jun 13, 2022",$0.01104,$0.01248,$0.009261,$0.009791,"$1,337,680","$1,337,680"
"Jun 12, 2022",$0.01292,$0.01306,$0.01104,$0.01104,"$1,079,538","$1,079,538"
"Jun 11, 2022",$0.01368,$0.0138,$0.01248,$0.01292,"$1,049,877","$1,049,877"
"Jun 10, 2022",$0.01598,$0.01605,$0.0128,$0.01368,"$1,270,763","$1,270,763"
"Jun 09, 2022",$0.01505,$0.01642,$0.01475,$0.01598,"$1,554,019","$1,554,019"
"Jun 08, 2022",$0.01513,$0.0159,$0.01491,$0.01505,"$1,136,616","$1,136,616"
"Jun 07, 2022",$0.0152,$0.01542,$0.01426,$0.01513,"$1,103,060","$1,103,060"
"Jun 06, 2022",$0.01566,$0.01613,$0.01519,$0.0152,"$1,397,687","$1,397,687"
"Jun 05, 2022",$0.01455,$0.01574,$0.01452,$0.01566,"$1,168,261","$1,168,261"
"Jun 04, 2022",$0.01383,$0.01458,$0.01374,$0.01455,"$921,182","$921,182"
"Jun 03, 2022",$0.01303,$0.01392,$0.01281,$0.01383,"$1,014,380","$1,014,380"
"Jun 02, 2022",$0.01151,$0.01347,$0.01123,$0.01303,"$1,158,509","$1,158,509"
"Jun 01, 2022",$0.01139,$0.01153,$0.01125,$0.01151,"$798,030","$798,030"
"May 31, 2022",$0.01197,$0.012,$0.01071,$0.01139,"$920,739","$920,739"
"May 30, 2022",$0.01145,$0.01198,$0.01143,$0.01197,"$803,369","$803,369"
"May 29, 2022",$0.01145,$0.01159,$0.01017,$0.01145,"$1,097,181","$1,097,181"
"May 28, 2022",$0.01165,$0.0118,$0.01117,$0.01145,"$914,977","$914,977"
"May 27, 2022",$0.01135,$0.01148,$0.01088,$0.01134,"$884,727","$884,727"
"May 26, 2022",$0.01052,$0.01155,$0.01023,$0.01135,"$1,071,165","$1,071,165"
"May 25, 2022",$0.01057,$0.0107,$0.01046,$0.01052,"$715,646","$715,646"
"May 24, 2022",$0.0107,$0.01079,$0.01033,$0.01057,"$657,631","$657,631"
"May 23, 2022",$0.01067,$0.01131,$0.01066,$0.0107,"$764,812","$764,812"
"May 22, 2022",$0.01069,$0.01078,$0.01062,$0.01067,"$637,491","$637,491"
"May 21, 2022",$0.01012,$0.01078,$0.01002,$0.01069,"$734,544","$734,544"
"May 20, 2022",$0.01082,$0.01094,$0.01008,$0.01012,"$943,983","$943,983"
"May 19, 2022",$0.01051,$0.01139,$0.01025,$0.01082,"$998,632","$998,632"
