Day,Open,High,Low,Close,Volume,Market Cap
"Sep 17, 2022",$0.01371,$0.0138,$0.01331,$0.01369,"$1,642,510","$1,642,510"
"Sep 16, 2022",$0.01376,$0.01383,$0.01307,$0.01371,"$1,670,915","$1,670,915"
"Sep 15, 2022",$0.01228,$0.01394,$0.01226,$0.01376,"$1,432,607","$1,432,607"
"Sep 14, 2022",$0.01371,$0.01409,$0.01131,$0.01228,"$1,599,708","$1,599,708"
"Sep 13, 2022",$0.01374,$0.01428,$0.01255,$0.01371,"$1,723,206","$1,723,206"
"Sep 12, 2022",$0.01275,$0.0143,$0.01138,$0.01374,"$1,385,170","$1,385,170"
"Sep 11, 2022",$0.01454,$0.01469,$0.01216,$0.01275,"$979,050","$979,050"
"Sep 10, 2022",$0.01453,$0.01459,$0.0136,$0.01454,"$2,016,607","$2,016,607"
"Sep 09, 2022",$0.01423,$0.01469,$0.01218,$0.01453,"$1,717,685","$1,717,685"
"Sep 08, 2022",$0.01457,$0.01473,$0.01423,$0.01423,"$2,048,103","$2,048,103"
"Sep 07, 2022",$0.01368,$0.01466,$0.01363,$0.01457,"$1,404,992","$1,404,992"
"Sep 06, 2022",$0.01429,$0.01463,$0.01367,$0.01368,"$1,305,084","$1,305,084"
"Sep 05, 2022",$0.0145,$0.01467,$0.01424,$0.01429,"$1,209,924","$1,209,924"
"Sep 04, 2022",$0.01406,$0.01475,$0.01369,$0.0145,"$761,447","$761,447"
"Sep 03, 2022",$0.014,$0.01483,$0.01396,$0.01406,"$916,994","$916,994"
"Sep 02, 2022",$0.01448,$0.0151,$0.014,$0.014,"$1,401,517","$1,401,517"
"Sep 01, 2022",$0.01576,$0.01582,$0.01367,$0.01448,"$655,814","$655,814"
"Aug 31, 2022",$0.0169,$0.01748,$0.01146,$0.01576,"$796,488","$796,488"
"Aug 30, 2022",$0.01778,$0.01852,$0.01586,$0.0169,"$4,328,815","$4,328,815"
"Aug 29, 2022",$0.01165,$0.01891,$0.01141,$0.01778,"$3,361,441","$3,361,441"
"Aug 28, 2022",$0.009544,$0.012,$0.008278,$0.01165,"$1,449,388","$1,449,388"
"Aug 27, 2022",$0.01089,$0.01091,$0.008126,$0.009544,"$464,994","$464,994"
"Aug 26, 2022",$0.01179,$0.01181,$0.008667,$0.01089,"$324,702","$324,702"
"Aug 25, 2022",$0.01191,$0.01199,$0.009314,$0.01179,"$953,007","$953,007"
"Aug 24, 2022",$0.01189,$0.01202,$0.01105,$0.01191,"$1,158,190","$1,158,190"
"Aug 23, 2022",$0.01213,$0.01218,$0.01169,$0.01189,"$1,015,805","$1,015,805"
"Aug 22, 2022",$0.01213,$0.01226,$0.01164,$0.01213,"$1,013,989","$1,013,989"
"Aug 21, 2022",$0.01209,$0.01224,$0.01189,$0.01213,"$672,379","$672,379"
