Day,Open,High,Low,Close,Volume,Market Cap
"Sep 18, 2022",$0.007611,$0.007628,$0.007416,$0.007419,"$2,582,812","$2,582,812"
"Sep 17, 2022",$0.007544,$0.007618,$0.00753,$0.007611,"$1,592,274","$1,592,274"
"Sep 16, 2022",$0.007581,$0.007609,$0.007488,$0.007543,"$2,768,760","$2,768,760"
"Sep 15, 2022",$0.007767,$0.007808,$0.00757,$0.007581,"$5,035,595","$5,035,595"
"Sep 14, 2022",$0.007728,$0.00782,$0.007702,$0.007767,"$3,354,170","$3,354,170"
"Sep 13, 2022",$0.00803,$0.008173,$0.007696,$0.00774,"$4,522,674","$4,522,674"
"Sep 12, 2022",$0.008021,$0.008121,$0.007979,$0.00803,"$3,003,930","$3,003,930"
"Sep 11, 2022",$0.008031,$0.008058,$0.007999,$0.00802,"$1,814,783","$1,814,783"
"Sep 10, 2022",$0.007921,$0.008047,$0.007905,$0.008032,"$2,343,602","$2,343,602"
"Sep 09, 2022",$0.007715,$0.00806,$0.007707,$0.007923,"$3,560,395","$3,560,395"
"Sep 08, 2022",$0.007716,$0.00783,$0.007676,$0.007716,"$2,477,168","$2,477,168"
"Sep 07, 2022",$0.007646,$0.007739,$0.007534,$0.007717,"$2,894,880","$2,894,880"
"Sep 06, 2022",$0.007794,$0.008206,$0.007642,$0.007647,"$4,150,319","$4,150,319"
"Sep 05, 2022",$0.007822,$0.007846,$0.007787,$0.007794,"$1,637,189","$1,637,189"
"Sep 04, 2022",$0.007805,$0.007853,$0.007769,$0.007822,"$1,267,317","$1,267,317"
"Sep 03, 2022",$0.007861,$0.007872,$0.007781,$0.007806,"$2,105,286","$2,105,286"
"Sep 02, 2022",$0.007878,$0.007992,$0.007835,$0.007861,"$2,823,540","$2,823,540"
"Sep 01, 2022",$0.007881,$0.007904,$0.007807,$0.007879,"$3,063,852","$3,063,852"
"Aug 31, 2022",$0.007789,$0.007905,$0.007786,$0.007882,"$3,851,034","$3,851,034"
"Aug 30, 2022",$0.007876,$0.007943,$0.007702,$0.007787,"$3,805,610","$3,805,610"
"Aug 29, 2022",$0.00762,$0.007892,$0.00759,$0.007875,"$4,123,458","$4,123,458"
"Aug 28, 2022",$0.007728,$0.00775,$0.007619,$0.00762,"$2,599,605","$2,599,605"
"Aug 27, 2022",$0.007791,$0.007803,$0.007679,$0.007727,"$3,655,411","$3,655,411"
"Aug 26, 2022",$0.00815,$0.008151,$0.007785,$0.007799,"$5,280,335","$5,280,335"
"Aug 25, 2022",$0.008159,$0.008229,$0.008114,$0.00815,"$4,735,132","$4,735,132"
"Aug 24, 2022",$0.007989,$0.008275,$0.007947,$0.008157,"$7,975,786","$7,975,786"
"Aug 23, 2022",$0.007972,$0.008034,$0.007847,$0.007989,"$4,716,077","$4,716,077"
"Aug 22, 2022",$0.008004,$0.008007,$0.007829,$0.007971,"$3,791,933","$3,791,933"
"Aug 21, 2022",$0.007929,$0.008026,$0.007917,$0.008005,"$3,609,380","$3,609,380"
"Aug 20, 2022",$0.00795,$0.008022,$0.007882,$0.007931,"$4,173,910","$4,173,910"
"Aug 19, 2022",$0.008206,$0.008459,$0.007899,$0.007951,"$7,467,565","$7,467,565"
"Aug 18, 2022",$0.008201,$0.008294,$0.008185,$0.008206,"$1,439,940","$1,439,940"
"Aug 17, 2022",$0.008361,$0.008443,$0.008189,$0.0082,"$3,659,104","$3,659,104"
"Aug 16, 2022",$0.008311,$0.008686,$0.008301,$0.008362,"$1,650,650","$1,650,650"
"Aug 15, 2022",$0.008381,$0.008524,$0.008312,$0.008314,"$2,151,217","$2,151,217"
"Aug 14, 2022",$0.008494,$0.008575,$0.008368,$0.008379,"$1,643,032","$1,643,032"
"Aug 13, 2022",$0.008415,$0.008526,$0.008404,$0.008493,"$2,151,664","$2,151,664"
"Aug 12, 2022",$0.008369,$0.008422,$0.008297,$0.008415,"$3,021,629","$3,021,629"
"Aug 11, 2022",$0.008391,$0.00868,$0.008289,$0.00837,"$5,425,198","$5,425,198"
"Aug 10, 2022",$0.008067,$0.009144,$0.008052,$0.008389,"$12,650,585","$12,650,585"
"Aug 09, 2022",$0.008245,$0.008256,$0.008045,$0.008067,"$3,833,173","$3,833,173"
"Aug 08, 2022",$0.008186,$0.008359,$0.008147,$0.008244,"$5,249,498","$5,249,498"
"Aug 07, 2022",$0.008215,$0.008221,$0.008157,$0.008185,"$3,527,164","$3,527,164"
"Aug 06, 2022",$0.008282,$0.008333,$0.008199,$0.008215,"$3,190,083","$3,190,083"
"Aug 05, 2022",$0.008213,$0.00833,$0.008165,$0.008281,"$4,714,600","$4,714,600"
"Aug 04, 2022",$0.008223,$0.008328,$0.008138,$0.008212,"$4,154,406","$4,154,406"
"Aug 03, 2022",$0.008238,$0.008358,$0.008177,$0.008224,"$4,387,776","$4,387,776"
"Aug 02, 2022",$0.00833,$0.008371,$0.008182,$0.008236,"$5,667,681","$5,667,681"
"Aug 01, 2022",$0.008351,$0.008409,$0.008265,$0.008331,"$5,169,813","$5,169,813"
"Jul 31, 2022",$0.008397,$0.008481,$0.008315,$0.008351,"$5,915,686","$5,915,686"
"Jul 30, 2022",$0.008362,$0.008509,$0.008296,$0.008396,"$6,987,686","$6,987,686"
"Jul 29, 2022",$0.008426,$0.008487,$0.008264,$0.00836,"$7,623,198","$7,623,198"
"Jul 28, 2022",$0.008235,$0.008527,$0.008208,$0.008425,"$9,140,582","$9,140,582"
"Jul 27, 2022",$0.00795,$0.008246,$0.007906,$0.008235,"$9,478,267","$9,478,267"
"Jul 26, 2022",$0.008068,$0.008068,$0.007828,$0.00795,"$6,491,688","$6,491,688"
"Jul 25, 2022",$0.008261,$0.008274,$0.008061,$0.008068,"$14,935,551","$14,935,551"
"Jul 24, 2022",$0.008219,$0.008344,$0.008214,$0.008262,"$6,208,160","$6,208,160"
"Jul 23, 2022",$0.008203,$0.008565,$0.008142,$0.008219,"$4,937,988","$4,937,988"
"Jul 22, 2022",$0.008295,$0.008355,$0.00818,$0.008206,"$5,165,014","$5,165,014"
"Jul 21, 2022",$0.008295,$0.00834,$0.008185,$0.008295,"$6,026,760","$6,026,760"
"Jul 20, 2022",$0.008471,$0.008562,$0.00825,$0.008294,"$7,053,836","$7,053,836"
"Jul 19, 2022",$0.008513,$0.008589,$0.00838,$0.008471,"$10,908,203","$10,908,203"
"Jul 18, 2022",$0.00774,$0.008947,$0.007723,$0.008517,"$19,105,117","$19,105,117"
"Jul 17, 2022",$0.007857,$0.007873,$0.007664,$0.007739,"$4,168,058","$4,168,058"
"Jul 16, 2022",$0.00767,$0.007857,$0.007605,$0.007857,"$3,419,870","$3,419,870"
"Jul 15, 2022",$0.007669,$0.007811,$0.007571,$0.007671,"$5,677,474","$5,677,474"
"Jul 14, 2022",$0.007582,$0.00768,$0.007463,$0.007669,"$4,921,742","$4,921,742"
"Jul 13, 2022",$0.007342,$0.00763,$0.007238,$0.007582,"$5,771,016","$5,771,016"
"Jul 12, 2022",$0.007482,$0.007488,$0.007333,$0.007341,"$3,828,637","$3,828,637"
"Jul 11, 2022",$0.007601,$0.007646,$0.007475,$0.007482,"$3,613,381","$3,613,381"
"Jul 10, 2022",$0.007723,$0.007723,$0.007567,$0.007602,"$2,909,270","$2,909,270"
"Jul 09, 2022",$0.007744,$0.007865,$0.007712,$0.007723,"$5,548,113","$5,548,113"
"Jul 08, 2022",$0.007726,$0.007842,$0.007584,$0.007742,"$6,334,845","$6,334,845"
"Jul 07, 2022",$0.007592,$0.007748,$0.007559,$0.007726,"$6,098,406","$6,098,406"
"Jul 06, 2022",$0.007615,$0.007632,$0.007517,$0.007592,"$5,436,574","$5,436,574"
"Jul 05, 2022",$0.007599,$0.007733,$0.007469,$0.007613,"$5,760,908","$5,760,908"
"Jul 04, 2022",$0.007453,$0.007621,$0.0074,$0.0076,"$3,468,219","$3,468,219"
"Jul 03, 2022",$0.007416,$0.00747,$0.007371,$0.007454,"$3,588,025","$3,588,025"
"Jul 02, 2022",$0.007386,$0.007437,$0.007334,$0.007416,"$3,143,966","$3,143,966"
"Jul 01, 2022",$0.007348,$0.007505,$0.007304,$0.007352,"$5,056,448","$5,056,448"
"Jun 30, 2022",$0.007511,$0.007517,$0.007277,$0.00732,"$5,497,732","$5,497,732"
"Jun 29, 2022",$0.007604,$0.007648,$0.007502,$0.007508,"$3,612,188","$3,612,188"
"Jun 28, 2022",$0.007748,$0.007853,$0.007564,$0.007605,"$3,726,077","$3,726,077"
"Jun 27, 2022",$0.007802,$0.007883,$0.007708,$0.007751,"$4,635,203","$4,635,203"
"Jun 26, 2022",$0.007778,$0.007937,$0.007736,$0.007802,"$4,573,466","$4,573,466"
