Day,Open,High,Low,Close,Volume,Market Cap
"Sep 21, 2022",$0.1957,$0.2028,$0.1933,$0.1976,"$750,631","$750,631"
"Sep 20, 2022",$0.1967,$0.2047,$0.1932,$0.1957,"$1,185,043","$1,185,043"
"Sep 19, 2022",$0.2195,$0.222,$0.1965,$0.1965,"$2,634,443","$2,634,443"
"Sep 18, 2022",$0.1994,$0.3199,$0.1976,$0.2195,"$6,809,724","$6,809,724"
"Sep 17, 2022",$0.1876,$0.2031,$0.1835,$0.1994,"$1,996,848","$1,996,848"
"Sep 16, 2022",$0.1846,$0.1898,$0.1835,$0.1876,"$1,026,449","$1,026,449"
"Sep 15, 2022",$0.1908,$0.1927,$0.183,$0.1846,"$1,013,663","$1,013,663"
"Sep 14, 2022",$0.1979,$0.1985,$0.1892,$0.1908,"$1,254,517","$1,254,517"
"Sep 13, 2022",$0.2069,$0.2071,$0.1968,$0.1981,"$743,446","$743,446"
"Sep 12, 2022",$0.2036,$0.2075,$0.2011,$0.2068,"$1,008,680","$1,008,680"
"Sep 11, 2022",$0.1994,$0.2042,$0.1993,$0.2036,"$598,209","$598,209"
"Sep 10, 2022",$0.1947,$0.2053,$0.1923,$0.1994,"$964,920","$964,920"
"Sep 09, 2022",$0.1973,$0.2077,$0.1882,$0.1946,"$1,555,938","$1,555,938"
"Sep 08, 2022",$0.1922,$0.1989,$0.1906,$0.1973,"$1,559,207","$1,559,207"
"Sep 07, 2022",$0.1853,$0.1956,$0.1814,$0.1922,"$1,377,642","$1,377,642"
"Sep 06, 2022",$0.1904,$0.1923,$0.184,$0.1853,"$1,343,460","$1,343,460"
"Sep 05, 2022",$0.2019,$0.2063,$0.1897,$0.1905,"$2,256,195","$2,256,195"
"Sep 04, 2022",$0.2057,$0.2068,$0.2006,$0.202,"$818,053","$818,053"
"Sep 03, 2022",$0.2066,$0.2081,$0.2043,$0.2058,"$570,237","$570,237"
"Sep 02, 2022",$0.2056,$0.2103,$0.205,$0.2066,"$908,455","$908,455"
"Sep 01, 2022",$0.2103,$0.2115,$0.2039,$0.2056,"$538,263","$538,263"
"Aug 31, 2022",$0.2054,$0.2194,$0.205,$0.2102,"$411,261","$411,261"
"Aug 30, 2022",$0.2138,$0.2199,$0.203,$0.2055,"$380,080","$380,080"
