Day,Open,High,Low,Close,Volume,Market Cap
"Sep 26, 2022",$0.01181,$0.01196,$0.0116,$0.01194,"$299,498","$299,498"
"Sep 25, 2022",$0.01191,$0.01217,$0.01172,$0.01181,"$310,323","$310,323"
"Sep 24, 2022",$0.01169,$0.01212,$0.01162,$0.01191,"$356,204","$356,204"
"Sep 23, 2022",$0.01162,$0.01207,$0.01126,$0.01168,"$478,268","$478,268"
"Sep 22, 2022",$0.01072,$0.01169,$0.01068,$0.01162,"$397,746","$397,746"
"Sep 21, 2022",$0.01152,$0.01159,$0.01064,$0.01072,"$352,125","$352,125"
"Sep 20, 2022",$0.01172,$0.01321,$0.0112,$0.01153,"$825,559","$825,559"
"Sep 19, 2022",$0.01153,$0.01179,$0.01122,$0.01173,"$398,597","$398,597"
"Sep 18, 2022",$0.01215,$0.01226,$0.01147,$0.01153,"$422,959","$422,959"
"Sep 17, 2022",$0.0121,$0.01271,$0.01171,$0.01214,"$479,126","$479,126"
"Sep 16, 2022",$0.01262,$0.0134,$0.01193,$0.01211,"$667,925","$667,925"
"Sep 15, 2022",$0.01243,$0.01364,$0.01231,$0.01261,"$691,610","$691,610"
"Sep 14, 2022",$0.01234,$0.01251,$0.0121,$0.01243,"$594,572","$594,572"
"Sep 13, 2022",$0.014,$0.01401,$0.0123,$0.01233,"$388,861","$388,861"
"Sep 12, 2022",$0.01198,$0.01503,$0.01175,$0.01399,"$1,822,795","$1,822,795"
"Sep 11, 2022",$0.01152,$0.01204,$0.01137,$0.01198,"$436,828","$436,828"
"Sep 10, 2022",$0.01134,$0.01155,$0.01123,$0.01152,"$257,023","$257,023"
"Sep 09, 2022",$0.01128,$0.01168,$0.01115,$0.01135,"$382,365","$382,365"
"Sep 08, 2022",$0.01132,$0.01156,$0.01113,$0.01128,"$376,346","$376,346"
"Sep 07, 2022",$0.01008,$0.01167,$0.009862,$0.01132,"$1,115,925","$1,115,925"
"Sep 06, 2022",$0.01054,$0.01078,$0.01008,$0.01008,"$268,034","$268,034"
"Sep 05, 2022",$0.01043,$0.01054,$0.01028,$0.01054,"$243,812","$243,812"
"Sep 04, 2022",$0.01013,$0.01052,$0.0101,$0.01043,"$339,720","$339,720"
"Sep 03, 2022",$0.01015,$0.01024,$0.01002,$0.01013,"$208,631","$208,631"
"Sep 02, 2022",$0.01017,$0.01044,$0.01008,$0.01016,"$257,762","$257,762"
"Sep 01, 2022",$0.01015,$0.01032,$0.009762,$0.01017,"$374,544","$374,544"
"Aug 31, 2022",$0.01018,$0.01048,$0.01012,$0.01015,"$349,005","$349,005"
"Aug 30, 2022",$0.01028,$0.01047,$0.01,$0.01018,"$418,467","$418,467"
"Aug 29, 2022",$0.009943,$0.01036,$0.009902,$0.01028,"$401,141","$401,141"
"Aug 28, 2022",$0.01065,$0.01067,$0.009942,$0.009942,"$455,604","$455,604"
"Aug 27, 2022",$0.01078,$0.0109,$0.01043,$0.01065,"$494,352","$494,352"
"Aug 26, 2022",$0.0118,$0.01181,$0.01073,$0.01078,"$527,540","$527,540"
"Aug 25, 2022",$0.01238,$0.01251,$0.01172,$0.01181,"$561,189","$561,189"
