Day,Open,High,Low,Close,Volume,Market Cap
"Sep 22, 2022",$8.99,$9.21,$8.83,$8.95,"$237,118","$237,118"
"Sep 21, 2022",$9.00,$9.24,$8.86,$8.96,"$260,010","$260,010"
"Sep 20, 2022",$8.96,$9.39,$8.94,$9.00,"$259,479","$259,479"
"Sep 19, 2022",$9.12,$9.24,$8.70,$8.96,"$217,086","$217,086"
"Sep 18, 2022",$9.17,$9.24,$9.01,$9.16,"$158,683","$158,683"
"Sep 17, 2022",$9.05,$9.30,$9.00,$9.17,"$275,217","$275,217"
"Sep 16, 2022",$9.36,$9.50,$9.02,$9.06,"$211,710","$211,710"
"Sep 15, 2022",$9.45,$9.48,$9.21,$9.36,"$189,707","$189,707"
"Sep 14, 2022",$9.29,$9.65,$9.23,$9.45,"$259,495","$259,495"
"Sep 13, 2022",$9.44,$9.60,$9.12,$9.24,"$253,999","$253,999"
"Sep 12, 2022",$9.12,$9.58,$9.12,$9.43,"$338,519","$338,519"
"Sep 11, 2022",$9.14,$9.40,$9.06,$9.12,"$262,449","$262,449"
"Sep 10, 2022",$9.20,$9.37,$9.05,$9.10,"$195,688","$195,688"
"Sep 09, 2022",$9.05,$9.47,$9.00,$9.20,"$381,365","$381,365"
"Sep 08, 2022",$9.27,$9.32,$8.99,$9.05,"$284,159","$284,159"
"Sep 07, 2022",$9.28,$9.50,$9.08,$9.27,"$199,916","$199,916"
"Sep 06, 2022",$9.69,$9.96,$9.27,$9.28,"$228,481","$228,481"
"Sep 05, 2022",$10.07,$10.10,$9.65,$9.68,"$184,620","$184,620"
"Sep 04, 2022",$10.13,$10.40,$9.94,$10.06,"$219,701","$219,701"
"Sep 03, 2022",$10.17,$10.37,$9.95,$10.18,"$186,370","$186,370"
"Sep 02, 2022",$10.49,$10.51,$10.02,$10.17,"$335,427","$335,427"
"Sep 01, 2022",$10.34,$12.17,$10.25,$10.49,"$452,129","$452,129"
"Aug 31, 2022",$10.84,$10.85,$10.32,$10.34,"$297,508","$297,508"
"Aug 30, 2022",$10.80,$11.08,$10.72,$10.82,"$202,808","$202,808"
"Aug 29, 2022",$11.24,$11.28,$10.73,$10.80,"$261,100","$261,100"
"Aug 28, 2022",$11.27,$11.45,$11.10,$11.24,"$185,352","$185,352"
"Aug 27, 2022",$11.53,$11.73,$11.12,$11.24,"$210,541","$210,541"
"Aug 26, 2022",$11.73,$12.02,$11.49,$11.50,"$307,419","$307,419"
"Aug 25, 2022",$11.57,$11.87,$11.41,$11.72,"$221,262","$221,262"
"Aug 24, 2022",$11.28,$11.68,$11.28,$11.58,"$188,074","$188,074"
"Aug 23, 2022",$11.56,$11.77,$11.33,$11.35,"$190,606","$190,606"
"Aug 22, 2022",$11.74,$11.85,$11.33,$11.53,"$251,957","$251,957"
"Aug 21, 2022",$11.67,$11.85,$11.49,$11.78,"$203,452","$203,452"
"Aug 20, 2022",$12.05,$12.11,$11.59,$11.68,"$202,445","$202,445"
"Aug 19, 2022",$12.96,$13.01,$12.05,$12.06,"$239,897","$239,897"
"Aug 18, 2022",$13.52,$13.74,$12.95,$12.96,"$275,429","$275,429"
"Aug 17, 2022",$13.94,$14.26,$13.44,$13.52,"$235,191","$235,191"
"Aug 16, 2022",$14.01,$14.26,$13.63,$13.94,"$247,216","$247,216"
"Aug 15, 2022",$13.76,$14.07,$13.24,$14.01,"$281,771","$281,771"
"Aug 14, 2022",$13.37,$13.93,$13.21,$13.75,"$338,947","$338,947"
"Aug 13, 2022",$13.01,$13.90,$12.51,$13.36,"$469,331","$469,331"
"Aug 12, 2022",$13.61,$13.78,$12.78,$13.06,"$227,961","$227,961"
"Aug 11, 2022",$13.04,$13.68,$12.97,$13.53,"$275,689","$275,689"
"Aug 10, 2022",$12.69,$13.11,$12.58,$13.04,"$299,826","$299,826"
"Aug 09, 2022",$12.64,$13.04,$12.36,$12.69,"$322,582","$322,582"
"Aug 08, 2022",$12.51,$12.99,$12.48,$12.64,"$278,544","$278,544"
"Aug 07, 2022",$12.52,$12.60,$12.37,$12.52,"$227,240","$227,240"
"Aug 06, 2022",$12.14,$12.64,$12.11,$12.51,"$254,176","$254,176"
"Aug 05, 2022",$11.82,$12.22,$11.23,$12.13,"$342,498","$342,498"
"Aug 04, 2022",$12.27,$12.40,$11.57,$11.83,"$282,639","$282,639"
"Aug 03, 2022",$12.50,$12.85,$12.29,$12.29,"$313,922","$313,922"
"Aug 02, 2022",$12.61,$12.77,$12.16,$12.51,"$403,422","$403,422"
"Aug 01, 2022",$13.38,$13.60,$12.36,$12.62,"$445,914","$445,914"
"Jul 31, 2022",$14.16,$14.27,$13.02,$13.40,"$384,120","$384,120"
"Jul 30, 2022",$14.40,$14.59,$14.06,$14.19,"$643,931","$643,931"
"Jul 29, 2022",$14.55,$15.22,$14.36,$14.41,"$850,710","$850,710"
"Jul 28, 2022",$15.03,$15.45,$14.11,$14.55,"$603,126","$603,126"
