Day,Open,High,Low,Close,Volume,Market Cap
"Sep 22, 2022",$0.0008182,$0.0008225,$0.0008018,$0.0008018,"$812,640","$812,640"
"Sep 21, 2022",$0.0008241,$0.0008285,$0.0008046,$0.0008183,"$473,270","$473,270"
"Sep 20, 2022",$0.0008143,$0.0008782,$0.0007992,$0.0008228,"$788,207","$788,207"
"Sep 19, 2022",$0.0007995,$0.0008137,$0.0007784,$0.0008134,"$560,903","$560,903"
"Sep 18, 2022",$0.0008231,$0.000826,$0.0007957,$0.0007994,"$1,433,772","$1,433,772"
"Sep 17, 2022",$0.0008255,$0.0008288,$0.0008088,$0.0008225,"$964,315","$964,315"
"Sep 16, 2022",$0.0008427,$0.0008427,$0.0008194,$0.0008256,"$592,919","$592,919"
"Sep 15, 2022",$0.0008579,$0.0008596,$0.0008395,$0.0008425,"$876,949","$876,949"
"Sep 14, 2022",$0.0009045,$0.0009071,$0.0008544,$0.0008577,"$1,546,305","$1,546,305"
"Sep 13, 2022",$0.0009211,$0.0009237,$0.0008986,$0.0008996,"$1,899,281","$1,899,281"
"Sep 12, 2022",$0.0009393,$0.0009415,$0.0009161,$0.0009213,"$1,001,785","$1,001,785"
"Sep 11, 2022",$0.0009618,$0.0009676,$0.0009325,$0.0009384,"$1,086,611","$1,086,611"
"Sep 10, 2022",$0.0009757,$0.0009817,$0.0009403,$0.0009626,"$1,574,897","$1,574,897"
"Sep 09, 2022",$0.0009306,$0.000984,$0.0009283,$0.0009758,"$1,794,617","$1,794,617"
"Sep 08, 2022",$0.0009387,$0.0009515,$0.0009273,$0.0009308,"$1,316,556","$1,316,556"
"Sep 07, 2022",$0.0009752,$0.0009803,$0.0009024,$0.0009386,"$787,835","$787,835"
"Sep 06, 2022",$0.0009905,$0.001031,$0.0009724,$0.0009754,"$918,385","$918,385"
"Sep 05, 2022",$0.0009969,$0.001016,$0.0009895,$0.000991,"$684,733","$684,733"
"Sep 04, 2022",$0.001015,$0.001016,$0.0009742,$0.0009969,"$634,071","$634,071"
"Sep 03, 2022",$0.001118,$0.001118,$0.001012,$0.001015,"$981,504","$981,504"
"Sep 02, 2022",$0.0009463,$0.001195,$0.0009455,$0.001119,"$3,958,961","$3,958,961"
"Sep 01, 2022",$0.000951,$0.0009558,$0.0009267,$0.0009464,"$971,889","$971,889"
"Aug 31, 2022",$0.0009307,$0.0009528,$0.0009282,$0.000951,"$645,719","$645,719"
"Aug 30, 2022",$0.0009436,$0.0009754,$0.0009286,$0.0009306,"$1,049,096","$1,049,096"
"Aug 29, 2022",$0.000936,$0.0009632,$0.0009344,$0.0009437,"$815,066","$815,066"
"Aug 28, 2022",$0.0009754,$0.0009977,$0.0009295,$0.0009361,"$643,895","$643,895"
"Aug 27, 2022",$0.001061,$0.001067,$0.0009641,$0.0009753,"$839,661","$839,661"
"Aug 26, 2022",$0.001145,$0.00115,$0.001054,$0.001061,"$1,118,934","$1,118,934"
"Aug 25, 2022",$0.001288,$0.001292,$0.001048,$0.001145,"$3,418,725","$3,418,725"
"Aug 24, 2022",$0.001331,$0.001334,$0.001285,$0.001288,"$1,063,968","$1,063,968"
"Aug 23, 2022",$0.001362,$0.00137,$0.001325,$0.001331,"$1,510,547","$1,510,547"
"Aug 22, 2022",$0.001398,$0.001402,$0.001352,$0.001361,"$1,252,978","$1,252,978"
"Aug 21, 2022",$0.001376,$0.001401,$0.00137,$0.001398,"$1,500,050","$1,500,050"
"Aug 20, 2022",$0.001378,$0.001395,$0.001365,$0.001376,"$1,585,185","$1,585,185"
"Aug 19, 2022",$0.001411,$0.00143,$0.001364,$0.001378,"$1,101,334","$1,101,334"
"Aug 18, 2022",$0.001412,$0.001439,$0.001375,$0.001411,"$1,446,782","$1,446,782"
"Aug 17, 2022",$0.001405,$0.00142,$0.001373,$0.001412,"$713,340","$713,340"
"Aug 16, 2022",$0.001411,$0.001438,$0.001378,$0.001405,"$824,882","$824,882"
"Aug 15, 2022",$0.001422,$0.001445,$0.001378,$0.001411,"$448,782","$448,782"
"Aug 14, 2022",$0.00148,$0.001506,$0.001392,$0.001422,"$438,712","$438,712"
"Aug 13, 2022",$0.001432,$0.001514,$0.001414,$0.00148,"$772,954","$772,954"
"Aug 12, 2022",$0.001457,$0.001458,$0.001398,$0.001432,"$709,683","$709,683"
"Aug 11, 2022",$0.001427,$0.001472,$0.001418,$0.001457,"$1,087,963","$1,087,963"
"Aug 10, 2022",$0.001402,$0.001429,$0.001397,$0.001427,"$609,140","$609,140"
"Aug 09, 2022",$0.001429,$0.001469,$0.001391,$0.001402,"$759,798","$759,798"
"Aug 08, 2022",$0.0014,$0.001433,$0.001391,$0.001429,"$1,194,032","$1,194,032"
"Aug 07, 2022",$0.001389,$0.001413,$0.001382,$0.0014,"$863,248","$863,248"
"Aug 06, 2022",$0.001428,$0.001436,$0.001388,$0.001389,"$805,694","$805,694"
"Aug 05, 2022",$0.001372,$0.001435,$0.001364,$0.001428,"$1,112,998","$1,112,998"
"Aug 04, 2022",$0.001418,$0.001431,$0.001355,$0.001373,"$665,555","$665,555"
"Aug 03, 2022",$0.001418,$0.00146,$0.001408,$0.001418,"$905,222","$905,222"
"Aug 02, 2022",$0.001424,$0.00144,$0.001391,$0.001418,"$460,828","$460,828"
"Aug 01, 2022",$0.001469,$0.001481,$0.001403,$0.001424,"$486,892","$486,892"
"Jul 31, 2022",$0.001491,$0.001518,$0.001469,$0.001469,"$518,384","$518,384"
"Jul 30, 2022",$0.001529,$0.001537,$0.001491,$0.001491,"$531,252","$531,252"
"Jul 29, 2022",$0.001533,$0.001564,$0.001505,$0.001529,"$871,442","$871,442"
"Jul 28, 2022",$0.001611,$0.00162,$0.001522,$0.001533,"$829,579","$829,579"
"Jul 27, 2022",$0.001581,$0.001627,$0.001541,$0.001611,"$793,229","$793,229"
"Jul 26, 2022",$0.001532,$0.001627,$0.001503,$0.001581,"$1,842,421","$1,842,421"
"Jul 25, 2022",$0.001613,$0.001627,$0.001515,$0.001532,"$1,587,990","$1,587,990"
"Jul 24, 2022",$0.001608,$0.001687,$0.001602,$0.001616,"$2,056,118","$2,056,118"
"Jul 23, 2022",$0.001565,$0.001608,$0.001543,$0.001608,"$877,037","$877,037"
"Jul 22, 2022",$0.001538,$0.001581,$0.001527,$0.001565,"$940,014","$940,014"
"Jul 21, 2022",$0.001603,$0.001607,$0.001497,$0.001538,"$1,279,645","$1,279,645"
"Jul 20, 2022",$0.001988,$0.002,$0.001574,$0.001603,"$3,206,184","$3,206,184"
"Jul 19, 2022",$0.001631,$0.001986,$0.001604,$0.001985,"$3,137,779","$3,137,779"
"Jul 18, 2022",$0.001498,$0.001641,$0.001467,$0.001631,"$1,047,554","$1,047,554"
"Jul 17, 2022",$0.001526,$0.001549,$0.001487,$0.001498,"$742,418","$742,418"
"Jul 16, 2022",$0.001563,$0.001569,$0.001511,$0.001526,"$915,888","$915,888"
"Jul 15, 2022",$0.001418,$0.001564,$0.001418,$0.001564,"$905,388","$905,388"
"Jul 14, 2022",$0.001428,$0.001447,$0.001401,$0.001418,"$964,398","$964,398"
"Jul 13, 2022",$0.001671,$0.00169,$0.001334,$0.001428,"$2,313,048","$2,313,048"
"Jul 12, 2022",$0.001566,$0.001682,$0.001559,$0.001671,"$939,230","$939,230"
"Jul 11, 2022",$0.001673,$0.001684,$0.001544,$0.001566,"$1,188,872","$1,188,872"
"Jul 10, 2022",$0.001458,$0.001731,$0.001453,$0.001673,"$1,143,649","$1,143,649"
"Jul 09, 2022",$0.001448,$0.001465,$0.001436,$0.001458,"$686,172","$686,172"
"Jul 08, 2022",$0.001402,$0.001456,$0.001395,$0.001448,"$724,779","$724,779"
"Jul 07, 2022",$0.001399,$0.001433,$0.001388,$0.001402,"$690,515","$690,515"
"Jul 06, 2022",$0.001455,$0.001462,$0.001394,$0.001399,"$586,249","$586,249"
"Jul 05, 2022",$0.001442,$0.00146,$0.001429,$0.001455,"$571,395","$571,395"
"Jul 04, 2022",$0.001412,$0.001444,$0.0014,$0.001442,"$424,482","$424,482"
"Jul 03, 2022",$0.001392,$0.001417,$0.001378,$0.001412,"$397,337","$397,337"
"Jul 02, 2022",$0.001432,$0.001437,$0.001379,$0.001392,"$436,129","$436,129"
"Jul 01, 2022",$0.001449,$0.001464,$0.001417,$0.001432,"$458,013","$458,013"
"Jun 30, 2022",$0.001508,$0.001515,$0.001435,$0.001449,"$530,035","$530,035"
"Jun 29, 2022",$0.001476,$0.00152,$0.001463,$0.001508,"$1,134,741","$1,134,741"
"Jun 28, 2022",$0.001531,$0.001567,$0.001472,$0.001476,"$1,110,886","$1,110,886"
"Jun 27, 2022",$0.001517,$0.001574,$0.001505,$0.001531,"$1,189,416","$1,189,416"
"Jun 26, 2022",$0.001479,$0.00153,$0.00147,$0.001517,"$1,103,036","$1,103,036"
"Jun 25, 2022",$0.001532,$0.001566,$0.001458,$0.001479,"$1,165,851","$1,165,851"
"Jun 24, 2022",$0.001483,$0.001564,$0.001475,$0.001532,"$1,218,774","$1,218,774"
"Jun 23, 2022",$0.001475,$0.001524,$0.001464,$0.001483,"$1,116,238","$1,116,238"
"Jun 22, 2022",$0.001637,$0.001641,$0.001464,$0.001475,"$1,253,714","$1,253,714"
"Jun 21, 2022",$0.001619,$0.001655,$0.001589,$0.001638,"$1,266,776","$1,266,776"
"Jun 20, 2022",$0.001689,$0.001699,$0.001602,$0.001619,"$1,259,338","$1,259,338"
"Jun 19, 2022",$0.001589,$0.001701,$0.00157,$0.001689,"$1,646,313","$1,646,313"
"Jun 18, 2022",$0.001527,$0.001697,$0.001437,$0.00159,"$2,034,402","$2,034,402"
"Jun 17, 2022",$0.0015,$0.001528,$0.001473,$0.001527,"$1,250,934","$1,250,934"
"Jun 16, 2022",$0.001531,$0.001595,$0.001493,$0.0015,"$1,469,092","$1,469,092"
"Jun 15, 2022",$0.001468,$0.001543,$0.001402,$0.001532,"$1,393,065","$1,393,065"
"Jun 14, 2022",$0.001371,$0.001519,$0.001347,$0.001468,"$1,596,879","$1,596,879"
"Jun 13, 2022",$0.001654,$0.001654,$0.001335,$0.001371,"$1,599,002","$1,599,002"
"Jun 12, 2022",$0.001633,$0.001674,$0.001543,$0.001654,"$1,666,139","$1,666,139"
"Jun 11, 2022",$0.001608,$0.00169,$0.001588,$0.001633,"$2,211,839","$2,211,839"
"Jun 10, 2022",$0.001677,$0.001991,$0.001594,$0.001608,"$3,020,562","$3,020,562"
"Jun 09, 2022",$0.001702,$0.001711,$0.001625,$0.001677,"$1,508,549","$1,508,549"
"Jun 08, 2022",$0.00174,$0.001777,$0.001684,$0.001702,"$2,275,318","$2,275,318"
"Jun 07, 2022",$0.002152,$0.002153,$0.001734,$0.001741,"$8,715,254","$8,715,254"
"Jun 06, 2022",$0.00236,$0.00296,$0.002146,$0.002152,"$26,784,017","$26,784,017"
"Jun 05, 2022",$0.001399,$0.002644,$0.001385,$0.002363,"$25,986,390","$25,986,390"
"Jun 04, 2022",$0.00139,$0.001406,$0.00136,$0.001397,"$1,360,962","$1,360,962"
"Jun 03, 2022",$0.00149,$0.001509,$0.001376,$0.00139,"$1,498,272","$1,498,272"
"Jun 02, 2022",$0.001578,$0.001585,$0.001484,$0.00149,"$1,599,267","$1,599,267"
"Jun 01, 2022",$0.001718,$0.001718,$0.001554,$0.001578,"$1,731,445","$1,731,445"
"May 31, 2022",$0.001812,$0.001822,$0.001674,$0.001718,"$1,981,843","$1,981,843"
"May 30, 2022",$0.001699,$0.001822,$0.00168,$0.001812,"$2,498,816","$2,498,816"
"May 29, 2022",$0.001874,$0.001883,$0.001653,$0.001699,"$1,887,314","$1,887,314"
"May 28, 2022",$0.001941,$0.001951,$0.001847,$0.001874,"$1,546,190","$1,546,190"
"May 27, 2022",$0.002058,$0.002058,$0.001877,$0.001932,"$1,533,056","$1,533,056"
"May 26, 2022",$0.002159,$0.002169,$0.002036,$0.002058,"$1,512,757","$1,512,757"
"May 25, 2022",$0.002137,$0.002175,$0.002124,$0.002159,"$1,225,688","$1,225,688"
"May 24, 2022",$0.00216,$0.002181,$0.00211,$0.002137,"$1,280,220","$1,280,220"
"May 23, 2022",$0.002294,$0.00231,$0.002131,$0.00216,"$1,571,937","$1,571,937"
"May 22, 2022",$0.00211,$0.002324,$0.002064,$0.002294,"$2,380,580","$2,380,580"
"May 21, 2022",$0.002068,$0.002117,$0.002058,$0.002114,"$1,603,063","$1,603,063"
"May 20, 2022",$0.002104,$0.002299,$0.002031,$0.002068,"$2,062,612","$2,062,612"
"May 19, 2022",$0.00207,$0.002166,$0.00205,$0.002104,"$2,037,948","$2,037,948"
"May 18, 2022",$0.002336,$0.002373,$0.00207,$0.00207,"$1,928,420","$1,928,420"
"May 17, 2022",$0.002328,$0.002395,$0.002252,$0.002336,"$1,807,267","$1,807,267"
"May 16, 2022",$0.002343,$0.002593,$0.002189,$0.002328,"$2,830,726","$2,830,726"
"May 15, 2022",$0.002153,$0.002497,$0.002147,$0.002343,"$2,541,985","$2,541,985"
"May 14, 2022",$0.002457,$0.002483,$0.00203,$0.002153,"$2,576,677","$2,576,677"
