Day,Open,High,Low,Close,Volume,Market Cap
"Sep 17, 2022",$0.2199,$0.2214,$0.2158,$0.2164,"$287,740","$287,740"
"Sep 16, 2022",$0.2147,$0.222,$0.2137,$0.2199,"$417,012","$417,012"
"Sep 15, 2022",$0.2129,$0.2159,$0.2124,$0.2147,"$418,739","$418,739"
"Sep 14, 2022",$0.2166,$0.2169,$0.2129,$0.2129,"$1,874,344","$1,874,344"
"Sep 13, 2022",$0.2224,$0.2264,$0.2158,$0.2165,"$772,138","$772,138"
"Sep 12, 2022",$0.2288,$0.2309,$0.221,$0.2224,"$621,424","$621,424"
"Sep 11, 2022",$0.2282,$0.2301,$0.2271,$0.2288,"$472,057","$472,057"
"Sep 10, 2022",$0.2266,$0.2299,$0.2262,$0.2282,"$578,469","$578,469"
"Sep 09, 2022",$0.2182,$0.227,$0.2168,$0.2266,"$712,708","$712,708"
"Sep 08, 2022",$0.2205,$0.2236,$0.2167,$0.2182,"$602,142","$602,142"
"Sep 07, 2022",$0.2208,$0.221,$0.2116,$0.2205,"$768,879","$768,879"
"Sep 06, 2022",$0.2244,$0.2254,$0.2203,$0.2208,"$567,492","$567,492"
"Sep 05, 2022",$0.2192,$0.2256,$0.2187,$0.2244,"$577,342","$577,342"
"Sep 04, 2022",$0.2253,$0.226,$0.2159,$0.2192,"$484,837","$484,837"
"Sep 03, 2022",$0.2093,$0.2255,$0.209,$0.2253,"$804,822","$804,822"
"Sep 02, 2022",$0.2054,$0.2099,$0.2047,$0.2093,"$659,335","$659,335"
"Sep 01, 2022",$0.1961,$0.2062,$0.1961,$0.2054,"$583,621","$583,621"
"Aug 31, 2022",$0.1939,$0.1965,$0.1934,$0.1961,"$540,682","$540,682"
"Aug 30, 2022",$0.2035,$0.2041,$0.1916,$0.1939,"$636,597","$636,597"
"Aug 29, 2022",$0.2028,$0.205,$0.2028,$0.204,"$463,252","$463,252"
"Aug 28, 2022",$0.1972,$0.2037,$0.197,$0.2028,"$477,611","$477,611"
"Aug 27, 2022",$0.199,$0.1993,$0.1922,$0.1972,"$412,312","$412,312"
"Aug 26, 2022",$0.1837,$0.1997,$0.1837,$0.199,"$769,299","$769,299"
"Aug 25, 2022",$0.1633,$0.1842,$0.1629,$0.1837,"$567,052","$567,052"
"Aug 24, 2022",$0.1652,$0.1689,$0.1622,$0.1629,"$614,393","$614,393"
"Aug 23, 2022",$0.1698,$0.1706,$0.1572,$0.1651,"$616,306","$616,306"
"Aug 22, 2022",$0.1796,$0.1817,$0.1648,$0.1698,"$568,853","$568,853"
"Aug 21, 2022",$0.1817,$0.1861,$0.1784,$0.1796,"$284,494","$284,494"
"Aug 20, 2022",$0.2019,$0.2022,$0.1804,$0.1817,"$594,307","$594,307"
"Aug 19, 2022",$0.1961,$0.208,$0.1959,$0.2019,"$700,295","$700,295"
"Aug 18, 2022",$0.1928,$0.2032,$0.1928,$0.1961,"$423,286","$423,286"
"Aug 17, 2022",$0.192,$0.2263,$0.192,$0.1928,"$959,191","$959,191"
"Aug 16, 2022",$0.1902,$0.1941,$0.1891,$0.192,"$514,572","$514,572"
"Aug 15, 2022",$0.1901,$0.1924,$0.1889,$0.1902,"$122,736","$122,736"
"Aug 14, 2022",$0.1886,$0.2026,$0.1866,$0.1901,"$739,269","$739,269"
"Aug 13, 2022",$0.1909,$0.2023,$0.1866,$0.1886,"$712,911","$712,911"
"Aug 12, 2022",$0.19,$0.2327,$0.1875,$0.1909,"$1,180,708","$1,180,708"
"Aug 11, 2022",$0.2036,$0.2037,$0.1792,$0.19,"$1,101,908","$1,101,908"
"Aug 10, 2022",$0.2216,$0.2219,$0.2026,$0.2036,"$545,911","$545,911"
"Aug 09, 2022",$0.2383,$0.2383,$0.2209,$0.2216,"$981,637","$981,637"
"Aug 08, 2022",$0.2336,$0.2761,$0.2254,$0.2383,"$1,815,868","$1,815,868"
"Aug 07, 2022",$0.2512,$0.252,$0.2161,$0.2336,"$1,381,453","$1,381,453"
"Aug 06, 2022",$0.279,$0.2913,$0.2512,$0.2512,"$1,489,925","$1,489,925"
"Aug 05, 2022",$0.2481,$0.3866,$0.2479,$0.279,"$3,701,025","$3,701,025"
"Aug 04, 2022",$0.3031,$0.3042,$0.2262,$0.2481,"$2,594,783","$2,594,783"
"Aug 03, 2022",$0.3152,$0.3185,$0.3031,$0.3032,"$499,873","$499,873"
"Aug 02, 2022",$0.3304,$0.3304,$0.3142,$0.3152,"$581,327","$581,327"
"Aug 01, 2022",$0.3178,$0.3424,$0.317,$0.33,"$1,144,691","$1,144,691"
"Jul 31, 2022",$0.3793,$0.3793,$0.3,$0.3178,"$2,192,272","$2,192,272"
"Jul 30, 2022",$0.3989,$0.4007,$0.3788,$0.3793,"$1,091,601","$1,091,601"
"Jul 29, 2022",$0.4021,$0.4044,$0.3985,$0.3989,"$530,961","$530,961"
"Jul 28, 2022",$0.4162,$0.4175,$0.4014,$0.4021,"$587,807","$587,807"
"Jul 27, 2022",$0.4024,$0.4163,$0.4015,$0.4163,"$447,285","$447,285"
"Jul 26, 2022",$0.4014,$0.4038,$0.3984,$0.4024,"$503,428","$503,428"
"Jul 25, 2022",$0.4004,$0.4021,$0.3991,$0.4005,"$437,448","$437,448"
"Jul 24, 2022",$0.3996,$0.4015,$0.3988,$0.4004,"$417,196","$417,196"
"Jul 23, 2022",$0.3976,$0.4005,$0.3973,$0.3996,"$478,969","$478,969"
"Jul 22, 2022",$0.4142,$0.4147,$0.3941,$0.3976,"$1,836,032","$1,836,032"
"Jul 21, 2022",$0.4166,$0.4175,$0.4126,$0.4143,"$616,526","$616,526"
"Jul 20, 2022",$0.4177,$0.4198,$0.4164,$0.4166,"$629,948","$629,948"
"Jul 19, 2022",$0.4126,$0.4183,$0.4118,$0.4177,"$651,089","$651,089"
"Jul 18, 2022",$0.4118,$0.4216,$0.409,$0.4126,"$723,259","$723,259"
"Jul 17, 2022",$0.4099,$0.4128,$0.4086,$0.4118,"$439,366","$439,366"
"Jul 16, 2022",$0.4098,$0.4102,$0.4078,$0.41,"$323,919","$323,919"
"Jul 15, 2022",$0.4079,$0.4107,$0.4069,$0.4098,"$710,277","$710,277"
"Jul 14, 2022",$0.4048,$0.4083,$0.4035,$0.4079,"$209,941","$209,941"
"Jul 13, 2022",$0.4042,$0.405,$0.4016,$0.4049,"$444,975","$444,975"
"Jul 12, 2022",$0.4052,$0.4064,$0.4038,$0.4042,"$454,880","$454,880"
"Jul 11, 2022",$0.4059,$0.4073,$0.4048,$0.4052,"$398,857","$398,857"
"Jul 10, 2022",$0.4102,$0.4111,$0.4048,$0.4059,"$479,890","$479,890"
"Jul 09, 2022",$0.4118,$0.4127,$0.4097,$0.4102,"$447,697","$447,697"
"Jul 08, 2022",$0.4095,$0.4136,$0.4095,$0.4114,"$470,986","$470,986"
"Jul 07, 2022",$0.4008,$0.4115,$0.3999,$0.4096,"$529,812","$529,812"
"Jul 06, 2022",$0.4043,$0.4105,$0.3984,$0.4008,"$812,977","$812,977"
"Jul 05, 2022",$0.3932,$0.4063,$0.3922,$0.4043,"$649,132","$649,132"
"Jul 04, 2022",$0.3916,$0.3955,$0.388,$0.3932,"$628,097","$628,097"
"Jul 03, 2022",$0.3927,$0.3937,$0.3891,$0.3916,"$532,229","$532,229"
"Jul 02, 2022",$0.3937,$0.3956,$0.3925,$0.3927,"$397,784","$397,784"
"Jul 01, 2022",$0.3939,$0.4,$0.3926,$0.3937,"$699,411","$699,411"
"Jun 30, 2022",$0.3975,$0.4,$0.3928,$0.3939,"$597,471","$597,471"
"Jun 29, 2022",$0.3953,$0.4053,$0.394,$0.3979,"$837,007","$837,007"
"Jun 28, 2022",$0.3997,$0.4005,$0.395,$0.3952,"$542,394","$542,394"
"Jun 27, 2022",$0.4089,$0.409,$0.3988,$0.3997,"$477,686","$477,686"
"Jun 26, 2022",$0.4101,$0.4171,$0.4085,$0.4086,"$616,276","$616,276"
"Jun 25, 2022",$0.417,$0.4206,$0.4078,$0.4101,"$632,877","$632,877"
"Jun 24, 2022",$0.4164,$0.4179,$0.4127,$0.4158,"$535,052","$535,052"
"Jun 23, 2022",$0.4148,$0.4166,$0.4126,$0.4164,"$570,732","$570,732"
"Jun 22, 2022",$0.4163,$0.4185,$0.4105,$0.4148,"$986,652","$986,652"
"Jun 21, 2022",$0.3969,$0.4198,$0.3968,$0.4163,"$1,139,796","$1,139,796"
"Jun 20, 2022",$0.3924,$0.3987,$0.3914,$0.3969,"$665,666","$665,666"
"Jun 19, 2022",$0.412,$0.4134,$0.3848,$0.3924,"$1,002,497","$1,002,497"
"Jun 18, 2022",$0.4329,$0.4346,$0.4117,$0.412,"$672,232","$672,232"
"Jun 17, 2022",$0.4346,$0.4373,$0.4329,$0.4329,"$358,151","$358,151"
"Jun 16, 2022",$0.429,$0.4387,$0.4285,$0.4346,"$777,257","$777,257"
"Jun 15, 2022",$0.4213,$0.441,$0.4209,$0.429,"$1,230,723","$1,230,723"
"Jun 14, 2022",$0.4534,$0.455,$0.4199,$0.4213,"$1,461,578","$1,461,578"
"Jun 13, 2022",$0.508,$0.5083,$0.4495,$0.4534,"$1,577,035","$1,577,035"
"Jun 12, 2022",$0.5233,$0.5284,$0.5075,$0.508,"$807,263","$807,263"
"Jun 11, 2022",$0.5733,$0.5743,$0.5232,$0.5233,"$1,101,057","$1,101,057"
"Jun 10, 2022",$0.6003,$0.6013,$0.5717,$0.5741,"$853,489","$853,489"
"Jun 09, 2022",$0.6066,$0.6075,$0.5766,$0.6003,"$1,240,581","$1,240,581"
"Jun 08, 2022",$0.5838,$0.6159,$0.5818,$0.6067,"$1,127,511","$1,127,511"
"Jun 07, 2022",$0.6163,$0.6258,$0.5824,$0.5837,"$1,405,724","$1,405,724"
"Jun 06, 2022",$0.6264,$0.6323,$0.6113,$0.6163,"$791,563","$791,563"
"Jun 05, 2022",$0.6099,$0.6302,$0.604,$0.6264,"$826,507","$826,507"
"Jun 04, 2022",$0.6041,$0.6333,$0.6025,$0.6103,"$1,024,059","$1,024,059"
"Jun 03, 2022",$0.6973,$0.6992,$0.5976,$0.6042,"$1,429,311","$1,429,311"
"Jun 02, 2022",$0.7622,$0.7653,$0.6948,$0.6973,"$1,191,488","$1,191,488"
"Jun 01, 2022",$0.7756,$0.8248,$0.7538,$0.7621,"$1,578,517","$1,578,517"
"May 31, 2022",$0.7876,$0.7893,$0.7628,$0.7752,"$1,009,027","$1,009,027"
"May 30, 2022",$0.7831,$0.7951,$0.7805,$0.7876,"$812,239","$812,239"
"May 29, 2022",$0.7802,$0.7961,$0.777,$0.783,"$763,280","$763,280"
"May 28, 2022",$0.76,$0.7816,$0.7591,$0.7802,"$736,460","$736,460"
"May 27, 2022",$0.7626,$0.7651,$0.7552,$0.7623,"$573,212","$573,212"
"May 26, 2022",$0.7799,$0.8023,$0.7607,$0.7626,"$1,165,229","$1,165,229"
"May 25, 2022",$0.7242,$0.8231,$0.7107,$0.7799,"$1,386,742","$1,386,742"
"May 24, 2022",$0.7499,$0.7515,$0.724,$0.7242,"$786,835","$786,835"
"May 23, 2022",$0.766,$0.7833,$0.7434,$0.7499,"$787,485","$787,485"
"May 22, 2022",$0.7469,$0.7684,$0.7322,$0.766,"$806,377","$806,377"
"May 21, 2022",$0.8,$0.8013,$0.7436,$0.7469,"$671,634","$671,634"
"May 20, 2022",$0.822,$0.8239,$0.7987,$0.8,"$507,298","$507,298"
"May 19, 2022",$0.7875,$0.8299,$0.7875,$0.822,"$666,632","$666,632"
"May 18, 2022",$0.8239,$0.8473,$0.7871,$0.7875,"$874,279","$874,279"
"May 17, 2022",$0.817,$0.8417,$0.817,$0.8239,"$706,532","$706,532"
"May 16, 2022",$0.8524,$0.8602,$0.814,$0.817,"$1,485,384","$1,485,384"
"May 15, 2022",$0.8181,$0.9279,$0.8164,$0.8524,"$2,054,721","$2,054,721"
"May 14, 2022",$0.7826,$0.8195,$0.767,$0.8181,"$970,911","$970,911"
"May 13, 2022",$0.7052,$0.8339,$0.7016,$0.7826,"$1,734,824","$1,734,824"
"May 12, 2022",$0.7342,$0.7687,$0.5456,$0.7052,"$2,372,639","$2,372,639"
"May 11, 2022",$0.8759,$0.8768,$0.7203,$0.7342,"$2,128,287","$2,128,287"
"May 10, 2022",$0.8863,$0.9211,$0.8629,$0.8759,"$1,495,241","$1,495,241"
"May 09, 2022",$0.9289,$0.9529,$0.8853,$0.8862,"$1,240,176","$1,240,176"
"May 08, 2022",$0.9827,$0.9964,$0.9264,$0.9289,"$907,167","$907,167"
"May 07, 2022",$0.9926,$1.02,$0.9807,$0.9827,"$797,103","$797,103"
"May 06, 2022",$1.03,$1.03,$0.95,$0.9926,"$1,412,490","$1,412,490"
"May 05, 2022",$1.11,$1.16,$1.02,$1.03,"$1,756,979","$1,756,979"
"May 04, 2022",$1.13,$1.14,$1.05,$1.11,"$1,784,147","$1,784,147"
"May 03, 2022",$1.31,$1.31,$1.10,$1.13,"$1,799,682","$1,799,682"
"May 02, 2022",$1.05,$1.31,$1.05,$1.31,"$2,600,534","$2,600,534"
"May 01, 2022",$0.9427,$1.10,$0.8875,$1.05,"$1,896,677","$1,896,677"
"Apr 30, 2022",$1.04,$1.04,$0.9375,$0.9427,"$1,178,394","$1,178,394"
"Apr 29, 2022",$1.10,$1.10,$0.9942,$1.04,"$1,553,916","$1,553,916"
"Apr 28, 2022",$1.12,$1.16,$1.09,$1.10,"$1,640,222","$1,640,222"
"Apr 27, 2022",$1.21,$1.21,$1.12,$1.12,"$2,108,806","$2,108,806"
"Apr 26, 2022",$1.26,$1.31,$1.21,$1.21,"$3,367,557","$3,367,557"
"Apr 25, 2022",$1.41,$1.46,$1.19,$1.26,"$3,282,183","$3,282,183"
"Apr 24, 2022",$1.45,$1.57,$1.38,$1.41,"$3,316,589","$3,316,589"
"Apr 23, 2022",$1.28,$1.50,$1.27,$1.45,"$3,166,226","$3,166,226"
"Apr 22, 2022",$1.23,$1.31,$1.23,$1.28,"$1,211,682","$1,211,682"
"Apr 21, 2022",$1.20,$1.28,$1.19,$1.23,"$1,779,492","$1,779,492"
"Apr 20, 2022",$1.27,$1.37,$1.15,$1.20,"$4,084,891","$4,084,891"
"Apr 19, 2022",$1.16,$1.33,$1.16,$1.27,"$3,915,460","$3,915,460"
"Apr 18, 2022",$1.01,$1.26,$1.00,$1.16,"$2,389,233","$2,389,233"
"Apr 17, 2022",$0.9947,$1.04,$0.9621,$1.01,"$1,049,399","$1,049,399"
"Apr 16, 2022",$0.9633,$1.05,$0.9582,$0.9947,"$1,126,299","$1,126,299"
"Apr 15, 2022",$0.9102,$0.9635,$0.9102,$0.9633,"$681,716","$681,716"
"Apr 14, 2022",$0.9089,$0.926,$0.8952,$0.9101,"$746,894","$746,894"
"Apr 13, 2022",$0.8882,$0.9489,$0.8878,$0.909,"$1,438,892","$1,438,892"
"Apr 12, 2022",$0.8646,$0.8905,$0.8379,$0.8882,"$1,138,257","$1,138,257"
"Apr 11, 2022",$0.8788,$0.893,$0.8646,$0.8646,"$1,013,848","$1,013,848"
