Day,Open,High,Low,Close,Volume,Market Cap
"Sep 19, 2022",$1.78,$1.89,$1.74,$1.88,"$5,780,963","$5,780,963"
"Sep 18, 2022",$1.98,$1.99,$1.74,$1.78,"$5,834,987","$5,834,987"
"Sep 17, 2022",$1.92,$1.98,$1.92,$1.98,"$3,635,086","$3,635,086"
"Sep 16, 2022",$1.94,$1.95,$1.86,$1.92,"$5,504,918","$5,504,918"
"Sep 15, 2022",$2.04,$2.04,$1.93,$1.94,"$6,590,630","$6,590,630"
"Sep 14, 2022",$2.03,$2.07,$1.97,$2.04,"$6,992,017","$6,992,017"
"Sep 13, 2022",$2.17,$2.22,$2.01,$2.04,"$10,054,837","$10,054,837"
"Sep 12, 2022",$2.34,$2.42,$2.17,$2.17,"$10,946,050","$10,946,050"
"Sep 11, 2022",$2.34,$2.43,$2.30,$2.34,"$6,953,826","$6,953,826"
"Sep 10, 2022",$2.35,$2.42,$2.30,$2.34,"$7,589,589","$7,589,589"
"Sep 09, 2022",$2.27,$2.45,$2.27,$2.35,"$7,060,416","$7,060,416"
"Sep 08, 2022",$2.36,$2.40,$2.23,$2.27,"$6,847,528","$6,847,528"
"Sep 07, 2022",$2.10,$2.41,$2.08,$2.36,"$9,449,665","$9,449,665"
"Sep 06, 2022",$2.34,$2.41,$2.10,$2.11,"$9,384,598","$9,384,598"
"Sep 05, 2022",$2.30,$2.35,$2.25,$2.34,"$5,745,167","$5,745,167"
"Sep 04, 2022",$2.26,$2.32,$2.25,$2.30,"$6,375,226","$6,375,226"
"Sep 03, 2022",$2.19,$2.30,$2.18,$2.26,"$4,844,547","$4,844,547"
"Sep 02, 2022",$2.27,$2.28,$2.15,$2.20,"$5,248,256","$5,248,256"
"Sep 01, 2022",$2.15,$2.28,$2.13,$2.27,"$6,857,250","$6,857,250"
"Aug 31, 2022",$2.08,$2.27,$2.07,$2.15,"$7,771,892","$7,771,892"
"Aug 30, 2022",$2.15,$2.17,$2.01,$2.08,"$4,467,145","$4,467,145"
"Aug 29, 2022",$1.96,$2.15,$1.95,$2.15,"$4,999,737","$4,999,737"
"Aug 28, 2022",$2.11,$2.13,$1.96,$1.96,"$5,081,848","$5,081,848"
"Aug 27, 2022",$2.15,$2.21,$2.07,$2.11,"$4,843,121","$4,843,121"
"Aug 26, 2022",$2.47,$2.47,$2.14,$2.15,"$7,329,526","$7,329,526"
"Aug 25, 2022",$2.42,$2.50,$2.42,$2.47,"$5,476,468","$5,476,468"
"Aug 24, 2022",$2.44,$2.48,$2.38,$2.42,"$5,770,802","$5,770,802"
"Aug 23, 2022",$2.41,$2.46,$2.35,$2.44,"$5,965,004","$5,965,004"
"Aug 22, 2022",$2.48,$2.48,$2.29,$2.41,"$7,498,006","$7,498,006"
"Aug 21, 2022",$2.35,$2.51,$2.35,$2.48,"$11,436,674","$11,436,674"
"Aug 20, 2022",$2.31,$2.41,$2.27,$2.35,"$8,921,202","$8,921,202"
"Aug 19, 2022",$2.71,$2.72,$2.28,$2.31,"$18,278,098","$18,278,098"
"Aug 18, 2022",$2.93,$3.00,$2.70,$2.71,"$9,741,253","$9,741,253"
"Aug 17, 2022",$3.27,$3.31,$2.89,$2.93,"$15,618,343","$15,618,343"
"Aug 16, 2022",$3.32,$3.32,$3.12,$3.27,"$13,728,736","$13,728,736"
"Aug 15, 2022",$3.07,$3.38,$3.06,$3.32,"$23,587,100","$23,587,100"
"Aug 14, 2022",$3.23,$3.30,$3.04,$3.07,"$9,895,436","$9,895,436"
"Aug 13, 2022",$3.26,$3.31,$3.18,$3.23,"$9,771,102","$9,771,102"
"Aug 12, 2022",$3.14,$3.27,$3.08,$3.26,"$11,747,145","$11,747,145"
"Aug 11, 2022",$3.04,$3.32,$3.04,$3.14,"$18,927,084","$18,927,084"
"Aug 10, 2022",$2.89,$3.07,$2.82,$3.04,"$6,545,546","$6,545,546"
"Aug 09, 2022",$3.02,$3.06,$2.83,$2.89,"$8,738,222","$8,738,222"
"Aug 08, 2022",$3.06,$3.18,$3.00,$3.02,"$6,429,117","$6,429,117"
"Aug 07, 2022",$3.04,$3.23,$2.99,$3.06,"$7,250,726","$7,250,726"
"Aug 06, 2022",$3.17,$3.17,$3.02,$3.04,"$4,458,781","$4,458,781"
"Aug 05, 2022",$3.12,$3.17,$3.01,$3.17,"$8,111,022","$8,111,022"
"Aug 04, 2022",$2.81,$3.12,$2.81,$3.12,"$15,459,961","$15,459,961"
"Aug 03, 2022",$2.73,$2.92,$2.64,$2.81,"$7,991,448","$7,991,448"
"Aug 02, 2022",$2.87,$2.88,$2.67,$2.73,"$8,009,749","$8,009,749"
"Aug 01, 2022",$3.17,$3.29,$2.82,$2.87,"$12,890,817","$12,890,817"
"Jul 31, 2022",$2.86,$3.36,$2.86,$3.17,"$24,280,763","$24,280,763"
"Jul 30, 2022",$2.99,$3.33,$2.84,$2.87,"$13,774,192","$13,774,192"
"Jul 29, 2022",$2.86,$3.07,$2.81,$2.99,"$17,839,271","$17,839,271"
"Jul 28, 2022",$2.53,$3.09,$2.51,$2.86,"$32,150,573","$32,150,573"
"Jul 27, 2022",$2.26,$2.54,$2.23,$2.54,"$8,304,702","$8,304,702"
"Jul 26, 2022",$2.27,$2.29,$2.17,$2.26,"$6,379,136","$6,379,136"
"Jul 25, 2022",$2.46,$2.47,$2.25,$2.25,"$8,664,896","$8,664,896"
"Jul 24, 2022",$2.46,$2.52,$2.43,$2.46,"$7,301,536","$7,301,536"
"Jul 23, 2022",$2.39,$2.50,$2.36,$2.46,"$7,111,278","$7,111,278"
"Jul 22, 2022",$2.48,$2.57,$2.35,$2.39,"$7,409,093","$7,409,093"
