Day,Open,High,Low,Close,Volume,Market Cap
"Sep 10, 2022",$167.47,$172.44,$167.24,$172.23,"$2,446,646","$2,446,646"
"Sep 09, 2022",$160.30,$168.78,$160.30,$167.42,"$4,075,157","$4,075,157"
"Sep 08, 2022",$157.18,$160.60,$155.35,$160.30,"$4,750,872","$4,750,872"
"Sep 07, 2022",$153.34,$158.21,$146.80,$157.17,"$4,245,293","$4,245,293"
"Sep 06, 2022",$158.88,$164.34,$153.20,$153.26,"$5,477,322","$5,477,322"
"Sep 05, 2022",$156.08,$159.40,$154.31,$158.88,"$6,680,924","$6,680,924"
"Sep 04, 2022",$153.79,$156.06,$152.56,$155.94,"$7,438,319","$7,438,319"
"Sep 03, 2022",$155.95,$156.17,$152.98,$153.80,"$4,265,175","$4,265,175"
"Sep 02, 2022",$156.96,$161.68,$155.06,$155.91,"$6,401,845","$6,401,845"
"Sep 01, 2022",$155.19,$157.32,$152.57,$156.92,"$9,566,815","$9,566,815"
"Aug 31, 2022",$152.82,$160.20,$152.82,$155.17,"$7,703,178","$7,703,178"
"Aug 30, 2022",$157.37,$161.41,$149.28,$152.77,"$9,662,129","$9,662,129"
"Aug 29, 2022",$148.20,$157.58,$147.01,$157.42,"$5,364,500","$5,364,500"
"Aug 28, 2022",$151.07,$152.47,$148.21,$148.21,"$4,876,736","$4,876,736"
"Aug 27, 2022",$154.22,$154.40,$149.07,$151.07,"$4,603,011","$4,603,011"
"Aug 26, 2022",$168.63,$168.77,$153.75,$154.28,"$7,725,577","$7,725,577"
"Aug 25, 2022",$165.99,$169.50,$165.93,$168.61,"$3,720,279","$3,720,279"
"Aug 24, 2022",$165.24,$167.60,$161.89,$165.99,"$5,218,489","$5,218,489"
"Aug 23, 2022",$165.18,$166.01,$161.46,$165.21,"$6,566,997","$6,566,997"
"Aug 22, 2022",$167.01,$167.03,$160.27,$165.19,"$4,812,420","$4,812,420"
"Aug 21, 2022",$163.71,$169.08,$163.06,$167.02,"$5,279,165","$5,279,165"
"Aug 20, 2022",$175.72,$177.93,$161.71,$163.73,"$14,051,848","$14,051,848"
"Aug 19, 2022",$197.94,$197.98,$175.80,$175.80,"$10,119,942","$10,119,942"
"Aug 18, 2022",$174.27,$199.60,$174.26,$197.98,"$19,411,879","$19,411,879"
"Aug 17, 2022",$178.61,$183.77,$174.09,$174.25,"$3,551,895","$3,551,895"
"Aug 16, 2022",$180.98,$182.08,$177.78,$178.63,"$3,059,098","$3,059,098"
"Aug 15, 2022",$184.96,$189.93,$180.57,$180.98,"$5,760,593","$5,760,593"
"Aug 14, 2022",$190.94,$192.44,$184.26,$184.93,"$3,242,609","$3,242,609"
"Aug 13, 2022",$186.26,$192.75,$186.13,$190.92,"$3,074,519","$3,074,519"
"Aug 12, 2022",$181.19,$186.29,$179.53,$186.23,"$5,763,181","$5,763,181"
"Aug 11, 2022",$179.51,$185.99,$179.47,$181.20,"$9,766,783","$9,766,783"
