Day,Open,High,Low,Close,Volume,Market Cap
"Sep 22, 2022",$0.007609,$0.007781,$0.007405,$0.007632,"$260,165","$260,165"
"Sep 21, 2022",$0.007927,$0.007947,$0.007465,$0.007618,"$178,899","$178,899"
"Sep 20, 2022",$0.008104,$0.008313,$0.007541,$0.007922,"$170,799","$170,799"
"Sep 19, 2022",$0.007733,$0.008168,$0.007381,$0.008105,"$498,454","$498,454"
"Sep 18, 2022",$0.008173,$0.008209,$0.007692,$0.00773,"$181,117","$181,117"
"Sep 17, 2022",$0.007907,$0.008237,$0.007899,$0.008204,"$118,190","$118,190"
"Sep 16, 2022",$0.008063,$0.008074,$0.007804,$0.007902,"$131,811","$131,811"
"Sep 15, 2022",$0.008089,$0.008254,$0.007807,$0.008066,"$196,391","$196,391"
"Sep 14, 2022",$0.00792,$0.008431,$0.007899,$0.008087,"$377,161","$377,161"
"Sep 13, 2022",$0.0086,$0.008685,$0.007899,$0.008098,"$299,309","$299,309"
"Sep 12, 2022",$0.0085,$0.008706,$0.008282,$0.008573,"$122,240","$122,240"
"Sep 11, 2022",$0.008516,$0.008535,$0.008339,$0.0085,"$115,185","$115,185"
"Sep 10, 2022",$0.008278,$0.008542,$0.008048,$0.008517,"$175,494","$175,494"
"Sep 09, 2022",$0.007948,$0.008439,$0.007851,$0.008278,"$279,630","$279,630"
"Sep 08, 2022",$0.007968,$0.008274,$0.007848,$0.007954,"$333,792","$333,792"
"Sep 07, 2022",$0.00816,$0.008169,$0.007824,$0.007966,"$276,096","$276,096"
"Sep 06, 2022",$0.008113,$0.008245,$0.007866,$0.00816,"$149,699","$149,699"
"Sep 05, 2022",$0.008294,$0.008363,$0.008041,$0.008113,"$211,978","$211,978"
"Sep 04, 2022",$0.008003,$0.00841,$0.007997,$0.008293,"$279,226","$279,226"
"Sep 03, 2022",$0.008502,$0.008502,$0.007961,$0.008004,"$198,327","$198,327"
"Sep 02, 2022",$0.008666,$0.008799,$0.008452,$0.008504,"$268,816","$268,816"
"Sep 01, 2022",$0.008741,$0.008804,$0.008532,$0.008672,"$196,632","$196,632"
"Aug 31, 2022",$0.008654,$0.008862,$0.008596,$0.008743,"$169,234","$169,234"
"Aug 30, 2022",$0.00866,$0.008895,$0.008511,$0.008654,"$173,903","$173,903"
"Aug 29, 2022",$0.008394,$0.008679,$0.008277,$0.008658,"$106,767","$106,767"
"Aug 28, 2022",$0.008424,$0.008562,$0.008376,$0.008394,"$110,326","$110,326"
"Aug 27, 2022",$0.008548,$0.008706,$0.008355,$0.008426,"$135,749","$135,749"
"Aug 26, 2022",$0.008988,$0.009141,$0.008553,$0.008553,"$182,267","$182,267"
"Aug 25, 2022",$0.009033,$0.009167,$0.008825,$0.008994,"$141,465","$141,465"
"Aug 24, 2022",$0.008922,$0.009061,$0.008682,$0.009033,"$223,554","$223,554"
"Aug 23, 2022",$0.008814,$0.009152,$0.008551,$0.008923,"$409,193","$409,193"
"Aug 22, 2022",$0.008992,$0.009143,$0.00865,$0.008812,"$187,901","$187,901"
"Aug 21, 2022",$0.009109,$0.009171,$0.008893,$0.008991,"$85,781","$85,781"
"Aug 20, 2022",$0.008499,$0.009331,$0.008499,$0.009106,"$258,327","$258,327"
"Aug 19, 2022",$0.00971,$0.009739,$0.008443,$0.00853,"$394,929","$394,929"
"Aug 18, 2022",$0.01004,$0.01015,$0.009604,$0.009779,"$172,075","$172,075"
"Aug 17, 2022",$0.01011,$0.01034,$0.009859,$0.01005,"$314,214","$314,214"
"Aug 16, 2022",$0.01028,$0.01032,$0.009908,$0.01011,"$344,930","$344,930"
"Aug 15, 2022",$0.01061,$0.01083,$0.009993,$0.01028,"$455,505","$455,505"
"Aug 14, 2022",$0.01027,$0.01131,$0.01013,$0.01062,"$984,911","$984,911"
"Aug 13, 2022",$0.01018,$0.01046,$0.01004,$0.01027,"$254,091","$254,091"
"Aug 12, 2022",$0.01021,$0.01048,$0.01005,$0.01018,"$463,999","$463,999"
"Aug 11, 2022",$0.0103,$0.01054,$0.01015,$0.01021,"$466,641","$466,641"
"Aug 10, 2022",$0.01011,$0.01045,$0.009871,$0.0103,"$476,515","$476,515"
"Aug 09, 2022",$0.01004,$0.01044,$0.009837,$0.01011,"$405,077","$405,077"
"Aug 08, 2022",$0.01047,$0.01076,$0.009804,$0.01004,"$692,803","$692,803"
"Aug 07, 2022",$0.009965,$0.01114,$0.009538,$0.01047,"$1,108,503","$1,108,503"
"Aug 06, 2022",$0.0093,$0.009969,$0.009234,$0.009965,"$428,789","$428,789"
"Aug 05, 2022",$0.009166,$0.009499,$0.009137,$0.009301,"$282,921","$282,921"
"Aug 04, 2022",$0.009292,$0.00946,$0.009061,$0.009167,"$155,840","$155,840"
"Aug 03, 2022",$0.009235,$0.009528,$0.009054,$0.009291,"$182,017","$182,017"
"Aug 02, 2022",$0.009404,$0.009592,$0.008929,$0.009235,"$284,273","$284,273"
"Aug 01, 2022",$0.008986,$0.009449,$0.00898,$0.009408,"$296,151","$296,151"
"Jul 31, 2022",$0.009115,$0.009561,$0.008986,$0.008986,"$279,840","$279,840"
"Jul 30, 2022",$0.009386,$0.009652,$0.009095,$0.009102,"$302,287","$302,287"
"Jul 29, 2022",$0.009176,$0.009822,$0.00913,$0.009386,"$457,920","$457,920"
"Jul 28, 2022",$0.009098,$0.009437,$0.008787,$0.009174,"$388,668","$388,668"
"Jul 27, 2022",$0.008862,$0.009135,$0.008626,$0.008966,"$507,021","$507,021"
"Jul 26, 2022",$0.008706,$0.009811,$0.008557,$0.008866,"$850,484","$850,484"
"Jul 25, 2022",$0.008894,$0.00988,$0.008574,$0.008711,"$1,182,948","$1,182,948"
"Jul 24, 2022",$0.009029,$0.009378,$0.008889,$0.008894,"$255,774","$255,774"
"Jul 23, 2022",$0.009234,$0.009419,$0.00866,$0.009024,"$342,011","$342,011"
"Jul 22, 2022",$0.00927,$0.009752,$0.008952,$0.009273,"$807,663","$807,663"
"Jul 21, 2022",$0.009256,$0.009379,$0.008752,$0.009276,"$402,964","$402,964"
"Jul 20, 2022",$0.009402,$0.01021,$0.009053,$0.009273,"$1,432,530","$1,432,530"
"Jul 19, 2022",$0.00943,$0.009588,$0.00872,$0.009398,"$700,122","$700,122"
"Jul 18, 2022",$0.00847,$0.009724,$0.008462,$0.009564,"$1,036,804","$1,036,804"
"Jul 17, 2022",$0.008435,$0.008847,$0.008203,$0.008464,"$546,176","$546,176"
"Jul 16, 2022",$0.008473,$0.008503,$0.00807,$0.008434,"$232,587","$232,587"
"Jul 15, 2022",$0.008248,$0.008532,$0.008095,$0.008477,"$193,339","$193,339"
"Jul 14, 2022",$0.008267,$0.00841,$0.007759,$0.008259,"$387,379","$387,379"
"Jul 13, 2022",$0.007749,$0.008269,$0.007631,$0.008269,"$233,354","$233,354"
"Jul 12, 2022",$0.008231,$0.00824,$0.007703,$0.007748,"$249,768","$249,768"
"Jul 11, 2022",$0.008754,$0.008755,$0.008112,$0.008238,"$381,469","$381,469"
"Jul 10, 2022",$0.009091,$0.00915,$0.008701,$0.008757,"$346,864","$346,864"
"Jul 09, 2022",$0.009039,$0.009253,$0.008968,$0.00909,"$296,359","$296,359"
"Jul 08, 2022",$0.009325,$0.009779,$0.008875,$0.009035,"$1,165,326","$1,165,326"
"Jul 07, 2022",$0.009486,$0.009915,$0.009136,$0.009329,"$1,435,203","$1,435,203"
"Jul 06, 2022",$0.009001,$0.01001,$0.008736,$0.009485,"$1,264,986","$1,264,986"
"Jul 05, 2022",$0.009006,$0.0093,$0.008772,$0.008998,"$837,804","$837,804"
"Jul 04, 2022",$0.009068,$0.009286,$0.008704,$0.009014,"$552,972","$552,972"
"Jul 03, 2022",$0.009178,$0.00935,$0.008741,$0.009072,"$911,678","$911,678"
"Jul 02, 2022",$0.00982,$0.009872,$0.00901,$0.009179,"$1,425,145","$1,425,145"
"Jul 01, 2022",$0.009442,$0.01398,$0.008816,$0.009761,"$9,635,130","$9,635,130"
"Jun 30, 2022",$0.009806,$0.009934,$0.008677,$0.009147,"$646,573","$646,573"
"Jun 29, 2022",$0.009328,$0.01028,$0.009246,$0.0098,"$802,106","$802,106"
"Jun 28, 2022",$0.009805,$0.009966,$0.00932,$0.009334,"$236,243","$236,243"
"Jun 27, 2022",$0.01002,$0.01015,$0.009473,$0.009812,"$411,267","$411,267"
"Jun 26, 2022",$0.01056,$0.01071,$0.009923,$0.01003,"$578,145","$578,145"
"Jun 25, 2022",$0.01049,$0.011,$0.009675,$0.01057,"$1,889,863","$1,889,863"
"Jun 24, 2022",$0.009518,$0.01536,$0.009514,$0.01049,"$8,821,257","$8,821,257"
"Jun 23, 2022",$0.008283,$0.01012,$0.008271,$0.00951,"$1,139,243","$1,139,243"
"Jun 22, 2022",$0.008478,$0.00859,$0.008166,$0.008284,"$97,200","$97,200"
"Jun 21, 2022",$0.008448,$0.00895,$0.008381,$0.008507,"$267,702","$267,702"
"Jun 20, 2022",$0.008319,$0.008752,$0.008047,$0.008451,"$118,717","$118,717"
"Jun 19, 2022",$0.007629,$0.008624,$0.007235,$0.00829,"$168,072","$168,072"
"Jun 18, 2022",$0.008454,$0.008529,$0.007028,$0.007638,"$184,620","$184,620"
"Jun 17, 2022",$0.00796,$0.008707,$0.007726,$0.008502,"$276,318","$276,318"
