Day,Open,High,Low,Close,Volume,Market Cap
"Sep 19, 2022",$0.1002,$0.1084,$0.09823,$0.1057,"$1,437,609","$1,437,609"
"Sep 18, 2022",$0.1058,$0.1067,$0.09952,$0.1002,"$1,510,078","$1,510,078"
"Sep 17, 2022",$0.1014,$0.1098,$0.09905,$0.1058,"$1,153,943","$1,153,943"
"Sep 16, 2022",$0.1093,$0.1101,$0.09756,$0.1022,"$1,228,104","$1,228,104"
"Sep 15, 2022",$0.1109,$0.1111,$0.1033,$0.1094,"$2,008,000","$2,008,000"
"Sep 14, 2022",$0.1077,$0.1113,$0.1068,$0.1109,"$1,579,535","$1,579,535"
"Sep 13, 2022",$0.1143,$0.1166,$0.1071,$0.1074,"$1,677,817","$1,677,817"
"Sep 12, 2022",$0.1146,$0.1157,$0.1119,$0.1144,"$1,791,490","$1,791,490"
"Sep 11, 2022",$0.1158,$0.1163,$0.1142,$0.1146,"$1,912,629","$1,912,629"
"Sep 10, 2022",$0.1138,$0.1161,$0.1132,$0.1159,"$1,691,050","$1,691,050"
"Sep 09, 2022",$0.1108,$0.1165,$0.1104,$0.1138,"$1,747,334","$1,747,334"
"Sep 08, 2022",$0.1094,$0.1129,$0.1061,$0.1109,"$1,891,847","$1,891,847"
"Sep 07, 2022",$0.1058,$0.1097,$0.1006,$0.1093,"$1,689,176","$1,689,176"
"Sep 06, 2022",$0.104,$0.1108,$0.103,$0.1058,"$1,797,074","$1,797,074"
"Sep 05, 2022",$0.1013,$0.104,$0.09684,$0.104,"$1,682,051","$1,682,051"
"Sep 04, 2022",$0.09939,$0.1017,$0.09521,$0.1012,"$1,895,317","$1,895,317"
"Sep 03, 2022",$0.09621,$0.0996,$0.09457,$0.09948,"$1,735,726","$1,735,726"
"Sep 02, 2022",$0.101,$0.1033,$0.09517,$0.0963,"$1,679,594","$1,679,594"
"Sep 01, 2022",$0.09926,$0.1011,$0.09562,$0.101,"$1,846,957","$1,846,957"
"Aug 31, 2022",$0.0992,$0.1027,$0.09888,$0.09924,"$1,895,146","$1,895,146"
"Aug 30, 2022",$0.1015,$0.1035,$0.09711,$0.09926,"$1,843,454","$1,843,454"
"Aug 29, 2022",$0.09722,$0.1017,$0.09637,$0.1014,"$1,840,078","$1,840,078"
"Aug 28, 2022",$0.09852,$0.1003,$0.09712,$0.09735,"$1,795,129","$1,795,129"
"Aug 27, 2022",$0.1007,$0.1009,$0.09811,$0.09849,"$1,752,217","$1,752,217"
"Aug 26, 2022",$0.1099,$0.1107,$0.1007,$0.1008,"$1,946,745","$1,946,745"
"Aug 25, 2022",$0.1077,$0.11,$0.1074,$0.1098,"$1,757,051","$1,757,051"
"Aug 24, 2022",$0.1082,$0.1088,$0.1052,$0.1077,"$1,353,936","$1,353,936"
"Aug 23, 2022",$0.1065,$0.1083,$0.1045,$0.1082,"$1,286,365","$1,286,365"
"Aug 22, 2022",$0.1064,$0.1066,$0.1009,$0.1064,"$1,370,090","$1,370,090"
"Aug 21, 2022",$0.09927,$0.1073,$0.09922,$0.1064,"$1,275,479","$1,275,479"
"Aug 20, 2022",$0.1025,$0.1043,$0.09865,$0.09927,"$1,600,082","$1,600,082"
"Aug 19, 2022",$0.1115,$0.1117,$0.1023,$0.1024,"$1,795,483","$1,795,483"
"Aug 18, 2022",$0.112,$0.1142,$0.1112,$0.1115,"$1,750,761","$1,750,761"
"Aug 17, 2022",$0.1214,$0.1262,$0.1118,$0.1122,"$1,865,268","$1,865,268"
"Aug 16, 2022",$0.1249,$0.1254,$0.1209,$0.1218,"$1,890,117","$1,890,117"
"Aug 15, 2022",$0.126,$0.1293,$0.1237,$0.1248,"$1,764,520","$1,764,520"
"Aug 14, 2022",$0.1313,$0.1329,$0.1252,$0.1263,"$1,493,855","$1,493,855"
"Aug 13, 2022",$0.1276,$0.1322,$0.1257,$0.1313,"$1,184,292","$1,184,292"
"Aug 12, 2022",$0.1272,$0.1284,$0.1237,$0.1275,"$1,641,859","$1,641,859"
"Aug 11, 2022",$0.1295,$0.1336,$0.1268,$0.1269,"$1,848,440","$1,848,440"
"Aug 10, 2022",$0.1244,$0.1302,$0.1225,$0.1296,"$1,687,806","$1,687,806"
"Aug 09, 2022",$0.1282,$0.1286,$0.1222,$0.1244,"$1,366,762","$1,366,762"
"Aug 08, 2022",$0.1204,$0.1301,$0.1179,$0.1282,"$1,328,228","$1,328,228"
"Aug 07, 2022",$0.1174,$0.1219,$0.1163,$0.1206,"$1,766,893","$1,766,893"
"Aug 06, 2022",$0.1226,$0.1242,$0.1174,$0.1175,"$1,384,247","$1,384,247"
"Aug 05, 2022",$0.1169,$0.1229,$0.1161,$0.1226,"$1,597,522","$1,597,522"
"Aug 04, 2022",$0.1162,$0.12,$0.116,$0.1169,"$1,294,092","$1,294,092"
"Aug 03, 2022",$0.1149,$0.1183,$0.1124,$0.1162,"$1,367,465","$1,367,465"
"Aug 02, 2022",$0.1138,$0.1167,$0.1106,$0.1149,"$2,021,126","$2,021,126"
"Aug 01, 2022",$0.119,$0.1211,$0.11,$0.1138,"$1,447,068","$1,447,068"
"Jul 31, 2022",$0.1227,$0.1233,$0.1183,$0.119,"$1,760,199","$1,760,199"
"Jul 30, 2022",$0.124,$0.1279,$0.1222,$0.1227,"$2,042,790","$2,042,790"
