Day,Open,High,Low,Close,Volume,Market Cap
"Sep 26, 2022",$0.2444,$0.2503,$0.236,$0.2501,"$431,230","$431,230"
"Sep 25, 2022",$0.2467,$0.2473,$0.2359,$0.2442,"$408,049","$408,049"
"Sep 24, 2022",$0.2399,$0.2498,$0.2399,$0.2459,"$408,583","$408,583"
"Sep 23, 2022",$0.2402,$0.2451,$0.2355,$0.2401,"$296,804","$296,804"
"Sep 22, 2022",$0.2345,$0.2413,$0.2298,$0.2402,"$294,611","$294,611"
"Sep 21, 2022",$0.247,$0.2533,$0.2333,$0.2354,"$289,023","$289,023"
"Sep 20, 2022",$0.2589,$0.266,$0.2462,$0.2472,"$287,845","$287,845"
"Sep 19, 2022",$0.2367,$0.2686,$0.228,$0.2591,"$458,204","$458,204"
"Sep 18, 2022",$0.2503,$0.2579,$0.2358,$0.2366,"$297,329","$297,329"
"Sep 17, 2022",$0.2451,$0.2573,$0.2426,$0.25,"$353,934","$353,934"
"Sep 16, 2022",$0.231,$0.2498,$0.2213,$0.2452,"$410,495","$410,495"
"Sep 15, 2022",$0.2372,$0.2687,$0.2276,$0.2309,"$343,956","$343,956"
"Sep 14, 2022",$0.2403,$0.2408,$0.231,$0.2375,"$323,966","$323,966"
"Sep 13, 2022",$0.2502,$0.2525,$0.238,$0.2384,"$330,716","$330,716"
"Sep 12, 2022",$0.254,$0.2541,$0.2477,$0.25,"$300,202","$300,202"
"Sep 11, 2022",$0.2575,$0.2578,$0.2518,$0.2533,"$295,859","$295,859"
"Sep 10, 2022",$0.2532,$0.2586,$0.2528,$0.2572,"$353,801","$353,801"
"Sep 09, 2022",$0.2367,$0.2543,$0.2358,$0.2532,"$325,264","$325,264"
"Sep 08, 2022",$0.237,$0.2384,$0.2357,$0.2367,"$219,989","$219,989"
"Sep 07, 2022",$0.2375,$0.2396,$0.2265,$0.237,"$269,604","$269,604"
"Sep 06, 2022",$0.2391,$0.2463,$0.2377,$0.2378,"$394,743","$394,743"
"Sep 05, 2022",$0.2414,$0.2422,$0.2374,$0.2391,"$315,247","$315,247"
"Sep 04, 2022",$0.2402,$0.2428,$0.2385,$0.2415,"$328,491","$328,491"
"Sep 03, 2022",$0.2416,$0.2432,$0.2389,$0.2402,"$345,630","$345,630"
"Sep 02, 2022",$0.2398,$0.244,$0.2386,$0.242,"$327,705","$327,705"
"Sep 01, 2022",$0.2403,$0.2414,$0.2369,$0.2398,"$321,704","$321,704"
"Aug 31, 2022",$0.2345,$0.2431,$0.2345,$0.2403,"$263,778","$263,778"
"Aug 30, 2022",$0.2388,$0.2424,$0.2314,$0.2345,"$48,905","$48,905"
"Aug 29, 2022",$0.2237,$0.2408,$0.2227,$0.2392,"$25,533","$25,533"
"Aug 28, 2022",$0.2344,$0.2444,$0.2237,$0.2237,"$56,248","$56,248"
"Aug 27, 2022",$0.2385,$0.2387,$0.2266,$0.2346,"$43,290","$43,290"
"Aug 26, 2022",$0.2598,$0.2598,$0.2382,$0.2385,"$27,365","$27,365"
"Aug 25, 2022",$0.2718,$0.2753,$0.2592,$0.2598,"$129,653","$129,653"
"Aug 24, 2022",$0.2671,$0.276,$0.2613,$0.2719,"$70,085","$70,085"
"Aug 23, 2022",$0.2619,$0.2676,$0.259,$0.2671,"$25,015","$25,015"
"Aug 22, 2022",$0.2692,$0.2693,$0.2574,$0.262,"$38,278","$38,278"
"Aug 21, 2022",$0.2692,$0.2719,$0.2666,$0.2685,"$39,263","$39,263"
"Aug 20, 2022",$0.2759,$0.281,$0.2676,$0.2695,"$77,760","$77,760"
"Aug 19, 2022",$0.3158,$0.316,$0.276,$0.276,"$101,663","$101,663"
"Aug 18, 2022",$0.3248,$0.3254,$0.3157,$0.3157,"$93,502","$93,502"
"Aug 17, 2022",$0.3446,$0.3506,$0.3233,$0.3247,"$64,858","$64,858"
"Aug 16, 2022",$0.3508,$0.3514,$0.3438,$0.3445,"$47,616","$47,616"
"Aug 15, 2022",$0.3694,$0.3745,$0.3499,$0.3509,"$147,998","$147,998"
"Aug 14, 2022",$0.3937,$0.3955,$0.3685,$0.3696,"$184,896","$184,896"
"Aug 13, 2022",$0.3839,$0.3949,$0.383,$0.3938,"$148,517","$148,517"
"Aug 12, 2022",$0.3797,$0.3841,$0.3772,$0.3841,"$134,589","$134,589"
"Aug 11, 2022",$0.3788,$0.3885,$0.3762,$0.3797,"$137,590","$137,590"
"Aug 10, 2022",$0.3615,$0.3812,$0.3429,$0.3785,"$172,841","$172,841"
"Aug 09, 2022",$0.3862,$0.388,$0.3613,$0.3616,"$121,449","$121,449"
