Day,Open,High,Low,Close,Volume,Market Cap
"Sep 25, 2022",$0.7743,$0.79,$0.7712,$0.7802,"$18,810","$18,810"
"Sep 24, 2022",$0.7786,$0.8712,$0.7713,$0.7743,"$19,175","$19,175"
"Sep 23, 2022",$0.8683,$0.8888,$0.7682,$0.7786,"$25,094","$25,094"
"Sep 22, 2022",$0.8493,$0.8686,$0.813,$0.8669,"$22,749","$22,749"
"Sep 21, 2022",$0.9003,$0.9145,$0.7578,$0.8493,"$12,359","$12,359"
"Sep 20, 2022",$0.7095,$0.9736,$0.6923,$0.9003,"$51,891","$51,891"
"Sep 19, 2022",$0.6948,$0.714,$0.6932,$0.7095,"$29,168","$29,168"
"Sep 18, 2022",$0.7265,$0.7273,$0.6842,$0.6948,"$31,677","$31,677"
"Sep 17, 2022",$0.7296,$0.7761,$0.6916,$0.7267,"$30,999","$30,999"
"Sep 16, 2022",$0.7061,$0.8297,$0.6476,$0.7606,"$39,142","$39,142"
"Sep 15, 2022",$0.6428,$0.7291,$0.6407,$0.7061,"$29,388","$29,388"
"Sep 14, 2022",$0.8273,$0.8416,$0.6027,$0.6428,"$38,843","$38,843"
"Sep 13, 2022",$0.8703,$0.878,$0.7423,$0.7697,"$37,554","$37,554"
"Sep 12, 2022",$0.8771,$0.8788,$0.8695,$0.8704,"$37,844","$37,844"
"Sep 11, 2022",$0.8601,$0.8787,$0.838,$0.8771,"$37,239","$37,239"
"Sep 10, 2022",$0.7993,$0.879,$0.7826,$0.852,"$38,034","$38,034"
"Sep 09, 2022",$0.7688,$0.8788,$0.7485,$0.7993,"$37,787","$37,787"
"Sep 08, 2022",$0.6906,$0.8077,$0.6856,$0.7688,"$29,414","$29,414"
"Sep 07, 2022",$0.656,$0.7381,$0.6155,$0.6906,"$33,141","$33,141"
"Sep 06, 2022",$0.8279,$0.897,$0.6448,$0.6561,"$40,416","$40,416"
"Sep 05, 2022",$0.9222,$0.9226,$0.8245,$0.8279,"$41,710","$41,710"
"Sep 04, 2022",$0.9126,$0.9293,$0.911,$0.9222,"$39,359","$39,359"
"Sep 03, 2022",$0.9153,$0.9293,$0.9112,$0.9126,"$40,440","$40,440"
"Sep 02, 2022",$0.9222,$0.9293,$0.911,$0.9153,"$39,258","$39,258"
"Sep 01, 2022",$0.9251,$0.9393,$0.8959,$0.9222,"$40,297","$40,297"
"Aug 31, 2022",$0.9109,$0.9256,$0.8182,$0.9251,"$45,394","$45,394"
"Aug 30, 2022",$0.8992,$0.9189,$0.8877,$0.9109,"$41,028","$41,028"
"Aug 29, 2022",$0.8951,$0.909,$0.8819,$0.8992,"$42,317","$42,317"
"Aug 28, 2022",$0.8809,$0.901,$0.819,$0.8937,"$40,246","$40,246"
"Aug 27, 2022",$0.8855,$0.901,$0.7759,$0.8809,"$41,009","$41,009"
"Aug 26, 2022",$0.8835,$0.9189,$0.7897,$0.8854,"$41,530","$41,530"
"Aug 25, 2022",$0.8219,$0.8989,$0.7959,$0.8769,"$37,665","$37,665"
"Aug 24, 2022",$0.785,$0.8316,$0.7711,$0.8113,"$36,480","$36,480"
"Aug 23, 2022",$0.7895,$0.8006,$0.7717,$0.785,"$33,925","$33,925"
"Aug 22, 2022",$0.8271,$0.8344,$0.7758,$0.7895,"$34,776","$34,776"
"Aug 21, 2022",$0.8319,$0.8394,$0.8153,$0.8232,"$37,161","$37,161"
"Aug 20, 2022",$0.7991,$0.8539,$0.773,$0.838,"$36,999","$36,999"
"Aug 19, 2022",$0.904,$0.9143,$0.7702,$0.8065,"$31,892","$31,892"
"Aug 18, 2022",$0.87,$0.9385,$0.8621,$0.904,"$39,672","$39,672"
"Aug 17, 2022",$0.9563,$0.9581,$0.8136,$0.87,"$41,108","$41,108"
"Aug 16, 2022",$0.9288,$0.9902,$0.9145,$0.9563,"$41,632","$41,632"
"Aug 15, 2022",$0.8958,$0.9534,$0.8903,$0.9288,"$39,798","$39,798"
"Aug 14, 2022",$0.8708,$0.9033,$0.8598,$0.8958,"$41,160","$41,160"
"Aug 13, 2022",$0.6922,$1.14,$0.6267,$0.8708,"$46,871","$46,871"
"Aug 12, 2022",$0.5091,$0.7153,$0.5082,$0.6922,"$31,707","$31,707"
"Aug 11, 2022",$0.507,$0.5108,$0.5043,$0.5091,"$22,245","$22,245"
"Aug 10, 2022",$0.5048,$0.5081,$0.5042,$0.507,"$21,111","$21,111"
"Aug 09, 2022",$0.4876,$0.5081,$0.4814,$0.5081,"$22,094","$22,094"
"Aug 08, 2022",$0.4887,$0.4943,$0.4797,$0.4863,"$20,510","$20,510"
"Aug 07, 2022",$0.4811,$0.4926,$0.4797,$0.4887,"$21,224","$21,224"
"Aug 06, 2022",$0.4851,$0.4867,$0.4796,$0.4811,"$21,995","$21,995"
"Aug 05, 2022",$0.4813,$0.486,$0.4413,$0.4851,"$22,137","$22,137"
"Aug 04, 2022",$0.4806,$0.4861,$0.4761,$0.4858,"$20,878","$20,878"
"Aug 03, 2022",$0.4577,$0.4815,$0.4551,$0.4806,"$6,016","$6,016"
"Aug 02, 2022",$0.4634,$0.4705,$0.4551,$0.4577,"$19,183","$19,183"
"Aug 01, 2022",$0.4926,$0.4979,$0.456,$0.4655,"$20,708","$20,708"
"Jul 31, 2022",$0.4918,$0.4997,$0.4875,$0.4926,"$21,130","$21,130"
"Jul 30, 2022",$0.4907,$0.4947,$0.4877,$0.4918,"$21,695","$21,695"
"Jul 29, 2022",$0.48,$0.4996,$0.4771,$0.491,"$20,947","$20,947"
"Jul 28, 2022",$0.4897,$0.503,$0.477,$0.48,"$21,703","$21,703"
"Jul 27, 2022",$0.4993,$0.5093,$0.4821,$0.4897,"$23,139","$23,139"
"Jul 26, 2022",$0.4999,$0.505,$0.4869,$0.4993,"$25,221","$25,221"
"Jul 25, 2022",$0.4709,$0.5029,$0.4709,$0.489,"$22,862","$22,862"
"Jul 24, 2022",$0.475,$0.4781,$0.4671,$0.4709,"$19,953","$19,953"
"Jul 23, 2022",$0.4567,$0.4848,$0.4551,$0.475,"$21,727","$21,727"
"Jul 22, 2022",$0.4115,$0.5022,$0.4115,$0.4567,"$21,928","$21,928"
"Jul 21, 2022",$0.3959,$0.4216,$0.3891,$0.4115,"$22,285","$22,285"
"Jul 20, 2022",$0.3397,$0.4052,$0.3387,$0.399,"$21,573","$21,573"
"Jul 19, 2022",$0.3468,$0.3499,$0.3349,$0.3388,"$16,006","$16,006"
"Jul 18, 2022",$0.3279,$0.3499,$0.3276,$0.3451,"$16,760","$16,760"
"Jul 17, 2022",$0.3311,$0.3355,$0.3272,$0.3304,"$15,776","$15,776"
"Jul 16, 2022",$0.3351,$0.3365,$0.3268,$0.3311,"$14,003","$14,003"
"Jul 15, 2022",$0.3059,$0.3499,$0.3019,$0.3309,"$16,975","$16,975"
"Jul 14, 2022",$0.3107,$0.311,$0.302,$0.3051,"$13,213","$13,213"
"Jul 13, 2022",$0.3026,$0.32,$0.2965,$0.3106,"$14,477","$14,477"
"Jul 12, 2022",$0.3169,$0.3287,$0.2963,$0.3004,"$15,050","$15,050"
"Jul 11, 2022",$0.3343,$0.3435,$0.3126,$0.3169,"$14,770","$14,770"
"Jul 10, 2022",$0.3415,$0.3498,$0.3323,$0.3344,"$15,766","$15,766"
"Jul 09, 2022",$0.3114,$0.3475,$0.3074,$0.3378,"$15,301","$15,301"
"Jul 08, 2022",$0.2941,$0.3249,$0.2868,$0.3113,"$13,715","$13,715"
"Jul 07, 2022",$0.3062,$0.3084,$0.2861,$0.2941,"$12,732","$12,732"
"Jul 06, 2022",$0.3045,$0.3125,$0.2996,$0.3062,"$12,888","$12,888"
"Jul 05, 2022",$0.2826,$0.3307,$0.2795,$0.3073,"$16,059","$16,059"
"Jul 04, 2022",$0.2563,$0.4738,$0.2523,$0.2825,"$16,958","$16,958"
"Jul 03, 2022",$0.2453,$0.2782,$0.2438,$0.2563,"$12,650","$12,650"
