Day,Open,High,Low,Close,Volume,Market Cap
"Sep 26, 2022",$0.03249,$0.03483,$0.03245,$0.0346,"$185,567","$185,567"
"Sep 25, 2022",$0.03407,$0.03422,$0.03247,$0.03249,"$110,428","$110,428"
"Sep 24, 2022",$0.03392,$0.0349,$0.03381,$0.03407,"$121,152","$121,152"
"Sep 23, 2022",$0.03458,$0.03498,$0.03321,$0.03392,"$118,120","$118,120"
"Sep 22, 2022",$0.03416,$0.03495,$0.03371,$0.03457,"$109,162","$109,162"
"Sep 21, 2022",$0.03441,$0.03476,$0.03416,$0.03416,"$72,263","$72,263"
"Sep 20, 2022",$0.03354,$0.0353,$0.03322,$0.03441,"$92,816","$92,816"
"Sep 19, 2022",$0.03485,$0.03485,$0.03329,$0.03354,"$57,649","$57,649"
"Sep 18, 2022",$0.03451,$0.0358,$0.03419,$0.03485,"$54,687","$54,687"
"Sep 17, 2022",$0.03503,$0.0354,$0.03421,$0.03451,"$57,064","$57,064"
"Sep 16, 2022",$0.0346,$0.03599,$0.03373,$0.03509,"$88,898","$88,898"
"Sep 15, 2022",$0.03547,$0.03574,$0.03449,$0.0346,"$51,043","$51,043"
"Sep 14, 2022",$0.03624,$0.03785,$0.03478,$0.03547,"$57,813","$57,813"
"Sep 13, 2022",$0.03764,$0.03772,$0.03579,$0.03584,"$88,219","$88,219"
"Sep 12, 2022",$0.03842,$0.04054,$0.03762,$0.03764,"$159,158","$159,158"
"Sep 11, 2022",$0.04097,$0.04097,$0.03829,$0.03842,"$118,638","$118,638"
"Sep 10, 2022",$0.03644,$0.04968,$0.03642,$0.04092,"$1,227,585","$1,227,585"
"Sep 09, 2022",$0.03387,$0.03809,$0.03374,$0.03645,"$143,270","$143,270"
"Sep 08, 2022",$0.03501,$0.0359,$0.03379,$0.03387,"$56,719","$56,719"
"Sep 07, 2022",$0.03615,$0.03636,$0.03499,$0.03501,"$68,531","$68,531"
"Sep 06, 2022",$0.03593,$0.03745,$0.03544,$0.03615,"$143,595","$143,595"
"Sep 05, 2022",$0.03664,$0.03689,$0.03576,$0.03593,"$59,037","$59,037"
"Sep 04, 2022",$0.03758,$0.03823,$0.03652,$0.03664,"$56,302","$56,302"
"Sep 03, 2022",$0.03737,$0.03846,$0.03709,$0.03758,"$162,549","$162,549"
"Sep 02, 2022",$0.03742,$0.03854,$0.03711,$0.03737,"$57,178","$57,178"
"Sep 01, 2022",$0.03819,$0.03879,$0.03742,$0.03743,"$47,831","$47,831"
"Aug 31, 2022",$0.03854,$0.03904,$0.03815,$0.03819,"$53,987","$53,987"
"Aug 30, 2022",$0.03936,$0.03989,$0.03847,$0.03853,"$57,795","$57,795"
"Aug 29, 2022",$0.04094,$0.04106,$0.03911,$0.03936,"$64,180","$64,180"
"Aug 28, 2022",$0.04129,$0.04221,$0.04093,$0.04094,"$403,636","$403,636"
"Aug 27, 2022",$0.04277,$0.04279,$0.04126,$0.0413,"$61,665","$61,665"
"Aug 26, 2022",$0.04361,$0.04698,$0.04277,$0.04277,"$204,259","$204,259"
"Aug 25, 2022",$0.04443,$0.0449,$0.04361,$0.04361,"$53,866","$53,866"
"Aug 24, 2022",$0.04579,$0.04625,$0.04324,$0.04442,"$55,066","$55,066"
"Aug 23, 2022",$0.04647,$0.04686,$0.04571,$0.04579,"$62,982","$62,982"
"Aug 22, 2022",$0.04775,$0.04775,$0.04647,$0.04647,"$61,765","$61,765"
"Aug 21, 2022",$0.04774,$0.04802,$0.0467,$0.04775,"$83,580","$83,580"
"Aug 20, 2022",$0.05244,$0.05247,$0.0476,$0.04774,"$116,243","$116,243"
"Aug 19, 2022",$0.05688,$0.05697,$0.05196,$0.05244,"$123,921","$123,921"
"Aug 18, 2022",$0.06016,$0.06028,$0.05685,$0.05688,"$96,077","$96,077"
"Aug 17, 2022",$0.06067,$0.06106,$0.05743,$0.06017,"$188,844","$188,844"
"Aug 16, 2022",$0.0603,$0.06156,$0.05992,$0.06067,"$138,026","$138,026"
