Day,Open,High,Low,Close,Volume,Market Cap
"Sep 25, 2022",$0.148,$0.1518,$0.1455,$0.1486,"$170,313","$170,313"
"Sep 24, 2022",$0.162,$0.1648,$0.1476,$0.148,"$170,488","$170,488"
"Sep 23, 2022",$0.1592,$0.1651,$0.1511,$0.162,"$195,996","$195,996"
"Sep 22, 2022",$0.1645,$0.1657,$0.1589,$0.1592,"$151,422","$151,422"
"Sep 21, 2022",$0.1617,$0.1657,$0.1587,$0.1645,"$42,648","$42,648"
"Sep 20, 2022",$0.1631,$0.168,$0.1587,$0.1617,"$41,533","$41,533"
"Sep 19, 2022",$0.1672,$0.1738,$0.1611,$0.1631,"$40,989","$40,989"
"Sep 18, 2022",$0.1728,$0.1758,$0.1656,$0.1672,"$40,857","$40,857"
"Sep 17, 2022",$0.1764,$0.1856,$0.1681,$0.1728,"$40,614","$40,614"
"Sep 16, 2022",$0.1821,$0.1876,$0.1711,$0.1764,"$41,519","$41,519"
"Sep 15, 2022",$0.2003,$0.7021,$0.1725,$0.1821,"$54,200","$54,200"
"Sep 14, 2022",$0.2053,$0.2149,$0.1959,$0.2003,"$40,533","$40,533"
"Sep 13, 2022",$0.2075,$0.2324,$0.1959,$0.2026,"$39,538","$39,538"
"Sep 12, 2022",$0.2083,$0.2161,$0.2027,$0.2075,"$42,211","$42,211"
"Sep 11, 2022",$0.2262,$0.2264,$0.2058,$0.2083,"$41,855","$41,855"
"Sep 10, 2022",$0.2228,$0.2421,$0.2196,$0.2262,"$43,050","$43,050"
"Sep 09, 2022",$0.2372,$0.2372,$0.2225,$0.2228,"$41,712","$41,712"
"Sep 08, 2022",$0.2405,$0.2454,$0.231,$0.2372,"$41,415","$41,415"
"Sep 07, 2022",$0.244,$0.2567,$0.2192,$0.2405,"$43,083","$43,083"
"Sep 06, 2022",$0.2566,$1.49,$0.2149,$0.244,"$66,580","$66,580"
"Sep 05, 2022",$0.2606,$0.2666,$0.2502,$0.2566,"$41,695","$41,695"
"Sep 04, 2022",$0.274,$0.2817,$0.2601,$0.2606,"$39,897","$39,897"
"Sep 03, 2022",$0.3024,$0.3024,$0.273,$0.274,"$40,520","$40,520"
"Sep 02, 2022",$0.3129,$0.3234,$0.3008,$0.3024,"$40,177","$40,177"
"Sep 01, 2022",$0.3255,$0.3345,$0.3007,$0.3129,"$42,592","$42,592"
"Aug 31, 2022",$0.3438,$0.3438,$0.312,$0.3255,"$42,034","$42,034"
"Aug 30, 2022",$0.3564,$0.3626,$0.3379,$0.3438,"$42,432","$42,432"
"Aug 29, 2022",$0.377,$0.3868,$0.3501,$0.3564,"$40,048","$40,048"
"Aug 28, 2022",$0.3751,$0.406,$0.371,$0.377,"$42,749","$42,749"
"Aug 27, 2022",$0.4019,$0.4314,$0.3704,$0.3751,"$38,368","$38,368"
"Aug 26, 2022",$0.4627,$0.4658,$0.4019,$0.4019,"$38,869","$38,869"
"Aug 25, 2022",$0.4918,$0.4928,$0.419,$0.4627,"$44,436","$44,436"
"Aug 24, 2022",$0.5384,$0.5394,$0.4848,$0.4918,"$42,137","$42,137"
"Aug 23, 2022",$0.5634,$0.5673,$0.5066,$0.5384,"$41,946","$41,946"
"Aug 22, 2022",$0.6175,$0.6573,$0.563,$0.5634,"$42,068","$42,068"
"Aug 21, 2022",$0.6317,$0.6827,$0.6005,$0.6175,"$46,125","$46,125"
"Aug 20, 2022",$0.7158,$0.7286,$0.6248,$0.6317,"$39,396","$39,396"
"Aug 19, 2022",$0.7835,$0.8048,$0.6732,$0.7158,"$44,030","$44,030"
"Aug 18, 2022",$0.8819,$0.9214,$0.7517,$0.7835,"$52,698","$52,698"
"Aug 17, 2022",$1.07,$1.30,$0.8247,$0.8819,"$59,228","$59,228"
"Aug 16, 2022",$1.16,$1.17,$1.01,$1.07,"$59,115","$59,115"
"Aug 15, 2022",$1.16,$1.61,$1.15,$1.16,"$74,299","$74,299"
"Aug 14, 2022",$1.23,$1.29,$1.15,$1.16,"$49,158","$49,158"
"Aug 13, 2022",$1.38,$1.41,$1.13,$1.23,"$46,258","$46,258"
"Aug 12, 2022",$1.66,$1.68,$1.37,$1.38,"$46,400","$46,400"
"Aug 11, 2022",$1.97,$1.99,$1.66,$1.66,"$50,797","$50,797"
"Aug 10, 2022",$2.21,$2.23,$1.96,$1.97,"$57,552","$57,552"
"Aug 09, 2022",$2.74,$2.81,$2.21,$2.21,"$81,750","$81,750"
"Aug 08, 2022",$3.71,$3.80,$2.70,$2.74,"$87,810","$87,810"
"Aug 07, 2022",$3.79,$3.81,$3.66,$3.71,"$73,007","$73,007"
"Aug 06, 2022",$3.78,$4.44,$3.78,$3.79,"$88,388","$88,388"
"Aug 05, 2022",$4.83,$4.83,$3.75,$3.78,"$36,376","$36,376"
"Aug 04, 2022",$5.96,$5.96,$4.83,$4.83,$0,$0
"Aug 03, 2022",$7.89,$8.06,$5.95,$5.96,"$207,659","$207,659"
"Aug 02, 2022",$7.95,$8.11,$7.58,$7.89,"$118,315","$118,315"
"Aug 01, 2022",$7.96,$8.49,$7.56,$7.95,"$175,904","$175,904"
"Jul 31, 2022",$7.79,$9.02,$6.74,$7.96,"$229,183","$229,183"
"Jul 30, 2022",$7.96,$8.70,$7.10,$7.79,"$304,690","$304,690"
"Jul 29, 2022",$6.09,$7.98,$6.09,$7.96,"$237,917","$237,917"
