Day,Open,High,Low,Close,Volume,Market Cap
"Sep 25, 2022",$0.06349,$0.06384,$0.06136,$0.06161,"$102,549","$102,549"
"Sep 24, 2022",$0.06514,$0.06545,$0.06313,$0.06349,"$83,750","$83,750"
"Sep 23, 2022",$0.06539,$0.06588,$0.06397,$0.06514,"$79,729","$79,729"
"Sep 22, 2022",$0.0652,$0.06679,$0.06401,$0.0654,"$79,359","$79,359"
"Sep 21, 2022",$0.06971,$0.06981,$0.06426,$0.06518,"$113,478","$113,478"
"Sep 20, 2022",$0.07349,$0.07728,$0.06691,$0.0696,"$158,895","$158,895"
"Sep 19, 2022",$0.06899,$0.07374,$0.06322,$0.07349,"$157,215","$157,215"
"Sep 18, 2022",$0.06885,$0.07842,$0.06701,$0.06899,"$186,124","$186,124"
"Sep 17, 2022",$0.06562,$0.06963,$0.06201,$0.06885,"$155,269","$155,269"
"Sep 16, 2022",$0.06261,$0.06569,$0.06186,$0.06561,"$110,710","$110,710"
"Sep 15, 2022",$0.07158,$0.074,$0.06246,$0.06265,"$158,115","$158,115"
"Sep 14, 2022",$0.06097,$0.07173,$0.05995,$0.07157,"$184,033","$184,033"
"Sep 13, 2022",$0.06818,$0.06819,$0.0605,$0.06207,"$124,630","$124,630"
"Sep 12, 2022",$0.06412,$0.0698,$0.0638,$0.06818,"$129,021","$129,021"
"Sep 11, 2022",$0.06475,$0.06592,$0.06229,$0.06411,"$134,733","$134,733"
"Sep 10, 2022",$0.06578,$0.0668,$0.06421,$0.06475,"$65,059","$65,059"
"Sep 09, 2022",$0.06998,$0.07316,$0.06406,$0.06578,"$132,584","$132,584"
"Sep 08, 2022",$0.06443,$0.07083,$0.06422,$0.06998,"$131,075","$131,075"
"Sep 07, 2022",$0.05711,$0.06585,$0.05703,$0.06443,"$193,852","$193,852"
"Sep 06, 2022",$0.05658,$0.05849,$0.0555,$0.05711,"$105,011","$105,011"
"Sep 05, 2022",$0.0578,$0.05805,$0.05611,$0.05658,"$52,787","$52,787"
"Sep 04, 2022",$0.05616,$0.05801,$0.05482,$0.05785,"$78,046","$78,046"
"Sep 03, 2022",$0.05549,$0.06246,$0.05512,$0.05616,"$63,872","$63,872"
"Sep 02, 2022",$0.05517,$0.06098,$0.05445,$0.05549,"$95,518","$95,518"
"Sep 01, 2022",$0.05495,$0.05596,$0.05481,$0.05517,"$90,122","$90,122"
"Aug 31, 2022",$0.05663,$0.05698,$0.05493,$0.05495,"$78,457","$78,457"
"Aug 30, 2022",$0.05759,$0.05845,$0.05613,$0.05662,"$141,070","$141,070"
"Aug 29, 2022",$0.05486,$0.07309,$0.0548,$0.05759,"$141,433","$141,433"
"Aug 28, 2022",$0.07644,$0.0767,$0.05472,$0.05486,"$56,731","$56,731"
"Aug 27, 2022",$0.05546,$0.07664,$0.0547,$0.07643,"$119,195","$119,195"
"Aug 26, 2022",$0.05871,$0.0612,$0.05477,$0.05533,"$100,751","$100,751"
"Aug 25, 2022",$0.05872,$0.0605,$0.05758,$0.05854,"$70,321","$70,321"
"Aug 24, 2022",$0.05852,$0.06018,$0.05715,$0.0587,"$81,862","$81,862"
"Aug 23, 2022",$0.05987,$0.06036,$0.05766,$0.05861,"$78,638","$78,638"
"Aug 22, 2022",$0.06578,$0.06987,$0.05829,$0.05986,"$79,395","$79,395"
"Aug 21, 2022",$0.06283,$0.06651,$0.06174,$0.06577,"$57,776","$57,776"
"Aug 20, 2022",$0.06621,$0.06656,$0.06196,$0.06284,"$94,547","$94,547"
"Aug 19, 2022",$0.06655,$0.07004,$0.06513,$0.06622,"$91,000","$91,000"
"Aug 18, 2022",$0.07002,$0.07023,$0.06599,$0.06654,"$59,211","$59,211"
"Aug 17, 2022",$0.06877,$0.07149,$0.06839,$0.07001,"$68,943","$68,943"
"Aug 16, 2022",$0.07093,$0.07209,$0.06831,$0.06877,"$63,127","$63,127"
"Aug 15, 2022",$0.07541,$0.0767,$0.07069,$0.07092,"$61,855","$61,855"
"Aug 14, 2022",$0.0717,$0.07576,$0.06915,$0.07541,"$66,296","$66,296"
"Aug 13, 2022",$0.07472,$0.07505,$0.0696,$0.07169,"$51,708","$51,708"
"Aug 12, 2022",$0.07392,$0.07591,$0.06775,$0.07472,"$55,377","$55,377"
"Aug 11, 2022",$0.07355,$0.07454,$0.07217,$0.07392,"$71,501","$71,501"
"Aug 10, 2022",$0.09116,$0.09162,$0.07344,$0.07355,"$74,785","$74,785"
"Aug 09, 2022",$0.07273,$0.09357,$0.06768,$0.09116,"$127,626","$127,626"
"Aug 08, 2022",$0.07436,$0.07721,$0.0698,$0.07272,"$95,809","$95,809"
"Aug 07, 2022",$0.08411,$0.08749,$0.07067,$0.07436,"$85,011","$85,011"
"Aug 06, 2022",$0.06915,$0.08567,$0.06808,$0.08411,"$101,576","$101,576"
"Aug 05, 2022",$0.06656,$0.06951,$0.06638,$0.06915,"$84,049","$84,049"
"Aug 04, 2022",$0.07003,$0.07004,$0.06636,$0.06657,"$64,881","$64,881"
"Aug 03, 2022",$0.07041,$0.07121,$0.06722,$0.07004,"$87,069","$87,069"
"Aug 02, 2022",$0.07297,$0.07334,$0.06975,$0.07046,"$82,943","$82,943"
"Aug 01, 2022",$0.0702,$0.07334,$0.06987,$0.07302,"$82,373","$82,373"
"Jul 31, 2022",$0.07213,$0.07319,$0.06959,$0.0702,"$66,951","$66,951"
"Jul 30, 2022",$0.07849,$0.07968,$0.07195,$0.07213,"$74,800","$74,800"
"Jul 29, 2022",$0.0703,$0.07861,$0.06945,$0.07836,"$88,836","$88,836"
"Jul 28, 2022",$0.06961,$0.07163,$0.06707,$0.07031,"$104,750","$104,750"
"Jul 27, 2022",$0.06714,$0.07197,$0.06622,$0.06961,"$84,173","$84,173"
"Jul 26, 2022",$0.07009,$0.07024,$0.0652,$0.06693,"$73,920","$73,920"
"Jul 25, 2022",$0.07304,$0.0733,$0.06915,$0.07009,"$88,534","$88,534"
"Jul 24, 2022",$0.07305,$0.0737,$0.07162,$0.07305,"$57,899","$57,899"
"Jul 23, 2022",$0.07311,$0.07426,$0.07103,$0.07301,"$68,271","$68,271"
"Jul 22, 2022",$0.07608,$0.07653,$0.07153,$0.0731,"$53,469","$53,469"
"Jul 21, 2022",$0.07564,$0.07712,$0.07343,$0.07607,"$87,082","$87,082"
"Jul 20, 2022",$0.07881,$0.08034,$0.07498,$0.0757,"$76,427","$76,427"
"Jul 19, 2022",$0.07613,$0.08046,$0.07389,$0.07882,"$96,587","$96,587"
"Jul 18, 2022",$0.07042,$0.07623,$0.07037,$0.07609,"$123,946","$123,946"
"Jul 17, 2022",$0.07315,$0.07416,$0.07045,$0.07045,"$59,655","$59,655"
"Jul 16, 2022",$0.07764,$0.07843,$0.0729,$0.07318,"$72,878","$72,878"
"Jul 15, 2022",$0.07031,$0.07872,$0.07012,$0.07762,"$79,894","$79,894"
"Jul 14, 2022",$0.07165,$0.0733,$0.06821,$0.07028,"$112,398","$112,398"
"Jul 13, 2022",$0.06516,$0.07434,$0.06489,$0.07165,"$107,663","$107,663"
"Jul 12, 2022",$0.0678,$0.06816,$0.06479,$0.06519,"$76,222","$76,222"
"Jul 11, 2022",$0.07282,$0.0745,$0.0677,$0.06778,"$116,444","$116,444"
"Jul 10, 2022",$0.08746,$0.08947,$0.07253,$0.07282,"$67,602","$67,602"
"Jul 09, 2022",$0.09041,$0.09889,$0.06871,$0.08745,"$92,841","$92,841"
"Jul 08, 2022",$0.1035,$0.1165,$0.06905,$0.09042,"$99,894","$99,894"
"Jul 07, 2022",$0.07228,$0.1109,$0.06615,$0.1035,"$166,227","$166,227"
"Jul 06, 2022",$0.07127,$0.07371,$0.06657,$0.07228,"$37,971","$37,971"
"Jul 05, 2022",$0.07586,$0.07817,$0.0645,$0.07127,"$58,836","$58,836"
"Jul 04, 2022",$0.0783,$0.0783,$0.07251,$0.07586,"$49,947","$49,947"
"Jul 03, 2022",$0.08126,$0.08196,$0.07423,$0.0783,"$42,250","$42,250"
"Jul 02, 2022",$0.07764,$0.09499,$0.06821,$0.08126,"$52,255","$52,255"
"Jul 01, 2022",$0.06758,$0.07765,$0.06732,$0.07765,"$49,042","$49,042"
"Jun 30, 2022",$0.07116,$0.07169,$0.06651,$0.06758,"$43,975","$43,975"
"Jun 29, 2022",$0.07,$0.07325,$0.06843,$0.07117,"$46,126","$46,126"
"Jun 28, 2022",$0.07268,$0.0736,$0.06852,$0.07,"$39,466","$39,466"
"Jun 27, 2022",$0.07045,$0.07373,$0.06841,$0.07268,"$48,331","$48,331"
"Jun 26, 2022",$0.07254,$0.0839,$0.07048,$0.0706,"$51,612","$51,612"
"Jun 25, 2022",$0.06939,$0.07254,$0.06623,$0.07254,"$69,263","$69,263"
"Jun 24, 2022",$0.06443,$0.07062,$0.06287,$0.06939,"$69,129","$69,129"
"Jun 23, 2022",$0.07515,$0.07725,$0.06235,$0.06443,"$73,217","$73,217"
"Jun 22, 2022",$0.06936,$0.0756,$0.06227,$0.07515,"$57,737","$57,737"
