Day,Open,High,Low,Close,Volume,Market Cap
"Sep 22, 2022",$0.1701,$0.1825,$0.1693,$0.1823,"$985,760","$985,760"
"Sep 21, 2022",$0.1753,$0.1842,$0.168,$0.1701,"$1,059,015","$1,059,015"
"Sep 20, 2022",$0.1757,$0.1847,$0.1686,$0.1752,"$1,269,659","$1,269,659"
"Sep 19, 2022",$0.1651,$0.1772,$0.1574,$0.1756,"$1,394,804","$1,394,804"
"Sep 18, 2022",$0.1731,$0.1925,$0.1635,$0.1651,"$2,066,880","$2,066,880"
"Sep 17, 2022",$0.1666,$0.1752,$0.1629,$0.1731,"$1,001,576","$1,001,576"
"Sep 16, 2022",$0.1725,$0.1818,$0.1605,$0.1666,"$1,981,097","$1,981,097"
"Sep 15, 2022",$0.1547,$0.2007,$0.1452,$0.1727,"$3,526,699","$3,526,699"
"Sep 14, 2022",$0.1437,$0.1584,$0.1431,$0.1547,"$935,067","$935,067"
"Sep 13, 2022",$0.1528,$0.1552,$0.1394,$0.1497,"$994,459","$994,459"
"Sep 12, 2022",$0.1632,$0.1645,$0.1529,$0.153,"$804,783","$804,783"
"Sep 11, 2022",$0.1558,$0.1664,$0.1537,$0.1632,"$740,220","$740,220"
"Sep 10, 2022",$0.1517,$0.1558,$0.1495,$0.1558,"$757,594","$757,594"
"Sep 09, 2022",$0.1459,$0.1537,$0.144,$0.1516,"$804,329","$804,329"
"Sep 08, 2022",$0.1475,$0.1481,$0.1432,$0.1459,"$797,178","$797,178"
"Sep 07, 2022",$0.1434,$0.1586,$0.1409,$0.1475,"$1,015,768","$1,015,768"
"Sep 06, 2022",$0.1454,$0.151,$0.1397,$0.1434,"$410,897","$410,897"
"Sep 05, 2022",$0.1438,$0.1646,$0.1422,$0.1454,"$974,061","$974,061"
"Sep 04, 2022",$0.1411,$0.151,$0.1404,$0.1438,"$1,348,973","$1,348,973"
"Sep 03, 2022",$0.1424,$0.1426,$0.1401,$0.1411,"$835,147","$835,147"
"Sep 02, 2022",$0.1423,$0.1509,$0.1401,$0.1424,"$1,155,385","$1,155,385"
"Sep 01, 2022",$0.1425,$0.1438,$0.1397,$0.1423,"$879,361","$879,361"
"Aug 31, 2022",$0.1426,$0.167,$0.1418,$0.1425,"$1,622,975","$1,622,975"
"Aug 30, 2022",$0.1434,$0.1523,$0.1359,$0.1426,"$1,214,112","$1,214,112"
"Aug 29, 2022",$0.1376,$0.1625,$0.1364,$0.1435,"$1,279,288","$1,279,288"
"Aug 28, 2022",$0.1391,$0.1442,$0.1376,$0.1376,"$811,450","$811,450"
"Aug 27, 2022",$0.1386,$0.1526,$0.1362,$0.1391,"$1,181,171","$1,181,171"
"Aug 26, 2022",$0.1542,$0.1653,$0.1382,$0.1387,"$1,148,963","$1,148,963"
"Aug 25, 2022",$0.1502,$0.1568,$0.1502,$0.1542,"$590,392","$590,392"
"Aug 24, 2022",$0.149,$0.152,$0.1447,$0.1502,"$572,011","$572,011"
"Aug 23, 2022",$0.1428,$0.1491,$0.1399,$0.149,"$688,364","$688,364"
"Aug 22, 2022",$0.1542,$0.1542,$0.1392,$0.1428,"$668,873","$668,873"
"Aug 21, 2022",$0.1412,$0.1549,$0.1412,$0.1541,"$688,375","$688,375"
"Aug 20, 2022",$0.1504,$0.1529,$0.1393,$0.1412,"$667,677","$667,677"
"Aug 19, 2022",$0.1735,$0.1735,$0.1505,$0.1505,"$678,814","$678,814"
"Aug 18, 2022",$0.1718,$0.1756,$0.1716,$0.1735,"$626,117","$626,117"
"Aug 17, 2022",$0.177,$0.1821,$0.1703,$0.1718,"$608,837","$608,837"
"Aug 16, 2022",$0.1798,$0.1802,$0.1754,$0.177,"$624,437","$624,437"
"Aug 15, 2022",$0.1829,$0.1883,$0.1782,$0.1798,"$589,998","$589,998"
"Aug 14, 2022",$0.1876,$0.1907,$0.1824,$0.1829,"$671,569","$671,569"
"Aug 13, 2022",$0.1832,$0.1888,$0.1829,$0.1876,"$688,318","$688,318"
"Aug 12, 2022",$0.1805,$0.1836,$0.1773,$0.1832,"$633,261","$633,261"
"Aug 11, 2022",$0.1847,$0.1904,$0.1803,$0.1805,"$637,524","$637,524"
"Aug 10, 2022",$0.1761,$0.1873,$0.1731,$0.1847,"$620,540","$620,540"
"Aug 09, 2022",$0.1868,$0.187,$0.1738,$0.1761,"$626,304","$626,304"
"Aug 08, 2022",$0.1826,$0.192,$0.1824,$0.1868,"$643,268","$643,268"
"Aug 07, 2022",$0.178,$0.1905,$0.1759,$0.1826,"$717,835","$717,835"
"Aug 06, 2022",$0.1793,$0.1814,$0.1776,$0.178,"$636,155","$636,155"
"Aug 05, 2022",$0.1674,$0.1794,$0.1672,$0.1792,"$615,610","$615,610"
"Aug 04, 2022",$0.1699,$0.1731,$0.166,$0.1674,"$597,123","$597,123"
"Aug 03, 2022",$0.1701,$0.1743,$0.1681,$0.1699,"$603,880","$603,880"
"Aug 02, 2022",$0.178,$0.1791,$0.169,$0.1701,"$732,458","$732,458"
"Aug 01, 2022",$0.1876,$0.1897,$0.173,$0.178,"$713,579","$713,579"
"Jul 31, 2022",$0.1666,$0.1968,$0.1666,$0.1875,"$897,644","$897,644"
"Jul 30, 2022",$0.1698,$0.1701,$0.1623,$0.1666,"$676,353","$676,353"
"Jul 29, 2022",$0.1702,$0.1748,$0.164,$0.1698,"$674,190","$674,190"
"Jul 28, 2022",$0.1678,$0.1725,$0.1633,$0.1701,"$693,589","$693,589"
"Jul 27, 2022",$0.1489,$0.1678,$0.1484,$0.1678,"$697,711","$697,711"
"Jul 26, 2022",$0.1501,$0.1501,$0.1429,$0.149,"$612,555","$612,555"
"Jul 25, 2022",$0.1609,$0.161,$0.1501,$0.1501,"$602,844","$602,844"
"Jul 24, 2022",$0.162,$0.1644,$0.1592,$0.1609,"$647,989","$647,989"
"Jul 23, 2022",$0.1602,$0.1649,$0.1569,$0.162,"$617,945","$617,945"
"Jul 22, 2022",$0.163,$0.1708,$0.1597,$0.1603,"$595,072","$595,072"
"Jul 21, 2022",$0.1655,$0.1662,$0.1594,$0.163,"$628,994","$628,994"
"Jul 20, 2022",$0.1748,$0.1812,$0.1655,$0.1655,"$725,996","$725,996"
"Jul 19, 2022",$0.1837,$0.1856,$0.1719,$0.1748,"$715,892","$715,892"
"Jul 18, 2022",$0.1657,$0.1852,$0.1657,$0.1835,"$749,195","$749,195"
"Jul 17, 2022",$0.1741,$0.18,$0.1646,$0.1657,"$705,752","$705,752"
"Jul 16, 2022",$0.1572,$0.1814,$0.1549,$0.1741,"$819,303","$819,303"
