Day,Open,High,Low,Close,Volume,Market Cap
"Sep 19, 2022",$0.04881,$0.04903,$0.0459,$0.04778,"$378,161","$378,161"
"Sep 18, 2022",$0.04856,$0.04888,$0.04646,$0.04881,"$387,365","$387,365"
"Sep 17, 2022",$0.04757,$0.04947,$0.04752,$0.04857,"$365,749","$365,749"
"Sep 16, 2022",$0.04864,$0.04993,$0.04553,$0.04757,"$394,290","$394,290"
"Sep 15, 2022",$0.04878,$0.0503,$0.04528,$0.04872,"$451,316","$451,316"
"Sep 14, 2022",$0.04956,$0.05185,$0.04511,$0.04879,"$416,914","$416,914"
"Sep 13, 2022",$0.05821,$0.05973,$0.04611,$0.05168,"$503,086","$503,086"
"Sep 12, 2022",$0.05786,$0.06003,$0.05786,$0.05848,"$383,010","$383,010"
"Sep 11, 2022",$0.05803,$0.05845,$0.05673,$0.05786,"$365,868","$365,868"
"Sep 10, 2022",$0.05947,$0.05995,$0.05631,$0.05799,"$411,966","$411,966"
"Sep 09, 2022",$0.05982,$0.06003,$0.05687,$0.05943,"$423,232","$423,232"
"Sep 08, 2022",$0.05925,$0.06299,$0.05764,$0.05982,"$979,374","$979,374"
"Sep 07, 2022",$0.06164,$0.06167,$0.05642,$0.05925,"$408,023","$408,023"
"Sep 06, 2022",$0.06413,$0.06437,$0.05833,$0.06171,"$466,881","$466,881"
"Sep 05, 2022",$0.06434,$0.06564,$0.06231,$0.06434,"$540,927","$540,927"
"Sep 04, 2022",$0.06342,$0.06434,$0.06232,$0.06434,"$757,519","$757,519"
"Sep 03, 2022",$0.06401,$0.06435,$0.061,$0.06337,"$767,268","$767,268"
"Sep 02, 2022",$0.06397,$0.06537,$0.0609,$0.064,"$1,020,398","$1,020,398"
"Sep 01, 2022",$0.06832,$0.073,$0.06078,$0.06409,"$895,066","$895,066"
"Aug 31, 2022",$0.07272,$0.07272,$0.06211,$0.0683,"$1,115,520","$1,115,520"
"Aug 30, 2022",$0.07564,$0.07594,$0.06959,$0.07272,"$1,010,564","$1,010,564"
"Aug 29, 2022",$0.07431,$0.07652,$0.06984,$0.07565,"$1,180,667","$1,180,667"
"Aug 28, 2022",$0.0731,$0.07477,$0.06537,$0.0744,"$1,137,998","$1,137,998"
"Aug 27, 2022",$0.0768,$0.07722,$0.07176,$0.07311,"$1,050,361","$1,050,361"
"Aug 26, 2022",$0.08078,$0.0819,$0.07391,$0.07674,"$1,988,915","$1,988,915"
"Aug 25, 2022",$0.07725,$0.08303,$0.07096,$0.08055,"$5,473,906","$5,473,906"
"Aug 24, 2022",$0.07448,$0.08437,$0.06826,$0.07725,"$3,967,752","$3,967,752"
"Aug 23, 2022",$0.06918,$0.07536,$0.06696,$0.07444,"$2,698,886","$2,698,886"
"Aug 22, 2022",$0.05742,$0.07374,$0.05672,$0.06771,"$2,589,054","$2,589,054"
"Aug 21, 2022",$0.05328,$0.05929,$0.05114,$0.05765,"$311,923","$311,923"
"Aug 20, 2022",$0.05395,$0.05406,$0.05213,$0.05334,"$217,793","$217,793"
"Aug 19, 2022",$0.05132,$0.05637,$0.04911,$0.05401,"$497,372","$497,372"
"Aug 18, 2022",$0.05692,$0.05782,$0.04751,$0.05132,"$267,828","$267,828"
"Aug 17, 2022",$0.05872,$0.06082,$0.05743,$0.05743,"$413,337","$413,337"
"Aug 16, 2022",$0.05784,$0.06106,$0.05781,$0.05872,"$382,610","$382,610"
"Aug 15, 2022",$0.05925,$0.05926,$0.05763,$0.05787,"$368,233","$368,233"
"Aug 14, 2022",$0.0603,$0.06214,$0.05726,$0.05925,"$511,741","$511,741"
