Day,Open,High,Low,Close,Volume,Market Cap
"Sep 25, 2022",$6.58,$6.93,$6.40,$6.59,"$193,989","$193,989"
"Sep 24, 2022",$6.94,$7.47,$6.13,$6.58,"$186,301","$186,301"
"Sep 23, 2022",$7.31,$7.43,$6.44,$6.94,"$252,900","$252,900"
"Sep 22, 2022",$7.43,$7.54,$7.18,$7.31,"$142,376","$142,376"
"Sep 21, 2022",$7.69,$7.74,$7.07,$7.43,"$154,175","$154,175"
"Sep 20, 2022",$7.78,$7.79,$7.49,$7.69,"$142,744","$142,744"
"Sep 19, 2022",$7.90,$7.93,$7.50,$7.78,"$358,170","$358,170"
"Sep 18, 2022",$8.19,$8.25,$7.86,$7.90,"$362,434","$362,434"
"Sep 17, 2022",$8.19,$8.27,$8.08,$8.20,"$451,383","$451,383"
"Sep 16, 2022",$7.88,$8.21,$7.86,$8.19,"$502,736","$502,736"
"Sep 15, 2022",$8.11,$8.18,$7.86,$7.88,"$396,743","$396,743"
"Sep 14, 2022",$8.07,$8.25,$8.02,$8.10,"$417,333","$417,333"
"Sep 13, 2022",$8.35,$8.47,$7.99,$8.05,"$414,700","$414,700"
"Sep 12, 2022",$8.50,$8.71,$8.29,$8.32,"$381,271","$381,271"
"Sep 11, 2022",$8.64,$8.66,$8.38,$8.50,"$404,737","$404,737"
"Sep 10, 2022",$8.50,$9.02,$8.20,$8.64,"$413,484","$413,484"
"Sep 09, 2022",$8.14,$8.87,$8.09,$8.52,"$435,269","$435,269"
"Sep 08, 2022",$8.03,$8.19,$7.87,$8.14,"$378,433","$378,433"
"Sep 07, 2022",$8.09,$8.32,$7.80,$8.03,"$430,514","$430,514"
"Sep 06, 2022",$8.02,$8.31,$7.99,$8.08,"$373,166","$373,166"
"Sep 05, 2022",$8.17,$8.35,$7.93,$8.02,"$393,698","$393,698"
"Sep 04, 2022",$8.26,$8.30,$7.75,$8.17,"$434,758","$434,758"
"Sep 03, 2022",$8.16,$8.34,$8.12,$8.26,"$303,361","$303,361"
"Sep 02, 2022",$8.38,$8.48,$8.08,$8.20,"$308,941","$308,941"
"Sep 01, 2022",$8.57,$8.62,$8.07,$8.39,"$341,392","$341,392"
"Aug 31, 2022",$8.85,$8.89,$8.44,$8.57,"$320,091","$320,091"
"Aug 30, 2022",$9.03,$9.16,$8.44,$8.85,"$332,673","$332,673"
"Aug 29, 2022",$9.01,$9.31,$8.83,$9.02,"$316,590","$316,590"
"Aug 28, 2022",$9.14,$9.52,$8.92,$9.01,"$302,987","$302,987"
"Aug 27, 2022",$9.32,$9.39,$8.97,$9.14,"$305,018","$305,018"
"Aug 26, 2022",$10.02,$10.04,$9.10,$9.33,"$1,843,984","$1,843,984"
"Aug 25, 2022",$10.31,$10.32,$9.88,$10.02,"$1,721,280","$1,721,280"
"Aug 24, 2022",$10.64,$10.67,$10.16,$10.31,"$1,311,973","$1,311,973"
"Aug 23, 2022",$10.05,$10.90,$10.00,$10.65,"$472,757","$472,757"
"Aug 22, 2022",$10.28,$10.34,$9.84,$10.05,"$332,184","$332,184"
"Aug 21, 2022",$9.68,$10.41,$9.55,$10.27,"$368,173","$368,173"
"Aug 20, 2022",$9.58,$9.89,$9.50,$9.67,"$311,536","$311,536"
"Aug 19, 2022",$10.79,$10.85,$9.48,$9.62,"$371,003","$371,003"
"Aug 18, 2022",$10.83,$10.96,$10.72,$10.79,"$383,137","$383,137"
