Day,Open,High,Low,Close,Volume,Market Cap
"Sep 19, 2022",$40.62,$41.14,$37.95,$39.30,"$3,249,866","$3,249,866"
"Sep 18, 2022",$41.10,$43.20,$39.79,$40.64,"$7,659,432","$7,659,432"
"Sep 17, 2022",$40.75,$41.23,$39.84,$41.11,"$1,860,947","$1,860,947"
"Sep 16, 2022",$39.25,$41.99,$38.96,$40.73,"$2,397,574","$2,397,574"
"Sep 15, 2022",$40.65,$40.89,$39.16,$39.25,"$1,823,705","$1,823,705"
"Sep 14, 2022",$41.40,$41.50,$39.74,$40.65,"$2,344,746","$2,344,746"
"Sep 13, 2022",$44.01,$44.30,$41.17,$41.37,"$2,245,902","$2,245,902"
"Sep 12, 2022",$44.34,$44.75,$43.48,$44.06,"$1,839,141","$1,839,141"
"Sep 11, 2022",$45.34,$45.42,$43.40,$44.33,"$3,415,062","$3,415,062"
"Sep 10, 2022",$43.57,$50.36,$43.25,$45.33,"$8,854,616","$8,854,616"
"Sep 09, 2022",$41.79,$43.82,$41.67,$43.58,"$2,224,452","$2,224,452"
"Sep 08, 2022",$40.62,$41.95,$40.38,$41.80,"$1,741,559","$1,741,559"
"Sep 07, 2022",$39.63,$41.34,$38.71,$40.61,"$1,557,311","$1,557,311"
"Sep 06, 2022",$41.98,$42.36,$39.49,$39.63,"$2,179,773","$2,179,773"
"Sep 05, 2022",$42.79,$43.30,$41.80,$41.98,"$1,533,157","$1,533,157"
"Sep 04, 2022",$41.96,$42.97,$41.39,$42.79,"$1,535,158","$1,535,158"
"Sep 03, 2022",$41.73,$42.42,$41.53,$41.94,"$1,086,613","$1,086,613"
"Sep 02, 2022",$42.04,$42.24,$41.13,$41.73,"$1,481,011","$1,481,011"
"Sep 01, 2022",$41.90,$42.12,$40.77,$42.04,"$2,184,946","$2,184,946"
"Aug 31, 2022",$41.35,$46.31,$41.33,$41.90,"$5,940,108","$5,940,108"
"Aug 30, 2022",$42.07,$42.73,$40.93,$41.35,"$1,704,630","$1,704,630"
"Aug 29, 2022",$40.47,$42.65,$40.23,$42.07,"$2,879,193","$2,879,193"
"Aug 28, 2022",$41.25,$41.82,$40.50,$40.50,"$1,999,030","$1,999,030"
"Aug 27, 2022",$41.13,$42.39,$40.81,$41.25,"$2,056,310","$2,056,310"
"Aug 26, 2022",$46.23,$46.23,$40.96,$41.12,"$4,805,407","$4,805,407"
"Aug 25, 2022",$46.86,$48.22,$46.29,$46.30,"$3,362,729","$3,362,729"
"Aug 24, 2022",$46.85,$47.45,$46.00,$46.85,"$2,395,325","$2,395,325"
"Aug 23, 2022",$45.70,$47.47,$45.34,$46.85,"$2,790,876","$2,790,876"
"Aug 22, 2022",$48.11,$48.11,$44.59,$45.70,"$3,304,950","$3,304,950"
"Aug 21, 2022",$45.99,$48.66,$45.97,$48.11,"$4,062,079","$4,062,079"
"Aug 20, 2022",$45.69,$47.84,$45.52,$45.99,"$2,960,972","$2,960,972"
"Aug 19, 2022",$52.40,$52.40,$45.53,$45.73,"$4,586,234","$4,586,234"
"Aug 18, 2022",$53.58,$55.28,$52.43,$52.43,"$4,602,712","$4,602,712"
"Aug 17, 2022",$54.90,$57.32,$53.25,$53.58,"$7,381,035","$7,381,035"
"Aug 16, 2022",$56.16,$56.31,$54.21,$54.89,"$3,538,035","$3,538,035"
"Aug 15, 2022",$55.96,$57.13,$54.73,$56.17,"$3,495,698","$3,495,698"
"Aug 14, 2022",$57.72,$58.34,$55.51,$55.96,"$3,810,760","$3,810,760"
"Aug 13, 2022",$57.72,$58.73,$57.11,$57.70,"$5,408,693","$5,408,693"
"Aug 12, 2022",$54.76,$59.98,$54.23,$57.72,"$11,575,182","$11,575,182"
"Aug 11, 2022",$56.29,$56.67,$54.46,$54.78,"$4,130,187","$4,130,187"
"Aug 10, 2022",$53.89,$56.43,$52.65,$56.30,"$3,968,553","$3,968,553"
"Aug 09, 2022",$56.34,$57.01,$52.58,$53.89,"$5,318,866","$5,318,866"
"Aug 08, 2022",$55.94,$57.30,$55.78,$56.33,"$3,641,672","$3,641,672"
"Aug 07, 2022",$55.72,$57.52,$55.51,$55.93,"$10,474,021","$10,474,021"
"Aug 06, 2022",$56.18,$56.98,$55.67,$55.74,"$13,627,904","$13,627,904"
"Aug 05, 2022",$53.72,$61.87,$53.66,$56.17,"$24,941,773","$24,941,773"
"Aug 04, 2022",$53.51,$54.25,$53.07,$53.73,"$15,769,975","$15,769,975"
"Aug 03, 2022",$55.29,$55.70,$53.22,$53.51,"$22,420,339","$22,420,339"
"Aug 02, 2022",$53.30,$56.04,$51.66,$55.31,"$26,401,459","$26,401,459"
"Aug 01, 2022",$54.12,$54.46,$52.20,$53.29,"$29,004,298","$29,004,298"
"Jul 31, 2022",$59.81,$62.19,$54.01,$54.12,"$33,093,934","$33,093,934"
"Jul 30, 2022",$49.96,$72.64,$49.96,$59.62,"$72,949,285","$72,949,285"
"Jul 29, 2022",$48.43,$55.62,$47.16,$49.70,"$28,976,674","$28,976,674"
"Jul 28, 2022",$46.07,$49.60,$45.73,$48.37,"$21,178,141","$21,178,141"
"Jul 27, 2022",$44.01,$46.25,$43.97,$46.07,"$20,164,698","$20,164,698"
"Jul 26, 2022",$44.34,$44.42,$41.73,$44.00,"$14,605,340","$14,605,340"
"Jul 25, 2022",$47.04,$47.05,$44.33,$44.33,"$16,580,336","$16,580,336"
"Jul 24, 2022",$47.49,$48.03,$46.98,$47.05,"$16,480,689","$16,480,689"
"Jul 23, 2022",$46.11,$47.50,$46.02,$47.49,"$16,153,086","$16,153,086"
"Jul 22, 2022",$47.38,$48.08,$45.67,$46.11,"$19,574,741","$19,574,741"
"Jul 21, 2022",$45.85,$48.06,$44.70,$47.37,"$20,114,581","$20,114,581"
"Jul 20, 2022",$47.32,$49.35,$45.25,$45.85,"$29,214,439","$29,214,439"
"Jul 19, 2022",$47.99,$48.42,$45.55,$47.31,"$29,860,494","$29,860,494"
"Jul 18, 2022",$45.00,$52.50,$44.97,$48.00,"$35,359,991","$35,359,991"
"Jul 17, 2022",$45.03,$46.74,$44.62,$45.00,"$23,737,883","$23,737,883"
"Jul 16, 2022",$44.40,$45.93,$43.67,$45.03,"$25,847,596","$25,847,596"
"Jul 15, 2022",$45.73,$55.56,$44.24,$44.41,"$47,543,088","$47,543,088"
"Jul 14, 2022",$42.98,$46.07,$42.75,$45.73,"$29,864,319","$29,864,319"
"Jul 13, 2022",$41.31,$43.58,$40.36,$42.97,"$21,408,110","$21,408,110"
"Jul 12, 2022",$42.91,$43.30,$41.32,$41.32,"$19,948,449","$19,948,449"
"Jul 11, 2022",$45.42,$45.43,$42.90,$42.90,"$19,831,400","$19,831,400"
"Jul 10, 2022",$47.89,$47.89,$44.59,$45.42,"$23,841,250","$23,841,250"
"Jul 09, 2022",$45.13,$54.07,$44.83,$48.00,"$32,401,300","$32,401,300"
"Jul 08, 2022",$44.94,$46.18,$43.94,$45.14,"$21,586,938","$21,586,938"
"Jul 07, 2022",$44.95,$45.42,$43.69,$44.94,"$21,637,242","$21,637,242"
"Jul 06, 2022",$43.75,$46.10,$42.71,$44.95,"$21,017,709","$21,017,709"
"Jul 05, 2022",$43.97,$44.68,$41.78,$43.75,"$19,750,943","$19,750,943"
"Jul 04, 2022",$42.23,$44.21,$41.82,$43.97,"$25,957,747","$25,957,747"
"Jul 03, 2022",$41.46,$43.71,$40.74,$42.23,"$22,789,471","$22,789,471"
"Jul 02, 2022",$40.48,$47.65,$39.77,$41.47,"$25,759,678","$25,759,678"
"Jul 01, 2022",$40.24,$41.70,$39.25,$40.57,"$16,740,454","$16,740,454"
"Jun 30, 2022",$39.03,$51.15,$38.76,$40.20,"$62,336,632","$62,336,632"
"Jun 29, 2022",$37.81,$43.94,$36.80,$39.04,"$22,333,007","$22,333,007"
"Jun 28, 2022",$37.91,$40.51,$37.38,$37.80,"$19,879,807","$19,879,807"
"Jun 27, 2022",$40.88,$41.54,$37.71,$37.92,"$23,671,409","$23,671,409"
"Jun 26, 2022",$45.32,$46.30,$40.80,$40.87,"$34,859,316","$34,859,316"
"Jun 25, 2022",$37.65,$56.12,$36.03,$45.15,"$71,924,236","$71,924,236"
"Jun 24, 2022",$35.16,$39.40,$33.95,$37.65,"$30,496,296","$30,496,296"
"Jun 23, 2022",$32.58,$35.23,$32.56,$35.19,"$17,204,167","$17,204,167"
"Jun 22, 2022",$34.28,$35.06,$32.58,$32.58,"$17,558,500","$17,558,500"
"Jun 21, 2022",$34.10,$36.97,$33.43,$34.26,"$20,240,746","$20,240,746"
"Jun 20, 2022",$32.16,$39.32,$31.32,$34.10,"$27,089,399","$27,089,399"
"Jun 19, 2022",$31.01,$32.57,$29.37,$32.16,"$18,054,539","$18,054,539"
"Jun 18, 2022",$32.83,$34.18,$28.98,$31.02,"$19,568,822","$19,568,822"
"Jun 17, 2022",$35.80,$38.25,$32.32,$32.83,"$29,709,960","$29,709,960"
"Jun 16, 2022",$31.52,$42.20,$29.04,$35.93,"$49,617,803","$49,617,803"
"Jun 15, 2022",$29.23,$31.73,$26.34,$31.52,"$21,237,735","$21,237,735"
"Jun 14, 2022",$29.39,$30.08,$27.50,$29.24,"$22,698,340","$22,698,340"
"Jun 13, 2022",$35.57,$35.57,$29.09,$29.39,"$20,075,333","$20,075,333"
"Jun 12, 2022",$37.89,$38.26,$34.93,$35.58,"$16,146,508","$16,146,508"
"Jun 11, 2022",$41.61,$42.22,$36.43,$37.88,"$18,863,323","$18,863,323"
"Jun 10, 2022",$43.81,$43.84,$41.26,$41.60,"$19,204,665","$19,204,665"
"Jun 09, 2022",$44.82,$45.81,$43.80,$43.80,"$27,186,303","$27,186,303"
