Day,Open,High,Low,Close,Volume,Market Cap
"Sep 10, 2022",$0.06373,$0.0645,$0.06318,$0.06386,"$26,623,745","$26,623,745"
"Sep 09, 2022",$0.06116,$0.06424,$0.06107,$0.06374,"$32,918,557","$32,918,557"
"Sep 08, 2022",$0.06068,$0.06135,$0.05944,$0.06118,"$27,572,724","$27,572,724"
"Sep 07, 2022",$0.05849,$0.0611,$0.05797,$0.06071,"$28,088,611","$28,088,611"
"Sep 06, 2022",$0.0622,$0.06351,$0.0582,$0.05852,"$46,165,269","$46,165,269"
"Sep 05, 2022",$0.06155,$0.0628,$0.06051,$0.06217,"$37,023,219","$37,023,219"
"Sep 04, 2022",$0.06101,$0.06156,$0.06057,$0.06156,"$20,783,310","$20,783,310"
"Sep 03, 2022",$0.06186,$0.06209,$0.06077,$0.06102,"$20,426,203","$20,426,203"
"Sep 02, 2022",$0.0634,$0.06354,$0.06113,$0.06186,"$28,969,814","$28,969,814"
"Sep 01, 2022",$0.06311,$0.06347,$0.0614,$0.0634,"$26,116,262","$26,116,262"
"Aug 31, 2022",$0.06345,$0.0669,$0.06299,$0.0631,"$31,993,238","$31,993,238"
"Aug 30, 2022",$0.06591,$0.06629,$0.06256,$0.06344,"$21,544,439","$21,544,439"
"Aug 29, 2022",$0.06252,$0.06604,$0.06224,$0.0659,"$22,453,378","$22,453,378"
"Aug 28, 2022",$0.06293,$0.06514,$0.0625,$0.06252,"$20,779,765","$20,779,765"
"Aug 27, 2022",$0.06258,$0.06366,$0.06201,$0.06293,"$20,313,872","$20,313,872"
"Aug 26, 2022",$0.06968,$0.06968,$0.06206,$0.06257,"$47,540,562","$47,540,562"
"Aug 25, 2022",$0.06749,$0.06971,$0.06736,$0.06962,"$31,716,167","$31,716,167"
"Aug 24, 2022",$0.06707,$0.06922,$0.0653,$0.0675,"$31,954,195","$31,954,195"
"Aug 23, 2022",$0.06641,$0.06735,$0.06439,$0.06708,"$16,203,211","$16,203,211"
"Aug 22, 2022",$0.0693,$0.07024,$0.06418,$0.06641,"$25,730,339","$25,730,339"
"Aug 21, 2022",$0.06769,$0.07011,$0.06705,$0.06925,"$16,800,829","$16,800,829"
"Aug 20, 2022",$0.06531,$0.06819,$0.06528,$0.0677,"$23,180,972","$23,180,972"
"Aug 19, 2022",$0.0707,$0.07077,$0.0642,$0.06535,"$37,179,950","$37,179,950"
"Aug 18, 2022",$0.07351,$0.07459,$0.07067,$0.07069,"$26,732,782","$26,732,782"
"Aug 17, 2022",$0.07694,$0.07894,$0.07316,$0.07347,"$30,207,017","$30,207,017"
"Aug 16, 2022",$0.07786,$0.07832,$0.07609,$0.07693,"$27,531,373","$27,531,373"
"Aug 15, 2022",$0.07897,$0.08083,$0.0769,$0.07784,"$30,327,783","$30,327,783"
"Aug 14, 2022",$0.08117,$0.08243,$0.07819,$0.07896,"$30,409,765","$30,409,765"
"Aug 13, 2022",$0.08288,$0.08387,$0.08106,$0.08115,"$29,216,459","$29,216,459"
"Aug 12, 2022",$0.08092,$0.08305,$0.0795,$0.08288,"$40,292,876","$40,292,876"
"Aug 11, 2022",$0.07856,$0.08339,$0.07856,$0.08093,"$53,192,582","$53,192,582"
"Aug 10, 2022",$0.07457,$0.07873,$0.0728,$0.07857,"$34,049,570","$34,049,570"
"Aug 09, 2022",$0.08008,$0.08133,$0.07342,$0.07457,"$48,884,479","$48,884,479"
"Aug 08, 2022",$0.07692,$0.08021,$0.07691,$0.08008,"$30,089,275","$30,089,275"
"Aug 07, 2022",$0.0769,$0.07847,$0.07612,$0.07693,"$24,539,569","$24,539,569"
"Aug 06, 2022",$0.07591,$0.07886,$0.07548,$0.07689,"$31,314,328","$31,314,328"
"Aug 05, 2022",$0.0721,$0.07591,$0.0718,$0.07591,"$29,333,057","$29,333,057"
"Aug 04, 2022",$0.07084,$0.07306,$0.07074,$0.07214,"$33,209,992","$33,209,992"
"Aug 03, 2022",$0.07291,$0.07389,$0.07032,$0.07085,"$41,643,240","$41,643,240"
"Aug 02, 2022",$0.0769,$0.07784,$0.07267,$0.07289,"$58,394,690","$58,394,690"
"Aug 01, 2022",$0.07595,$0.07816,$0.07483,$0.07692,"$39,235,773","$39,235,773"
"Jul 31, 2022",$0.07278,$0.08073,$0.07262,$0.07596,"$75,057,754","$75,057,754"
"Jul 30, 2022",$0.07177,$0.07815,$0.07085,$0.07279,"$39,156,275","$39,156,275"
"Jul 29, 2022",$0.07233,$0.07389,$0.06959,$0.07183,"$34,076,922","$34,076,922"
"Jul 28, 2022",$0.07048,$0.07276,$0.06826,$0.07233,"$36,292,374","$36,292,374"
"Jul 27, 2022",$0.06569,$0.07046,$0.06453,$0.07045,"$29,381,493","$29,381,493"
"Jul 26, 2022",$0.0655,$0.06578,$0.06351,$0.06569,"$22,115,579","$22,115,579"
"Jul 25, 2022",$0.07228,$0.07237,$0.0655,$0.0655,"$36,929,122","$36,929,122"
"Jul 24, 2022",$0.0687,$0.07394,$0.06802,$0.07227,"$52,993,495","$52,993,495"
"Jul 23, 2022",$0.06968,$0.07153,$0.067,$0.06872,"$22,255,036","$22,255,036"
"Jul 22, 2022",$0.07131,$0.07524,$0.06917,$0.06973,"$29,588,564","$29,588,564"
"Jul 21, 2022",$0.07051,$0.07177,$0.06807,$0.07133,"$25,545,299","$25,545,299"
"Jul 20, 2022",$0.07349,$0.07715,$0.06998,$0.07054,"$49,719,052","$49,719,052"
"Jul 19, 2022",$0.07079,$0.07461,$0.06951,$0.0735,"$50,259,782","$50,259,782"
"Jul 18, 2022",$0.06489,$0.07151,$0.06486,$0.07089,"$39,999,059","$39,999,059"
"Jul 17, 2022",$0.06644,$0.0671,$0.06434,$0.06492,"$16,887,313","$16,887,313"
