Day,Open,High,Low,Close,Volume,Market Cap
"Sep 10, 2022",$4.71,$5.93,$4.67,$5.62,"$95,660,012","$95,660,012"
"Sep 09, 2022",$4.77,$4.98,$4.58,$4.69,"$47,892,434","$47,892,434"
"Sep 08, 2022",$5.31,$5.50,$4.74,$4.76,"$102,303,170","$102,303,170"
"Sep 07, 2022",$3.40,$5.58,$3.38,$5.33,"$154,942,149","$154,942,149"
"Sep 06, 2022",$3.95,$4.03,$3.28,$3.40,"$28,543,774","$28,543,774"
"Sep 05, 2022",$4.34,$4.35,$3.85,$3.95,"$21,541,717","$21,541,717"
"Sep 04, 2022",$4.19,$4.39,$4.11,$4.33,"$18,174,230","$18,174,230"
"Sep 03, 2022",$4.53,$4.64,$4.13,$4.19,"$17,092,564","$17,092,564"
"Sep 02, 2022",$4.82,$4.93,$4.47,$4.53,"$14,275,419","$14,275,419"
"Sep 01, 2022",$5.26,$5.34,$4.63,$4.82,"$22,978,261","$22,978,261"
"Aug 31, 2022",$5.55,$5.69,$5.23,$5.26,"$13,251,930","$13,251,930"
"Aug 30, 2022",$6.19,$6.22,$5.47,$5.55,"$19,252,011","$19,252,011"
"Aug 29, 2022",$5.79,$6.27,$5.74,$6.19,"$8,533,523","$8,533,523"
"Aug 28, 2022",$6.04,$6.19,$5.79,$5.79,"$6,860,875","$6,860,875"
"Aug 27, 2022",$5.94,$6.10,$5.86,$6.04,"$8,291,277","$8,291,277"
"Aug 26, 2022",$6.74,$6.74,$5.91,$5.93,"$15,066,629","$15,066,629"
"Aug 25, 2022",$6.97,$7.10,$6.69,$6.74,"$13,665,362","$13,665,362"
"Aug 24, 2022",$6.67,$7.66,$6.59,$6.97,"$39,972,080","$39,972,080"
"Aug 23, 2022",$6.54,$6.71,$6.40,$6.68,"$7,936,917","$7,936,917"
"Aug 22, 2022",$6.89,$6.90,$6.36,$6.54,"$7,155,469","$7,155,469"
"Aug 21, 2022",$6.79,$6.96,$6.74,$6.89,"$4,905,147","$4,905,147"
"Aug 20, 2022",$6.99,$7.11,$6.61,$6.79,"$6,507,125","$6,507,125"
"Aug 19, 2022",$7.10,$7.32,$6.68,$6.99,"$14,926,570","$14,926,570"
"Aug 18, 2022",$7.60,$7.76,$7.08,$7.10,"$8,688,119","$8,688,119"
"Aug 17, 2022",$8.08,$8.28,$7.57,$7.59,"$9,727,252","$9,727,252"
"Aug 16, 2022",$8.16,$8.25,$8.01,$8.08,"$7,060,941","$7,060,941"
"Aug 15, 2022",$8.28,$8.48,$8.00,$8.17,"$8,232,458","$8,232,458"
