Day,Open,High,Low,Close,Volume,Market Cap
"Sep 21, 2022",$1.34,$1.39,$1.29,$1.31,"$4,127,969","$4,127,969"
"Sep 20, 2022",$1.37,$1.39,$1.33,$1.34,"$3,113,356","$3,113,356"
"Sep 19, 2022",$1.34,$1.38,$1.29,$1.37,"$3,327,640","$3,327,640"
"Sep 18, 2022",$1.46,$1.46,$1.34,$1.34,"$3,114,803","$3,114,803"
"Sep 17, 2022",$1.38,$1.46,$1.37,$1.46,"$3,210,660","$3,210,660"
"Sep 16, 2022",$1.39,$1.41,$1.36,$1.38,"$3,099,102","$3,099,102"
"Sep 15, 2022",$1.46,$1.48,$1.38,$1.39,"$3,693,626","$3,693,626"
"Sep 14, 2022",$1.46,$1.48,$1.43,$1.46,"$3,075,105","$3,075,105"
"Sep 13, 2022",$1.54,$1.62,$1.45,$1.47,"$6,291,348","$6,291,348"
"Sep 12, 2022",$1.52,$1.67,$1.48,$1.54,"$13,217,620","$13,217,620"
"Sep 11, 2022",$1.51,$1.59,$1.50,$1.52,"$5,990,722","$5,990,722"
"Sep 10, 2022",$1.48,$1.52,$1.46,$1.51,"$3,737,368","$3,737,368"
"Sep 09, 2022",$1.42,$1.50,$1.42,$1.48,"$4,505,641","$4,505,641"
"Sep 08, 2022",$1.43,$1.44,$1.40,$1.42,"$3,319,180","$3,319,180"
"Sep 07, 2022",$1.39,$1.44,$1.36,$1.43,"$3,314,136","$3,314,136"
"Sep 06, 2022",$1.46,$1.49,$1.38,$1.39,"$4,420,954","$4,420,954"
"Sep 05, 2022",$1.50,$1.51,$1.43,$1.46,"$3,733,772","$3,733,772"
"Sep 04, 2022",$1.48,$1.51,$1.47,$1.50,"$2,489,488","$2,489,488"
"Sep 03, 2022",$1.48,$1.50,$1.47,$1.48,"$2,365,565","$2,365,565"
"Sep 02, 2022",$1.46,$1.53,$1.44,$1.48,"$4,101,610","$4,101,610"
"Sep 01, 2022",$1.43,$1.47,$1.41,$1.46,"$3,089,704","$3,089,704"
"Aug 31, 2022",$1.43,$1.49,$1.43,$1.43,"$3,721,570","$3,721,570"
"Aug 30, 2022",$1.50,$1.52,$1.40,$1.43,"$4,164,328","$4,164,328"
"Aug 29, 2022",$1.37,$1.60,$1.37,$1.50,"$22,311,318","$22,311,318"
"Aug 28, 2022",$1.40,$1.43,$1.37,$1.37,"$2,183,789","$2,183,789"
"Aug 27, 2022",$1.39,$1.40,$1.36,$1.40,"$2,659,470","$2,659,470"
"Aug 26, 2022",$1.54,$1.55,$1.38,$1.39,"$4,471,983","$4,471,983"
"Aug 25, 2022",$1.55,$1.60,$1.53,$1.54,"$3,098,945","$3,098,945"
"Aug 24, 2022",$1.57,$1.59,$1.53,$1.55,"$3,864,858","$3,864,858"
"Aug 23, 2022",$1.52,$1.57,$1.49,$1.57,"$4,643,651","$4,643,651"
"Aug 22, 2022",$1.56,$1.57,$1.47,$1.52,"$3,518,548","$3,518,548"
"Aug 21, 2022",$1.52,$1.59,$1.52,$1.56,"$4,865,937","$4,865,937"
"Aug 20, 2022",$1.51,$1.61,$1.51,$1.53,"$6,444,373","$6,444,373"
"Aug 19, 2022",$1.83,$1.83,$1.50,$1.51,"$6,531,415","$6,531,415"
"Aug 18, 2022",$1.85,$1.88,$1.83,$1.83,"$3,870,043","$3,870,043"
"Aug 17, 2022",$1.92,$2.08,$1.83,$1.85,"$9,397,241","$9,397,241"
"Aug 16, 2022",$1.89,$1.94,$1.87,$1.92,"$3,219,163","$3,219,163"
"Aug 15, 2022",$1.94,$1.99,$1.87,$1.89,"$3,892,491","$3,892,491"
"Aug 14, 2022",$2.00,$2.03,$1.91,$1.94,"$3,880,982","$3,880,982"
"Aug 13, 2022",$2.04,$2.06,$2.00,$2.00,"$2,961,342","$2,961,342"
"Aug 12, 2022",$2.01,$2.05,$1.98,$2.04,"$5,923,381","$5,923,381"
"Aug 11, 2022",$2.05,$2.08,$2.01,$2.01,"$5,952,412","$5,952,412"
"Aug 10, 2022",$2.03,$2.08,$1.91,$2.05,"$7,945,969","$7,945,969"
"Aug 09, 2022",$2.05,$2.08,$1.98,$2.03,"$6,510,993","$6,510,993"
"Aug 08, 2022",$1.99,$2.13,$1.98,$2.05,"$7,677,025","$7,677,025"
"Aug 07, 2022",$2.00,$2.01,$1.96,$1.99,"$5,146,791","$5,146,791"
"Aug 06, 2022",$2.03,$2.04,$2.00,$2.00,"$5,998,998","$5,998,998"
"Aug 05, 2022",$1.97,$2.05,$1.97,$2.03,"$8,528,877","$8,528,877"
"Aug 04, 2022",$2.02,$2.09,$1.93,$1.97,"$13,380,155","$13,380,155"
"Aug 03, 2022",$2.03,$2.19,$1.97,$2.02,"$29,630,419","$29,630,419"
"Aug 02, 2022",$1.90,$2.12,$1.88,$2.03,"$48,373,465","$48,373,465"
"Aug 01, 2022",$1.98,$2.04,$1.87,$1.90,"$9,026,742","$9,026,742"
"Jul 31, 2022",$1.97,$2.38,$1.97,$1.98,"$24,116,598","$24,116,598"
"Jul 30, 2022",$2.06,$2.25,$1.96,$1.97,"$26,594,712","$26,594,712"
"Jul 29, 2022",$1.83,$2.71,$1.79,$2.05,"$82,113,856","$82,113,856"
"Jul 28, 2022",$1.63,$1.87,$1.60,$1.83,"$16,228,156","$16,228,156"
"Jul 27, 2022",$1.51,$1.63,$1.50,$1.63,"$7,815,458","$7,815,458"
"Jul 26, 2022",$1.55,$1.55,$1.45,$1.51,"$2,676,687","$2,676,687"
"Jul 25, 2022",$1.61,$1.61,$1.52,$1.55,"$3,355,570","$3,355,570"
"Jul 24, 2022",$1.61,$1.80,$1.61,$1.61,"$6,504,877","$6,504,877"
"Jul 23, 2022",$1.56,$1.62,$1.54,$1.61,"$4,163,797","$4,163,797"
"Jul 22, 2022",$1.64,$1.69,$1.55,$1.56,"$3,952,391","$3,952,391"
"Jul 21, 2022",$1.58,$1.65,$1.52,$1.64,"$3,191,162","$3,191,162"
"Jul 20, 2022",$1.69,$1.74,$1.53,$1.58,"$7,158,555","$7,158,555"
"Jul 19, 2022",$1.64,$1.79,$1.56,$1.69,"$12,313,334","$12,313,334"
"Jul 18, 2022",$1.54,$1.66,$1.54,$1.64,"$10,911,609","$10,911,609"
"Jul 17, 2022",$1.53,$1.80,$1.53,$1.54,"$19,212,340","$19,212,340"
"Jul 16, 2022",$1.45,$1.58,$1.43,$1.53,"$11,838,818","$11,838,818"
"Jul 15, 2022",$1.44,$1.51,$1.42,$1.45,"$14,377,926","$14,377,926"
"Jul 14, 2022",$1.42,$1.62,$1.39,$1.44,"$18,770,223","$18,770,223"
"Jul 13, 2022",$1.27,$1.48,$1.26,$1.42,"$12,449,162","$12,449,162"
"Jul 12, 2022",$1.29,$1.33,$1.25,$1.27,"$5,836,414","$5,836,414"
"Jul 11, 2022",$1.35,$1.38,$1.29,$1.29,"$4,075,224","$4,075,224"
"Jul 10, 2022",$1.46,$1.46,$1.34,$1.35,"$5,616,364","$5,616,364"
"Jul 09, 2022",$1.41,$1.49,$1.39,$1.46,"$6,413,156","$6,413,156"
"Jul 08, 2022",$1.45,$1.52,$1.38,$1.41,"$8,483,319","$8,483,319"
"Jul 07, 2022",$1.38,$1.60,$1.34,$1.45,"$16,827,378","$16,827,378"
"Jul 06, 2022",$1.30,$1.42,$1.26,$1.38,"$6,541,697","$6,541,697"
"Jul 05, 2022",$1.31,$1.35,$1.25,$1.30,"$4,654,474","$4,654,474"
"Jul 04, 2022",$1.29,$1.32,$1.24,$1.32,"$3,820,413","$3,820,413"
"Jul 03, 2022",$1.28,$1.31,$1.24,$1.29,"$2,472,681","$2,472,681"
"Jul 02, 2022",$1.25,$1.32,$1.21,$1.28,"$4,739,570","$4,739,570"
"Jul 01, 2022",$1.24,$1.38,$1.23,$1.25,"$10,379,270","$10,379,270"
"Jun 30, 2022",$1.25,$1.28,$1.17,$1.24,"$4,482,455","$4,482,455"
"Jun 29, 2022",$1.22,$1.33,$1.20,$1.25,"$5,694,996","$5,694,996"
"Jun 28, 2022",$1.29,$1.32,$1.22,$1.22,"$3,759,386","$3,759,386"
"Jun 27, 2022",$1.30,$1.37,$1.27,$1.29,"$3,526,220","$3,526,220"
"Jun 26, 2022",$1.41,$1.47,$1.29,$1.30,"$5,849,883","$5,849,883"
"Jun 25, 2022",$1.35,$1.45,$1.30,$1.41,"$9,659,606","$9,659,606"
"Jun 24, 2022",$1.30,$1.37,$1.27,$1.35,"$4,653,483","$4,653,483"
"Jun 23, 2022",$1.19,$1.33,$1.19,$1.30,"$4,448,485","$4,448,485"
"Jun 22, 2022",$1.24,$1.25,$1.18,$1.19,"$3,121,047","$3,121,047"
"Jun 21, 2022",$1.22,$1.29,$1.19,$1.24,"$4,101,821","$4,101,821"
"Jun 20, 2022",$1.23,$1.28,$1.19,$1.22,"$4,434,185","$4,434,185"
"Jun 19, 2022",$1.18,$1.27,$1.13,$1.23,"$4,156,389","$4,156,389"
"Jun 18, 2022",$1.28,$1.30,$1.09,$1.18,"$4,123,270","$4,123,270"
"Jun 17, 2022",$1.23,$1.31,$1.22,$1.28,"$5,152,724","$5,152,724"
"Jun 16, 2022",$1.32,$1.45,$1.21,$1.23,"$12,786,032","$12,786,032"
"Jun 15, 2022",$1.29,$1.34,$1.10,$1.32,"$5,494,211","$5,494,211"
"Jun 14, 2022",$1.24,$1.35,$1.16,$1.29,"$4,695,907","$4,695,907"
"Jun 13, 2022",$1.48,$1.50,$1.16,$1.24,"$7,274,082","$7,274,082"
"Jun 12, 2022",$1.61,$1.61,$1.45,$1.48,"$4,218,603","$4,218,603"
"Jun 11, 2022",$1.75,$1.79,$1.58,$1.61,"$5,254,497","$5,254,497"
"Jun 10, 2022",$1.92,$1.95,$1.74,$1.75,"$4,953,597","$4,953,597"
"Jun 09, 2022",$2.00,$2.05,$1.90,$1.92,"$9,603,047","$9,603,047"
"Jun 08, 2022",$1.95,$2.37,$1.93,$2.00,"$17,224,606","$17,224,606"
"Jun 07, 2022",$1.98,$2.00,$1.86,$1.95,"$5,053,666","$5,053,666"
"Jun 06, 2022",$1.95,$2.08,$1.94,$1.98,"$5,265,858","$5,265,858"
"Jun 05, 2022",$2.04,$2.04,$1.92,$1.95,"$3,541,601","$3,541,601"
"Jun 04, 2022",$1.87,$2.06,$1.85,$2.04,"$7,669,739","$7,669,739"
"Jun 03, 2022",$1.98,$2.00,$1.86,$1.87,"$3,997,998","$3,997,998"
"Jun 02, 2022",$1.89,$2.00,$1.85,$1.98,"$3,946,252","$3,946,252"
"Jun 01, 2022",$2.13,$2.13,$1.86,$1.89,"$4,874,429","$4,874,429"
"May 31, 2022",$2.10,$2.17,$1.99,$2.13,"$6,628,835","$6,628,835"
"May 30, 2022",$1.91,$2.11,$1.89,$2.10,"$6,450,832","$6,450,832"
"May 29, 2022",$1.85,$1.95,$1.80,$1.91,"$4,375,939","$4,375,939"
"May 28, 2022",$1.82,$1.87,$1.79,$1.85,"$4,726,063","$4,726,063"
"May 27, 2022",$1.97,$1.98,$1.77,$1.79,"$8,438,097","$8,438,097"
"May 26, 2022",$2.13,$2.48,$1.95,$1.97,"$21,379,651","$21,379,651"
"May 25, 2022",$2.13,$2.24,$2.09,$2.13,"$7,558,566","$7,558,566"
"May 24, 2022",$1.94,$2.17,$1.93,$2.12,"$7,964,122","$7,964,122"
"May 23, 2022",$2.15,$2.18,$1.94,$1.94,"$6,196,134","$6,196,134"
"May 22, 2022",$2.20,$2.22,$2.08,$2.15,"$5,631,410","$5,631,410"
"May 21, 2022",$2.13,$2.25,$2.04,$2.21,"$15,088,312","$15,088,312"
"May 20, 2022",$2.06,$2.42,$2.00,$2.13,"$24,593,474","$24,593,474"
"May 19, 2022",$1.91,$2.09,$1.91,$2.06,"$17,036,122","$17,036,122"
"May 18, 2022",$2.11,$2.15,$1.88,$1.91,"$18,855,939","$18,855,939"
"May 17, 2022",$1.97,$2.15,$1.97,$2.11,"$20,795,706","$20,795,706"
"May 16, 2022",$2.08,$2.23,$1.96,$1.97,"$24,707,437","$24,707,437"
"May 15, 2022",$1.82,$2.13,$1.75,$2.08,"$26,330,766","$26,330,766"
"May 14, 2022",$1.76,$1.84,$1.66,$1.82,"$20,374,211","$20,374,211"
"May 13, 2022",$1.55,$1.98,$1.52,$1.76,"$18,857,025","$18,857,025"
"May 12, 2022",$1.66,$1.76,$1.46,$1.55,"$16,293,262","$16,293,262"
"May 11, 2022",$2.60,$2.67,$1.64,$1.66,"$19,450,560","$19,450,560"
"May 10, 2022",$2.63,$2.87,$2.54,$2.60,"$22,962,546","$22,962,546"
"May 09, 2022",$3.17,$3.18,$2.63,$2.63,"$17,799,859","$17,799,859"
"May 08, 2022",$3.46,$3.46,$3.10,$3.16,"$14,711,365","$14,711,365"
"May 07, 2022",$3.60,$3.60,$3.44,$3.46,"$10,564,353","$10,564,353"
"May 06, 2022",$3.64,$3.76,$3.50,$3.60,"$17,657,134","$17,657,134"
"May 05, 2022",$4.10,$4.14,$3.55,$3.64,"$14,929,970","$14,929,970"
"May 04, 2022",$3.77,$4.10,$3.76,$4.10,"$20,769,660","$20,769,660"
"May 03, 2022",$3.84,$4.02,$3.70,$3.77,"$21,725,350","$21,725,350"
"May 02, 2022",$3.92,$4.09,$3.74,$3.84,"$29,024,687","$29,024,687"
"May 01, 2022",$3.70,$3.96,$3.67,$3.92,"$15,315,836","$15,315,836"
"Apr 30, 2022",$4.15,$4.25,$3.67,$3.70,"$18,614,189","$18,614,189"
"Apr 29, 2022",$4.44,$4.87,$4.09,$4.15,"$45,539,263","$45,539,263"
"Apr 28, 2022",$4.09,$5.02,$4.07,$4.44,"$50,472,071","$50,472,071"
"Apr 27, 2022",$3.96,$4.23,$3.93,$4.09,"$21,428,941","$21,428,941"
"Apr 26, 2022",$4.36,$4.39,$3.92,$3.96,"$15,362,795","$15,362,795"
"Apr 25, 2022",$4.34,$4.37,$3.98,$4.36,"$16,746,998","$16,746,998"
"Apr 24, 2022",$4.55,$4.59,$4.33,$4.34,"$15,104,873","$15,104,873"
"Apr 23, 2022",$4.52,$4.71,$4.45,$4.55,"$18,511,943","$18,511,943"
"Apr 22, 2022",$4.57,$4.63,$4.40,$4.52,"$15,762,019","$15,762,019"
"Apr 21, 2022",$4.78,$5.05,$4.54,$4.57,"$22,703,794","$22,703,794"
"Apr 20, 2022",$4.86,$4.97,$4.65,$4.78,"$20,066,657","$20,066,657"
"Apr 19, 2022",$4.72,$4.88,$4.63,$4.85,"$14,442,439","$14,442,439"
"Apr 18, 2022",$4.60,$4.77,$4.32,$4.73,"$13,738,696","$13,738,696"
"Apr 17, 2022",$4.99,$5.08,$4.58,$4.60,"$15,711,556","$15,711,556"
"Apr 16, 2022",$4.62,$4.97,$4.61,$4.97,"$13,631,202","$13,631,202"
"Apr 15, 2022",$4.56,$4.72,$4.53,$4.62,"$9,498,294","$9,498,294"
"Apr 14, 2022",$4.64,$5.13,$4.51,$4.56,"$22,730,872","$22,730,872"
"Apr 13, 2022",$4.56,$4.71,$4.37,$4.64,"$9,558,942","$9,558,942"
