Day,Open,High,Low,Close,Volume,Market Cap
"Sep 18, 2022",$0.15,$0.15,$0.1422,$0.1436,"$1,715,705","$1,715,705"
"Sep 17, 2022",$0.1479,$0.1501,$0.1465,$0.15,"$1,032,955","$1,032,955"
"Sep 16, 2022",$0.1464,$0.1482,$0.1453,$0.1472,"$1,177,737","$1,177,737"
"Sep 15, 2022",$0.1494,$0.1501,$0.1458,$0.1464,"$1,580,327","$1,580,327"
"Sep 14, 2022",$0.1478,$0.153,$0.1458,$0.1487,"$3,259,955","$3,259,955"
"Sep 13, 2022",$0.1606,$0.1635,$0.1471,$0.1506,"$5,327,052","$5,327,052"
"Sep 12, 2022",$0.1594,$0.1637,$0.1572,$0.1606,"$5,691,815","$5,691,815"
"Sep 11, 2022",$0.158,$0.1601,$0.1558,$0.1587,"$4,132,568","$4,132,568"
"Sep 10, 2022",$0.1565,$0.1609,$0.1543,$0.158,"$5,682,347","$5,682,347"
"Sep 09, 2022",$0.1524,$0.1596,$0.1516,$0.1565,"$6,259,930","$6,259,930"
"Sep 08, 2022",$0.1491,$0.1588,$0.1474,$0.1516,"$3,405,760","$3,405,760"
"Sep 07, 2022",$0.1479,$0.1506,$0.1449,$0.1491,"$1,630,096","$1,630,096"
"Sep 06, 2022",$0.1534,$0.1552,$0.1463,$0.1479,"$1,779,709","$1,779,709"
"Sep 05, 2022",$0.1556,$0.1556,$0.1501,$0.1545,"$1,308,729","$1,308,729"
"Sep 04, 2022",$0.1548,$0.1556,$0.1534,$0.1556,"$435,673","$435,673"
"Sep 03, 2022",$0.1556,$0.1585,$0.1541,$0.1548,"$670,089","$670,089"
"Sep 02, 2022",$0.1563,$0.1629,$0.154,$0.1556,"$3,644,292","$3,644,292"
"Sep 01, 2022",$0.1587,$0.1602,$0.1531,$0.1563,"$1,524,550","$1,524,550"
"Aug 31, 2022",$0.1585,$0.1613,$0.1565,$0.1587,"$1,420,308","$1,420,308"
"Aug 30, 2022",$0.159,$0.1661,$0.156,$0.1585,"$3,454,055","$3,454,055"
"Aug 29, 2022",$0.155,$0.1602,$0.1541,$0.159,"$1,259,680","$1,259,680"
"Aug 28, 2022",$0.1587,$0.1617,$0.155,$0.155,"$1,439,957","$1,439,957"
"Aug 27, 2022",$0.1542,$0.1609,$0.1535,$0.1587,"$1,646,279","$1,646,279"
"Aug 26, 2022",$0.1664,$0.1664,$0.1542,$0.155,"$2,682,441","$2,682,441"
"Aug 25, 2022",$0.1626,$0.1664,$0.1619,$0.1664,"$2,209,374","$2,209,374"
"Aug 24, 2022",$0.1657,$0.1657,$0.1601,$0.1626,"$2,674,800","$2,674,800"
"Aug 23, 2022",$0.16,$0.1741,$0.1592,$0.1657,"$16,728,557","$16,728,557"
"Aug 22, 2022",$0.1654,$0.1662,$0.1546,$0.16,"$2,025,365","$2,025,365"
"Aug 21, 2022",$0.1647,$0.1677,$0.1624,$0.1662,"$1,306,652","$1,306,652"
"Aug 20, 2022",$0.1631,$0.1692,$0.1617,$0.1654,"$1,378,470","$1,378,470"
"Aug 19, 2022",$0.1838,$0.1846,$0.163,$0.1631,"$5,155,477","$5,155,477"
