Day,Open,High,Low,Close,Volume,Market Cap
"Sep 18, 2022",$0.4002,$0.4002,$0.3749,$0.3783,"$1,867,277","$1,867,277"
"Sep 17, 2022",$0.3981,$0.4017,$0.3953,$0.4002,"$1,113,428","$1,113,428"
"Sep 16, 2022",$0.3937,$0.4028,$0.3912,$0.3981,"$2,156,193","$2,156,193"
"Sep 15, 2022",$0.4029,$0.4161,$0.3921,$0.395,"$5,471,386","$5,471,386"
"Sep 14, 2022",$0.3985,$0.4045,$0.3916,$0.4029,"$2,024,022","$2,024,022"
"Sep 13, 2022",$0.4314,$0.4362,$0.3951,$0.4004,"$5,429,317","$5,429,317"
"Sep 12, 2022",$0.4292,$0.4379,$0.4202,$0.4321,"$5,803,479","$5,803,479"
"Sep 11, 2022",$0.4165,$0.4313,$0.412,$0.4292,"$6,510,983","$6,510,983"
"Sep 10, 2022",$0.4173,$0.4192,$0.4089,$0.4172,"$2,684,811","$2,684,811"
"Sep 09, 2022",$0.4065,$0.4186,$0.4043,$0.418,"$5,297,524","$5,297,524"
"Sep 08, 2022",$0.3934,$0.4444,$0.3895,$0.4072,"$23,590,660","$23,590,660"
"Sep 07, 2022",$0.3866,$0.3959,$0.3721,$0.3934,"$1,851,240","$1,851,240"
"Sep 06, 2022",$0.4063,$0.4102,$0.3857,$0.3865,"$2,204,788","$2,204,788"
"Sep 05, 2022",$0.4107,$0.4114,$0.3976,$0.4081,"$1,451,422","$1,451,422"
"Sep 04, 2022",$0.4136,$0.4136,$0.4078,$0.4101,"$1,174,339","$1,174,339"
"Sep 03, 2022",$0.4193,$0.4193,$0.4119,$0.4148,"$822,135","$822,135"
"Sep 02, 2022",$0.4208,$0.4278,$0.4155,$0.4193,"$2,812,529","$2,812,529"
"Sep 01, 2022",$0.4312,$0.4312,$0.4119,$0.4202,"$1,913,631","$1,913,631"
"Aug 31, 2022",$0.4124,$0.4298,$0.4085,$0.4293,"$1,678,682","$1,678,682"
"Aug 30, 2022",$0.4111,$0.4289,$0.4026,$0.4105,"$2,517,622","$2,517,622"
"Aug 29, 2022",$0.4018,$0.4136,$0.3959,$0.4123,"$1,433,908","$1,433,908"
"Aug 28, 2022",$0.4105,$0.4275,$0.4012,$0.4012,"$2,341,009","$2,341,009"
"Aug 27, 2022",$0.4096,$0.4127,$0.4017,$0.4112,"$1,345,941","$1,345,941"
"Aug 26, 2022",$0.4409,$0.4431,$0.4075,$0.4096,"$3,022,366","$3,022,366"
"Aug 25, 2022",$0.4258,$0.4411,$0.4238,$0.4395,"$2,172,376","$2,172,376"
"Aug 24, 2022",$0.432,$0.4323,$0.4212,$0.4258,"$1,918,535","$1,918,535"
"Aug 23, 2022",$0.4167,$0.4416,$0.4162,$0.432,"$12,896,731","$12,896,731"
"Aug 22, 2022",$0.4305,$0.4305,$0.4036,$0.4167,"$2,845,742","$2,845,742"
"Aug 21, 2022",$0.4227,$0.4363,$0.4172,$0.4299,"$3,643,878","$3,643,878"
"Aug 20, 2022",$0.4203,$0.4338,$0.4128,$0.4227,"$2,631,988","$2,631,988"
"Aug 19, 2022",$0.4842,$0.4842,$0.4111,$0.4203,"$8,353,540","$8,353,540"
"Aug 18, 2022",$0.4884,$0.4986,$0.4794,$0.4829,"$3,653,691","$3,653,691"
"Aug 17, 2022",$0.5034,$0.5046,$0.4781,$0.4884,"$4,036,781","$4,036,781"
"Aug 16, 2022",$0.5129,$0.5129,$0.4983,$0.5034,"$3,191,517","$3,191,517"
"Aug 15, 2022",$0.5187,$0.5245,$0.5039,$0.5128,"$9,383,687","$9,383,687"
"Aug 14, 2022",$0.5245,$0.5253,$0.5115,$0.5186,"$4,983,312","$4,983,312"
"Aug 13, 2022",$0.5186,$0.5268,$0.5139,$0.5252,"$7,775,805","$7,775,805"
"Aug 12, 2022",$0.5127,$0.5499,$0.4994,$0.5193,"$16,592,938","$16,592,938"
"Aug 11, 2022",$0.4968,$0.5201,$0.4955,$0.5121,"$10,828,649","$10,828,649"
"Aug 10, 2022",$0.4802,$0.4969,$0.4702,$0.4968,"$6,832,794","$6,832,794"
"Aug 09, 2022",$0.4882,$0.4963,$0.4723,$0.4809,"$7,688,480","$7,688,480"
"Aug 08, 2022",$0.4824,$0.4884,$0.4768,$0.4876,"$4,543,147","$4,543,147"
"Aug 07, 2022",$0.4801,$0.4896,$0.4775,$0.4824,"$4,819,229","$4,819,229"
"Aug 06, 2022",$0.479,$0.4818,$0.4756,$0.4794,"$2,437,259","$2,437,259"
"Aug 05, 2022",$0.4742,$0.4812,$0.4719,$0.479,"$3,943,364","$3,943,364"
"Aug 04, 2022",$0.4724,$0.4774,$0.4675,$0.4742,"$4,224,241","$4,224,241"
"Aug 03, 2022",$0.4736,$0.4779,$0.4605,$0.4718,"$5,020,154","$5,020,154"
"Aug 02, 2022",$0.5235,$0.5235,$0.4678,$0.4743,"$13,374,492","$13,374,492"
"Aug 01, 2022",$0.4816,$0.6198,$0.4816,$0.5197,"$166,334,260","$166,334,260"
"Jul 31, 2022",$0.4629,$0.4929,$0.4579,$0.4845,"$14,594,684","$14,594,684"
"Jul 30, 2022",$0.4588,$0.4699,$0.4544,$0.4622,"$5,158,581","$5,158,581"
"Jul 29, 2022",$0.461,$0.4649,$0.4489,$0.4588,"$5,851,489","$5,851,489"
"Jul 28, 2022",$0.4478,$0.4648,$0.4412,$0.4618,"$6,295,750","$6,295,750"
"Jul 27, 2022",$0.4347,$0.4502,$0.4261,$0.4485,"$5,347,141","$5,347,141"
"Jul 26, 2022",$0.4317,$0.4544,$0.4212,$0.4332,"$9,524,185","$9,524,185"
"Jul 25, 2022",$0.4456,$0.4624,$0.4205,$0.4309,"$21,758,749","$21,758,749"
"Jul 24, 2022",$0.4463,$0.4531,$0.442,$0.4456,"$2,719,300","$2,719,300"
"Jul 23, 2022",$0.4485,$0.4499,$0.4326,$0.4463,"$2,908,731","$2,908,731"
"Jul 22, 2022",$0.4568,$0.4568,$0.4461,$0.4499,"$3,966,650","$3,966,650"
"Jul 21, 2022",$0.4381,$0.463,$0.4298,$0.4561,"$13,979,170","$13,979,170"
"Jul 20, 2022",$0.4637,$0.4696,$0.433,$0.4366,"$7,889,481","$7,889,481"
"Jul 19, 2022",$0.4392,$0.4629,$0.4291,$0.4629,"$6,691,567","$6,691,567"
"Jul 18, 2022",$0.4229,$0.4413,$0.4213,$0.4399,"$4,380,331","$4,380,331"
"Jul 17, 2022",$0.4309,$0.4323,$0.4215,$0.4215,"$2,459,183","$2,459,183"
"Jul 16, 2022",$0.4184,$0.4338,$0.4179,$0.4316,"$6,673,113","$6,673,113"
"Jul 15, 2022",$0.4132,$0.4215,$0.4024,$0.4189,"$3,546,700","$3,546,700"
"Jul 14, 2022",$0.4113,$0.4208,$0.3923,$0.4139,"$4,725,965","$4,725,965"
"Jul 13, 2022",$0.4011,$0.4134,$0.3792,$0.4113,"$3,580,693","$3,580,693"
"Jul 12, 2022",$0.4217,$0.429,$0.4011,$0.4033,"$4,723,261","$4,723,261"
"Jul 11, 2022",$0.4656,$0.4672,$0.4203,$0.4225,"$7,262,805","$7,262,805"
"Jul 10, 2022",$0.4573,$0.5018,$0.4572,$0.4672,"$29,156,711","$29,156,711"
"Jul 09, 2022",$0.4532,$0.4629,$0.4471,$0.4587,"$3,461,702","$3,461,702"
"Jul 08, 2022",$0.4436,$0.4639,$0.4369,$0.4532,"$9,298,738","$9,298,738"
"Jul 07, 2022",$0.4349,$0.4479,$0.4273,$0.443,"$3,239,944","$3,239,944"
"Jul 06, 2022",$0.4295,$0.4347,$0.4213,$0.4329,"$2,925,600","$2,925,600"
"Jul 05, 2022",$0.4324,$0.4352,$0.4175,$0.4316,"$4,125,269","$4,125,269"
"Jul 04, 2022",$0.4248,$0.4352,$0.4119,$0.4337,"$2,812,606","$2,812,606"
"Jul 03, 2022",$0.4324,$0.4324,$0.4126,$0.4242,"$3,052,011","$3,052,011"
"Jul 02, 2022",$0.4313,$0.4357,$0.4194,$0.4324,"$3,217,479","$3,217,479"
"Jul 01, 2022",$0.4293,$0.4424,$0.4073,$0.4313,"$7,240,676","$7,240,676"
"Jun 30, 2022",$0.4515,$0.4545,$0.3922,$0.427,"$8,590,162","$8,590,162"
"Jun 29, 2022",$0.4659,$0.4837,$0.4333,$0.4522,"$23,605,512","$23,605,512"
"Jun 28, 2022",$0.4477,$0.5152,$0.4306,$0.469,"$54,152,335","$54,152,335"
"Jun 27, 2022",$0.4224,$0.4753,$0.412,$0.4469,"$32,658,154","$32,658,154"
"Jun 26, 2022",$0.4381,$0.4395,$0.4197,$0.4217,"$3,460,535","$3,460,535"
"Jun 25, 2022",$0.4419,$0.4419,$0.4243,$0.4396,"$4,568,338","$4,568,338"
"Jun 24, 2022",$0.424,$0.4411,$0.4162,$0.4404,"$7,197,224","$7,197,224"
"Jun 23, 2022",$0.4072,$0.4465,$0.4072,$0.4248,"$19,366,729","$19,366,729"
"Jun 22, 2022",$0.4195,$0.4195,$0.3949,$0.4072,"$5,685,416","$5,685,416"
"Jun 21, 2022",$0.4022,$0.422,$0.3948,$0.4195,"$7,336,026","$7,336,026"
"Jun 20, 2022",$0.4025,$0.4037,$0.3788,$0.4014,"$6,448,248","$6,448,248"
"Jun 19, 2022",$0.3912,$0.406,$0.3633,$0.4032,"$6,128,719","$6,128,719"
"Jun 18, 2022",$0.416,$0.4266,$0.3746,$0.3927,"$8,450,927","$8,450,927"
"Jun 17, 2022",$0.3892,$0.421,$0.3741,$0.4152,"$9,987,579","$9,987,579"
"Jun 16, 2022",$0.3861,$0.4013,$0.3589,$0.3862,"$12,650,089","$12,650,089"
"Jun 15, 2022",$0.3582,$0.3853,$0.3211,$0.3846,"$4,771,273","$4,771,273"
"Jun 14, 2022",$0.3542,$0.3686,$0.3102,$0.3582,"$5,740,772","$5,740,772"
"Jun 13, 2022",$0.4227,$0.4305,$0.3383,$0.3514,"$6,856,860","$6,856,860"
"Jun 12, 2022",$0.4793,$0.4871,$0.4187,$0.4285,"$6,727,453","$6,727,453"
"Jun 11, 2022",$0.5047,$0.5117,$0.4657,$0.4759,"$4,478,162","$4,478,162"
"Jun 10, 2022",$0.5461,$0.5461,$0.4946,$0.5049,"$5,724,286","$5,724,286"
"Jun 09, 2022",$0.5561,$0.5587,$0.5401,$0.5454,"$4,353,294","$4,353,294"
"Jun 08, 2022",$0.5678,$0.5859,$0.5495,$0.5553,"$8,836,375","$8,836,375"
"Jun 07, 2022",$0.5821,$0.6099,$0.545,$0.567,"$18,368,827","$18,368,827"
"Jun 06, 2022",$0.565,$0.5822,$0.5583,$0.5821,"$16,024,635","$16,024,635"
"Jun 05, 2022",$0.5458,$0.5669,$0.5329,$0.5643,"$16,923,716","$16,923,716"
"Jun 04, 2022",$0.5472,$0.5504,$0.5319,$0.5453,"$5,231,374","$5,231,374"
