Day,Open,High,Low,Close,Volume,Market Cap
"Sep 10, 2022",$4.77,$4.79,$4.67,$4.72,"$11,520,275","$11,520,275"
"Sep 09, 2022",$4.74,$4.82,$4.71,$4.77,"$15,024,530","$15,024,530"
"Sep 08, 2022",$4.71,$4.82,$4.58,$4.74,"$15,153,804","$15,153,804"
"Sep 07, 2022",$4.61,$4.73,$4.57,$4.71,"$12,417,355","$12,417,355"
"Sep 06, 2022",$4.82,$5.04,$4.59,$4.61,"$22,861,275","$22,861,275"
"Sep 05, 2022",$4.77,$4.84,$4.70,$4.82,"$11,827,962","$11,827,962"
"Sep 04, 2022",$4.72,$4.77,$4.71,$4.77,"$9,098,295","$9,098,295"
"Sep 03, 2022",$4.84,$4.85,$4.71,$4.72,"$11,494,848","$11,494,848"
"Sep 02, 2022",$4.73,$4.90,$4.68,$4.84,"$15,433,231","$15,433,231"
"Sep 01, 2022",$4.69,$4.74,$4.62,$4.73,"$15,752,538","$15,752,538"
"Aug 31, 2022",$4.72,$4.82,$4.58,$4.69,"$17,051,865","$17,051,865"
"Aug 30, 2022",$4.85,$4.99,$4.61,$4.72,"$17,714,643","$17,714,643"
"Aug 29, 2022",$4.79,$5.44,$4.72,$4.85,"$45,214,932","$45,214,932"
"Aug 28, 2022",$4.99,$5.10,$4.69,$4.79,"$22,858,774","$22,858,774"
"Aug 27, 2022",$5.00,$5.33,$4.95,$4.99,"$31,439,394","$31,439,394"
"Aug 26, 2022",$4.78,$5.23,$4.63,$5.00,"$38,403,883","$38,403,883"
"Aug 25, 2022",$4.70,$4.96,$4.69,$4.78,"$23,173,398","$23,173,398"
"Aug 24, 2022",$4.63,$4.83,$4.55,$4.69,"$26,254,270","$26,254,270"
"Aug 23, 2022",$4.42,$4.65,$4.37,$4.63,"$27,084,899","$27,084,899"
"Aug 22, 2022",$4.44,$4.44,$4.36,$4.42,"$11,011,266","$11,011,266"
"Aug 21, 2022",$4.42,$4.45,$4.36,$4.43,"$8,472,973","$8,472,973"
"Aug 20, 2022",$4.34,$4.45,$4.34,$4.42,"$11,124,987","$11,124,987"
"Aug 19, 2022",$4.60,$4.64,$4.34,$4.35,"$15,605,927","$15,605,927"
"Aug 18, 2022",$4.88,$4.93,$4.50,$4.60,"$23,685,208","$23,685,208"
"Aug 17, 2022",$5.13,$5.26,$4.87,$4.88,"$14,834,927","$14,834,927"
"Aug 16, 2022",$5.26,$5.28,$5.10,$5.13,"$14,611,769","$14,611,769"
"Aug 15, 2022",$5.39,$5.47,$5.23,$5.26,"$18,506,604","$18,506,604"
"Aug 14, 2022",$5.31,$5.70,$5.30,$5.38,"$23,645,964","$23,645,964"
"Aug 13, 2022",$5.15,$5.41,$5.14,$5.31,"$18,866,495","$18,866,495"
"Aug 12, 2022",$4.36,$5.59,$4.35,$5.15,"$51,449,866","$51,449,866"
"Aug 11, 2022",$4.41,$4.50,$4.36,$4.36,"$11,725,476","$11,725,476"
"Aug 10, 2022",$4.35,$4.41,$4.33,$4.41,"$11,374,684","$11,374,684"
"Aug 09, 2022",$4.41,$4.42,$4.33,$4.35,"$9,993,199","$9,993,199"
"Aug 08, 2022",$4.38,$4.43,$4.37,$4.41,"$11,020,761","$11,020,761"
"Aug 07, 2022",$4.36,$4.39,$4.34,$4.38,"$9,346,841","$9,346,841"
"Aug 06, 2022",$4.43,$4.44,$4.35,$4.36,"$9,383,258","$9,383,258"
"Aug 05, 2022",$4.35,$4.43,$4.35,$4.43,"$10,780,330","$10,780,330"
"Aug 04, 2022",$4.38,$4.40,$4.34,$4.35,"$9,571,905","$9,571,905"
"Aug 03, 2022",$4.38,$4.43,$4.32,$4.38,"$8,789,037","$8,789,037"
"Aug 02, 2022",$4.50,$4.50,$4.35,$4.38,"$8,490,302","$8,490,302"
"Aug 01, 2022",$4.51,$4.53,$4.43,$4.50,"$8,573,005","$8,573,005"
"Jul 31, 2022",$4.52,$4.59,$4.47,$4.51,"$13,253,792","$13,253,792"
"Jul 30, 2022",$4.46,$4.56,$4.40,$4.52,"$14,808,451","$14,808,451"
"Jul 29, 2022",$4.47,$4.50,$4.40,$4.46,"$15,360,727","$15,360,727"
"Jul 28, 2022",$4.43,$4.51,$4.38,$4.47,"$16,503,286","$16,503,286"
"Jul 27, 2022",$4.34,$4.44,$4.31,$4.43,"$13,871,113","$13,871,113"
"Jul 26, 2022",$4.36,$4.36,$4.31,$4.33,"$12,145,631","$12,145,631"
"Jul 25, 2022",$4.71,$4.71,$4.34,$4.36,"$27,112,570","$27,112,570"
"Jul 24, 2022",$4.85,$4.87,$4.68,$4.71,"$26,115,803","$26,115,803"
"Jul 23, 2022",$4.81,$4.93,$4.76,$4.85,"$27,539,303","$27,539,303"
