Day,Open,High,Low,Close,Volume,Market Cap
"Sep 17, 2022",$0.9968,$1.00,$0.9914,$0.998,"$1,007,998","$1,007,998"
"Sep 16, 2022",$0.9945,$1.00,$0.9893,$0.9966,"$5,206,586","$5,206,586"
"Sep 15, 2022",$0.9979,$1.01,$0.9835,$0.9945,"$949,221","$949,221"
"Sep 14, 2022",$0.9937,$1.00,$0.987,$0.9978,"$1,325,688","$1,325,688"
"Sep 13, 2022",$0.9971,$1.00,$0.9786,$0.9972,"$914,229","$914,229"
"Sep 12, 2022",$0.997,$1.01,$0.9849,$0.9973,"$622,142","$622,142"
"Sep 11, 2022",$0.9967,$0.9999,$0.9895,$0.9969,"$448,408","$448,408"
"Sep 10, 2022",$1.00,$1.00,$0.9906,$0.9966,"$554,053","$554,053"
"Sep 09, 2022",$0.9973,$1.01,$0.9928,$1.00,"$515,050","$515,050"
"Sep 08, 2022",$0.9969,$1.00,$0.9879,$0.9973,"$707,573","$707,573"
"Sep 07, 2022",$0.9917,$1.01,$0.9868,$0.997,"$665,902","$665,902"
"Sep 06, 2022",$0.9979,$1.01,$0.9778,$0.9923,"$2,167,463","$2,167,463"
"Sep 05, 2022",$1.00,$1.00,$0.9896,$0.9976,"$554,531","$554,531"
"Sep 04, 2022",$0.9981,$1.01,$0.9915,$1.00,"$510,942","$510,942"
"Sep 03, 2022",$0.9977,$0.9996,$0.9899,$0.9978,"$299,899","$299,899"
"Sep 02, 2022",$0.9986,$1.01,$0.9869,$0.9975,"$839,087","$839,087"
"Sep 01, 2022",$0.994,$1.01,$0.9887,$0.9988,"$7,848,725","$7,848,725"
"Aug 31, 2022",$0.9952,$1.00,$0.9833,$0.9931,"$887,089","$887,089"
"Aug 30, 2022",$1.00,$1.01,$0.9852,$0.9942,"$893,093","$893,093"
"Aug 29, 2022",$0.9953,$1.01,$0.9878,$0.9998,"$1,153,917","$1,153,917"
"Aug 28, 2022",$0.9981,$1.00,$0.9876,$0.9954,"$634,422","$634,422"
"Aug 27, 2022",$0.9953,$1.01,$0.9912,$0.9987,"$1,094,836","$1,094,836"
"Aug 26, 2022",$0.9972,$1.01,$0.9868,$0.9956,"$1,682,325","$1,682,325"
"Aug 25, 2022",$0.995,$1.01,$0.9936,$0.9976,"$645,786","$645,786"
"Aug 24, 2022",$0.9935,$1.00,$0.9883,$0.9938,"$10,040,214","$10,040,214"
"Aug 23, 2022",$1.00,$1.00,$0.982,$0.9942,"$1,945,740","$1,945,740"
"Aug 22, 2022",$0.9941,$1.00,$0.9808,$1.00,"$5,870,019","$5,870,019"
"Aug 21, 2022",$0.9979,$1.01,$0.9918,$0.994,"$1,452,209","$1,452,209"
"Aug 20, 2022",$0.9942,$1.00,$0.9908,$0.9983,"$3,419,734","$3,419,734"
"Aug 19, 2022",$0.9909,$1.00,$0.9841,$0.9944,"$21,394,448","$21,394,448"
"Aug 18, 2022",$0.9645,$0.9998,$0.8439,$0.9918,"$83,700,335","$83,700,335"
"Aug 17, 2022",$0.9962,$1.00,$0.9251,$0.9637,"$16,739,459","$16,739,459"
"Aug 16, 2022",$0.9974,$1.00,$0.99,$0.9964,"$4,101,105","$4,101,105"
"Aug 15, 2022",$0.9994,$1.01,$0.9912,$0.9977,"$5,380,123","$5,380,123"
"Aug 14, 2022",$0.9989,$1.00,$0.9928,$0.9992,"$3,412,061","$3,412,061"
"Aug 13, 2022",$1.00,$1.01,$0.9927,$0.9983,"$5,967,020","$5,967,020"
"Aug 12, 2022",$0.9987,$1.00,$0.9925,$1.00,"$4,402,033","$4,402,033"
"Aug 11, 2022",$1.00,$1.01,$0.9951,$0.9991,"$22,748,272","$22,748,272"
"Aug 10, 2022",$0.9988,$1.01,$0.9952,$1.00,"$4,377,356","$4,377,356"
"Aug 09, 2022",$1.00,$1.00,$0.9913,$0.9988,"$2,850,968","$2,850,968"
"Aug 08, 2022",$1.00,$1.00,$0.9922,$1,"$6,909,337","$6,909,337"
"Aug 07, 2022",$0.9996,$1.00,$0.9954,$0.9995,"$6,501,389","$6,501,389"
"Aug 06, 2022",$1.00,$1.00,$0.9952,$0.9987,"$4,401,803","$4,401,803"
"Aug 05, 2022",$1.00,$1.01,$0.9961,$1.00,"$16,604,090","$16,604,090"
"Aug 04, 2022",$0.9995,$1.01,$0.9932,$1.00,"$8,304,328","$8,304,328"
"Aug 03, 2022",$0.9986,$1.00,$0.9909,$0.9995,"$4,022,629","$4,022,629"
"Aug 02, 2022",$1.00,$1.01,$0.9924,$0.9987,"$6,685,385","$6,685,385"
"Aug 01, 2022",$0.9972,$1.00,$0.9948,$1.00,"$7,243,769","$7,243,769"
"Jul 31, 2022",$0.9998,$1.01,$0.9888,$0.9972,"$3,227,065","$3,227,065"
"Jul 30, 2022",$0.9995,$1.00,$0.9936,$1,"$4,176,533","$4,176,533"
"Jul 29, 2022",$1,$1.01,$0.995,$0.9994,"$5,279,892","$5,279,892"
"Jul 28, 2022",$1,$1.01,$0.9928,$0.9999,"$5,545,815","$5,545,815"
"Jul 27, 2022",$1.00,$1.00,$0.9989,$1,"$926,827","$926,827"
"Jul 26, 2022",$1.00,$1.00,$0.9971,$1.00,"$927,427","$927,427"
"Jul 25, 2022",$1.00,$1.00,$0.9977,$1.00,"$936,456","$936,456"
"Jul 24, 2022",$1.00,$1.00,$0.9984,$1.00,"$934,457","$934,457"
"Jul 23, 2022",$0.9993,$1.00,$0.9978,$1.00,"$947,764","$947,764"
"Jul 22, 2022",$0.9996,$1.00,$0.9974,$0.9993,"$1,087,331","$1,087,331"
"Jul 21, 2022",$0.9984,$1.00,$0.9927,$0.9996,"$941,283","$941,283"
"Jul 20, 2022",$0.9993,$1.01,$0.9902,$0.9982,"$19,886,917","$19,886,917"
"Jul 19, 2022",$1.00,$1.01,$0.9942,$0.9995,"$22,007,385","$22,007,385"
"Jul 18, 2022",$0.9947,$1.01,$0.9946,$1.00,"$22,042,792","$22,042,792"
"Jul 17, 2022",$1.00,$1.01,$0.9935,$0.9943,"$7,123,573","$7,123,573"
"Jul 16, 2022",$0.9988,$1.01,$0.9942,$1.00,"$6,972,238","$6,972,238"
"Jul 15, 2022",$1.00,$1.01,$0.9948,$0.999,"$6,440,324","$6,440,324"
"Jul 14, 2022",$1.00,$1.01,$0.9909,$1.00,"$9,503,732","$9,503,732"
"Jul 13, 2022",$0.9971,$1.01,$0.9792,$1.00,"$9,079,659","$9,079,659"
