Day,Open,High,Low,Close,Volume,Market Cap
"Sep 25, 2022",$0.1144,$0.1211,$0.1132,$0.1139,"$776,498","$776,498"
"Sep 24, 2022",$0.1115,$0.1195,$0.1098,$0.1144,"$1,048,013","$1,048,013"
"Sep 23, 2022",$0.1109,$0.1124,$0.1091,$0.1115,"$454,605","$454,605"
"Sep 22, 2022",$0.11,$0.1117,$0.1075,$0.1109,"$444,754","$444,754"
"Sep 21, 2022",$0.1121,$0.114,$0.1082,$0.1101,"$237,376","$237,376"
"Sep 20, 2022",$0.1149,$0.117,$0.1111,$0.1121,"$180,707","$180,707"
"Sep 19, 2022",$0.1154,$0.1178,$0.1104,$0.115,"$212,490","$212,490"
"Sep 18, 2022",$0.1242,$0.1251,$0.1149,$0.1153,"$200,816","$200,816"
"Sep 17, 2022",$0.1194,$0.1284,$0.119,$0.1242,"$263,819","$263,819"
"Sep 16, 2022",$0.1212,$0.1218,$0.1144,$0.1194,"$240,072","$240,072"
"Sep 15, 2022",$0.1267,$0.1272,$0.1197,$0.1212,"$229,202","$229,202"
"Sep 14, 2022",$0.1206,$0.1267,$0.1201,$0.1266,"$266,338","$266,338"
"Sep 13, 2022",$0.1292,$0.1294,$0.12,$0.1209,"$214,037","$214,037"
"Sep 12, 2022",$0.1304,$0.1329,$0.1275,$0.1293,"$208,978","$208,978"
"Sep 11, 2022",$0.128,$0.1359,$0.1272,$0.1307,"$229,087","$229,087"
"Sep 10, 2022",$0.1323,$0.1329,$0.1278,$0.128,"$133,508","$133,508"
"Sep 09, 2022",$0.1325,$0.1356,$0.1286,$0.1324,"$252,684","$252,684"
"Sep 08, 2022",$0.1271,$0.1425,$0.1209,$0.1325,"$337,559","$337,559"
"Sep 07, 2022",$0.1208,$0.1287,$0.1182,$0.127,"$230,753","$230,753"
"Sep 06, 2022",$0.1289,$0.1306,$0.121,$0.121,"$189,281","$189,281"
"Sep 05, 2022",$0.1281,$0.1462,$0.1271,$0.1289,"$430,863","$430,863"
"Sep 04, 2022",$0.1279,$0.1589,$0.1252,$0.1281,"$1,173,146","$1,173,146"
"Sep 03, 2022",$0.1291,$0.1306,$0.1261,$0.1279,"$203,361","$203,361"
"Sep 02, 2022",$0.1246,$0.1303,$0.124,$0.1291,"$224,028","$224,028"
"Sep 01, 2022",$0.1239,$0.1294,$0.1217,$0.1246,"$269,007","$269,007"
"Aug 31, 2022",$0.1245,$0.1304,$0.1232,$0.1241,"$231,738","$231,738"
"Aug 30, 2022",$0.1264,$0.129,$0.121,$0.1245,"$225,742","$225,742"
"Aug 29, 2022",$0.1243,$0.1283,$0.1203,$0.1263,"$254,243","$254,243"
"Aug 28, 2022",$0.1255,$0.1312,$0.1179,$0.1243,"$320,969","$320,969"
"Aug 27, 2022",$0.1174,$0.1261,$0.1169,$0.1256,"$290,192","$290,192"
"Aug 26, 2022",$0.1295,$0.1318,$0.117,$0.1173,"$189,304","$189,304"
"Aug 25, 2022",$0.128,$0.1325,$0.1264,$0.1294,"$189,169","$189,169"
"Aug 24, 2022",$0.1321,$0.1332,$0.1274,$0.128,"$212,536","$212,536"
