Day,Open,High,Low,Close,Volume,Market Cap
"Sep 19, 2022",$5.22,$5.32,$5.16,$5.32,"$534,801","$534,801"
"Sep 18, 2022",$5.49,$5.50,$5.21,$5.22,"$555,682","$555,682"
"Sep 17, 2022",$5.39,$5.50,$5.39,$5.49,"$531,206","$531,206"
"Sep 16, 2022",$5.47,$5.49,$5.38,$5.39,"$625,871","$625,871"
"Sep 15, 2022",$5.70,$5.72,$5.47,$5.47,"$704,904","$704,904"
"Sep 14, 2022",$5.53,$5.70,$5.53,$5.70,"$605,999","$605,999"
"Sep 13, 2022",$5.49,$5.81,$5.49,$5.53,"$690,693","$690,693"
"Sep 12, 2022",$5.37,$5.50,$5.37,$5.49,"$530,285","$530,285"
"Sep 11, 2022",$5.38,$5.38,$5.36,$5.37,"$501,788","$501,788"
"Sep 10, 2022",$5.30,$5.38,$5.30,$5.38,"$551,778","$551,778"
"Sep 09, 2022",$5.17,$5.37,$5.17,$5.30,"$548,166","$548,166"
"Sep 08, 2022",$5.33,$5.33,$5.14,$5.17,"$572,411","$572,411"
"Sep 07, 2022",$5.16,$5.33,$5.13,$5.33,"$606,086","$606,086"
"Sep 06, 2022",$5.18,$5.22,$5.14,$5.16,"$636,110","$636,110"
"Sep 05, 2022",$5.19,$5.19,$5.16,$5.18,"$390,772","$390,772"
"Sep 04, 2022",$5.18,$5.19,$5.17,$5.19,"$403,244","$403,244"
"Sep 03, 2022",$5.20,$5.21,$5.17,$5.18,"$412,586","$412,586"
"Sep 02, 2022",$5.21,$5.34,$5.20,$5.20,"$472,604","$472,604"
"Sep 01, 2022",$5.18,$5.21,$5.17,$5.21,"$534,075","$534,075"
"Aug 31, 2022",$5.12,$5.21,$5.12,$5.18,"$501,888","$501,888"
"Aug 30, 2022",$5.17,$5.22,$5.06,$5.12,"$510,280","$510,280"
"Aug 29, 2022",$5.07,$5.17,$5.06,$5.17,"$475,153","$475,153"
"Aug 28, 2022",$5.10,$5.11,$5.07,$5.07,"$443,260","$443,260"
"Aug 27, 2022",$5.16,$5.17,$5.09,$5.10,"$500,441","$500,441"
"Aug 26, 2022",$5.37,$5.37,$5.16,$5.16,"$584,672","$584,672"
"Aug 25, 2022",$5.37,$5.37,$5.35,$5.37,"$482,002","$482,002"
"Aug 24, 2022",$5.36,$5.39,$5.31,$5.37,"$496,108","$496,108"
"Aug 23, 2022",$5.39,$5.41,$5.33,$5.36,"$445,021","$445,021"
"Aug 22, 2022",$5.40,$5.40,$5.33,$5.39,"$551,186","$551,186"
"Aug 21, 2022",$4.81,$5.47,$4.81,$5.40,"$1,122,469","$1,122,469"
"Aug 20, 2022",$4.82,$4.83,$4.73,$4.81,"$437,099","$437,099"
"Aug 19, 2022",$5.04,$5.05,$4.81,$4.82,"$510,216","$510,216"
"Aug 18, 2022",$5.05,$5.05,$5.02,$5.04,"$443,092","$443,092"
"Aug 17, 2022",$5.20,$5.30,$5.04,$5.05,"$459,939","$459,939"
"Aug 16, 2022",$5.30,$5.30,$5.20,$5.20,"$463,583","$463,583"
"Aug 15, 2022",$5.39,$5.47,$5.30,$5.30,"$599,469","$599,469"
"Aug 14, 2022",$5.60,$5.61,$5.38,$5.39,"$566,597","$566,597"
"Aug 13, 2022",$5.59,$5.64,$5.59,$5.60,"$565,878","$565,878"
"Aug 12, 2022",$5.55,$5.59,$5.50,$5.59,"$439,718","$439,718"
"Aug 11, 2022",$5.59,$5.62,$5.55,$5.55,"$425,617","$425,617"
"Aug 10, 2022",$5.40,$5.61,$5.39,$5.59,"$585,146","$585,146"
"Aug 09, 2022",$5.75,$6.12,$5.32,$5.40,"$847,959","$847,959"
"Aug 08, 2022",$5.44,$5.81,$5.44,$5.75,"$693,529","$693,529"
"Aug 07, 2022",$5.38,$5.52,$5.36,$5.44,"$512,348","$512,348"
"Aug 06, 2022",$5.38,$5.43,$5.36,$5.38,"$572,980","$572,980"
"Aug 05, 2022",$5.27,$5.40,$5.26,$5.38,"$533,059","$533,059"
"Aug 04, 2022",$5.30,$5.31,$5.26,$5.27,"$499,258","$499,258"
"Aug 03, 2022",$5.35,$5.39,$5.29,$5.30,"$525,196","$525,196"
"Aug 02, 2022",$5.27,$5.39,$5.24,$5.35,"$564,291","$564,291"
"Aug 01, 2022",$5.37,$5.37,$5.27,$5.27,"$588,015","$588,015"
"Jul 31, 2022",$5.09,$5.52,$5.09,$5.37,"$602,946","$602,946"
