Day,Open,High,Low,Close,Volume,Market Cap
"Sep 19, 2022",$56.08,$58.76,$54.26,$58.04,"$12,896,760","$12,896,760"
"Sep 18, 2022",$64.11,$64.16,$55.58,$56.07,"$13,119,452","$13,119,452"
"Sep 17, 2022",$63.91,$64.93,$62.98,$64.11,"$9,545,167","$9,545,167"
"Sep 16, 2022",$65.58,$66.36,$63.79,$63.89,"$12,248,911","$12,248,911"
"Sep 15, 2022",$71.60,$73.67,$65.53,$65.58,"$20,443,133","$20,443,133"
"Sep 14, 2022",$69.87,$72.32,$69.03,$71.58,"$8,487,652","$8,487,652"
"Sep 13, 2022",$75.77,$76.99,$69.31,$70.12,"$11,995,946","$11,995,946"
"Sep 12, 2022",$77.68,$78.25,$74.30,$75.77,"$9,315,103","$9,315,103"
"Sep 11, 2022",$80.25,$80.46,$76.24,$77.66,"$8,486,385","$8,486,385"
"Sep 10, 2022",$79.00,$80.46,$77.56,$80.20,"$8,412,841","$8,412,841"
"Sep 09, 2022",$75.06,$80.64,$74.83,$79.04,"$14,300,201","$14,300,201"
"Sep 08, 2022",$73.55,$75.41,$72.29,$74.97,"$11,015,857","$11,015,857"
"Sep 07, 2022",$72.50,$74.93,$69.08,$73.53,"$9,679,168","$9,679,168"
"Sep 06, 2022",$75.50,$78.58,$72.51,$72.51,"$12,422,359","$12,422,359"
"Sep 05, 2022",$75.66,$76.09,$73.79,$75.57,"$5,806,499","$5,806,499"
"Sep 04, 2022",$74.68,$75.83,$74.08,$75.66,"$7,044,534","$7,044,534"
"Sep 03, 2022",$76.41,$81.02,$74.48,$74.65,"$12,040,354","$12,040,354"
"Sep 02, 2022",$78.51,$79.76,$75.44,$76.43,"$9,283,008","$9,283,008"
"Sep 01, 2022",$77.68,$81.78,$75.80,$78.50,"$21,107,280","$21,107,280"
"Aug 31, 2022",$77.10,$80.77,$77.10,$77.68,"$10,063,243","$10,063,243"
"Aug 30, 2022",$79.62,$81.30,$75.40,$76.99,"$10,797,372","$10,797,372"
"Aug 29, 2022",$74.19,$80.16,$73.82,$79.64,"$11,560,160","$11,560,160"
"Aug 28, 2022",$78.19,$78.74,$74.19,$74.19,"$10,609,620","$10,609,620"
