Day,Open,High,Low,Close,Volume,Market Cap
"Sep 26, 2022",$0.0861,$0.0887,$0.07716,$0.07778,"$72,633","$72,633"
"Sep 25, 2022",$0.0827,$0.08949,$0.07808,$0.08612,"$74,305","$74,305"
"Sep 24, 2022",$0.07897,$0.0895,$0.07896,$0.08271,"$80,979","$80,979"
"Sep 23, 2022",$0.08206,$0.09364,$0.07741,$0.07897,"$81,849","$81,849"
"Sep 22, 2022",$0.08394,$0.09946,$0.07767,$0.08206,"$88,459","$88,459"
"Sep 21, 2022",$0.08297,$0.09735,$0.07749,$0.08392,"$108,655","$108,655"
"Sep 20, 2022",$0.09116,$0.1169,$0.0794,$0.08294,"$81,449","$81,449"
"Sep 19, 2022",$0.0937,$0.12,$0.08462,$0.09108,"$57,328","$57,328"
"Sep 18, 2022",$0.09844,$0.1035,$0.09329,$0.09368,"$14,912","$14,912"
"Sep 17, 2022",$0.09574,$0.1322,$0.0923,$0.09834,"$41,977","$41,977"
"Sep 16, 2022",$0.1019,$0.109,$0.0943,$0.09604,"$79,564","$79,564"
"Sep 15, 2022",$0.1298,$0.1298,$0.09227,$0.102,"$71,954","$71,954"
"Sep 14, 2022",$0.1054,$0.1374,$0.08751,$0.1298,"$85,863","$85,863"
"Sep 13, 2022",$0.114,$0.1338,$0.08641,$0.1045,"$84,081","$84,081"
"Sep 12, 2022",$0.1125,$0.1337,$0.1028,$0.114,"$97,276","$97,276"
"Sep 11, 2022",$0.09705,$0.1179,$0.09705,$0.1125,"$73,029","$73,029"
"Sep 10, 2022",$0.1069,$0.1107,$0.08392,$0.09705,"$25,536","$25,536"
"Sep 09, 2022",$0.1023,$0.1102,$0.0844,$0.1069,"$56,730","$56,730"
"Sep 08, 2022",$0.1137,$0.1182,$0.09164,$0.1022,"$121,350","$121,350"
"Sep 07, 2022",$0.121,$0.124,$0.09221,$0.1137,"$107,170","$107,170"
"Sep 06, 2022",$0.1211,$0.1237,$0.107,$0.121,"$124,237","$124,237"
"Sep 05, 2022",$0.1263,$0.1318,$0.1067,$0.1211,"$158,197","$158,197"
"Sep 04, 2022",$0.13,$0.1345,$0.1083,$0.1263,"$122,758","$122,758"
"Sep 03, 2022",$0.1224,$0.1454,$0.1192,$0.13,"$120,518","$120,518"
"Sep 02, 2022",$0.1277,$0.1458,$0.1199,$0.1224,"$136,342","$136,342"
"Sep 01, 2022",$0.1523,$0.1523,$0.1232,$0.1277,"$121,836","$121,836"
"Aug 31, 2022",$0.1491,$0.1626,$0.1263,$0.1523,"$122,282","$122,282"
"Aug 30, 2022",$0.1519,$0.1639,$0.1269,$0.1491,"$123,948","$123,948"
"Aug 29, 2022",$0.1487,$0.165,$0.128,$0.1519,"$104,786","$104,786"
"Aug 28, 2022",$0.1547,$0.1654,$0.1286,$0.1487,"$126,916","$126,916"
"Aug 27, 2022",$0.1463,$0.1671,$0.1312,$0.1547,"$122,341","$122,341"
"Aug 26, 2022",$0.1696,$0.1727,$0.1333,$0.1463,"$171,798","$171,798"
"Aug 25, 2022",$0.1775,$0.1848,$0.1577,$0.1696,"$195,617","$195,617"
"Aug 24, 2022",$0.1679,$0.1849,$0.1654,$0.1775,"$110,742","$110,742"
"Aug 23, 2022",$0.1842,$0.188,$0.1665,$0.1679,"$187,939","$187,939"
"Aug 22, 2022",$0.1785,$0.1937,$0.169,$0.1842,"$179,310","$179,310"
"Aug 21, 2022",$0.1879,$0.1955,$0.175,$0.1785,"$396,441","$396,441"
"Aug 20, 2022",$0.1757,$0.1938,$0.1712,$0.1885,"$358,029","$358,029"
"Aug 19, 2022",$0.1847,$0.1976,$0.1707,$0.1761,"$177,527","$177,527"
"Aug 18, 2022",$0.1899,$0.1949,$0.1772,$0.1847,"$318,992","$318,992"
"Aug 17, 2022",$0.1946,$0.1973,$0.1898,$0.1899,"$146,173","$146,173"
"Aug 16, 2022",$0.1969,$0.1991,$0.1822,$0.1946,"$61,859","$61,859"
"Aug 15, 2022",$0.1825,$0.2045,$0.1745,$0.1969,"$249,609","$249,609"
"Aug 14, 2022",$0.1877,$0.196,$0.1777,$0.1825,"$185,611","$185,611"
"Aug 13, 2022",$0.1901,$0.1949,$0.1799,$0.1877,"$205,284","$205,284"
"Aug 12, 2022",$0.1964,$0.2018,$0.1806,$0.1901,"$382,674","$382,674"
"Aug 11, 2022",$0.1857,$0.2114,$0.1768,$0.1964,"$333,354","$333,354"
"Aug 10, 2022",$0.2035,$0.2077,$0.1827,$0.1857,"$296,391","$296,391"
"Aug 09, 2022",$0.2031,$0.2122,$0.1804,$0.2035,"$468,388","$468,388"
"Aug 08, 2022",$0.1964,$0.2164,$0.1849,$0.2031,"$161,747","$161,747"
"Aug 07, 2022",$0.2013,$0.2173,$0.1921,$0.1964,"$144,157","$144,157"
"Aug 06, 2022",$0.2055,$0.2425,$0.1937,$0.2013,"$51,947","$51,947"
"Aug 05, 2022",$0.1963,$0.2095,$0.1783,$0.2054,"$137,437","$137,437"
"Aug 04, 2022",$0.2002,$0.2022,$0.1931,$0.1963,"$148,436","$148,436"
"Aug 03, 2022",$0.1893,$0.203,$0.1845,$0.2002,"$168,262","$168,262"
"Aug 02, 2022",$0.1967,$0.2104,$0.1846,$0.1893,"$176,731","$176,731"
"Aug 01, 2022",$0.1886,$0.2063,$0.1858,$0.1967,"$310,439","$310,439"
"Jul 31, 2022",$0.1932,$0.1986,$0.1714,$0.1886,"$248,804","$248,804"
"Jul 30, 2022",$0.1949,$0.2009,$0.1667,$0.1932,"$268,608","$268,608"
"Jul 29, 2022",$0.2057,$0.2133,$0.1846,$0.1949,"$355,163","$355,163"
"Jul 28, 2022",$0.2025,$0.2131,$0.1812,$0.2057,"$353,229","$353,229"
"Jul 27, 2022",$0.1844,$0.2121,$0.1697,$0.2025,"$298,528","$298,528"
"Jul 26, 2022",$0.1981,$0.2007,$0.1804,$0.1844,"$441,255","$441,255"
"Jul 25, 2022",$0.2244,$0.2414,$0.1908,$0.1981,"$751,057","$751,057"
"Jul 24, 2022",$0.2466,$0.2544,$0.2017,$0.2245,"$287,905","$287,905"
"Jul 23, 2022",$0.2329,$0.2522,$0.2228,$0.2466,"$347,093","$347,093"
"Jul 22, 2022",$0.2392,$0.2607,$0.2237,$0.233,"$426,041","$426,041"
"Jul 21, 2022",$0.2325,$0.2583,$0.2164,$0.2392,"$225,032","$225,032"
"Jul 20, 2022",$0.2058,$0.2689,$0.2023,$0.2325,"$344,212","$344,212"
"Jul 19, 2022",$0.196,$0.2152,$0.1924,$0.2058,"$158,485","$158,485"
"Jul 18, 2022",$0.1992,$0.2138,$0.1803,$0.196,"$272,551","$272,551"
"Jul 17, 2022",$0.2008,$0.2091,$0.1881,$0.1992,"$228,087","$228,087"
"Jul 16, 2022",$0.1862,$0.2078,$0.182,$0.2008,"$262,393","$262,393"
"Jul 15, 2022",$0.2049,$0.2075,$0.1848,$0.1862,"$296,955","$296,955"
"Jul 14, 2022",$0.1959,$0.2084,$0.1794,$0.2049,"$205,374","$205,374"
"Jul 13, 2022",$0.1899,$0.2044,$0.1852,$0.1959,"$233,850","$233,850"
"Jul 12, 2022",$0.1976,$0.2123,$0.1758,$0.1899,"$179,726","$179,726"
"Jul 11, 2022",$0.1948,$0.2071,$0.1924,$0.1976,"$259,744","$259,744"
"Jul 10, 2022",$0.2016,$0.2149,$0.1895,$0.1948,"$271,612","$271,612"
"Jul 09, 2022",$0.2095,$0.211,$0.1894,$0.2016,"$223,939","$223,939"
"Jul 08, 2022",$0.1963,$0.213,$0.196,$0.2095,"$315,123","$315,123"
"Jul 07, 2022",$0.2049,$0.2068,$0.1859,$0.1963,"$200,048","$200,048"
"Jul 06, 2022",$0.1893,$0.2083,$0.1881,$0.2049,"$131,072","$131,072"
"Jul 05, 2022",$0.1838,$0.194,$0.1831,$0.1893,"$56,714","$56,714"
"Jul 04, 2022",$0.1963,$0.1986,$0.1802,$0.1838,"$299,146","$299,146"
"Jul 03, 2022",$0.196,$0.1998,$0.1925,$0.1963,"$272,311","$272,311"
"Jul 02, 2022",$0.1994,$0.2012,$0.1919,$0.196,"$317,914","$317,914"
"Jul 01, 2022",$0.1861,$0.1997,$0.1807,$0.1994,"$332,608","$332,608"
"Jun 30, 2022",$0.1908,$0.1919,$0.1815,$0.1861,"$273,979","$273,979"
"Jun 29, 2022",$0.2011,$0.2019,$0.1852,$0.1908,"$335,214","$335,214"
"Jun 28, 2022",$0.2069,$0.2074,$0.199,$0.2011,"$311,247","$311,247"
"Jun 27, 2022",$0.2053,$0.2117,$0.1997,$0.2069,"$372,865","$372,865"
"Jun 26, 2022",$0.2146,$0.2159,$0.2021,$0.2053,"$306,539","$306,539"
"Jun 25, 2022",$0.2098,$0.2177,$0.2089,$0.2146,"$276,236","$276,236"
"Jun 24, 2022",$0.2172,$0.2209,$0.209,$0.2098,"$309,261","$309,261"
"Jun 23, 2022",$0.2187,$0.2238,$0.2114,$0.2172,"$397,671","$397,671"
"Jun 22, 2022",$0.2322,$0.2328,$0.2138,$0.2187,"$445,861","$445,861"
"Jun 21, 2022",$0.2169,$0.2374,$0.2166,$0.2321,"$379,265","$379,265"
"Jun 20, 2022",$0.2154,$0.222,$0.2112,$0.2169,"$349,491","$349,491"
"Jun 19, 2022",$0.2091,$0.2159,$0.2019,$0.2154,"$388,435","$388,435"
"Jun 18, 2022",$0.2131,$0.2168,$0.1975,$0.2091,"$395,010","$395,010"
"Jun 17, 2022",$0.2153,$0.2249,$0.2114,$0.2131,"$382,421","$382,421"
"Jun 16, 2022",$0.2179,$0.2259,$0.2127,$0.2152,"$809,503","$809,503"
"Jun 15, 2022",$0.223,$0.2307,$0.1972,$0.2179,"$913,154","$913,154"
"Jun 14, 2022",$0.2338,$0.2405,$0.2186,$0.223,"$743,044","$743,044"
"Jun 13, 2022",$0.2789,$0.2791,$0.2152,$0.2338,"$1,143,693","$1,143,693"
"Jun 12, 2022",$0.3211,$0.3215,$0.275,$0.2789,"$619,547","$619,547"
"Jun 11, 2022",$0.3503,$0.3705,$0.3127,$0.3211,"$677,195","$677,195"
"Jun 10, 2022",$0.3513,$0.3834,$0.3453,$0.3503,"$790,673","$790,673"
"Jun 09, 2022",$0.3287,$0.3702,$0.319,$0.3513,"$646,027","$646,027"
"Jun 08, 2022",$0.3196,$0.3329,$0.31,$0.3287,"$519,304","$519,304"
"Jun 07, 2022",$0.3473,$0.3485,$0.2953,$0.3196,"$679,098","$679,098"
"Jun 06, 2022",$0.2836,$0.3474,$0.2766,$0.3473,"$633,463","$633,463"
"Jun 05, 2022",$0.2724,$0.2861,$0.272,$0.2836,"$321,130","$321,130"
"Jun 04, 2022",$0.2738,$0.2869,$0.2674,$0.2724,"$375,020","$375,020"
"Jun 03, 2022",$0.2729,$0.283,$0.265,$0.2738,"$394,507","$394,507"
"Jun 02, 2022",$0.2806,$0.288,$0.2712,$0.2729,"$356,796","$356,796"
"Jun 01, 2022",$0.2838,$0.298,$0.2728,$0.2806,"$406,002","$406,002"
"May 31, 2022",$0.299,$0.3056,$0.2674,$0.2838,"$696,716","$696,716"
"May 30, 2022",$0.2963,$0.3013,$0.2777,$0.299,"$443,577","$443,577"
"May 29, 2022",$0.2976,$0.3037,$0.2887,$0.2963,"$365,809","$365,809"
"May 28, 2022",$0.3003,$0.3115,$0.2924,$0.2976,"$472,412","$472,412"
"May 27, 2022",$0.3195,$0.3225,$0.2916,$0.3083,"$594,868","$594,868"
"May 26, 2022",$0.3556,$0.3626,$0.307,$0.3195,"$602,100","$602,100"
"May 25, 2022",$0.3715,$0.3804,$0.3473,$0.3556,"$487,058","$487,058"
"May 24, 2022",$0.3732,$0.3779,$0.3552,$0.3715,"$511,648","$511,648"
"May 23, 2022",$0.3662,$0.4009,$0.3647,$0.3732,"$426,056","$426,056"
"May 22, 2022",$0.381,$0.3832,$0.3609,$0.3662,"$280,405","$280,405"
"May 21, 2022",$0.3679,$0.3825,$0.3676,$0.381,"$279,475","$279,475"
"May 20, 2022",$0.3965,$0.3965,$0.367,$0.3678,"$288,600","$288,600"
"May 19, 2022",$0.3991,$0.4,$0.3806,$0.3965,"$331,602","$331,602"
"May 18, 2022",$0.4034,$0.421,$0.3927,$0.3991,"$392,133","$392,133"
"May 17, 2022",$0.3988,$0.4144,$0.3903,$0.4034,"$373,678","$373,678"
"May 16, 2022",$0.4247,$0.4266,$0.3966,$0.3988,"$357,192","$357,192"
"May 15, 2022",$0.413,$0.4339,$0.4084,$0.4247,"$487,147","$487,147"
"May 14, 2022",$0.4407,$0.4452,$0.3942,$0.413,"$884,080","$884,080"
"May 13, 2022",$0.3805,$0.466,$0.3712,$0.4407,"$1,456,290","$1,456,290"
"May 12, 2022",$0.3886,$0.3893,$0.2708,$0.3806,"$2,174,104","$2,174,104"
"May 11, 2022",$0.4591,$0.4803,$0.3849,$0.3886,"$1,666,883","$1,666,883"
"May 10, 2022",$0.4292,$0.4817,$0.4187,$0.4591,"$1,151,688","$1,151,688"
"May 09, 2022",$0.5061,$0.5135,$0.4224,$0.4292,"$1,347,153","$1,347,153"
"May 08, 2022",$0.5332,$0.5538,$0.4861,$0.5061,"$926,137","$926,137"
"May 07, 2022",$0.551,$0.5617,$0.5163,$0.5332,"$917,949","$917,949"
"May 06, 2022",$0.589,$0.5895,$0.5245,$0.551,"$1,247,013","$1,247,013"
"May 05, 2022",$0.5744,$0.6322,$0.5494,$0.589,"$1,247,700","$1,247,700"
"May 04, 2022",$0.5609,$0.5962,$0.5315,$0.5744,"$2,187,350","$2,187,350"
"May 03, 2022",$0.6286,$0.6336,$0.5348,$0.5608,"$1,794,233","$1,794,233"
"May 02, 2022",$0.6819,$0.697,$0.6218,$0.6286,"$801,910","$801,910"
"May 01, 2022",$0.6578,$0.698,$0.6004,$0.682,"$1,042,577","$1,042,577"
"Apr 30, 2022",$0.7149,$0.7149,$0.6267,$0.6578,"$977,937","$977,937"
"Apr 29, 2022",$0.7353,$0.7464,$0.7104,$0.7149,"$1,678,034","$1,678,034"
"Apr 28, 2022",$0.7729,$0.7729,$0.714,$0.7354,"$1,283,233","$1,283,233"
"Apr 27, 2022",$0.7829,$0.8078,$0.7485,$0.7729,"$590,216","$590,216"
"Apr 26, 2022",$0.8134,$0.8196,$0.7587,$0.7828,"$652,258","$652,258"
"Apr 25, 2022",$0.8413,$0.8486,$0.7662,$0.8134,"$708,275","$708,275"
"Apr 24, 2022",$0.7948,$0.8479,$0.7891,$0.8414,"$641,929","$641,929"
"Apr 23, 2022",$0.8023,$0.8285,$0.7888,$0.7948,"$739,243","$739,243"
"Apr 22, 2022",$0.786,$0.8221,$0.7502,$0.8023,"$1,340,354","$1,340,354"
"Apr 21, 2022",$0.8238,$0.8355,$0.777,$0.786,"$1,436,250","$1,436,250"
"Apr 20, 2022",$0.898,$0.9427,$0.8105,$0.8238,"$1,481,110","$1,481,110"
"Apr 19, 2022",$0.9291,$0.9625,$0.8612,$0.898,"$1,102,698","$1,102,698"
"Apr 18, 2022",$1.02,$1.02,$0.878,$0.9291,"$1,616,779","$1,616,779"
"Apr 17, 2022",$0.9989,$1.09,$0.9639,$1.02,"$1,426,783","$1,426,783"
"Apr 16, 2022",$0.9787,$1.04,$0.9353,$0.999,"$1,168,740","$1,168,740"
"Apr 15, 2022",$0.9996,$1.00,$0.9202,$0.9787,"$2,184,586","$2,184,586"
"Apr 14, 2022",$0.867,$1.06,$0.8191,$0.9996,"$3,057,895","$3,057,895"
"Apr 13, 2022",$0.7365,$0.9195,$0.727,$0.867,"$1,824,093","$1,824,093"
"Apr 12, 2022",$0.6326,$0.8129,$0.6319,$0.7365,"$1,309,418","$1,309,418"
"Apr 11, 2022",$0.7328,$0.7369,$0.6187,$0.6325,"$593,796","$593,796"
"Apr 10, 2022",$0.6927,$0.7496,$0.6906,$0.7328,"$509,291","$509,291"
"Apr 09, 2022",$0.7114,$0.759,$0.6712,$0.6927,"$562,539","$562,539"
"Apr 08, 2022",$0.7053,$0.7768,$0.6867,$0.7114,"$585,917","$585,917"
"Apr 07, 2022",$0.7042,$0.7645,$0.6856,$0.7052,"$937,129","$937,129"
"Apr 06, 2022",$0.8007,$0.8164,$0.6696,$0.7043,"$610,329","$610,329"
"Apr 05, 2022",$0.7827,$0.821,$0.7662,$0.8007,"$736,052","$736,052"
"Apr 04, 2022",$0.7999,$0.8322,$0.7536,$0.7828,"$747,034","$747,034"
"Apr 03, 2022",$0.808,$0.8338,$0.7604,$0.7999,"$754,972","$754,972"
"Apr 02, 2022",$0.7715,$0.8645,$0.7567,$0.8081,"$939,426","$939,426"
"Apr 01, 2022",$0.6921,$0.7764,$0.6756,$0.7715,"$1,659,038","$1,659,038"
"Mar 31, 2022",$0.7589,$0.7783,$0.6683,$0.692,"$1,778,865","$1,778,865"
"Mar 30, 2022",$0.6117,$0.7804,$0.6115,$0.7589,"$1,309,317","$1,309,317"
"Mar 29, 2022",$0.5656,$0.6683,$0.5613,$0.6117,"$657,538","$657,538"
"Mar 28, 2022",$0.5473,$0.572,$0.5239,$0.5656,"$526,568","$526,568"
"Mar 27, 2022",$0.5477,$0.5582,$0.5094,$0.5473,"$414,484","$414,484"
"Mar 26, 2022",$0.5541,$0.5595,$0.5431,$0.5477,"$464,911","$464,911"
"Mar 25, 2022",$0.5301,$0.5734,$0.5238,$0.5541,"$608,717","$608,717"
"Mar 24, 2022",$0.5108,$0.5616,$0.5083,$0.5301,"$496,827","$496,827"
"Mar 23, 2022",$0.5319,$0.5585,$0.5053,$0.5108,"$558,100","$558,100"
"Mar 22, 2022",$0.5364,$0.5618,$0.5214,$0.5319,"$677,804","$677,804"
"Mar 21, 2022",$0.4699,$0.5503,$0.4438,$0.5364,"$508,484","$508,484"
"Mar 20, 2022",$0.4722,$0.4777,$0.4636,$0.4699,"$361,523","$361,523"
"Mar 19, 2022",$0.4795,$0.5119,$0.4612,$0.4722,"$408,488","$408,488"
"Mar 18, 2022",$0.4798,$0.4883,$0.4512,$0.4796,"$608,343","$608,343"
"Mar 17, 2022",$0.4782,$0.4817,$0.4329,$0.4798,"$616,173","$616,173"
"Mar 16, 2022",$0.4728,$0.4963,$0.4685,$0.4782,"$605,946","$605,946"
"Mar 15, 2022",$0.4977,$0.5237,$0.4644,$0.4728,"$665,300","$665,300"
"Mar 14, 2022",$0.5117,$0.5198,$0.4712,$0.4978,"$649,546","$649,546"
"Mar 13, 2022",$0.5557,$0.5567,$0.5097,$0.5117,"$548,414","$548,414"
"Mar 12, 2022",$0.5614,$0.5857,$0.5409,$0.5556,"$536,707","$536,707"
"Mar 11, 2022",$0.6034,$0.6079,$0.5385,$0.5614,"$598,211","$598,211"
"Mar 10, 2022",$0.6213,$0.6278,$0.5508,$0.6034,"$573,898","$573,898"
"Mar 09, 2022",$0.6324,$0.6541,$0.6102,$0.6214,"$521,566","$521,566"
"Mar 08, 2022",$0.5825,$0.6654,$0.5825,$0.6324,"$535,849","$535,849"
"Mar 07, 2022",$0.6557,$0.6605,$0.575,$0.5826,"$501,470","$501,470"
"Mar 06, 2022",$0.6611,$0.6662,$0.6085,$0.6557,"$558,710","$558,710"
"Mar 05, 2022",$0.5993,$0.6632,$0.5516,$0.6611,"$596,810","$596,810"
"Mar 04, 2022",$0.6283,$0.6335,$0.5793,$0.5993,"$467,105","$467,105"
"Mar 03, 2022",$0.6747,$0.6954,$0.6142,$0.6283,"$462,945","$462,945"
"Mar 02, 2022",$0.7879,$0.7916,$0.6746,$0.6747,"$472,711","$472,711"
"Mar 01, 2022",$0.7725,$0.8014,$0.7545,$0.7879,"$548,256","$548,256"
"Feb 28, 2022",$0.6657,$0.7725,$0.66,$0.7725,"$489,978","$489,978"
"Feb 27, 2022",$0.6896,$0.6972,$0.6485,$0.6657,"$330,947","$330,947"
"Feb 26, 2022",$0.7108,$0.7186,$0.6843,$0.6896,"$485,816","$485,816"
"Feb 25, 2022",$0.5964,$0.7146,$0.5771,$0.7108,"$1,144,406","$1,144,406"
"Feb 24, 2022",$0.6849,$0.6849,$0.5307,$0.5964,"$1,632,587","$1,632,587"
"Feb 23, 2022",$0.6588,$0.7263,$0.6543,$0.6849,"$629,186","$629,186"
"Feb 22, 2022",$0.6428,$0.6589,$0.6183,$0.6588,"$720,799","$720,799"
"Feb 21, 2022",$0.6967,$0.7057,$0.6411,$0.6427,"$824,581","$824,581"
"Feb 20, 2022",$0.7928,$0.7937,$0.6611,$0.6967,"$770,992","$770,992"
"Feb 19, 2022",$0.8021,$0.8092,$0.7729,$0.7928,"$406,351","$406,351"
"Feb 18, 2022",$0.8227,$0.8313,$0.7853,$0.8021,"$610,735","$610,735"
"Feb 17, 2022",$0.9399,$0.9475,$0.8151,$0.8228,"$928,857","$928,857"
"Feb 16, 2022",$0.9278,$0.9464,$0.8695,$0.9399,"$965,815","$965,815"
"Feb 15, 2022",$0.89,$0.9284,$0.8762,$0.9277,"$934,129","$934,129"
"Feb 14, 2022",$0.8424,$0.9149,$0.8303,$0.89,"$612,374","$612,374"
"Feb 13, 2022",$0.9029,$0.9031,$0.8413,$0.8424,"$764,580","$764,580"
"Feb 12, 2022",$0.9291,$0.9573,$0.8722,$0.903,"$1,816,142","$1,816,142"
"Feb 11, 2022",$0.8938,$1.13,$0.8651,$0.9291,"$2,195,622","$2,195,622"
"Feb 10, 2022",$0.9242,$0.9295,$0.8533,$0.8938,"$1,145,201","$1,145,201"
"Feb 09, 2022",$0.7952,$0.935,$0.7882,$0.9242,"$731,599","$731,599"
"Feb 08, 2022",$0.8246,$0.8284,$0.7711,$0.7952,"$553,060","$553,060"
"Feb 07, 2022",$0.7826,$0.8429,$0.7779,$0.8246,"$519,448","$519,448"
"Feb 06, 2022",$0.8184,$0.8266,$0.7553,$0.7826,"$485,575","$485,575"
"Feb 05, 2022",$0.7457,$0.8285,$0.7404,$0.8185,"$585,685","$585,685"
"Feb 04, 2022",$0.7568,$0.7801,$0.7144,$0.7457,"$507,916","$507,916"
"Feb 03, 2022",$0.8252,$0.8257,$0.7524,$0.7568,"$513,249","$513,249"
"Feb 02, 2022",$0.7772,$0.8655,$0.7752,$0.8252,"$733,122","$733,122"
"Feb 01, 2022",$0.6165,$0.7818,$0.6165,$0.7772,"$655,928","$655,928"
"Jan 31, 2022",$0.6353,$0.6394,$0.5926,$0.6165,"$390,192","$390,192"
"Jan 30, 2022",$0.6362,$0.6654,$0.6325,$0.6353,"$340,671","$340,671"
