Day,Open,High,Low,Close,Volume,Market Cap
"Sep 17, 2022",$1.67,$1.71,$1.64,$1.69,"$9,337,981","$9,337,981"
"Sep 16, 2022",$1.63,$1.68,$1.59,$1.67,"$15,665,689","$15,665,689"
"Sep 15, 2022",$1.65,$1.66,$1.56,$1.63,"$16,841,489","$16,841,489"
"Sep 14, 2022",$1.66,$1.75,$1.62,$1.65,"$20,193,143","$20,193,143"
"Sep 13, 2022",$1.81,$2.04,$1.63,$1.67,"$63,415,904","$63,415,904"
"Sep 12, 2022",$1.86,$1.93,$1.76,$1.81,"$40,547,441","$40,547,441"
"Sep 11, 2022",$1.64,$1.98,$1.62,$1.86,"$73,325,600","$73,325,600"
"Sep 10, 2022",$1.69,$1.71,$1.61,$1.64,"$15,150,244","$15,150,244"
"Sep 09, 2022",$1.54,$1.72,$1.53,$1.69,"$21,303,130","$21,303,130"
"Sep 08, 2022",$1.56,$1.60,$1.49,$1.54,"$16,837,155","$16,837,155"
"Sep 07, 2022",$1.46,$1.57,$1.44,$1.56,"$13,561,372","$13,561,372"
"Sep 06, 2022",$1.61,$1.65,$1.46,$1.46,"$17,376,753","$17,376,753"
"Sep 05, 2022",$1.60,$1.63,$1.54,$1.61,"$17,013,443","$17,013,443"
"Sep 04, 2022",$1.53,$1.62,$1.52,$1.60,"$12,239,011","$12,239,011"
"Sep 03, 2022",$1.53,$1.55,$1.52,$1.53,"$7,819,521","$7,819,521"
"Sep 02, 2022",$1.52,$1.57,$1.51,$1.53,"$11,449,693","$11,449,693"
"Sep 01, 2022",$1.55,$1.57,$1.47,$1.52,"$10,094,583","$10,094,583"
"Aug 31, 2022",$1.52,$1.59,$1.52,$1.55,"$9,605,652","$9,605,652"
"Aug 30, 2022",$1.61,$1.63,$1.50,$1.52,"$12,764,871","$12,764,871"
"Aug 29, 2022",$1.49,$1.61,$1.48,$1.61,"$12,195,967","$12,195,967"
"Aug 28, 2022",$1.57,$1.62,$1.49,$1.49,"$8,125,831","$8,125,831"
"Aug 27, 2022",$1.59,$1.63,$1.55,$1.57,"$10,412,861","$10,412,861"
"Aug 26, 2022",$1.78,$1.82,$1.59,$1.59,"$15,687,696","$15,687,696"
"Aug 25, 2022",$1.77,$1.84,$1.77,$1.78,"$14,957,916","$14,957,916"
"Aug 24, 2022",$1.82,$1.87,$1.77,$1.77,"$21,607,886","$21,607,886"
"Aug 23, 2022",$1.77,$1.87,$1.76,$1.82,"$27,539,098","$27,539,098"
