Day,Open,High,Low,Close,Volume,Market Cap
"Sep 25, 2022",$0.1011,$0.1038,$0.1005,$0.1038,"$337,639","$337,639"
"Sep 24, 2022",$0.1009,$0.1046,$0.1004,$0.101,"$379,737","$379,737"
"Sep 23, 2022",$0.1004,$0.1016,$0.09996,$0.1009,"$223,228","$223,228"
"Sep 22, 2022",$0.09786,$0.1012,$0.09747,$0.1004,"$244,487","$244,487"
"Sep 21, 2022",$0.09941,$0.1003,$0.09697,$0.09787,"$267,832","$267,832"
"Sep 20, 2022",$0.1036,$0.1039,$0.09941,$0.09941,"$368,832","$368,832"
"Sep 19, 2022",$0.102,$0.1056,$0.1008,$0.1036,"$680,003","$680,003"
"Sep 18, 2022",$0.1041,$0.1053,$0.1019,$0.102,"$754,594","$754,594"
"Sep 17, 2022",$0.102,$0.1041,$0.1016,$0.1041,"$488,603","$488,603"
"Sep 16, 2022",$0.09889,$0.1025,$0.09849,$0.102,"$351,503","$351,503"
"Sep 15, 2022",$0.1023,$0.104,$0.09754,$0.09885,"$350,193","$350,193"
"Sep 14, 2022",$0.1026,$0.1049,$0.1013,$0.1023,"$304,518","$304,518"
"Sep 13, 2022",$0.1116,$0.1136,$0.1019,$0.1019,"$377,778","$377,778"
"Sep 12, 2022",$0.1087,$0.1246,$0.1083,$0.1115,"$670,911","$670,911"
"Sep 11, 2022",$0.1069,$0.1095,$0.1058,$0.1085,"$217,511","$217,511"
"Sep 10, 2022",$0.1068,$0.113,$0.1041,$0.107,"$466,308","$466,308"
"Sep 09, 2022",$0.08647,$0.1169,$0.08625,$0.1068,"$1,036,009","$1,036,009"
"Sep 08, 2022",$0.08592,$0.08744,$0.0852,$0.08647,"$301,460","$301,460"
"Sep 07, 2022",$0.08683,$0.08688,$0.0831,$0.08593,"$275,332","$275,332"
"Sep 06, 2022",$0.09133,$0.09165,$0.08633,$0.08684,"$330,982","$330,982"
"Sep 05, 2022",$0.09133,$0.09178,$0.09049,$0.09133,"$294,661","$294,661"
"Sep 04, 2022",$0.09107,$0.09187,$0.09097,$0.09131,"$366,125","$366,125"
"Sep 03, 2022",$0.0889,$0.09172,$0.08851,$0.09108,"$289,165","$289,165"
"Sep 02, 2022",$0.08946,$0.08949,$0.0869,$0.0889,"$372,877","$372,877"
"Sep 01, 2022",$0.09279,$0.09356,$0.08753,$0.08946,"$328,683","$328,683"
"Aug 31, 2022",$0.08755,$0.09378,$0.08755,$0.09277,"$434,154","$434,154"
"Aug 30, 2022",$0.1015,$0.1019,$0.08674,$0.08753,"$389,129","$389,129"
"Aug 29, 2022",$0.09923,$0.1041,$0.09899,$0.1015,"$320,943","$320,943"
"Aug 28, 2022",$0.09925,$0.104,$0.09911,$0.09927,"$375,312","$375,312"
"Aug 27, 2022",$0.09978,$0.1021,$0.09872,$0.09922,"$324,469","$324,469"
"Aug 26, 2022",$0.1021,$0.1032,$0.09939,$0.09967,"$338,413","$338,413"
"Aug 25, 2022",$0.1015,$0.1052,$0.1007,$0.1021,"$367,761","$367,761"
"Aug 24, 2022",$0.102,$0.1031,$0.1014,$0.1015,"$339,003","$339,003"
"Aug 23, 2022",$0.1042,$0.1072,$0.1024,$0.1027,"$401,066","$401,066"
"Aug 22, 2022",$0.1002,$0.1049,$0.09556,$0.1042,"$477,614","$477,614"
"Aug 21, 2022",$0.09966,$0.101,$0.09662,$0.1004,"$481,449","$481,449"
"Aug 20, 2022",$0.1012,$0.1025,$0.09917,$0.09965,"$385,826","$385,826"
"Aug 19, 2022",$0.119,$0.119,$0.1011,$0.1013,"$506,873","$506,873"
"Aug 18, 2022",$0.1197,$0.1207,$0.1183,$0.1191,"$335,166","$335,166"
"Aug 17, 2022",$0.125,$0.1256,$0.1194,$0.1196,"$363,901","$363,901"
"Aug 16, 2022",$0.1289,$0.1303,$0.1229,$0.1249,"$213,429","$213,429"
"Aug 15, 2022",$0.135,$0.135,$0.1278,$0.1289,"$277,449","$277,449"
"Aug 14, 2022",$0.1354,$0.1386,$0.1345,$0.135,"$290,980","$290,980"
"Aug 13, 2022",$0.1392,$0.1424,$0.1318,$0.1353,"$426,886","$426,886"
"Aug 12, 2022",$0.1477,$0.1494,$0.1363,$0.139,"$459,362","$459,362"
"Aug 11, 2022",$0.1547,$0.1549,$0.1471,$0.1478,"$271,616","$271,616"
"Aug 10, 2022",$0.144,$0.1574,$0.1409,$0.1547,"$557,157","$557,157"
"Aug 09, 2022",$0.1501,$0.153,$0.1419,$0.1439,"$538,147","$538,147"
"Aug 08, 2022",$0.1362,$0.1613,$0.1362,$0.1501,"$564,293","$564,293"
"Aug 07, 2022",$0.1269,$0.1386,$0.1252,$0.1362,"$330,619","$330,619"
"Aug 06, 2022",$0.122,$0.1323,$0.1196,$0.1267,"$490,134","$490,134"
"Aug 05, 2022",$0.1142,$0.1237,$0.1136,$0.1219,"$333,977","$333,977"
"Aug 04, 2022",$0.1099,$0.1152,$0.1099,$0.1142,"$202,208","$202,208"
"Aug 03, 2022",$0.1144,$0.1144,$0.1094,$0.1099,"$234,915","$234,915"
"Aug 02, 2022",$0.1165,$0.1167,$0.1128,$0.1144,"$231,570","$231,570"
"Aug 01, 2022",$0.1152,$0.1205,$0.1149,$0.1164,"$243,000","$243,000"
"Jul 31, 2022",$0.1133,$0.1215,$0.1132,$0.1152,"$386,848","$386,848"
"Jul 30, 2022",$0.1224,$0.1277,$0.1131,$0.1133,"$446,502","$446,502"
"Jul 29, 2022",$0.1372,$0.1404,$0.121,$0.1224,"$406,600","$406,600"
"Jul 28, 2022",$0.1307,$0.1386,$0.1294,$0.1372,"$574,499","$574,499"
"Jul 27, 2022",$0.1157,$0.1307,$0.1124,$0.1307,"$315,238","$315,238"
"Jul 26, 2022",$0.1197,$0.1201,$0.1123,$0.1157,"$276,582","$276,582"
"Jul 25, 2022",$0.1217,$0.1239,$0.1195,$0.1197,"$243,016","$243,016"
"Jul 24, 2022",$0.1324,$0.1342,$0.1217,$0.1218,"$237,484","$237,484"
"Jul 23, 2022",$0.1342,$0.1357,$0.1292,$0.1322,"$199,544","$199,544"
"Jul 22, 2022",$0.1358,$0.1404,$0.133,$0.1343,"$302,126","$302,126"
"Jul 21, 2022",$0.1397,$0.142,$0.1356,$0.1358,"$378,359","$378,359"
"Jul 20, 2022",$0.1391,$0.1398,$0.1333,$0.1396,"$661,807","$661,807"
"Jul 19, 2022",$0.1403,$0.145,$0.1384,$0.1391,"$578,744","$578,744"
"Jul 18, 2022",$0.133,$0.1429,$0.1327,$0.1404,"$577,265","$577,265"
"Jul 17, 2022",$0.1324,$0.142,$0.1305,$0.133,"$493,598","$493,598"
"Jul 16, 2022",$0.129,$0.1373,$0.1271,$0.1325,"$520,274","$520,274"
"Jul 15, 2022",$0.1251,$0.1322,$0.1247,$0.1289,"$477,707","$477,707"
"Jul 14, 2022",$0.1267,$0.1276,$0.1232,$0.1251,"$380,482","$380,482"
"Jul 13, 2022",$0.123,$0.1267,$0.1208,$0.1267,"$536,398","$536,398"
"Jul 12, 2022",$0.1247,$0.1291,$0.123,$0.123,"$648,090","$648,090"
"Jul 11, 2022",$0.1371,$0.1372,$0.1243,$0.1247,"$589,228","$589,228"
"Jul 10, 2022",$0.1398,$0.1463,$0.1347,$0.1371,"$461,664","$461,664"
"Jul 09, 2022",$0.1481,$0.1481,$0.139,$0.1398,"$591,947","$591,947"
"Jul 08, 2022",$0.1631,$0.2022,$0.148,$0.148,"$1,126,510","$1,126,510"
"Jul 07, 2022",$0.1713,$0.1719,$0.1627,$0.1631,"$446,794","$446,794"
"Jul 06, 2022",$0.1837,$0.1861,$0.1667,$0.1713,"$737,814","$737,814"
"Jul 05, 2022",$0.1578,$0.2005,$0.1554,$0.1836,"$839,104","$839,104"
"Jul 04, 2022",$0.1715,$0.1717,$0.1559,$0.1579,"$504,669","$504,669"
"Jul 03, 2022",$0.1744,$0.1828,$0.1693,$0.1715,"$496,121","$496,121"
"Jul 02, 2022",$0.168,$0.1755,$0.1655,$0.1744,"$548,196","$548,196"
"Jul 01, 2022",$0.1685,$0.192,$0.1659,$0.1679,"$1,091,467","$1,091,467"
"Jun 30, 2022",$0.1291,$0.1696,$0.1289,$0.1696,"$965,820","$965,820"
"Jun 29, 2022",$0.1291,$0.1321,$0.1233,$0.129,"$400,810","$400,810"
"Jun 28, 2022",$0.1027,$0.1516,$0.1018,$0.129,"$792,515","$792,515"
"Jun 27, 2022",$0.1042,$0.1143,$0.1023,$0.1027,"$329,767","$329,767"
"Jun 26, 2022",$0.1026,$0.114,$0.1006,$0.1042,"$536,626","$536,626"
"Jun 25, 2022",$0.08522,$0.1085,$0.08339,$0.1026,"$711,085","$711,085"
"Jun 24, 2022",$0.06893,$0.08581,$0.06886,$0.08522,"$609,551","$609,551"
"Jun 23, 2022",$0.06912,$0.07906,$0.06826,$0.06894,"$401,882","$401,882"
"Jun 22, 2022",$0.08227,$0.08283,$0.06905,$0.06909,"$280,066","$280,066"
"Jun 21, 2022",$0.08287,$0.08751,$0.08203,$0.08225,"$263,496","$263,496"
"Jun 20, 2022",$0.08808,$0.08847,$0.0815,$0.08289,"$286,856","$286,856"
"Jun 19, 2022",$0.09264,$0.09292,$0.08635,$0.0881,"$234,549","$234,549"
"Jun 18, 2022",$0.09848,$0.09891,$0.0871,$0.09265,"$308,718","$308,718"
"Jun 17, 2022",$0.09998,$0.09998,$0.09633,$0.09848,"$309,518","$309,518"
"Jun 16, 2022",$0.1065,$0.1118,$0.09564,$0.1003,"$546,692","$546,692"
"Jun 15, 2022",$0.1043,$0.1104,$0.09957,$0.1065,"$508,936","$508,936"
"Jun 14, 2022",$0.1042,$0.1094,$0.1023,$0.1044,"$482,148","$482,148"
"Jun 13, 2022",$0.1693,$0.1699,$0.1037,$0.1042,"$957,821","$957,821"
"Jun 12, 2022",$0.1993,$0.2006,$0.1694,$0.1694,"$649,267","$649,267"
"Jun 11, 2022",$0.1975,$0.2048,$0.1912,$0.1992,"$577,739","$577,739"
"Jun 10, 2022",$0.1985,$0.2188,$0.1935,$0.1975,"$2,137,120","$2,137,120"
"Jun 09, 2022",$0.2075,$0.211,$0.1932,$0.1985,"$845,086","$845,086"
"Jun 08, 2022",$0.2104,$0.2128,$0.2037,$0.2074,"$494,931","$494,931"
"Jun 07, 2022",$0.2126,$0.2132,$0.2012,$0.2104,"$487,871","$487,871"
"Jun 06, 2022",$0.2153,$0.2244,$0.2113,$0.2126,"$592,724","$592,724"
"Jun 05, 2022",$0.2217,$0.2226,$0.2137,$0.2152,"$362,688","$362,688"
"Jun 04, 2022",$0.2132,$0.2241,$0.2119,$0.2217,"$458,121","$458,121"
"Jun 03, 2022",$0.2352,$0.236,$0.212,$0.2132,"$652,526","$652,526"
"Jun 02, 2022",$0.2303,$0.2407,$0.22,$0.2352,"$743,777","$743,777"
"Jun 01, 2022",$0.2612,$0.2639,$0.2293,$0.2303,"$676,691","$676,691"
"May 31, 2022",$0.2637,$0.273,$0.2597,$0.2612,"$691,424","$691,424"
"May 30, 2022",$0.252,$0.2722,$0.25,$0.2637,"$680,250","$680,250"
"May 29, 2022",$0.2521,$0.2602,$0.2454,$0.252,"$507,914","$507,914"
"May 28, 2022",$0.2678,$0.2687,$0.2398,$0.2521,"$1,933,245","$1,933,245"
"May 27, 2022",$0.2704,$0.2757,$0.2468,$0.2643,"$1,597,081","$1,597,081"
"May 26, 2022",$0.2928,$0.2977,$0.2528,$0.2706,"$950,515","$950,515"
"May 25, 2022",$0.309,$0.3113,$0.29,$0.2935,"$869,431","$869,431"
"May 24, 2022",$0.311,$0.3244,$0.303,$0.3093,"$505,259","$505,259"
"May 23, 2022",$0.3296,$0.3338,$0.3097,$0.3109,"$500,392","$500,392"
