Day,Open,High,Low,Close,Volume,Market Cap
"Sep 19, 2022",$0.007472,$0.007549,$0.007211,$0.007474,"$92,549,095","$92,549,095"
"Sep 18, 2022",$0.008595,$0.008595,$0.007071,$0.007472,"$91,047,952","$91,047,952"
"Sep 17, 2022",$0.008319,$0.008639,$0.008316,$0.008596,"$43,060,790","$43,060,790"
"Sep 16, 2022",$0.008321,$0.008456,$0.00816,$0.008315,"$58,856,759","$58,856,759"
"Sep 15, 2022",$0.008509,$0.008511,$0.00824,$0.00832,"$56,792,516","$56,792,516"
"Sep 14, 2022",$0.008489,$0.008661,$0.008218,$0.008506,"$62,752,830","$62,752,830"
"Sep 13, 2022",$0.009041,$0.009177,$0.008395,$0.008594,"$77,869,703","$77,869,703"
"Sep 12, 2022",$0.009425,$0.009536,$0.008899,$0.009041,"$65,661,081","$65,661,081"
"Sep 11, 2022",$0.009392,$0.009649,$0.009113,$0.009425,"$60,977,971","$60,977,971"
"Sep 10, 2022",$0.009717,$0.009788,$0.009374,$0.009395,"$64,569,591","$64,569,591"
"Sep 09, 2022",$0.008868,$0.01033,$0.008866,$0.00972,"$141,027,415","$141,027,415"
"Sep 08, 2022",$0.008884,$0.009011,$0.008643,$0.008871,"$46,844,480","$46,844,480"
"Sep 07, 2022",$0.008511,$0.00895,$0.008359,$0.008885,"$58,418,885","$58,418,885"
"Sep 06, 2022",$0.008914,$0.009235,$0.008489,$0.008511,"$66,557,890","$66,557,890"
"Sep 05, 2022",$0.008903,$0.008969,$0.008588,$0.008914,"$58,103,881","$58,103,881"
"Sep 04, 2022",$0.008684,$0.008924,$0.00868,$0.008904,"$25,176,720","$25,176,720"
"Sep 03, 2022",$0.008759,$0.008781,$0.008623,$0.008684,"$23,903,403","$23,903,403"
"Sep 02, 2022",$0.008692,$0.008873,$0.008573,$0.00876,"$34,492,210","$34,492,210"
"Sep 01, 2022",$0.008592,$0.008691,$0.008443,$0.008691,"$40,375,592","$40,375,592"
"Aug 31, 2022",$0.008645,$0.008883,$0.008546,$0.008591,"$41,445,799","$41,445,799"
"Aug 30, 2022",$0.008915,$0.009123,$0.008489,$0.008641,"$48,341,384","$48,341,384"
"Aug 29, 2022",$0.008466,$0.00892,$0.00842,$0.008915,"$55,895,470","$55,895,470"
"Aug 28, 2022",$0.008688,$0.008824,$0.008467,$0.008467,"$37,538,546","$37,538,546"
"Aug 27, 2022",$0.008456,$0.00877,$0.00838,$0.008688,"$53,395,740","$53,395,740"
"Aug 26, 2022",$0.009136,$0.009184,$0.008401,$0.008457,"$80,384,154","$80,384,154"
"Aug 25, 2022",$0.009103,$0.009343,$0.009069,$0.009136,"$44,189,467","$44,189,467"
"Aug 24, 2022",$0.009232,$0.009386,$0.009013,$0.009101,"$53,897,266","$53,897,266"
"Aug 23, 2022",$0.0093,$0.009359,$0.008921,$0.009232,"$43,247,954","$43,247,954"
"Aug 22, 2022",$0.009451,$0.009486,$0.008835,$0.009298,"$61,954,583","$61,954,583"
"Aug 21, 2022",$0.009235,$0.00956,$0.009209,$0.009453,"$72,029,536","$72,029,536"
"Aug 20, 2022",$0.009048,$0.009525,$0.008933,$0.009236,"$73,231,308","$73,231,308"
"Aug 19, 2022",$0.01016,$0.01016,$0.009035,$0.009051,"$120,742,953","$120,742,953"
"Aug 18, 2022",$0.01088,$0.01112,$0.01014,$0.01016,"$92,298,386","$92,298,386"
"Aug 17, 2022",$0.01151,$0.01219,$0.01082,$0.01088,"$184,457,324","$184,457,324"
"Aug 16, 2022",$0.01076,$0.01195,$0.01062,$0.01151,"$248,058,563","$248,058,563"
"Aug 15, 2022",$0.01038,$0.01078,$0.01004,$0.01078,"$110,105,472","$110,105,472"
"Aug 14, 2022",$0.0103,$0.01139,$0.01014,$0.01038,"$174,415,310","$174,415,310"
"Aug 13, 2022",$0.01038,$0.01056,$0.01021,$0.0103,"$53,612,608","$53,612,608"
"Aug 12, 2022",$0.01006,$0.01041,$0.01,$0.01038,"$57,805,321","$57,805,321"
"Aug 11, 2022",$0.0103,$0.01048,$0.01001,$0.01006,"$81,203,898","$81,203,898"
"Aug 10, 2022",$0.009872,$0.01062,$0.009629,$0.0103,"$95,288,106","$95,288,106"
"Aug 09, 2022",$0.01043,$0.01062,$0.009692,$0.009872,"$93,149,962","$93,149,962"
"Aug 08, 2022",$0.01042,$0.01079,$0.01028,$0.01042,"$95,563,878","$95,563,878"
"Aug 07, 2022",$0.01005,$0.01052,$0.01,$0.01041,"$79,334,846","$79,334,846"
"Aug 06, 2022",$0.0103,$0.01038,$0.01003,$0.01004,"$70,347,948","$70,347,948"
"Aug 05, 2022",$0.009793,$0.01031,$0.009789,$0.0103,"$73,827,730","$73,827,730"
"Aug 04, 2022",$0.009754,$0.01022,$0.009531,$0.009795,"$87,961,369","$87,961,369"
"Aug 03, 2022",$0.009618,$0.01018,$0.009315,$0.009752,"$107,839,479","$107,839,479"
"Aug 02, 2022",$0.01024,$0.01041,$0.009531,$0.009617,"$86,182,436","$86,182,436"
"Aug 01, 2022",$0.01032,$0.0106,$0.009831,$0.01025,"$122,145,506","$122,145,506"
"Jul 31, 2022",$0.009601,$0.01163,$0.009557,$0.01033,"$379,796,432","$379,796,432"
"Jul 30, 2022",$0.009393,$0.01038,$0.009392,$0.009601,"$178,626,854","$178,626,854"
"Jul 29, 2022",$0.009229,$0.009913,$0.009093,$0.009396,"$126,673,645","$126,673,645"
"Jul 28, 2022",$0.009086,$0.009453,$0.008902,$0.00923,"$90,292,051","$90,292,051"
"Jul 27, 2022",$0.008648,$0.009102,$0.00843,$0.009084,"$58,827,818","$58,827,818"
"Jul 26, 2022",$0.008424,$0.00865,$0.008284,$0.00865,"$50,393,702","$50,393,702"
"Jul 25, 2022",$0.008965,$0.008998,$0.008401,$0.008422,"$54,242,174","$54,242,174"
"Jul 24, 2022",$0.009011,$0.009241,$0.008966,$0.008969,"$45,986,670","$45,986,670"
"Jul 23, 2022",$0.008976,$0.009221,$0.008731,$0.009009,"$56,623,328","$56,623,328"
"Jul 22, 2022",$0.009254,$0.009406,$0.008951,$0.008981,"$69,224,673","$69,224,673"
"Jul 21, 2022",$0.009226,$0.009374,$0.008885,$0.009253,"$70,758,987","$70,758,987"
"Jul 20, 2022",$0.009939,$0.01027,$0.009108,$0.009229,"$134,684,683","$134,684,683"
"Jul 19, 2022",$0.009574,$0.01018,$0.009391,$0.009938,"$148,416,393","$148,416,393"
"Jul 18, 2022",$0.009086,$0.009819,$0.009086,$0.00958,"$133,282,781","$133,282,781"
