Day,Open,High,Low,Close,Volume,Market Cap
"Sep 26, 2022",$0.00033,$0.0004059,$0.0003299,$0.0003741,$169,$169
"Sep 25, 2022",$0.0005006,$0.0005042,$0.0003299,$0.00033,$151,$151
"Sep 24, 2022",$0.0002836,$0.0006162,$0.0002836,$0.0005006,$243,$243
"Sep 23, 2022",$0.0002507,$0.0002836,$0.0001908,$0.0002836,$133,$133
"Sep 22, 2022",$0.0002459,$0.0002511,$0.0002399,$0.0002507,$242,$242
"Sep 21, 2022",$0.0002474,$0.0002502,$0.0002439,$0.0002459,$208,$208
"Sep 20, 2022",$0.0002139,$0.0002475,$0.0001824,$0.0002474,$215,$215
"Sep 19, 2022",$0.0002733,$0.0002757,$0.0001799,$0.0002139,$137,$137
"Sep 18, 2022",$0.0002681,$0.00031,$0.0002239,$0.0002733,$166,$166
"Sep 17, 2022",$0.0002442,$0.0002686,$0.0002441,$0.0002681,$320,$320
"Sep 16, 2022",$0.0002458,$0.0002458,$0.0002442,$0.0002442,$113,$113
"Sep 15, 2022",$0.0002493,$0.0002497,$0.0002456,$0.0002458,$108,$108
"Sep 14, 2022",$0.0002539,$0.000254,$0.0002302,$0.0002493,$279,$279
"Sep 13, 2022",$0.0002541,$0.0002541,$0.0002538,$0.0002539,"$1,293","$1,293"
"Sep 12, 2022",$0.0002544,$0.0002544,$0.0002541,$0.0002541,"$1,647","$1,647"
"Sep 11, 2022",$0.0002544,$0.0002546,$0.0002541,$0.0002544,$724,$724
"Sep 10, 2022",$0.0002455,$0.0002544,$0.0002416,$0.0002544,$969,$969
"Sep 09, 2022",$0.0002451,$0.0002458,$0.0002451,$0.0002455,"$2,238","$2,238"
"Sep 08, 2022",$0.0002443,$0.0002451,$0.0002435,$0.0002451,"$2,002","$2,002"
"Sep 07, 2022",$0.0002442,$0.0002447,$0.0002437,$0.0002443,"$2,144","$2,144"
"Sep 06, 2022",$0.0002808,$0.0002836,$0.0002442,$0.0002442,"$1,924","$1,924"
"Sep 05, 2022",$0.0002808,$0.0002818,$0.0002578,$0.0002808,"$1,884","$1,884"
"Sep 04, 2022",$0.0002806,$0.0002815,$0.0002577,$0.0002808,"$1,534","$1,534"
"Sep 03, 2022",$0.0002785,$0.0002806,$0.0002751,$0.0002806,"$1,362","$1,362"
"Sep 02, 2022",$0.0003144,$0.0003145,$0.0002723,$0.0002785,"$1,329","$1,329"
"Sep 01, 2022",$0.0002822,$0.0003161,$0.0002552,$0.0003144,"$1,110","$1,110"
"Aug 31, 2022",$0.0002439,$0.0003246,$0.0002414,$0.0002822,"$1,185","$1,185"
"Aug 30, 2022",$0.0002643,$0.0002643,$0.0002439,$0.0002439,"$1,365","$1,365"
"Aug 29, 2022",$0.0002492,$0.0003,$0.0002492,$0.0002642,$359,$359
"Aug 28, 2022",$0.0002341,$0.0002492,$0.0002341,$0.0002492,$937,$937
"Aug 27, 2022",$0.0002351,$0.0002592,$0.0002341,$0.0002341,"$1,229","$1,229"
"Aug 26, 2022",$0.000347,$0.000347,$0.0002351,$0.0002351,$513,$513
"Aug 25, 2022",$0.000229,$0.000347,$0.0002201,$0.000347,$141,$141
"Aug 24, 2022",$0.0002231,$0.0002304,$0.0002226,$0.000229,"$1,510","$1,510"
"Aug 23, 2022",$0.0003448,$0.0003449,$0.00022,$0.0002231,$542,$542
"Aug 22, 2022",$0.00035,$0.00035,$0.0003143,$0.0003448,$14,$14
"Aug 21, 2022",$0.0002281,$0.00035,$0.0002281,$0.00035,$26,$26
"Aug 20, 2022",$0.0003469,$0.00035,$0.0002281,$0.0002281,$520,$520
"Aug 19, 2022",$0.0003466,$0.0003469,$0.0003459,$0.0003469,$74,$74
"Aug 18, 2022",$0.0003,$0.0003485,$0.0002997,$0.0003466,$11,$11
"Aug 17, 2022",$0.0002679,$0.0003486,$0.0002679,$0.0003,$11,$11
"Aug 16, 2022",$0.0002393,$0.0003284,$0.0002384,$0.0002679,$16,$16
"Aug 15, 2022",$0.0002381,$0.0002398,$0.000238,$0.0002393,$14,$14
"Aug 14, 2022",$0.0002391,$0.0002392,$0.0002375,$0.0002381,$32,$32
